상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-10-07,하늘,"10:45,  암수살인(디지털),  6,000원","13:25,  원더풀 고스트(디지털),  6,000원","15:50,  암수살인(디지털),  7,000원","18:30,  암수살인(디지털),  7,000원",,,43
2018-10-07,내린,"11:45,  베놈(디지털),  6,000원","14:20,  안시성(디지털),  6,000원","17:15,  베놈(디지털),  7,000원","19:45,  베놈(디지털),  7,000원",,,56
2018-10-08,하늘,"10:45,  암수살인(디지털),  7,000원","13:25,  원더풀 고스트(디지털),  6,000원","15:50,  암수살인(디지털),  10,000원","18:30,  암수살인(디지털),  6,000원",,,43
2018-10-08,내린,"11:45,  베놈(디지털),  6,000원","14:20,  안시성(디지털),  6,000원","17:15,  베놈(디지털),  6,000원","19:45,  베놈(디지털),  7,000원",,,56
2018-10-09,하늘,"10:45,  원더풀 고스트(디지털),  6,000원","13:10,  암수살인(디지털),  7,000원","15:50,  암수살인(디지털),  6,000원","18:30,  암수살인(디지털),  6,000원",,,43
2018-10-09,내린,"11:45,  베놈(디지털),  7,000원","14:20,  안시성(디지털),  6,000원","17:15,  베놈(디지털),  7,000원","19:45,  베놈(디지털),  7,000원",,,56
2018-10-10,하늘,"10:45,  원더풀 고스트(디지털),  6,000원","13:10,  암수살인(디지털),  6,000원","15:50,  암수살인(디지털),  7,000원","18:30,  암수살인(디지털),  6,000원",,,43
2018-10-10,내린,"11:45,  베놈(디지털),  6,000원","14:20,  안시성(디지털),  6,000원","17:15,  베놈(디지털),  6,000원","19:45,  베놈(디지털),  6,000원",,,56
2018-10-11,하늘,"11:35,  암수살인(디지털),  7,000원","14:30,  암수살인(디지털),  6,000원","17:05,  암수살인(디지털),  6,000원","19:40,  암수살인(디지털),  7,000원",,,43
2018-10-11,내린,"10:45,  안시성(디지털),  6,000원","13:45,  베놈(디지털),  6,000원","16:05,  베놈(디지털)","18:30,  베놈(디지털),  6,000원",,,56
2018-10-12,하늘,"11:35,  암수살인(디지털),  6,000원","14:30,  암수살인(디지털),  7,000원","17:05,  암수살인(디지털),  6,000원","19:40,  암수살인(디지털),  6,000원",,,43
2018-10-12,내린,"10:45,  안시성(디지털)","13:45,  베놈(디지털)","16:05,  베놈(디지털)","18:30,  베놈(디지털),  6,000원",,,56
2018-10-13,하늘,"11:35,  암수살인(디지털),  7,000원","14:30,  암수살인(디지털),  6,000원","17:05,  암수살인(디지털),  9,000원","19:40,  암수살인(디지털),  6,000원",,,43
2018-10-13,내린,"10:45,  안시성(디지털),  6,000원","13:45,  베놈(디지털),  7,000원","16:05,  베놈(디지털),  7,000원","18:30,  베놈(디지털),  6,000원",,,56
2018-10-14,하늘,"11:35,  암수살인(디지털),  6,000원","14:30,  암수살인(디지털),  7,000원","17:05,  암수살인(디지털),  6,000원","19:40,  암수살인(디지털),  6,000원",,,43
