상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-03,03관,"07:50,  기술자들(디지털),  6,000원","10:15,  일곱난쟁이(디지털더빙),  10,000원","12:10,  기술자들(디지털),  10,000원","14:35,  기술자들(디지털),  10,000원","17:00,  기술자들(디지털),  10,000원","19:25,  국제시장(디지털),  10,000원","22:00,  국제시장(디지털),  10,000원","24:35,  기술자들(디지털),  10,000원",,,,110
2015-01-03,04관,"10:10,  호빗: 다섯 군대 전투(디지털),  10,000원","13:05,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  10,000원","16:45,  호빗: 다섯 군대 전투(디지털),  10,000원",,"22:20,  호빗: 다섯 군대 전투(디지털),  10,000원","25:15,  호빗: 다섯 군대 전투(디지털),  10,000원","07:00,  호빗: 다섯 군대 전투(디지털)",,,,155
2015-01-03,05관(Balcony),"07:30,  국제시장(디지털),  6,000원","10:05,  국제시장(디지털),  38,000원","12:40,  국제시장(디지털),  40,000원","15:15,  국제시장(디지털),  40,000원","17:50,  국제시장(디지털),  40,000원","20:25,  국제시장(디지털),  40,000원","23:00,  국제시장(디지털),  10,000원","25:35,  국제시장(디지털),  10,000원",,,,233
2015-01-03,더부티크 스위트룸,"07:40,  국제시장(디지털)","10:30,  국제시장(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","16:15,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","22:05,  테이큰 3(디지털),  10,000원","24:45,  테이큰 3(디지털),  8,000원",,,,,22
2015-01-04,01관,"07:50,  님아, 그 강을 건너지 마오(디지털),  6,000원","09:45,  마다가스카의 펭귄(디지털더빙),  10,000원","11:45,  마다가스카의 펭귄(디지털더빙),  10,000원","13:45,  마다가스카의 펭귄(디지털),  10,000원","15:45,  마다가스카의 펭귄(3D 더빙),  12,000원","17:45,  마다가스카의 펭귄(디지털),  10,000원","19:45,  마다가스카의 펭귄(디지털),  10,000원","21:45,  님아, 그 강을 건너지 마오(디지털),  10,000원","23:40,  님아, 그 강을 건너지 마오(디지털),  10,000원","25:35,  마미(디지털),  8,000원",,118
2015-01-04,02관,"07:10,  테이큰 3(디지털),  6,000원","09:30,  테이큰 3(디지털),  10,000원","11:50,  테이큰 3(디지털),  10,000원","14:10,  테이큰 3(디지털),  10,000원","16:30,  테이큰 3(디지털),  10,000원","18:50,  테이큰 3(디지털),  10,000원","21:10,  테이큰 3(디지털),  10,000원","23:30,  테이큰 3(디지털),  10,000원","25:50,  테이큰 3(디지털),  10,000원",,,153
2015-01-04,03관,"07:40,  기술자들(디지털),  6,000원","10:05,  기술자들(디지털),  10,000원","12:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  10,000원","14:15,  기술자들(디지털),  10,000원","16:40,  기술자들(디지털),  10,000원","19:05,  국제시장(디지털),  10,000원","21:40,  국제시장(디지털),  10,000원","24:15,  기술자들(디지털),  10,000원",,,,110
2015-01-04,04관,"07:20,  호빗: 다섯 군대 전투(디지털),  6,000원","10:15,  일곱난쟁이(디지털더빙),  10,000원","12:10,  호빗: 다섯 군대 전투(디지털),  10,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  10,000원","17:00,  호빗: 다섯 군대 전투(디지털),  10,000원","19:50,  호빗: 다섯 군대 전투(디지털),  10,000원","22:40,  호빗: 다섯 군대 전투(디지털),  10,000원","25:30,  호빗: 다섯 군대 전투(디지털),  10,000원",,,,155
2015-01-04,05관(Balcony),"07:30,  국제시장(디지털),  6,000원","10:05,  국제시장(디지털),  10,000원","12:40,  국제시장(디지털),  10,000원","15:15,  국제시장(디지털),  40,000원","17:50,  국제시장(디지털),  40,000원","20:25,  국제시장(디지털),  10,000원","23:00,  국제시장(디지털),  10,000원","25:35,  국제시장(디지털),  10,000원",,,,233
2015-01-04,더부티크 스위트룸,"08:00,  테이큰 3(디지털),  10,000원","10:40,  테이큰 3(디지털),  10,000원","13:20,  국제시장(디지털),  10,000원","16:15,  국제시장(디지털),  10,000원","19:10,  국제시장(디지털),  10,000원","22:05,  테이큰 3(디지털),  10,000원","24:45,  테이큰 3(디지털)",,,,,22
2015-01-05,01관,"08:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","10:00,  마다가스카의 펭귄(디지털더빙),  9,000원","12:05,  마다가스카의 펭귄(디지털더빙),  9,000원","14:10,  마다가스카의 펭귄(3D 더빙),  11,000원","16:15,  마다가스카의 펭귄(디지털),  9,000원","18:20,  마다가스카의 펭귄(디지털),  9,000원","20:25,  마다가스카의 펭귄(디지털),  9,000원","22:30,  님아, 그 강을 건너지 마오(디지털),  9,000원","24:30,  마미(디지털),  9,000원",,,118
2015-01-05,02관,"08:20,  테이큰 3(디지털),  6,000원","10:40,  테이큰 3(디지털),  9,000원","13:00,  테이큰 3(디지털),  9,000원","15:20,  테이큰 3(디지털),  9,000원","17:40,  테이큰 3(디지털),  9,000원","20:00,  테이큰 3(디지털),  9,000원","22:20,  테이큰 3(디지털),  9,000원","24:40,  테이큰 3(디지털),  9,000원",,,,153
2015-01-05,03관,,"12:40,  기술자들(디지털),  9,000원","15:05,  기술자들(디지털),  9,000원","17:35,  기술자들(디지털),  9,000원","20:05,  기술자들(디지털),  9,000원","22:35,  기술자들(디지털),  9,000원","25:05,  국제시장(디지털),  9,000원",,,,,110
2015-01-05,04관,"08:30,  호빗: 다섯 군대 전투(디지털),  6,000원","11:25,  님아, 그 강을 건너지 마오(디지털),  9,000원","13:25,  호빗: 다섯 군대 전투(디지털),  9,000원","16:20,  호빗: 다섯 군대 전투(디지털),  9,000원","19:15,  호빗: 다섯 군대 전투(디지털),  9,000원","22:10,  호빗: 다섯 군대 전투(디지털),  9,000원","25:05,  호빗: 다섯 군대 전투(디지털)",,,,,155
2015-01-05,05관(Balcony),"07:50,  국제시장(디지털),  6,000원","10:25,  국제시장(디지털),  9,000원","13:00,  국제시장(디지털),  9,000원","15:35,  국제시장(디지털),  9,000원","18:10,  국제시장(디지털),  36,000원","20:45,  국제시장(디지털),  9,000원","23:20,  국제시장(디지털),  9,000원",,,,,233
2015-01-05,더부티크 스위트룸,"09:00,  국제시장(디지털)","11:50,  국제시장(디지털)","14:45,  국제시장(디지털),  5,000원","17:45,  국제시장(디지털),  9,000원","21:00,  테이큰 3(디지털),  9,000원","23:40,  테이큰 3(디지털)",,,,,,22
