상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2017-05-23,02관,"09:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","11:45,  카페, 한 사람을 기다리다(디지털)","14:10,  마차 타고 고래고래(디지털),  9,000원","16:25,  불한당: 나쁜 놈들의 세상(디지털),  7,000원","18:50,  불한당: 나쁜 놈들의 세상(디지털),  9,000원","21:15,  불한당: 나쁜 놈들의 세상(디지털),  9,000원","23:40,  불한당: 나쁜 놈들의 세상(디지털),  6,000원",,,,,,272
2017-05-23,03관,"10:00,  보안관(디지털),  5,000원","12:20,  보안관(디지털),  7,000원","14:40,  보안관(디지털),  9,000원","17:00,  보안관(디지털),  9,000원","19:20,  보안관(디지털),  6,000원","21:40,  보안관(디지털),  9,000원","24:00,  보안관(디지털),  6,000원",,,,,,256
2017-05-23,04관,"09:50,  에이리언: 커버넌트(디지털),  5,000원","12:20,  마차 타고 고래고래(디지털),  6,000원","14:25,  킹 아서: 제왕의 검(디지털),  9,000원","17:00,  에이리언: 커버넌트(디지털),  8,000원","19:30,  킹 아서: 제왕의 검(디지털),  9,000원","22:05,  에이리언: 커버넌트(디지털),  6,000원","24:30,  에이리언: 커버넌트(디지털),  6,000원",,,,,,256
2017-05-23,05관,"09:30,  겟 아웃(디지털),  5,000원","11:40,  킹 아서: 제왕의 검(디지털),  7,000원","14:15,  겟 아웃(디지털),  9,000원","16:25,  겟 아웃(디지털),  9,000원","18:35,  겟 아웃(디지털),  9,000원","20:45,  겟 아웃(디지털),  9,000원","23:00,  겟 아웃(디지털),  6,000원",,,,,,238
2017-05-23,06관,"10:50,  겟 아웃(디지털),  5,000원","13:00,  겟 아웃(디지털)","15:10,  겟 아웃(디지털),  6,000원","17:20,  겟 아웃(디지털),  9,000원","19:30,  겟 아웃(디지털),  9,000원","21:40,  겟 아웃(디지털),  9,000원","23:50,  겟 아웃(디지털),  6,000원",,,,,,256
2017-05-23,07관,"10:55,  보스 베이비(디지털더빙),  5,000원","13:00,  보스 베이비(디지털더빙),  8,500원","15:05,  보스 베이비(디지털더빙),  8,000원","17:10,  킹 아서: 제왕의 검(디지털),  9,000원","19:45,  가디언즈 오브 갤럭시 VOL. 2(디지털),  9,000원","22:30,  가디언즈 오브 갤럭시 VOL. 2(디지털),  9,000원",,,,,,,238
2017-05-24,01관,"09:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","11:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  7,000원","14:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","16:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  8,000원","19:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","21:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","24:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,272
2017-05-24,02관,"10:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","12:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  7,000원","15:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","17:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","20:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","23:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,,272
2017-05-24,03관,"09:30,  겟 아웃(디지털),  5,000원","11:50,  겟 아웃(디지털),  7,000원","14:10,  겟 아웃(디지털),  9,000원","16:30,  겟 아웃(디지털),  9,000원","18:50,  겟 아웃(디지털),  9,000원","21:10,  겟 아웃(디지털),  9,000원","23:30,  겟 아웃(디지털),  6,000원",,,,,,256
2017-05-24,04관,"09:50,  가디언즈 오브 갤럭시 VOL. 2(디지털),  5,000원","12:35,  에이리언: 커버넌트(디지털),  7,000원","15:05,  가디언즈 오브 갤럭시 VOL. 2(디지털),  9,000원","17:50,  에이리언: 커버넌트(디지털),  9,000원","20:20,  가디언즈 오브 갤럭시 VOL. 2(디지털),  9,000원","23:05,  가디언즈 오브 갤럭시 VOL. 2(디지털),  6,000원",,,,,,,256
