1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
"09:35,  레고 무비2(디지털),  7,000원","11:45,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  9,000원","13:30,  레고 무비2(디지털),  10,000원","15:45,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  10,000원","17:30,  레고 무비2(디지털),  8,000원","19:40,  뺑반(디지털),  10,000원","22:15,  극한직업(디지털),  10,000원",,,08관,2019-02-07,85
"09:00,  알리타: 배틀 엔젤(디지털),  7,000원","11:25,  알리타: 배틀 엔젤(디지털),  11,000원","14:00,  알리타: 배틀 엔젤(디지털),  11,000원","16:25,  알리타: 배틀 엔젤(디지털),  11,000원","18:55,  알리타: 배틀 엔젤(디지털),  11,000원","21:25,  알리타: 배틀 엔젤(디지털),  11,000원","23:50,  알리타: 배틀 엔젤(디지털),  11,000원",,,01관,2019-02-08,206
"09:00,  극한직업(디지털),  7,000원","11:15,  극한직업(디지털),  11,000원","13:30,  극한직업(디지털),  11,000원","15:45,  극한직업(디지털),  11,000원","18:00,  극한직업(디지털),  11,000원","20:15,  극한직업(디지털),  11,000원","22:40,  극한직업(디지털),  11,000원",,,02관,2019-02-08,246
"10:30,  극한직업(디지털),  8,000원","12:45,  극한직업(디지털),  11,000원","15:00,  극한직업(디지털),  11,000원","17:15,  극한직업(디지털),  11,000원","19:30,  극한직업(디지털),  11,000원","21:45,  극한직업(디지털),  11,000원","24:00,  극한직업(디지털),  11,000원",,,03관,2019-02-08,251
"09:20,  드래곤 길들이기 3(디지털더빙),  7,000원","11:30,  뺑반(디지털),  11,000원","14:15,  뺑반(디지털),  11,000원","17:05,  알리타: 배틀 엔젤(디지털)","19:40,  알리타: 배틀 엔젤(디지털),  11,000원","22:20,  알리타: 배틀 엔젤(디지털),  11,000원",,,,04관,2019-02-08,125
"09:30,  극한직업(디지털),  7,000원","11:50,  극한직업(디지털),  11,000원","14:05,  극한직업(디지털),  11,000원","16:20,  극한직업(디지털),  11,000원","18:35,  극한직업(디지털),  11,000원","21:00,  극한직업(디지털),  11,000원","23:15,  극한직업(디지털),  11,000원",,,05관,2019-02-08,134
"09:45,  뺑반(디지털),  7,000원","12:20,  뺑반(디지털),  11,000원","15:05,  뺑반(디지털),  11,000원","17:45,  뺑반(디지털),  11,000원","20:20,  뺑반(디지털),  11,000원","23:00,  뺑반(디지털),  11,000원",,,,06관,2019-02-08,164
"10:10,  시인 할매(디지털),  7,000원","12:00,  드래곤 길들이기 3(디지털더빙),  11,000원","14:10,  시인 할매(디지털)","16:00,  드래곤 길들이기 3(디지털더빙),  11,000원","18:20,  시인 할매(디지털),  11,000원","20:25,  드래곤 길들이기 3(디지털),  11,000원","22:35,  드래곤 길들이기 3(디지털),  11,000원",,,07관,2019-02-08,89
"09:35,  레고 무비2(디지털)","11:45,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  11,000원","13:30,  레고 무비2(디지털)","15:45,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  11,000원","17:30,  레고 무비2(디지털),  11,000원","19:40,  뺑반(디지털),  11,000원","22:15,  극한직업(디지털),  11,000원",,,08관,2019-02-08,85
"08:35,  알리타: 배틀 엔젤(디지털),  7,000원","11:00,  알리타: 배틀 엔젤(디지털),  7,000원","13:30,  알리타: 배틀 엔젤(디지털),  11,000원","16:00,  알리타: 배틀 엔젤(디지털),  11,000원","18:30,  알리타: 배틀 엔젤(디지털),  11,000원","20:55,  알리타: 배틀 엔젤(디지털),  11,000원","23:25,  알리타: 배틀 엔젤(디지털),  11,000원",,,01관,2019-02-09,206
"08:30,  극한직업(디지털),  7,000원","10:45,  극한직업(디지털),  10,000원","13:00,  극한직업(디지털),  11,000원","15:15,  극한직업(디지털),  11,000원","17:30,  극한직업(디지털),  11,000원","19:45,  극한직업(디지털),  11,000원","22:00,  극한직업(디지털),  11,000원","24:15,  극한직업(디지털),  9,000원",,02관,2019-02-09,246
"10:10,  극한직업(디지털),  7,000원","12:25,  극한직업(디지털),  11,000원","14:45,  극한직업(디지털),  11,000원","17:00,  극한직업(디지털),  11,000원","19:15,  극한직업(디지털),  11,000원","21:30,  극한직업(디지털),  11,000원","23:45,  시인 할매(디지털)",,,03관,2019-02-09,251
"08:50,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  7,000원","10:30,  드래곤 길들이기 3(디지털더빙),  7,000원","12:40,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  11,000원","14:20,  극한직업(디지털),  11,000원","16:35,  극한직업(디지털),  11,000원","18:50,  극한직업(디지털),  11,000원","21:05,  극한직업(디지털),  11,000원","23:20,  극한직업(디지털),  11,000원",,04관,2019-02-09,125
"09:00,  극한직업(디지털),  10,000원","11:20,  극한직업(디지털),  11,000원","13:40,  극한직업(디지털),  11,000원","15:55,  극한직업(디지털),  11,000원","18:10,  극한직업(디지털),  11,000원","20:25,  극한직업(디지털),  11,000원","22:40,  극한직업(디지털),  11,000원",,,05관,2019-02-09,134
"09:30,  뺑반(디지털),  7,000원","12:10,  뺑반(디지털),  11,000원","14:50,  뺑반(디지털),  11,000원","17:40,  뺑반(디지털),  11,000원","20:15,  뺑반(디지털),  8,000원","22:55,  뺑반(디지털),  11,000원",,,,06관,2019-02-09,164
"10:00,  알리타: 배틀 엔젤(디지털),  7,000원","12:35,  시인 할매(디지털),  8,000원","14:25,  드래곤 길들이기 3(디지털더빙),  11,000원","16:30,  드래곤 길들이기 3(디지털더빙),  11,000원","18:40,  뺑반(디지털),  11,000원","21:20,  뺑반(디지털),  11,000원","24:00,  뺑반(디지털),  11,000원",,,07관,2019-02-09,89
"08:40,  레고 무비2(디지털),  7,000원","10:50,  뺑반(디지털),  7,000원","13:25,  드래곤 길들이기 3(디지털),  11,000원","15:35,  레고 무비2(디지털),  11,000원","17:45,  시인 할매(디지털)","19:35,  알리타: 배틀 엔젤(디지털),  11,000원","22:00,  알리타: 배틀 엔젤(디지털),  11,000원","24:25,  알리타: 배틀 엔젤(디지털),  9,000원",,08관,2019-02-09,85
"08:35,  알리타: 배틀 엔젤(디지털),  7,000원","11:00,  알리타: 배틀 엔젤(디지털),  7,000원","13:30,  알리타: 배틀 엔젤(디지털),  11,000원","16:00,  알리타: 배틀 엔젤(디지털),  11,000원","18:30,  알리타: 배틀 엔젤(디지털),  11,000원","20:55,  알리타: 배틀 엔젤(디지털),  11,000원","23:25,  알리타: 배틀 엔젤(디지털),  11,000원",,,01관,2019-02-10,206
"08:30,  극한직업(디지털),  7,000원","10:45,  극한직업(디지털),  10,000원","13:00,  극한직업(디지털),  11,000원","15:15,  극한직업(디지털),  11,000원","17:30,  극한직업(디지털),  11,000원","19:45,  극한직업(디지털),  11,000원","22:15,  극한직업(디지털),  11,000원",,,02관,2019-02-10,246
"10:10,  극한직업(디지털),  10,000원","12:25,  극한직업(디지털),  11,000원","14:45,  극한직업(디지털),  11,000원","17:00,  극한직업(디지털),  11,000원","19:15,  극한직업(디지털),  11,000원","21:30,  극한직업(디지털),  11,000원",,,,03관,2019-02-10,251
"08:50,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  7,000원","10:30,  드래곤 길들이기 3(디지털더빙),  10,000원","12:40,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  11,000원","14:20,  극한직업(디지털),  11,000원","16:35,  극한직업(디지털),  11,000원","18:50,  극한직업(디지털),  11,000원","21:05,  극한직업(디지털),  11,000원","23:20,  극한직업(디지털),  11,000원",,04관,2019-02-10,125
"09:00,  극한직업(디지털),  7,000원","11:20,  극한직업(디지털),  11,000원","13:40,  극한직업(디지털),  11,000원","15:55,  극한직업(디지털),  11,000원","18:10,  극한직업(디지털),  11,000원","20:25,  극한직업(디지털),  11,000원","22:40,  시인 할매(디지털)",,,05관,2019-02-10,134
"09:30,  뺑반(디지털),  7,000원","12:10,  뺑반(디지털),  11,000원","14:50,  뺑반(디지털),  11,000원","17:40,  뺑반(디지털),  11,000원","20:15,  뺑반(디지털),  11,000원","23:00,  뺑반(디지털),  11,000원",,,,06관,2019-02-10,164
"10:00,  알리타: 배틀 엔젤(디지털),  7,000원","12:35,  시인 할매(디지털),  11,000원","14:25,  드래곤 길들이기 3(디지털더빙),  10,000원","16:30,  드래곤 길들이기 3(디지털더빙),  11,000원","18:40,  뺑반(디지털),  11,000원","21:20,  뺑반(디지털),  11,000원",,,,07관,2019-02-10,89
"08:40,  레고 무비2(디지털),  7,000원","10:50,  뺑반(디지털),  7,000원","13:25,  드래곤 길들이기 3(디지털),  11,000원","15:35,  레고 무비2(디지털),  11,000원","17:45,  시인 할매(디지털)","19:35,  알리타: 배틀 엔젤(디지털),  11,000원","22:10,  알리타: 배틀 엔젤(디지털),  11,000원",,,08관,2019-02-10,85
"09:35,  알리타: 배틀 엔젤(디지털),  10,000원","12:00,  알리타: 배틀 엔젤(디지털),  9,000원","14:30,  알리타: 배틀 엔젤(디지털),  10,000원","17:00,  알리타: 배틀 엔젤(디지털),  10,000원","19:30,  알리타: 배틀 엔젤(디지털),  10,000원","21:55,  알리타: 배틀 엔젤(디지털),  10,000원",,,,01관,2019-02-11,206
"09:30,  극한직업(디지털),  10,000원","11:45,  극한직업(디지털),  10,000원","14:00,  극한직업(디지털),  10,000원","16:15,  극한직업(디지털),  10,000원","18:30,  극한직업(디지털),  10,000원","20:45,  극한직업(디지털),  10,000원","23:05,  극한직업(디지털),  10,000원",,,02관,2019-02-11,246
"10:20,  극한직업(디지털),  7,000원","12:35,  극한직업(디지털),  10,000원","14:55,  극한직업(디지털),  10,000원","17:10,  극한직업(디지털),  10,000원","19:25,  극한직업(디지털),  10,000원","21:40,  극한직업(디지털),  10,000원",,,,03관,2019-02-11,251
"09:45,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  6,000원","11:25,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  9,000원","13:05,  극한직업(디지털),  10,000원","15:20,  극한직업(디지털),  10,000원","17:35,  극한직업(디지털),  10,000원","19:50,  극한직업(디지털),  10,000원","22:05,  시인 할매(디지털)",,,04관,2019-02-11,125
"11:00,  극한직업(디지털),  8,000원","13:20,  극한직업(디지털),  10,000원","15:40,  극한직업(디지털),  10,000원","17:55,  극한직업(디지털),  10,000원","20:10,  극한직업(디지털),  10,000원","22:25,  극한직업(디지털),  7,000원",,,,05관,2019-02-11,134
"09:30,  뺑반(디지털),  6,000원","12:10,  뺑반(디지털),  10,000원","14:50,  뺑반(디지털),  10,000원","17:40,  뺑반(디지털),  10,000원","20:15,  뺑반(디지털),  10,000원","22:50,  뺑반(디지털),  8,000원",,,,06관,2019-02-11,164
"10:30,  알리타: 배틀 엔젤(디지털),  7,000원","12:55,  시인 할매(디지털),  9,000원","15:00,  드래곤 길들이기 3(디지털더빙),  9,000원","17:05,  드래곤 길들이기 3(디지털더빙),  10,000원","19:15,  뺑반(디지털),  10,000원","21:50,  뺑반(디지털),  10,000원",,,,07관,2019-02-11,89
"10:00,  레고 무비2(디지털)","12:20,  드래곤 길들이기 3(디지털더빙),  8,000원","14:25,  드래곤 길들이기 3(디지털),  10,000원","16:35,  레고 무비2(디지털),  10,000원","18:45,  시인 할매(디지털),  7,000원","20:35,  알리타: 배틀 엔젤(디지털),  10,000원","23:00,  알리타: 배틀 엔젤(디지털),  10,000원",,,08관,2019-02-11,85
"09:35,  알리타: 배틀 엔젤(디지털)","12:00,  알리타: 배틀 엔젤(디지털),  9,000원","14:30,  알리타: 배틀 엔젤(디지털),  10,000원","17:00,  알리타: 배틀 엔젤(디지털),  10,000원","19:30,  알리타: 배틀 엔젤(디지털),  10,000원","21:55,  알리타: 배틀 엔젤(디지털),  10,000원",,,,01관,2019-02-12,206
"09:30,  극한직업(디지털),  6,000원","11:45,  극한직업(디지털),  9,000원","14:00,  극한직업(디지털),  10,000원","16:15,  극한직업(디지털),  10,000원","18:30,  극한직업(디지털),  10,000원","20:45,  극한직업(디지털),  10,000원","23:05,  극한직업(디지털),  10,000원",,,02관,2019-02-12,246
"10:20,  극한직업(디지털),  7,000원","12:35,  극한직업(디지털),  10,000원","14:55,  극한직업(디지털),  10,000원","17:10,  극한직업(디지털),  10,000원","19:25,  극한직업(디지털),  10,000원","21:40,  극한직업(디지털),  10,000원",,,,03관,2019-02-12,251
"09:45,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  6,000원","11:25,  극장판 헬로카봇: 옴파로스 섬의 비밀(디지털),  9,000원","13:05,  극한직업(디지털),  10,000원","15:20,  극한직업(디지털),  10,000원","17:35,  극한직업(디지털),  10,000원","19:50,  극한직업(디지털),  10,000원","22:05,  시인 할매(디지털),  7,000원",,,04관,2019-02-12,125
"11:00,  극한직업(디지털),  7,000원","13:20,  극한직업(디지털),  10,000원","15:40,  극한직업(디지털),  10,000원","17:55,  극한직업(디지털),  10,000원","20:10,  극한직업(디지털),  10,000원","22:25,  극한직업(디지털),  10,000원",,,,05관,2019-02-12,134
"09:30,  뺑반(디지털),  6,000원","12:10,  뺑반(디지털),  10,000원","14:50,  뺑반(디지털),  10,000원","17:40,  뺑반(디지털),  10,000원","20:15,  뺑반(디지털),  10,000원","22:50,  뺑반(디지털),  10,000원",,,,06관,2019-02-12,164
"10:30,  알리타: 배틀 엔젤(디지털),  6,000원","12:55,  시인 할매(디지털)","15:00,  드래곤 길들이기 3(디지털더빙),  10,000원","17:05,  드래곤 길들이기 3(디지털더빙),  10,000원","19:15,  뺑반(디지털),  10,000원","21:50,  뺑반(디지털),  10,000원",,,,07관,2019-02-12,89
"10:00,  레고 무비2(디지털),  6,000원","12:20,  드래곤 길들이기 3(디지털더빙),  9,000원","14:25,  드래곤 길들이기 3(디지털),  10,000원","16:35,  레고 무비2(디지털),  10,000원","18:45,  시인 할매(디지털)","20:35,  알리타: 배틀 엔젤(디지털),  10,000원","23:00,  알리타: 배틀 엔젤(디지털),  10,000원",,,08관,2019-02-12,85
"10:00,  증인(디지털),  7,000원","12:35,  증인(디지털),  9,000원","15:10,  증인(디지털),  10,000원","17:50,  증인(디지털),  10,000원","20:25,  증인(디지털),  10,000원","23:00,  증인(디지털),  10,000원",,,,01관,2019-02-13,206
"11:00,  극한직업(디지털),  7,000원","13:20,  극한직업(디지털),  10,000원","15:40,  극한직업(디지털),  10,000원","18:00,  극한직업(디지털),  10,000원","20:20,  극한직업(디지털),  10,000원","22:40,  극한직업(디지털),  10,000원",,,,02관,2019-02-13,246
"09:40,  극한직업(디지털),  6,000원","12:00,  극한직업(디지털),  9,000원","14:20,  극한직업(디지털),  10,000원","16:40,  극한직업(디지털),  10,000원","19:00,  극한직업(디지털),  10,000원","21:20,  극한직업(디지털),  10,000원","23:40,  극한직업(디지털),  9,000원",,,03관,2019-02-13,251
"10:30,  드래곤 길들이기 3(디지털더빙),  5,000원","12:40,  극한직업(디지털),  9,000원","15:00,  극한직업(디지털),  10,000원","17:20,  극한직업(디지털),  10,000원","19:40,  극한직업(디지털),  10,000원","22:00,  극한직업(디지털),  10,000원",,,,04관,2019-02-13,125
"09:50,  뺑반(디지털),  6,000원","12:25,  드래곤 길들이기 3(디지털더빙),  8,000원","14:30,  뺑반(디지털),  10,000원","17:05,  드래곤 길들이기 3(디지털),  10,000원","19:15,  뺑반(디지털),  10,000원","21:50,  뺑반(디지털),  10,000원",,,,05관,2019-02-13,134
"10:45,  알리타: 배틀 엔젤(디지털),  6,000원","13:30,  알리타: 배틀 엔젤(디지털),  10,000원","15:55,  알리타: 배틀 엔젤(디지털),  10,000원","18:20,  알리타: 배틀 엔젤(디지털),  9,000원","20:45,  알리타: 배틀 엔젤(디지털),  10,000원","23:10,  알리타: 배틀 엔젤(디지털),  10,000원",,,,06관,2019-02-13,164
"09:30,  기묘한 가족(디지털),  6,000원","11:45,  기묘한 가족(디지털),  9,000원","14:05,  기묘한 가족(디지털),  10,000원","16:20,  기묘한 가족(디지털),  10,000원","18:40,  기묘한 가족(디지털),  10,000원","21:00,  기묘한 가족(디지털),  10,000원","23:20,  뺑반(디지털)",,,07관,2019-02-13,89
"10:20,  신밧드와 마법 양탄자(디지털더빙),  6,000원","12:05,  뺑반(디지털)","14:40,  신밧드와 마법 양탄자(디지털더빙)","16:30,  증인(디지털),  10,000원","19:05,  증인(디지털),  10,000원","21:35,  드래곤 길들이기 3(디지털),  10,000원","23:40,  기묘한 가족(디지털),  10,000원",,,08관,2019-02-13,85
"10:10,  증인(디지털),  6,000원","12:45,  증인(디지털),  10,000원","15:20,  증인(디지털),  10,000원","18:00,  증인(디지털),  10,000원","20:35,  증인(디지털),  10,000원","23:10,  증인(디지털),  10,000원",,,,01관,2019-02-14,206
"10:50,  극한직업(디지털),  10,000원","13:10,  극한직업(디지털),  10,000원","15:30,  극한직업(디지털),  10,000원","17:50,  극한직업(디지털),  10,000원","20:10,  극한직업(디지털),  10,000원","22:30,  극한직업(디지털),  10,000원",,,,02관,2019-02-14,246
"09:40,  극한직업(디지털),  8,000원","11:55,  극한직업(디지털),  9,000원","14:20,  극한직업(디지털),  10,000원","16:40,  극한직업(디지털),  10,000원","19:00,  극한직업(디지털),  10,000원","21:15,  극한직업(디지털),  10,000원","23:30,  극한직업(디지털),  7,000원",,,03관,2019-02-14,251
"09:50,  메리 포핀스 리턴즈(디지털),  7,000원","12:30,  메리 포핀스 리턴즈(디지털),  9,000원","15:10,  메리 포핀스 리턴즈(디지털),  10,000원","17:45,  메리 포핀스 리턴즈(디지털),  10,000원","20:25,  메리 포핀스 리턴즈(디지털),  10,000원","23:00,  메리 포핀스 리턴즈(디지털),  10,000원",,,,04관,2019-02-14,125
"09:45,  알리타: 배틀 엔젤(디지털),  6,000원","12:10,  알리타: 배틀 엔젤(디지털),  9,000원","14:40,  알리타: 배틀 엔젤(디지털),  10,000원","17:10,  알리타: 배틀 엔젤(디지털),  10,000원","19:40,  알리타: 배틀 엔젤(디지털),  10,000원","22:10,  알리타: 배틀 엔젤(디지털),  10,000원",,,,05관,2019-02-14,134
"09:30,  해피 데스데이 2 유(디지털),  7,000원","11:40,  해피 데스데이 2 유(디지털),  9,000원","13:50,  해피 데스데이 2 유(디지털),  10,000원","16:00,  해피 데스데이 2 유(디지털),  10,000원","18:10,  해피 데스데이 2 유(디지털),  10,000원","20:20,  해피 데스데이 2 유(디지털),  10,000원","22:25,  해피 데스데이 2 유(디지털),  10,000원",,,06관,2019-02-14,164
"10:30,  드래곤 길들이기 3(디지털더빙),  6,000원","12:40,  신밧드와 마법 양탄자(디지털더빙),  8,000원","14:30,  드래곤볼 슈퍼: 브로리(디지털),  10,000원","16:35,  명탐정 코난:전율의 악보(디지털),  10,000원","19:00,  드래곤 길들이기 3(디지털),  10,000원","21:15,  드래곤볼 슈퍼: 브로리(디지털),  10,000원","23:20,  뺑반(디지털),  9,000원",,,07관,2019-02-14,89
"10:00,  뺑반(디지털),  7,000원","12:40,  기묘한 가족(디지털),  9,000원","15:00,  뺑반(디지털),  10,000원","17:35,  기묘한 가족(디지털),  10,000원","19:50,  뺑반(디지털),  10,000원","22:35,  기묘한 가족(디지털),  10,000원",,,,08관,2019-02-14,85
"10:10,  증인(디지털),  7,000원","12:45,  증인(디지털),  11,000원","15:20,  증인(디지털),  11,000원","18:00,  증인(디지털),  11,000원","20:35,  증인(디지털),  11,000원","23:10,  증인(디지털),  11,000원",,,,01관,2019-02-15,206
"11:00,  극한직업(디지털),  7,000원","13:15,  극한직업(디지털),  11,000원","15:30,  극한직업(디지털),  11,000원","17:45,  극한직업(디지털),  11,000원","20:00,  극한직업(디지털),  11,000원","22:15,  극한직업(디지털),  11,000원","24:30,  극한직업(디지털),  9,000원",,,02관,2019-02-15,246
"09:40,  극한직업(디지털),  7,000원","12:00,  극한직업(디지털),  11,000원","14:15,  극한직업(디지털),  11,000원","16:35,  극한직업(디지털),  11,000원","18:55,  극한직업(디지털),  11,000원","21:10,  극한직업(디지털),  11,000원","23:25,  극한직업(디지털),  11,000원",,,03관,2019-02-15,251
"09:50,  메리 포핀스 리턴즈(디지털),  7,000원","12:25,  메리 포핀스 리턴즈(디지털),  8,000원","15:05,  메리 포핀스 리턴즈(디지털),  11,000원","17:40,  메리 포핀스 리턴즈(디지털),  11,000원","20:20,  메리 포핀스 리턴즈(디지털),  11,000원","23:00,  메리 포핀스 리턴즈(디지털),  8,500원",,,,04관,2019-02-15,125
"09:45,  알리타: 배틀 엔젤(디지털),  7,000원","12:10,  명탐정 코난:전율의 악보(디지털),  11,000원","14:35,  알리타: 배틀 엔젤(디지털),  11,000원","17:00,  알리타: 배틀 엔젤(디지털),  11,000원","19:30,  알리타: 배틀 엔젤(디지털),  11,000원","21:55,  알리타: 배틀 엔젤(디지털),  11,000원","24:20,  알리타: 배틀 엔젤(디지털),  9,000원",,,05관,2019-02-15,134
"09:30,  해피 데스데이 2 유(디지털),  6,000원","11:35,  해피 데스데이 2 유(디지털),  7,000원","13:40,  해피 데스데이 2 유(디지털),  11,000원","15:45,  해피 데스데이 2 유(디지털),  11,000원","17:50,  해피 데스데이 2 유(디지털),  11,000원","20:00,  해피 데스데이 2 유(디지털),  11,000원","22:05,  해피 데스데이 2 유(디지털),  11,000원","24:10,  해피 데스데이 2 유(디지털),  8,500원",,06관,2019-02-15,164
"10:20,  드래곤 길들이기 3(디지털더빙),  7,000원","12:30,  신밧드와 마법 양탄자(디지털더빙),  11,000원","14:20,  드래곤볼 슈퍼: 브로리(디지털),  8,000원","16:40,  명탐정 코난:전율의 악보(디지털),  11,000원","19:05,  드래곤 길들이기 3(디지털),  11,000원","21:30,  드래곤볼 슈퍼: 브로리(디지털),  11,000원","23:40,  뺑반(디지털),  11,000원",,,07관,2019-02-15,89
"10:00,  명탐정 코난:전율의 악보(디지털),  7,000원","12:40,  기묘한 가족(디지털),  7,000원","15:00,  뺑반(디지털),  11,000원","17:35,  기묘한 가족(디지털),  11,000원","19:50,  뺑반(디지털),  11,000원","22:25,  기묘한 가족(디지털),  11,000원",,,,08관,2019-02-15,85
"09:40,  증인(디지털),  10,000원","12:15,  증인(디지털),  11,000원","14:50,  증인(디지털),  11,000원","17:30,  증인(디지털),  11,000원","20:05,  증인(디지털),  11,000원","22:40,  증인(디지털),  11,000원",,,,01관,2019-02-16,206
"10:30,  극한직업(디지털),  7,000원","12:45,  극한직업(디지털),  11,000원","15:00,  극한직업(디지털),  11,000원","17:15,  극한직업(디지털),  11,000원","19:30,  극한직업(디지털),  11,000원","21:45,  극한직업(디지털),  11,000원","24:00,  극한직업(디지털),  11,000원",,,02관,2019-02-16,246
"09:10,  극한직업(디지털),  7,000원","11:30,  극한직업(디지털),  11,000원","13:45,  극한직업(디지털),  11,000원","16:05,  극한직업(디지털),  11,000원","18:25,  극한직업(디지털),  11,000원","20:40,  극한직업(디지털),  11,000원","22:55,  극한직업(디지털),  11,000원",,,03관,2019-02-16,251
"09:20,  메리 포핀스 리턴즈(디지털),  7,000원","11:55,  메리 포핀스 리턴즈(디지털),  11,000원","14:40,  명탐정 코난:전율의 악보(디지털),  11,000원","17:00,  메리 포핀스 리턴즈(디지털),  11,000원","19:45,  메리 포핀스 리턴즈(디지털),  11,000원","22:20,  메리 포핀스 리턴즈(디지털),  11,000원",,,,04관,2019-02-16,125
"09:15,  알리타: 배틀 엔젤(디지털),  7,000원","11:40,  알리타: 배틀 엔젤(디지털),  11,000원","14:05,  알리타: 배틀 엔젤(디지털),  11,000원","16:35,  명탐정 코난:전율의 악보(디지털),  11,000원","19:00,  알리타: 배틀 엔젤(디지털),  11,000원","21:30,  알리타: 배틀 엔젤(디지털),  11,000원","23:55,  알리타: 배틀 엔젤(디지털),  9,000원",,,05관,2019-02-16,134
"09:00,  해피 데스데이 2 유(디지털),  7,000원","11:00,  명탐정 코난:전율의 악보(디지털),  8,000원","13:20,  명탐정 코난:전율의 악보(디지털),  11,000원","15:40,  해피 데스데이 2 유(디지털),  11,000원","17:45,  해피 데스데이 2 유(디지털),  11,000원","19:50,  해피 데스데이 2 유(디지털),  11,000원","21:55,  해피 데스데이 2 유(디지털),  11,000원","24:05,  해피 데스데이 2 유(디지털),  9,000원",,06관,2019-02-16,164
"09:50,  드래곤 길들이기 3(디지털더빙),  7,000원","12:00,  해피 데스데이 2 유(디지털),  11,000원","14:00,  해피 데스데이 2 유(디지털),  11,000원","16:00,  드래곤볼 슈퍼: 브로리(디지털),  11,000원","18:00,  드래곤 길들이기 3(디지털),  11,000원","20:20,  뺑반(디지털),  11,000원","23:10,  뺑반(디지털),  11,000원",,,07관,2019-02-16,89
"09:00,  기묘한 가족(디지털),  7,000원","11:15,  신밧드와 마법 양탄자(디지털더빙),  11,000원","13:00,  해피 데스데이 2 유(디지털),  11,000원","15:05,  뺑반(디지털),  11,000원","17:40,  기묘한 가족(디지털),  11,000원","19:55,  기묘한 가족(디지털),  11,000원","22:10,  드래곤볼 슈퍼: 브로리(디지털),  11,000원","24:10,  기묘한 가족(디지털),  9,000원",,08관,2019-02-16,85
"09:40,  증인(디지털),  7,000원","12:15,  증인(디지털),  11,000원","14:50,  증인(디지털),  11,000원","17:30,  증인(디지털),  11,000원","20:05,  증인(디지털),  11,000원","22:40,  증인(디지털),  11,000원",,,,01관,2019-02-17,206
"10:30,  극한직업(디지털),  7,000원","12:45,  극한직업(디지털),  11,000원","15:00,  극한직업(디지털),  11,000원","17:15,  극한직업(디지털),  11,000원","19:30,  극한직업(디지털),  11,000원","22:00,  극한직업(디지털),  11,000원",,,,02관,2019-02-17,246
"09:10,  극한직업(디지털),  7,000원","11:30,  극한직업(디지털),  11,000원","13:45,  극한직업(디지털),  11,000원","16:05,  극한직업(디지털),  11,000원","18:25,  극한직업(디지털),  11,000원","20:40,  극한직업(디지털),  11,000원","23:20,  극한직업(디지털),  11,000원",,,03관,2019-02-17,251
"09:30,  명탐정 코난:전율의 악보(디지털),  7,000원","11:55,  메리 포핀스 리턴즈(디지털),  8,000원","14:35,  메리 포핀스 리턴즈(디지털),  11,000원","17:10,  명탐정 코난:전율의 악보(디지털),  10,000원","19:45,  메리 포핀스 리턴즈(디지털),  11,000원","22:25,  메리 포핀스 리턴즈(디지털),  8,000원",,,,04관,2019-02-17,125
"09:15,  알리타: 배틀 엔젤(디지털),  7,000원","11:40,  명탐정 코난:전율의 악보(디지털),  11,000원","14:05,  알리타: 배틀 엔젤(디지털),  11,000원","16:30,  알리타: 배틀 엔젤(디지털),  11,000원","19:00,  알리타: 배틀 엔젤(디지털),  11,000원","21:30,  알리타: 배틀 엔젤(디지털),  11,000원",,,,05관,2019-02-17,134
"08:55,  드래곤 길들이기 3(디지털더빙),  6,000원","11:00,  해피 데스데이 2 유(디지털),  7,000원","13:10,  드래곤 길들이기 3(디지털더빙),  11,000원","15:15,  해피 데스데이 2 유(디지털),  11,000원","17:20,  해피 데스데이 2 유(디지털),  11,000원","19:30,  해피 데스데이 2 유(디지털),  11,000원","21:35,  해피 데스데이 2 유(디지털),  11,000원","23:40,  해피 데스데이 2 유(디지털),  11,000원",,06관,2019-02-17,164
"09:05,  신밧드와 마법 양탄자(디지털더빙),  7,000원","10:50,  드래곤 길들이기 3(디지털더빙),  7,000원","13:00,  명탐정 코난:전율의 악보(디지털),  11,000원","15:30,  증인(디지털),  11,000원","18:00,  드래곤 길들이기 3(디지털),  11,000원","20:10,  뺑반(디지털),  11,000원","23:00,  뺑반(디지털),  11,000원",,,07관,2019-02-17,89
