1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
"09:00,  아쿠아맨(디지털),  6,000원","11:50,  아쿠아맨(디지털),  9,000원","14:40,  아쿠아맨(디지털),  10,000원","17:30,  아쿠아맨(디지털),  10,000원","20:20,  아쿠아맨(디지털),  10,000원","23:05,  아쿠아맨(디지털),  10,000원",,,,03관,2019-01-03,251
"10:10,  언니(디지털),  6,000원","12:10,  언니(디지털),  9,000원","14:10,  언니(디지털),  10,000원","16:10,  언니(디지털),  10,000원","18:10,  언니(디지털),  10,000원","20:10,  언니(디지털),  10,000원","22:10,  언니(디지털),  10,000원",,,04관,2019-01-03,125
"09:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","11:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","14:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","19:00,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:15,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","23:30,  보헤미안 랩소디(디지털),  9,000원",,,05관,2019-01-03,134
"10:40,  PMC: 더 벙커(디지털),  6,000원","13:20,  보헤미안 랩소디(디지털),  10,000원","16:00,  PMC: 더 벙커(디지털),  10,000원","18:30,  범블비(디지털),  10,000원","21:00,  아쿠아맨(디지털),  10,000원","23:45,  PMC: 더 벙커(디지털),  10,000원",,,,06관,2019-01-03,164
"10:20,  마약왕(디지털),  6,000원","13:05,  범블비(디지털),  10,000원","15:25,  스윙키즈(디지털),  10,000원","18:05,  스윙키즈(디지털),  10,000원","20:45,  범블비(디지털),  10,000원","23:10,  스윙키즈(디지털),  10,000원",,,,07관,2019-01-03,89
"09:00,  언니(디지털),  6,000원","11:00,  그린치(디지털더빙),  6,000원","12:55,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  10,000원","15:00,  보헤미안 랩소디(디지털),  10,000원","17:45,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","20:10,  보헤미안 랩소디(디지털),  10,000원","22:50,  마약왕(디지털),  10,000원",,,08관,2019-01-03,85
"10:20,  아쿠아맨(디지털),  7,000원","13:10,  아쿠아맨(디지털),  11,000원","16:15,  아쿠아맨(디지털),  11,000원","19:05,  아쿠아맨(디지털),  11,000원","21:55,  아쿠아맨(디지털),  11,000원",,,,,01관,2019-01-04,206
"09:30,  PMC: 더 벙커(디지털)","12:00,  PMC: 더 벙커(디지털),  5,000원","14:30,  PMC: 더 벙커(디지털),  11,000원","17:00,  PMC: 더 벙커(디지털),  11,000원","19:30,  PMC: 더 벙커(디지털),  11,000원","22:20,  PMC: 더 벙커(디지털),  11,000원",,,,02관,2019-01-04,246
"09:00,  아쿠아맨(디지털),  7,000원","11:50,  아쿠아맨(디지털),  11,000원","14:40,  아쿠아맨(디지털),  11,000원","17:30,  아쿠아맨(디지털),  11,000원","20:20,  아쿠아맨(디지털),  11,000원","23:05,  아쿠아맨(디지털),  11,000원",,,,03관,2019-01-04,251
"10:10,  언니(디지털),  7,000원","12:10,  언니(디지털),  11,000원","14:10,  언니(디지털),  11,000원","16:10,  언니(디지털),  11,000원","18:10,  언니(디지털),  11,000원","20:10,  언니(디지털),  11,000원","22:10,  언니(디지털),  11,000원","24:10,  아쿠아맨(디지털),  9,000원",,04관,2019-01-04,125
