상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2016-06-24,01관,"08:20,  아가씨(디지털),  7,000원","11:10,  특별수사: 사형수의 편지(디지털),  10,000원","13:35,  아가씨(디지털),  11,000원","16:25,  특별수사: 사형수의 편지(디지털),  11,000원","18:50,  곡성(디지털),  11,000원","21:50,  곡성(디지털),  11,000원",,,,,,,102
2016-06-24,02관,"09:30,  비밀은 없다(디지털),  7,000원","11:40,  곡성(디지털),  10,000원","14:40,  정글북(디지털더빙),  11,000원","16:50,  컨저링 2(디지털),  11,000원","19:25,  비밀은 없다(디지털),  11,000원","21:35,  컨저링 2(디지털),  11,000원","24:10,  비밀은 없다(디지털),  9,000원",,,,,,99
2016-06-24,03관,"08:20,  컨저링 2(디지털),  0원","10:55,  크리미널(디지털),  8,000원","13:10,  컨저링 2(디지털),  11,000원","15:50,  비밀은 없다(디지털),  8,500원","18:00,  크리미널(디지털),  11,000원","20:15,  크리미널(디지털),  11,000원","22:30,  크리미널(디지털),  11,000원",,,,,,102
2016-06-24,04관,"08:00,  인디펜던스 데이 : 리써전스(디지털)","10:25,  정글북(디지털),  10,000원","12:35,  인디펜던스 데이 : 리써전스(디지털),  10,000원","15:00,  인디펜던스 데이 : 리써전스(디지털),  11,000원","17:30,  인디펜던스 데이 : 리써전스(디지털),  11,000원","20:00,  인디펜던스 데이 : 리써전스(디지털),  11,000원","22:25,  인디펜던스 데이 : 리써전스(디지털),  11,000원",,,,,,99
2016-06-24,05관,"09:20,  인디펜던스 데이 : 리써전스(디지털),  7,000원","11:45,  인디펜던스 데이 : 리써전스(디지털),  10,000원","14:10,  인디펜던스 데이 : 리써전스(디지털),  11,000원","16:35,  인디펜던스 데이 : 리써전스(디지털),  11,000원","19:00,  인디펜던스 데이 : 리써전스(디지털),  11,000원","21:25,  인디펜던스 데이 : 리써전스(디지털),  11,000원","23:50,  인디펜던스 데이 : 리써전스(디지털),  9,000원",,,,,,232
2016-06-25,01관,"09:00,  곡성(디지털),  7,000원","12:00,  크리미널(디지털),  10,000원","14:20,  정글북(디지털더빙),  11,000원","16:30,  곡성(디지털),  11,000원","19:30,  특별수사: 사형수의 편지(디지털),  11,000원","21:55,  비밀은 없다(디지털),  11,000원","24:05,  크리미널(디지털),  9,000원",,,,,,102
2016-06-25,02관,"08:30,  아가씨(디지털),  7,000원","11:20,  비밀은 없다(디지털),  10,000원","13:30,  특별수사: 사형수의 편지(디지털),  11,000원","15:55,  인디펜던스 데이 : 리써전스(디지털),  11,000원","18:20,  곡성(디지털),  11,000원","21:20,  아가씨(디지털),  11,000원","24:10,  아가씨(디지털),  9,000원",,,,,,99
2016-06-25,03관,"09:10,  정글북(디지털),  7,000원","11:20,  정글북(디지털),  10,000원","13:30,  정글북(디지털),  11,000원","15:40,  정글북(디지털),  11,000원","17:50,  컨저링 2(디지털),  11,000원","20:25,  컨저링 2(디지털),  11,000원","23:00,  컨저링 2(디지털),  9,000원",,,,,,102
2016-06-25,04관,"08:00,  인디펜던스 데이 : 리써전스(디지털),  7,000원","10:25,  인디펜던스 데이 : 리써전스(디지털),  7,000원","12:50,  인디펜던스 데이 : 리써전스(디지털),  10,000원","15:15,  인디펜던스 데이 : 리써전스(디지털),  11,000원","17:40,  인디펜던스 데이 : 리써전스(디지털),  9,000원","20:05,  인디펜던스 데이 : 리써전스(디지털),  11,000원","22:30,  인디펜던스 데이 : 리써전스(디지털),  11,000원",,,,,,99
2016-06-25,05관,"09:20,  인디펜던스 데이 : 리써전스(디지털),  7,000원","11:45,  인디펜던스 데이 : 리써전스(디지털),  8,000원","14:10,  인디펜던스 데이 : 리써전스(디지털),  11,000원","16:35,  인디펜던스 데이 : 리써전스(디지털),  11,000원","19:00,  인디펜던스 데이 : 리써전스(디지털),  11,000원","21:25,  인디펜던스 데이 : 리써전스(디지털),  11,000원","23:50,  인디펜던스 데이 : 리써전스(디지털),  9,000원",,,,,,232
2016-06-26,01관,"09:00,  곡성(디지털),  7,000원","12:00,  크리미널(디지털),  10,000원","14:20,  정글북(디지털더빙),  11,000원","16:30,  곡성(디지털),  11,000원","19:30,  특별수사: 사형수의 편지(디지털),  11,000원","21:55,  비밀은 없다(디지털),  11,000원","24:05,  크리미널(디지털),  9,000원",,,,,,102
