상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2017-04-26,02관,"09:40,  슈퍼 버드(디지털더빙)","13:50,  특별시민(디지털),  5,000원","16:20,  특별시민(디지털),  5,000원","18:50,  특별시민(디지털),  5,000원","21:20,  특별시민(디지털),  5,000원",,47
2017-04-27,01관,"10:00,  임금님의 사건수첩(디지털),  5,000원","12:20,  임금님의 사건수첩(디지털),  5,000원","14:40,  임금님의 사건수첩(디지털),  5,000원","17:00,  임금님의 사건수첩(디지털)","19:20,  임금님의 사건수첩(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",52
2017-04-27,02관,"09:40,  슈퍼 버드(디지털더빙)","13:50,  특별시민(디지털),  5,000원","16:20,  특별시민(디지털),  5,000원","18:50,  특별시민(디지털),  5,000원","21:20,  특별시민(디지털),  5,000원",,47
2017-04-28,01관,"10:00,  임금님의 사건수첩(디지털)","12:20,  임금님의 사건수첩(디지털),  5,000원","14:40,  임금님의 사건수첩(디지털),  5,000원","17:00,  임금님의 사건수첩(디지털),  5,000원","19:20,  임금님의 사건수첩(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",52
2017-04-28,02관,"09:40,  슈퍼 버드(디지털더빙),  5,000원","13:50,  특별시민(디지털),  5,000원","16:20,  특별시민(디지털),  5,000원","18:50,  특별시민(디지털),  5,000원","21:20,  특별시민(디지털),  5,000원",,47
2017-04-29,01관,"10:00,  임금님의 사건수첩(디지털),  5,000원","12:20,  임금님의 사건수첩(디지털),  5,000원","14:40,  임금님의 사건수첩(디지털),  5,000원","17:00,  임금님의 사건수첩(디지털),  5,000원","19:20,  임금님의 사건수첩(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",52
2017-04-29,02관,"09:40,  슈퍼 버드(디지털더빙),  5,000원","13:50,  특별시민(디지털),  5,000원","16:20,  특별시민(디지털),  5,000원","18:50,  특별시민(디지털),  5,000원","21:20,  특별시민(디지털),  5,000원",,47
2017-04-30,01관,"10:00,  임금님의 사건수첩(디지털),  5,000원","12:20,  임금님의 사건수첩(디지털),  5,000원","14:40,  임금님의 사건수첩(디지털),  5,000원","17:00,  임금님의 사건수첩(디지털),  5,000원","19:20,  임금님의 사건수첩(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",52
2017-04-30,02관,"09:40,  슈퍼 버드(디지털더빙),  5,000원","13:50,  특별시민(디지털),  5,000원","16:20,  특별시민(디지털),  5,000원","18:50,  특별시민(디지털),  5,000원","21:20,  특별시민(디지털),  5,000원",,47
2017-05-01,01관,"10:00,  임금님의 사건수첩(디지털),  5,000원","12:20,  임금님의 사건수첩(디지털),  5,000원","14:40,  임금님의 사건수첩(디지털),  5,000원","17:00,  임금님의 사건수첩(디지털),  5,000원","19:20,  임금님의 사건수첩(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",52
