상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2015-08-12,01관,"18:00,  킹콩(필름)",,,,,,,,,,,,,,47
2015-08-12,02관,"18:00,  킹콩(필름)",,,,,,,,,,,,,,99
2015-08-13,01관,"10:00,  연평해전(디지털)","15:00,  연평해전(디지털),  5,000원","18:00,  연평해전(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원","23:30,  미니언즈(디지털더빙),  5,000원",,,,,,,,,,47
2015-08-13,02관,"10:00,  미니언즈(디지털더빙)","15:00,  암살(디지털),  5,000원","18:00,  암살(디지털),  5,000원","21:00,  암살(디지털),  5,000원","23:30,  미니언즈(디지털더빙),  5,000원",,,,,,,,,,99
2015-08-14,01관,"10:00,  암살(디지털),  5,000원","12:55,  연평해전(디지털),  5,000원","15:45,  미니언즈(디지털더빙),  5,000원","18:10,  암살(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,47
2015-08-14,02관,"10:30,  미니언즈(3D 더빙),  8,000원","12:40,  베테랑(디지털),  5,000원","15:20,  암살(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  암살(디지털),  5,000원",,,,,,,,,,99
2015-08-15,01관,"10:00,  암살(디지털),  5,000원","12:55,  연평해전(디지털),  5,000원","15:45,  미니언즈(디지털더빙),  5,000원","18:10,  암살(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,47
2015-08-15,02관,"10:30,  미니언즈(3D 더빙),  8,000원","12:40,  베테랑(디지털),  5,000원","15:20,  암살(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  암살(디지털),  5,000원",,,,,,,,,,99
2015-08-16,01관,"10:00,  암살(디지털),  5,000원","12:55,  연평해전(디지털),  5,000원","15:45,  미니언즈(디지털더빙),  5,000원","18:10,  암살(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,47
2015-08-16,02관,"10:30,  미니언즈(3D 더빙),  8,000원","12:40,  베테랑(디지털),  5,000원","15:20,  암살(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  암살(디지털),  5,000원",,,,,,,,,,99
2015-08-17,01관,"10:00,  암살(디지털),  5,000원","12:55,  연평해전(디지털),  5,000원","15:45,  미니언즈(디지털더빙),  5,000원","18:10,  암살(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,47
2015-08-17,02관,"10:30,  미니언즈(3D 더빙),  8,000원","12:40,  베테랑(디지털),  5,000원","15:20,  암살(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  암살(디지털),  5,000원",,,,,,,,,,99
2015-08-18,01관,"10:00,  암살(디지털),  5,000원","12:55,  연평해전(디지털),  5,000원","15:45,  미니언즈(디지털더빙),  5,000원","18:10,  암살(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,47
2015-08-18,02관,"10:30,  미니언즈(3D 더빙),  8,000원","12:40,  베테랑(디지털),  5,000원","15:20,  암살(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  암살(디지털),  5,000원",,,,,,,,,,99
2015-08-19,01관,"10:00,  암살(디지털),  5,000원","12:55,  연평해전(디지털),  5,000원","15:45,  미니언즈(디지털더빙),  5,000원","18:10,  암살(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,47
2015-08-19,02관,"10:30,  미니언즈(3D 더빙),  8,000원","12:40,  베테랑(디지털),  5,000원","15:20,  암살(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  암살(디지털),  5,000원",,,,,,,,,,99
2015-08-20,01관,"11:00,  협녀, 칼의 기억(디지털),  5,000원","13:25,  미쓰 와이프(디지털),  5,000원","16:00,  뷰티 인사이드(디지털),  5,000원","18:30,  협녀, 칼의 기억(디지털),  5,000원",,,,,,,,,,,47
2015-08-20,02관,"11:00,  미니언즈(디지털더빙),  5,000원","13:00,  베테랑(디지털),  5,000원","15:30,  암살(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원",,,,,,,,,,,99
2015-08-21,01관,"11:00,  협녀, 칼의 기억(디지털),  5,000원","13:25,  뷰티 인사이드(디지털),  5,000원","16:00,  미쓰 와이프(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:00,  협녀, 칼의 기억(디지털),  5,000원",,,,,,,,,,47
2015-08-21,02관,"11:00,  미니언즈(디지털더빙),  5,000원","12:55,  암살(디지털),  5,000원","15:40,  베테랑(디지털),  5,000원","18:10,  암살(디지털),  5,000원","20:55,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,99
2015-08-22,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  미쓰 와이프(디지털),  5,000원","15:10,  뷰티 인사이드(디지털),  5,000원","18:00,  협녀, 칼의 기억(디지털),  5,000원","20:30,  뷰티 인사이드(디지털),  5,000원",,,,,,,,,,47
2015-08-22,02관,"10:30,  미니언즈(디지털더빙),  5,000원","12:40,  베테랑(디지털),  5,000원","15:20,  암살(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,99
2015-08-23,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  뷰티 인사이드(디지털),  5,000원","15:10,  미쓰 와이프(디지털),  5,000원","17:40,  뷰티 인사이드(디지털),  5,000원","20:20,  협녀, 칼의 기억(디지털),  5,000원",,,,,,,,,,47
2015-08-23,02관,"10:30,  미니언즈(디지털더빙),  5,000원","12:40,  암살(디지털),  5,000원","15:30,  베테랑(디지털),  5,000원","18:00,  암살(디지털),  5,000원","20:50,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,99
2015-08-24,01관,"11:00,  협녀, 칼의 기억(디지털),  5,000원","13:30,  뷰티 인사이드(디지털),  5,000원","16:00,  미쓰 와이프(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:00,  협녀, 칼의 기억(디지털),  5,000원",,,,,,,,,,47
2015-08-24,02관,"11:00,  미니언즈(디지털더빙),  5,000원","13:00,  베테랑(디지털),  5,000원","15:30,  암살(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","20:50,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,99
2015-08-25,01관,"11:00,  협녀, 칼의 기억(디지털),  5,000원","13:30,  미쓰 와이프(디지털),  5,000원","16:00,  뷰티 인사이드(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:00,  협녀, 칼의 기억(디지털),  5,000원",,,,,,,,,,47
2015-08-25,02관,"11:00,  미니언즈(디지털더빙),  5,000원","13:00,  암살(디지털),  5,000원","15:40,  베테랑(디지털),  5,000원","18:10,  암살(디지털),  5,000원","20:50,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,99
2015-08-26,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  베테랑(디지털),  5,000원","15:30,  미쓰 와이프(디지털),  5,000원","18:20,  암살(디지털),  5,000원","21:10,  뷰티 인사이드(디지털),  5,000원",,,,,,,,,,47
2015-08-26,02관,"10:00,  미니언즈(디지털더빙),  5,000원","12:30,  미쓰 와이프(디지털),  5,000원","15:30,  뷰티 인사이드(디지털),  5,000원","18:30,  베테랑(디지털),  5,000원","21:10,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-08-27,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  암살(디지털),  5,000원","15:30,  미쓰 와이프(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  뷰티 인사이드(디지털),  5,000원",,,,,,,,,,47
2015-08-27,02관,"10:00,  미니언즈(디지털더빙)","12:00,  베테랑(디지털),  5,000원","15:00,  뷰티 인사이드(디지털),  5,000원","18:30,  치외법권(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-08-28,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  암살(디지털),  5,000원","15:30,  미쓰 와이프(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  뷰티 인사이드(디지털),  5,000원",,,,,,,,,,47
2015-08-28,02관,"10:00,  미니언즈(디지털더빙),  5,000원","12:00,  베테랑(디지털),  5,000원","15:00,  뷰티 인사이드(디지털),  5,000원","18:30,  치외법권(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-08-29,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  암살(디지털),  5,000원","15:30,  미쓰 와이프(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  뷰티 인사이드(디지털),  5,000원",,,,,,,,,,47
2015-08-29,02관,"10:00,  미니언즈(디지털더빙),  5,000원","12:00,  베테랑(디지털),  5,000원","15:00,  뷰티 인사이드(디지털),  5,000원","18:30,  치외법권(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-08-30,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  암살(디지털),  5,000원","15:30,  미쓰 와이프(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  뷰티 인사이드(디지털),  5,000원",,,,,,,,,,47
2015-08-30,02관,"10:00,  미니언즈(디지털더빙),  5,000원","12:00,  베테랑(디지털),  5,000원","15:00,  뷰티 인사이드(디지털),  5,000원","18:30,  치외법권(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-08-31,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  암살(디지털),  5,000원","15:30,  미쓰 와이프(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  뷰티 인사이드(디지털),  5,000원",,,,,,,,,,47
2015-08-31,02관,"10:00,  미니언즈(디지털더빙),  5,000원","12:00,  베테랑(디지털),  5,000원","15:00,  뷰티 인사이드(디지털),  5,000원","18:30,  치외법권(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-09-01,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  암살(디지털),  5,000원","15:30,  미쓰 와이프(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  뷰티 인사이드(디지털),  5,000원",,,,,,,,,,47
2015-09-01,02관,"10:00,  미니언즈(디지털더빙),  5,000원","12:00,  베테랑(디지털),  5,000원","15:00,  뷰티 인사이드(디지털),  5,000원","18:30,  치외법권(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-09-02,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  암살(디지털),  5,000원","15:30,  미쓰 와이프(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  뷰티 인사이드(디지털),  5,000원",,,,,,,,,,47
2015-09-02,02관,"10:00,  미니언즈(디지털더빙),  5,000원","12:00,  베테랑(디지털),  5,000원","15:00,  뷰티 인사이드(디지털),  5,000원","18:30,  치외법권(디지털),  5,000원","21:00,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-09-03,01관,"10:00,  협녀, 칼의 기억(디지털)","12:30,  성실한 나라의 앨리스(디지털)","15:00,  암살(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:00,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,47
2015-09-03,02관,"10:00,  앤트맨(디지털),  5,000원","12:30,  암살교실(디지털)","15:30,  치외법권(디지털),  5,000원","18:20,  앤트맨(디지털),  5,000원","21:10,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-09-04,01관,"10:00,  협녀, 칼의 기억(디지털)","12:30,  성실한 나라의 앨리스(디지털),  5,000원","15:00,  암살(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:00,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,47
2015-09-04,02관,"10:00,  앤트맨(디지털),  5,000원","12:30,  암살교실(디지털)","15:30,  치외법권(디지털),  5,000원","18:20,  앤트맨(디지털),  5,000원","21:10,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-09-05,01관,"10:00,  협녀, 칼의 기억(디지털)","13:00,  성실한 나라의 앨리스(디지털),  5,000원","15:20,  암살교실(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:00,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,47
2015-09-05,02관,"10:00,  앤트맨(디지털),  5,000원","12:30,  암살(디지털),  5,000원","15:40,  베테랑(디지털),  5,000원","18:20,  앤트맨(3D 디지털),  8,000원","21:10,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-09-06,01관,"10:00,  협녀, 칼의 기억(디지털)","13:00,  성실한 나라의 앨리스(디지털),  5,000원","15:20,  암살교실(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:00,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,47
2015-09-06,02관,"10:00,  앤트맨(3D 디지털),  8,000원","12:30,  암살(디지털),  5,000원","15:40,  베테랑(디지털),  5,000원","18:20,  앤트맨(3D 디지털),  8,000원","21:10,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-09-07,01관,"10:00,  협녀, 칼의 기억(디지털),  5,000원","12:30,  성실한 나라의 앨리스(디지털),  5,000원","15:00,  암살(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:00,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,47
2015-09-07,02관,"10:00,  앤트맨(3D 디지털),  8,000원","12:30,  암살교실(디지털)","15:30,  치외법권(디지털),  5,000원","18:20,  앤트맨(3D 디지털),  8,000원","21:10,  베테랑(디지털),  5,000원","23:30,  어느 하녀의 일기(디지털),  5,000원",,,,,,,,,99
2015-09-08,01관,"10:00,  협녀, 칼의 기억(디지털)","12:30,  성실한 나라의 앨리스(디지털),  5,000원","15:00,  암살(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:00,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,47
2015-09-08,02관,"10:00,  앤트맨(3D 디지털),  8,000원","12:30,  암살교실(디지털)","15:30,  치외법권(디지털),  5,000원","18:20,  앤트맨(3D 디지털),  8,000원","21:10,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-09-09,01관,,"13:00,  베테랑(디지털),  5,000원","15:30,  암살(디지털),  5,000원","18:30,  뷰티 인사이드(디지털),  5,000원","21:10,  미쓰 와이프(디지털),  5,000원",,,,,,,,,,47
2015-09-09,02관,,"13:20,  앤트맨(3D 디지털),  8,000원","15:50,  미쓰 와이프(디지털),  5,000원","18:40,  앤트맨(디지털),  5,000원","21:20,  베테랑(디지털),  5,000원",,,,,,,,,,99
2015-09-10,01관,"11:00,  돼지 같은 여자(디지털),  5,000원","13:30,  베테랑(디지털)","16:30,  슈퍼레이서 엔지(디지털)","18:20,  돼지 같은 여자(디지털)","21:00,  암살(디지털),  5,000원",,,,,,,,,,47
2015-09-10,02관,"10:00,  앤트맨(3D 디지털),  8,000원","12:30,  오피스(디지털),  5,000원","15:00,  베테랑(디지털),  5,000원","18:30,  오피스(디지털),  5,000원","21:10,  앤트맨(디지털),  5,000원",,,,,,,,,,99
2015-09-11,01관,"11:00,  암살(디지털),  5,000원","14:00,  돼지 같은 여자(디지털),  5,000원","16:30,  슈퍼레이서 엔지(디지털),  5,000원","18:20,  베테랑(디지털),  5,000원","21:00,  돼지 같은 여자(디지털),  5,000원",,,,,,,,,,47
2015-09-11,02관,"10:00,  베테랑(디지털),  5,000원","12:30,  오피스(디지털),  5,000원","15:00,  앤트맨(3D 디지털),  8,000원","18:30,  오피스(디지털),  5,000원","21:10,  앤트맨(디지털),  5,000원",,,,,,,,,,99
