상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-15,02관,"00:00,  제거자(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털)","18:15,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,,164
2015-01-16,01관,"10:20,  비긴 어게인(디지털)","16:40,  오늘의 연애(디지털),  7,000원","19:00,  오늘의 연애(디지털),  7,000원","21:10,  오늘의 연애(디지털),  7,000원",,,,,,,,106
2015-01-16,02관,"11:00,  유고와 라라 : 신비의 숲 어드벤처(디지털더빙)","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:15,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,,164
2015-01-17,01관,"10:20,  비긴 어게인(디지털),  3,000원","16:40,  오늘의 연애(디지털),  7,000원","19:00,  오늘의 연애(디지털),  5,000원","21:10,  오늘의 연애(디지털),  7,000원",,,,,,,,106
2015-01-17,02관,"01:00,  제거자(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:15,  님아, 그 강을 건너지 마오(디지털)",,,,,,,,,164
2015-01-18,01관,"10:20,  비긴 어게인(디지털)","16:40,  오늘의 연애(디지털),  7,000원","19:00,  오늘의 연애(디지털),  7,000원",,,,,,,,,106
2015-01-18,02관,"11:00,  유고와 라라 : 신비의 숲 어드벤처(디지털더빙)","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:15,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,,164
2015-01-19,01관,"10:00,  비긴 어게인(디지털)","16:20,  오늘의 연애(디지털),  7,000원","18:40,  오늘의 연애(디지털),  5,000원","21:00,  오늘의 연애(디지털),  7,000원",,,,,,,,106
2015-01-19,02관,"01:00,  제거자(디지털),  7,000원","15:50,  님아, 그 강을 건너지 마오(디지털)","17:35,  님아, 그 강을 건너지 마오(디지털)","19:20,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,164
2015-01-20,01관,"10:00,  비긴 어게인(디지털)","16:20,  오늘의 연애(디지털),  7,000원","18:40,  오늘의 연애(디지털),  7,000원","21:00,  오늘의 연애(디지털),  7,000원",,,,,,,,106
2015-01-20,02관,"00:10,  서바이벌 워(디지털),  7,000원","15:50,  님아, 그 강을 건너지 마오(디지털)","17:35,  님아, 그 강을 건너지 마오(디지털)","19:20,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,164
2015-01-21,01관,"10:00,  강남 1970(디지털)","17:00,  존 윅(디지털)","21:20,  존 윅(디지털)",,,,,,,,,106
2015-01-21,02관,"10:00,  빅 히어로(디지털더빙)","12:05,  빅 히어로(디지털더빙),  5,000원","21:15,  강남 1970(디지털),  7,000원",,,,,,,,,164
2015-01-22,01관,"01:20,  네이키드 걸(디지털),  7,000원","17:00,  존 윅(디지털),  7,000원","21:20,  존 윅(디지털),  7,000원",,,,,,,,,106
2015-01-22,02관,"01:10,  서바이벌 워(디지털),  7,000원","12:05,  빅 히어로(디지털더빙),  5,000원","21:15,  강남 1970(디지털),  7,000원",,,,,,,,,164
2015-01-23,01관,"03:00,  타임 패러독스(디지털)","17:00,  존 윅(디지털),  7,000원","21:00,  존 윅(디지털),  7,000원",,,,,,,,,106
2015-01-23,02관,"01:20,  첩혈남아 (디지털),  7,000원","12:05,  빅 히어로(디지털더빙)","21:15,  강남 1970(디지털),  7,000원",,,,,,,,,164
2015-01-24,01관,"03:10,  타임 패러독스(디지털),  7,000원","19:00,  오늘의 연애(디지털),  7,000원","12:40,  존 윅(디지털)","17:00,  존 윅(디지털)","21:20,  존 윅(디지털),  7,000원",,,,,,,106
2015-01-24,02관,"01:20,  서바이벌 워(디지털),  5,000원","12:05,  빅 히어로(디지털더빙),  7,000원","21:05,  강남 1970(디지털),  7,000원",,,,,,,,,164
2015-01-25,01관,"01:10,  타임 패러독스(디지털),  7,000원","19:00,  오늘의 연애(디지털),  7,000원","01:00,  어우동: 주인 없는 꽃(디지털)","17:00,  존 윅(디지털),  7,000원","21:20,  존 윅(디지털),  7,000원",,,,,,,106
2015-01-25,02관,"01:00,  익스트림 터미네이터(디지털),  7,000원","12:05,  빅 히어로(디지털더빙),  5,000원","01:00,  어우동: 주인 없는 꽃(디지털)",,,,,,,,,164
2015-01-26,01관,"01:10,  타임 패러독스(디지털),  7,000원","01:00,  존 윅(디지털),  7,000원","01:00,  어우동: 주인 없는 꽃(디지털),  3,000원","17:00,  존 윅(디지털),  7,000원","21:20,  존 윅(디지털)",,,,,,,106
