상영일자,상영관,1회,2회,좌석수
2017-12-16,01관,"23:50,  무서운 꿈(디지털),  20,000원",,200
2017-12-16,02관,"00:10,  안티갱 스쿼드(디지털),  20,000원",,200
2017-12-17,01관,"23:50,  무서운 꿈(디지털),  20,000원",,200
2017-12-17,02관,"00:10,  안티갱 스쿼드(디지털),  20,000원",,200
2017-12-18,01관,"23:50,  무서운 꿈(디지털),  20,000원",,200
2017-12-18,02관,"02:20,  로드 투 로마(디지털),  20,000원",,200
2017-12-19,01관,"23:50,  무서운 꿈(디지털),  20,000원",,200
2017-12-19,02관,"02:20,  로드 투 로마(디지털),  20,000원",,200
2017-12-20,01관,"23:50,  무서운 꿈(디지털),  20,000원",,200
2017-12-20,02관,"02:20,  로드 투 로마(디지털),  20,000원",,200
2017-12-21,01관,"23:50,  무서운 꿈(디지털),  20,000원",,200
2017-12-21,02관,"00:30,  엄마친구들(디지털),  20,000원",,200
2017-12-28,02관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,200
2017-12-29,02관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,200
2017-12-30,02관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,200
2017-12-31,02관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,200
2018-01-01,02관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,200
2018-01-02,02관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,200
2018-01-03,02관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,200
2018-01-04,02관,"00:30,  엄마친구 4(디지털),  20,000원",,200
2018-01-05,02관,"19:10,  쥬만지: 새로운 세계(디지털)",,200
2018-01-06,02관,"19:10,  쥬만지: 새로운 세계(디지털)",,200
2018-01-07,02관,"19:10,  쥬만지: 새로운 세계(디지털)",,200
2018-01-10,02관,"01:00,  첫경험(디지털),  20,000원",,200
2018-01-11,02관,"01:00,  내 아내의 언니 2(디지털),  20,000원",,200
2018-01-15,02관,"00:30,  발칙한 동거(디지털),  20,000원",,200
2018-01-17,02관,"00:30,  동창생의 목적 - 감독판(디지털),  20,000원",,200
2018-01-18,02관,"00:40,  쾌락 도우미 무삭제(디지털),  20,000원",,200
2018-01-24,02관,"00:30,  전망 좋은 섹스-감독판(디지털),  20,000원",,200
2018-01-25,02관,"00:30,  정사 : 착한 며느리들(디지털),  20,000원",,200
2018-01-27,01관,"19:00,  그것만이 내 세상(디지털)","21:30,  그것만이 내 세상(디지털),  22,000원",200
2018-01-28,01관,"19:00,  그것만이 내 세상(디지털)",,200
2018-01-29,01관,"19:00,  그것만이 내 세상(디지털)",,200
2018-01-29,02관,"01:00,  엄마 애인(디지털),  20,000원",,200
2018-01-30,01관,"19:00,  그것만이 내 세상(디지털)",,200
2018-01-30,02관,"00:30,  리틀 뱀파이어(디지털더빙),  20,000원",,200
