상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-09-03,05관,"09:10,  극장판 위 베어 베어스: 곰 브라더스(디지털더빙),  7,000원","10:40,  슈퍼배드 3(디지털더빙),  10,000원","12:45,  빅풋 주니어(디지털더빙),  8,000원","14:50,  슈퍼배드 3(디지털더빙),  11,000원","16:55,  발레리안: 천 개 행성의 도시(디지털),  11,000원","19:50,  청년경찰(디지털),  11,000원","22:10,  아토믹 블론드(디지털),  11,000원","24:40,  로마의 휴일(디지털)",,,,,,,105
2017-09-03,06관,"09:30,  청년경찰(디지털),  7,000원","11:50,  청년경찰(디지털),  10,000원","14:10,  청년경찰(디지털),  11,000원","16:30,  청년경찰(디지털),  11,000원","18:50,  청년경찰(디지털),  11,000원","21:10,  청년경찰(디지털),  8,000원","23:30,  청년경찰(디지털),  9,000원",,,,,,,,117
2017-09-03,07관,"09:00,  아토믹 블론드(디지털),  7,000원","11:30,  발레리안: 천 개 행성의 도시(디지털),  10,000원",,"16:55,  택시운전사(디지털),  11,000원","19:45,  택시운전사(디지털),  11,000원","22:35,  택시운전사(디지털),  11,000원","14:25,  빅풋 주니어(디지털더빙),  8,000원",,,,,,,,97
2017-09-04,01관,"09:10,  브이아이피(디지털),  6,000원","11:50,  극장판 위 베어 베어스: 곰 브라더스(디지털더빙),  8,000원","13:20,  브이아이피(디지털),  7,500원","16:00,  브이아이피(디지털),  9,000원","18:40,  브이아이피(디지털),  9,000원","21:20,  브이아이피(디지털),  9,000원","24:00,  브이아이피(디지털),  0원",,,,,,,,107
2017-09-04,02관,"10:00,  택시운전사(디지털),  6,000원","12:50,  택시운전사(디지털),  8,000원","15:40,  택시운전사(디지털),  9,000원","18:30,  택시운전사(디지털),  5,000원","21:20,  택시운전사(디지털),  9,000원","24:10,  택시운전사(디지털)",,,,,,,,,302
2017-09-04,03관,"09:50,  발레리안: 천 개 행성의 도시(디지털),  6,000원","12:45,  발레리안: 천 개 행성의 도시(디지털),  6,000원","15:40,  발레리안: 천 개 행성의 도시(디지털),  9,000원","18:35,  발레리안: 천 개 행성의 도시(디지털),  9,000원","21:30,  발레리안: 천 개 행성의 도시(디지털),  9,000원","24:25,  발레리안: 천 개 행성의 도시(디지털),  8,000원",,,,,,,,,186
2017-09-04,04관,"08:50,  로마의 휴일(디지털),  6,000원","11:10,  청년경찰(디지털),  8,000원","13:30,  슈퍼오리 : 태양을 지켜라(디지털더빙)","15:30,  빅풋 주니어(디지털더빙)","17:35,  아토믹 블론드(디지털),  9,000원","20:05,  로마의 휴일(디지털)","22:25,  로마의 휴일(디지털)","24:45,  아토믹 블론드(디지털),  8,000원",,,,,,,87
2017-09-04,05관,"08:50,  택시운전사(디지털)","11:40,  택시운전사(디지털),  8,000원","14:30,  택시운전사(디지털),  6,000원","17:20,  택시운전사(디지털),  9,000원","20:10,  택시운전사(디지털),  9,000원","23:00,  택시운전사(디지털),  8,000원",,,,,,,,,105
2017-09-04,06관,"09:30,  청년경찰(디지털),  6,000원","11:50,  청년경찰(디지털),  8,000원","14:10,  청년경찰(디지털),  9,000원","16:30,  청년경찰(디지털),  6,000원","18:50,  청년경찰(디지털),  8,000원","21:10,  청년경찰(디지털),  9,000원","23:30,  청년경찰(디지털),  6,000원",,,,,,,,117
2017-09-04,07관,"09:10,  아토믹 블론드(디지털),  5,000원","11:40,  발레리안: 천 개 행성의 도시(디지털),  8,000원","14:35,  슈퍼배드 3(디지털더빙),  9,000원","16:55,  발레리안: 천 개 행성의 도시(디지털),  9,000원","19:50,  청년경찰(디지털),  8,000원","22:10,  발레리안: 천 개 행성의 도시(디지털),  9,000원","25:05,  청년경찰(디지털)",,,,,,,,97
2017-09-05,01관,"09:10,  브이아이피(디지털),  6,000원","11:50,  극장판 위 베어 베어스: 곰 브라더스(디지털더빙),  8,000원","13:20,  브이아이피(디지털),  9,000원","16:00,  브이아이피(디지털),  9,000원","18:40,  브이아이피(디지털),  9,000원","21:20,  브이아이피(디지털),  8,000원","24:00,  브이아이피(디지털),  8,000원",,,,,,,,107
2017-09-05,02관,"10:00,  택시운전사(디지털),  6,000원","12:50,  택시운전사(디지털),  8,000원","15:40,  택시운전사(디지털),  6,000원","18:30,  택시운전사(디지털),  9,000원","21:20,  택시운전사(디지털),  9,000원","24:10,  택시운전사(디지털),  6,000원",,,,,,,,,302
2017-09-05,03관,"09:50,  발레리안: 천 개 행성의 도시(디지털),  6,000원","12:45,  발레리안: 천 개 행성의 도시(디지털),  8,000원","15:40,  발레리안: 천 개 행성의 도시(디지털),  9,000원","18:35,  발레리안: 천 개 행성의 도시(디지털),  9,000원","21:30,  발레리안: 천 개 행성의 도시(디지털),  9,000원","24:25,  발레리안: 천 개 행성의 도시(디지털)",,,,,,,,,186
