상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2015-01-11,01관,"13:20,  아메리칸 셰프(디지털),  8,000원","15:30,  나의 사적인 여자친구(디지털),  8,000원","17:40,  아메리칸 셰프(디지털),  8,000원","19:50,  클라우즈 오브 실스마리아(디지털)",,,112
2015-01-11,02관,"14:00,  쿼바디스(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:30,  쿼바디스(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털)",,,136
2015-01-11,03관,"13:30,  무드 인디고(디지털),  8,000원","15:20,  마미(디지털),  8,000원","18:00,  꾸뻬씨의 행복여행(디지털),  8,000원","20:20,  내일을 위한 시간(디지털),  8,000원",,,98
2015-01-13,01관,"13:20,  아메리칸 셰프(디지털),  6,000원","15:30,  나의 사적인 여자친구(디지털),  6,000원","17:40,  아메리칸 셰프(디지털),  6,000원","19:50,  클라우즈 오브 실스마리아(디지털),  6,000원",,,112
2015-01-13,02관,"14:00,  쿼바디스(디지털),  6,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","18:30,  쿼바디스(디지털),  6,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  6,000원",,,136
2015-01-13,03관,"20:20,  내일을 위한 시간(디지털),  6,000원",,,,,,98
2015-01-14,01관,"13:20,  아메리칸 셰프(디지털),  6,000원","15:30,  나의 사적인 여자친구(디지털),  6,000원","17:40,  아메리칸 셰프(디지털),  6,000원","19:50,  클라우즈 오브 실스마리아(디지털),  6,000원",,,112
2015-01-14,02관,"14:00,  쿼바디스(디지털),  6,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","18:30,  쿼바디스(디지털),  6,000원","20:30,  님아, 그 강을 건너지 마오(디지털)",,,136
2015-01-14,03관,"13:30,  무드 인디고(디지털),  6,000원","15:20,  마미(디지털),  6,000원","18:00,  꾸뻬씨의 행복여행(디지털),  6,000원","20:20,  내일을 위한 시간(디지털),  6,000원",,,98
2015-01-15,01관,"13:40,  이별까지 7일(디지털),  6,000원","16:00,  클라우즈 오브 실스마리아(디지털),  6,000원","18:20,  내일을 위한 시간(디지털),  6,000원","20:10,  나의 사적인 여자친구(디지털),  6,000원",,,112
2015-01-15,02관,"14:00,  아메리칸 셰프(디지털),  6,000원","16:20,  설해(디지털),  6,000원","18:30,  쿼바디스(디지털),  6,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  6,000원",,,136
2015-01-15,03관,"13:20,  꾸뻬씨의 행복여행(디지털),  6,000원","15:40,  무드 인디고(디지털),  6,000원","17:40,  아이 킬드 마이 마더(디지털),  6,000원","19:40,  마미(디지털),  6,000원",,,98
2015-01-16,01관,"13:40,  이별까지 7일(디지털),  8,000원","16:00,  클라우즈 오브 실스마리아(디지털),  8,000원","18:20,  내일을 위한 시간(디지털),  8,000원","20:10,  나의 사적인 여자친구(디지털),  8,000원",,,112
2015-01-16,02관,"14:00,  아메리칸 셰프(디지털),  8,000원","16:20,  설해(디지털),  8,000원","18:30,  쿼바디스(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털)",,,136
2015-01-16,03관,"13:20,  꾸뻬씨의 행복여행(디지털),  8,000원","15:40,  무드 인디고(디지털),  8,000원","17:40,  아이 킬드 마이 마더(디지털),  8,000원","19:40,  마미(디지털),  8,000원",,,98
2015-01-17,01관,"13:40,  이별까지 7일(디지털),  8,000원","16:00,  클라우즈 오브 실스마리아(디지털),  8,000원","18:20,  내일을 위한 시간(디지털),  8,000원","20:10,  나의 사적인 여자친구(디지털),  8,000원",,,112
2015-01-17,02관,"16:00,  빅 아이즈(디지털),  8,000원","13:30,  아메리칸 셰프(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털)",,,,136
2015-01-17,03관,"13:20,  꾸뻬씨의 행복여행(디지털),  8,000원","15:40,  무드 인디고(디지털),  8,000원","17:40,  아이 킬드 마이 마더(디지털),  8,000원","19:40,  마미(디지털),  8,000원",,,98
2015-01-18,01관,"13:40,  이별까지 7일(디지털),  8,000원","16:00,  클라우즈 오브 실스마리아(디지털),  8,000원","18:20,  내일을 위한 시간(디지털),  8,000원","20:10,  나의 사적인 여자친구(디지털),  8,000원",,,112
2015-01-18,02관,"14:00,  아메리칸 셰프(디지털),  8,000원","16:20,  설해(디지털),  8,000원","18:30,  쿼바디스(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,136
2015-01-18,03관,"13:20,  꾸뻬씨의 행복여행(디지털),  8,000원","15:40,  무드 인디고(디지털),  8,000원","17:40,  아이 킬드 마이 마더(디지털),  8,000원","19:40,  마미(디지털),  8,000원",,,98
2015-01-20,01관,"13:40,  이별까지 7일(디지털),  6,000원","16:00,  클라우즈 오브 실스마리아(디지털),  6,000원","18:20,  내일을 위한 시간(디지털),  6,000원","20:10,  나의 사적인 여자친구(디지털),  6,000원",,,112
2015-01-20,02관,"14:00,  아메리칸 셰프(디지털),  6,000원","16:20,  설해(디지털),  6,000원","18:30,  쿼바디스(디지털),  6,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  6,000원",,,136
