상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-07-02,01관,"09:20,  트랜스포머: 최후의 기사(디지털),  7,000원","12:20,  트랜스포머: 최후의 기사(디지털),  10,000원","15:20,  트랜스포머: 최후의 기사(디지털),  11,000원","18:20,  트랜스포머: 최후의 기사(디지털),  11,000원","21:20,  트랜스포머: 최후의 기사(디지털),  11,000원","24:20,  트랜스포머: 최후의 기사(디지털)",,,,,,,,,143
2017-07-02,02관,"09:20,  리얼(디지털),  7,000원","12:05,  리얼(디지털),  10,000원","14:50,  리얼(디지털),  11,000원","17:35,  리얼(디지털),  11,000원","20:20,  리얼(디지털),  11,000원","23:05,  리얼(디지털),  7,000원",,,,,,,,,119
2017-07-02,03관,"10:10,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","11:40,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","13:10,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","14:40,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","16:10,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","17:35,  트랜스포머: 최후의 기사(디지털),  11,000원","20:35,  트랜스포머: 최후의 기사(디지털),  11,000원","23:35,  트랜스포머: 최후의 기사(디지털),  7,000원",,,,,,,119
2017-07-02,04관,"10:20,  박열(디지털),  7,000원","12:55,  박열(디지털),  10,000원","15:30,  박열(디지털),  11,000원","18:05,  박열(디지털),  11,000원","20:40,  박열(디지털),  11,000원","23:15,  박열(디지털),  7,000원",,,,,,,,,144
2017-07-02,05관,"09:30,  박열(디지털),  7,000원","12:05,  박열(디지털),  10,000원","14:40,  박열(디지털),  11,000원","17:15,  박열(디지털),  11,000원","19:50,  박열(디지털),  11,000원","22:35,  박열(디지털),  11,000원",,,,,,,,,119
2017-07-02,06관,"10:30,  리얼(디지털),  7,000원","13:15,  리얼(디지털),  9,000원","16:00,  리얼(디지털),  11,000원","18:45,  리얼(디지털),  5,000원","21:30,  리얼(디지털),  11,000원","24:15,  리얼(디지털),  7,000원",,,,,,,,,87
2017-07-02,07관,"10:20,  트랜스포머: 최후의 기사(디지털),  7,000원","13:25,  리얼(디지털)","16:15,  박열(디지털),  11,000원","18:55,  트랜스포머: 최후의 기사(디지털),  11,000원","22:00,  박열(디지털)",,,,,,,,,,40
2017-07-02,08관,"10:50,  트랜스포머: 최후의 기사(디지털),  7,000원","13:55,  트랜스포머: 최후의 기사(디지털),  11,000원","16:55,  트랜스포머: 최후의 기사(디지털),  11,000원","19:55,  트랜스포머: 최후의 기사(디지털),  11,000원","22:55,  트랜스포머: 최후의 기사(디지털),  11,000원",,,,,,,,,,308
2017-07-03,01관,"09:20,  트랜스포머: 최후의 기사(디지털),  6,000원","12:20,  트랜스포머: 최후의 기사(디지털),  6,000원","15:20,  트랜스포머: 최후의 기사(디지털),  9,000원","18:20,  트랜스포머: 최후의 기사(디지털),  9,000원","21:20,  트랜스포머: 최후의 기사(디지털),  9,000원","24:20,  트랜스포머: 최후의 기사(디지털)",,,,,,,,,143
2017-07-03,02관,"10:30,  리얼(디지털),  5,000원","13:15,  리얼(디지털),  9,000원","16:00,  리얼(디지털),  9,000원","18:45,  리얼(디지털),  9,000원","21:30,  리얼(디지털),  9,000원","24:15,  리얼(디지털)",,,,,,,,,119
2017-07-03,03관,"10:00,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙)","11:30,  트랜스포머: 최후의 기사(디지털),  7,000원","14:35,  트랜스포머: 최후의 기사(디지털)","17:40,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙)","19:10,  박열(디지털),  9,000원","21:55,  트랜스포머: 최후의 기사(디지털),  9,000원",,,,,,,,,119
2017-07-03,04관,"10:20,  박열(디지털),  6,000원","12:55,  박열(디지털),  7,000원","15:30,  박열(디지털),  9,000원","18:05,  박열(디지털),  9,000원","20:40,  박열(디지털),  9,000원","23:15,  박열(디지털),  6,000원",,,,,,,,,144
