상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2016-04-29,02관,"11:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원","14:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원","17:00,  위대한 소원(디지털),  7,000원","19:00,  시간이탈자(디지털),  7,000원","21:00,  위대한 소원(디지털),  8,000원","24:00,  엔조이닷컴(디지털)",,,,,,,,,31
2016-04-30,01관,"11:00,  위대한 소원(디지털)","13:00,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","15:40,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","18:20,  캡틴 아메리카: 시빌 워(디지털),  8,000원","21:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원",,,,,,,,,,77
2016-04-30,02관,"11:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원","14:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원","17:00,  위대한 소원(디지털),  8,000원","19:00,  시간이탈자(디지털),  7,000원","21:00,  위대한 소원(디지털)","24:00,  엔조이닷컴(디지털)",,,,,,,,,31
2016-05-01,01관,"11:00,  시간이탈자(디지털)","13:00,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","15:40,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","18:20,  캡틴 아메리카: 시빌 워(디지털),  8,000원","21:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원",,,,,,,,,,77
2016-05-01,02관,"12:00,  캡틴 아메리카: 시빌 워(디지털)","14:30,  캡틴 아메리카: 시빌 워(디지털),  8,000원","17:00,  위대한 소원(디지털)","19:00,  시간이탈자(디지털),  8,000원","21:00,  위대한 소원(디지털)",,,,,,,,,,31
2016-05-02,01관,"11:00,  시간이탈자(디지털)","13:00,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","15:40,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","18:20,  캡틴 아메리카: 시빌 워(디지털),  8,000원","21:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원",,,,,,,,,,77
2016-05-02,02관,"12:00,  캡틴 아메리카: 시빌 워(디지털)","14:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원","17:00,  위대한 소원(디지털)","19:00,  위대한 소원(디지털)","21:00,  위대한 소원(디지털)",,"25:00,  동정바친 가정교사(디지털),  8,000원","26:00,  유부녀 매춘 실제상황(디지털),  8,000원","27:00,  쾌감 에로수행(디지털),  8,000원",,,,,,31
2016-05-03,01관,"11:00,  위대한 소원(디지털),  7,000원","13:00,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","15:40,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","18:20,  캡틴 아메리카: 시빌 워(디지털),  8,000원","21:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원",,,,,,,,,,77
2016-05-03,02관,"11:00,  캡틴 아메리카: 시빌 워(디지털),  7,000원","14:00,  캡틴 아메리카: 시빌 워(디지털)","17:00,  위대한 소원(디지털)","19:00,  시간이탈자(디지털),  8,000원","21:00,  위대한 소원(디지털)","23:00,  엔조이닷컴(디지털)",,,,,,,,,31
2016-05-04,01관,"10:30,  캡틴 아메리카: 시빌 워(디지털)","13:00,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","15:40,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","18:20,  캡틴 아메리카: 시빌 워(디지털),  7,000원","21:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원","24:00,  엔조이닷컴(디지털)",,,,,,,,,77
2016-05-04,02관,"10:30,  극장판 안녕 자두야(디지털)","12:00,  극장판 안녕 자두야(디지털)","13:30,  탐정 홍길동: 사라진 마을(디지털)","16:00,  탐정 홍길동: 사라진 마을(디지털),  8,000원","18:30,  탐정 홍길동: 사라진 마을(디지털),  8,000원","21:00,  탐정 홍길동: 사라진 마을(디지털),  8,000원","24:00,  두꺼운 정력가와 유부녀(디지털),  8,000원","25:10,  미망인 하숙집의 환락(디지털),  8,000원","26:20,  섹스의존증의 여자(디지털),  8,000원","27:30,  타락한 부인 - 흥분만점(디지털),  8,000원","28:40,  현역 여대생의 실화(디지털),  8,000원",,,,31
2016-05-05,01관,"10:30,  캡틴 아메리카: 시빌 워(디지털),  8,000원","13:30,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","16:10,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","18:50,  캡틴 아메리카: 시빌 워(디지털),  8,000원","21:30,  캡틴 아메리카: 시빌 워(디지털),  8,000원","24:00,  엔조이닷컴(디지털)",,,,,,,,,77
2016-05-05,02관,"10:30,  극장판 안녕 자두야(디지털),  8,000원","12:00,  극장판 안녕 자두야(디지털),  8,000원","13:30,  극장판 안녕 자두야(디지털),  8,000원","16:00,  탐정 홍길동: 사라진 마을(디지털),  8,000원","18:30,  탐정 홍길동: 사라진 마을(디지털),  8,000원","21:00,  탐정 홍길동: 사라진 마을(디지털),  8,000원",,,,,,,,,31
2016-05-06,01관,"10:30,  캡틴 아메리카: 시빌 워(디지털),  8,000원","13:00,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","15:40,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","18:20,  캡틴 아메리카: 시빌 워(디지털),  8,000원","21:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원","24:00,  엔조이닷컴(디지털)",,,,,,,,,77
2016-05-06,02관,"10:30,  극장판 안녕 자두야(디지털),  7,000원","12:00,  극장판 안녕 자두야(디지털),  8,000원","13:30,  탐정 홍길동: 사라진 마을(디지털),  8,000원","16:00,  탐정 홍길동: 사라진 마을(디지털),  8,000원","18:30,  탐정 홍길동: 사라진 마을(디지털),  8,000원","21:00,  탐정 홍길동: 사라진 마을(디지털),  8,000원",,,,,,,,,31
2016-05-07,01관,"10:30,  캡틴 아메리카: 시빌 워(디지털),  7,000원","13:00,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","15:40,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","18:20,  캡틴 아메리카: 시빌 워(디지털),  8,000원","21:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원","24:00,  엔조이닷컴(디지털)",,,,,,,,,77
2016-05-07,02관,"10:30,  극장판 안녕 자두야(디지털),  8,000원","12:00,  극장판 안녕 자두야(디지털)","13:30,  탐정 홍길동: 사라진 마을(디지털),  8,000원","16:00,  탐정 홍길동: 사라진 마을(디지털),  8,000원","18:30,  탐정 홍길동: 사라진 마을(디지털),  8,000원","21:00,  탐정 홍길동: 사라진 마을(디지털),  8,000원",,,,,,,,,31
2016-05-08,01관,"10:30,  캡틴 아메리카: 시빌 워(디지털)","13:00,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","15:40,  캡틴 아메리카: 시빌 워(3D 디지털),  10,000원","18:20,  캡틴 아메리카: 시빌 워(디지털),  7,000원","21:00,  캡틴 아메리카: 시빌 워(디지털),  8,000원","24:00,  엔조이닷컴(디지털)",,,,,,,,,77
2016-05-08,02관,"10:30,  극장판 안녕 자두야(디지털)","12:00,  극장판 안녕 자두야(디지털),  8,000원","13:30,  탐정 홍길동: 사라진 마을(디지털),  8,000원","16:00,  탐정 홍길동: 사라진 마을(디지털),  8,000원","18:30,  탐정 홍길동: 사라진 마을(디지털),  8,000원","21:00,  탐정 홍길동: 사라진 마을(디지털)",,,,,,,,,31
