상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,16회,좌석수
2017-07-13,02관(Cine de Chef-TEMPUR Cinema),"09:50,  다크 나이트(디지털)","13:10,  스파이더맨: 홈 커밍(디지털)","16:20,  스파이더맨: 홈 커밍(디지털),  9,000원","19:30,  스파이더맨: 홈 커밍(디지털),  9,000원","22:30,  스파이더맨: 홈 커밍(디지털)",,,,,,,,,,,,50
2017-07-14,01관(Cine de Chef),"10:10,  스파이더맨: 홈 커밍(디지털)","13:10,  박열(디지털)","16:10,  다크 나이트(디지털)","19:30,  스파이더맨: 홈 커밍(디지털),  10,000원","22:40,  다크 나이트(디지털)",,,,,,,,,,,,64
2017-07-14,02관(Cine de Chef-TEMPUR Cinema),"09:50,  내 사랑(디지털),  10,000원","12:50,  스파이더맨: 홈 커밍(디지털)","15:50,  스파이더맨: 홈 커밍(디지털)","18:50,  다크 나이트(디지털),  10,000원","22:20,  스파이더맨: 홈 커밍(디지털),  10,000원",,,,,,,,,,,,50
2017-07-15,01관(Cine de Chef),"10:10,  내 사랑(디지털)","13:00,  스파이더맨: 홈 커밍(디지털),  10,000원","16:00,  박열(디지털),  10,000원","19:00,  다크 나이트(디지털),  10,000원","22:20,  다크 나이트(디지털)",,,,,,,,,,,,64
2017-07-15,02관(Cine de Chef-TEMPUR Cinema),"09:20,  스파이더맨: 홈 커밍(디지털)","12:30,  다크 나이트(디지털),  10,000원","16:10,  스파이더맨: 홈 커밍(디지털),  10,000원","19:30,  스파이더맨: 홈 커밍(디지털),  10,000원","22:40,  스파이더맨: 홈 커밍(디지털),  10,000원",,,,,,,,,,,,50
2017-07-16,01관(Cine de Chef),"10:10,  내 사랑(디지털)","13:00,  박열(디지털)","16:00,  스파이더맨: 홈 커밍(디지털),  10,000원","19:00,  다크 나이트(디지털)","22:20,  스파이더맨: 홈 커밍(디지털),  10,000원",,,,,,,,,,,,64
2017-07-16,02관(Cine de Chef-TEMPUR Cinema),"09:30,  스파이더맨: 홈 커밍(디지털),  10,000원","12:40,  스파이더맨: 홈 커밍(디지털),  10,000원","15:40,  다크 나이트(디지털),  10,000원","19:10,  스파이더맨: 홈 커밍(디지털),  10,000원","22:30,  다크 나이트(디지털)",,,,,,,,,,,,50
2017-07-17,01관(Cine de Chef),"10:00,  내가 죽기 전에 가장 듣고 싶은 말(디지털),  9,000원",,,"19:00,  다크 나이트(디지털)","22:20,  스파이더맨: 홈 커밍(디지털)",,,,,,,,,,,,64
2017-07-17,02관(Cine de Chef-TEMPUR Cinema),"09:20,  내 사랑(디지털),  9,000원",,,"18:30,  스파이더맨: 홈 커밍(디지털)","21:40,  다크 나이트(디지털),  9,000원",,,,,,,,,,,,50
2017-07-18,01관(Cine de Chef),,"12:40,  박열(디지털),  9,000원","15:40,  박열(디지털)","19:20,  다크 나이트(디지털)","22:40,  스파이더맨: 홈 커밍(디지털),  9,000원",,,,,,,,,,,,64
