상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2018-01-20,09관,"09:30,  페르디난드(디지털더빙),  6,000원","12:00,  페르디난드(디지털더빙),  9,000원","14:20,  그것만이 내 세상(디지털),  9,000원","16:50,  그것만이 내 세상(디지털),  9,000원","19:30,  그것만이 내 세상(디지털),  9,000원","22:00,  다운사이징(디지털),  9,000원",,,,,,,91
2018-01-20,10관,"08:40,  1987(디지털),  6,000원","11:20,  1987(디지털),  9,000원","14:00,  1987(디지털),  9,000원","16:40,  1987(디지털),  9,000원","19:20,  1987(디지털),  9,000원","22:00,  1987(디지털),  9,000원","24:50,  1987(디지털),  8,000원",,,,,,91
2018-01-21,03관,"09:10,  그것만이 내 세상(디지털),  6,000원","11:45,  그것만이 내 세상(디지털),  9,000원","14:25,  그것만이 내 세상(디지털),  9,000원","17:05,  그것만이 내 세상(디지털),  9,000원","19:40,  그것만이 내 세상(디지털),  9,000원","22:20,  그것만이 내 세상(디지털),  9,000원",,,,,,,140
2018-01-21,04관,"09:00,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:05,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:20,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:20,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,140
2018-01-21,05관,"10:00,  메이즈 러너: 데스 큐어(디지털),  6,000원","13:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","16:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","19:20,  메이즈 러너: 데스 큐어(디지털),  9,000원","22:25,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,146
2018-01-21,06관,"09:30,  코코(디지털더빙),  6,000원","12:15,  코코(디지털더빙),  9,000원","14:55,  코코(디지털더빙),  9,000원","17:40,  코코(디지털),  9,000원","20:20,  코코(디지털),  9,000원","23:00,  코코(디지털),  8,000원",,,,,,,146
2018-01-21,08관,"09:20,  페르디난드(디지털더빙),  6,000원",,"14:30,  다운사이징(디지털),  9,000원","17:20,  강철비(디지털),  9,000원","20:10,  쥬만지: 새로운 세계(디지털),  9,000원","22:40,  강철비(디지털),  9,000원",,,,,,,91
2018-01-21,09관,,"10:50,  다키스트 아워(디지털),  9,000원","13:35,  리틀 뱀파이어(디지털더빙),  9,000원","15:40,  다키스트 아워(디지털),  9,000원","18:20,  그것만이 내 세상(디지털),  9,000원","21:00,  그것만이 내 세상(디지털),  9,000원","23:35,  쥬만지: 새로운 세계(디지털),  8,000원",,,,,,91
2018-01-21,10관,"08:40,  1987(디지털),  6,000원","11:20,  1987(디지털),  9,000원","14:00,  1987(디지털),  9,000원","16:40,  1987(디지털),  9,000원","19:20,  1987(디지털),  9,000원","22:00,  1987(디지털),  9,000원","24:50,  1987(디지털),  8,000원",,,,,,91
2018-01-22,03관,"09:50,  메이즈 러너: 데스 큐어(디지털),  6,000원",,"15:45,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:45,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:45,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,140
2018-01-22,04관,"09:15,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","24:15,  메이즈 러너: 데스 큐어(디지털),  7,000원",,,,,,,140
2018-01-22,05관,,"11:05,  리틀 뱀파이어(디지털더빙),  7,000원","13:00,  쥬만지: 새로운 세계(디지털),  9,000원","15:40,  쥬만지: 새로운 세계(디지털),  9,000원","18:15,  그것만이 내 세상(디지털),  9,000원","20:50,  그것만이 내 세상(디지털),  9,000원","23:20,  그것만이 내 세상(디지털),  7,000원",,,,,,146
2018-01-22,06관,,"11:40,  그것만이 내 세상(디지털),  9,000원","14:15,  그것만이 내 세상(디지털),  9,000원","16:50,  그것만이 내 세상(디지털),  9,000원","19:25,  그것만이 내 세상(디지털),  9,000원","22:00,  그것만이 내 세상(디지털),  9,000원",,,,,,,146
2018-01-22,08관,,"12:00,  코코(디지털),  9,000원","14:45,  코코(디지털),  9,000원","17:30,  코코(디지털),  9,000원","20:15,  코코(디지털),  9,000원","23:00,  코코(디지털),  7,000원",,,,,,,91
2018-01-22,09관,"09:30,  1987(디지털),  6,000원","12:15,  1987(디지털),  9,000원","15:00,  1987(디지털),  9,000원","17:40,  1987(디지털),  9,000원","20:20,  1987(디지털),  9,000원","23:00,  1987(디지털),  7,000원",,,,,,,91
2018-01-22,10관,,,"15:10,  다운사이징(디지털),  9,000원",,,"23:45,  메이즈 러너: 데스 큐어(디지털),  7,000원",,,,,,,91
2018-01-23,03관,"09:50,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:45,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:45,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:45,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,,140
2018-01-23,04관,"09:15,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:15,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,140
2018-01-23,05관,,,"13:00,  쥬만지: 새로운 세계(디지털),  9,000원","15:40,  쥬만지: 새로운 세계(디지털),  9,000원","18:15,  그것만이 내 세상(디지털),  9,000원","20:50,  그것만이 내 세상(디지털),  9,000원","23:20,  다키스트 아워(디지털),  7,000원",,,,,,146
2018-01-23,06관,"09:00,  그것만이 내 세상(디지털),  6,000원","11:40,  그것만이 내 세상(디지털),  9,000원","14:15,  그것만이 내 세상(디지털),  9,000원","16:50,  그것만이 내 세상(디지털),  9,000원","19:25,  그것만이 내 세상(디지털),  9,000원","22:00,  그것만이 내 세상(디지털),  9,000원",,,,,,,146
2018-01-23,08관,"09:10,  코코(디지털더빙),  6,000원","12:00,  코코(디지털),  9,000원","14:45,  코코(디지털),  9,000원","17:30,  코코(디지털),  9,000원","20:15,  코코(디지털),  9,000원",,,,,,,,91
2018-01-23,09관,"09:30,  1987(디지털),  6,000원","12:15,  1987(디지털),  9,000원","15:00,  1987(디지털),  9,000원","17:40,  1987(디지털),  9,000원","20:20,  1987(디지털),  9,000원","23:00,  1987(디지털),  7,000원",,,,,,,91
2018-01-23,10관,"10:00,  페르디난드(디지털더빙),  6,000원",,"15:10,  다운사이징(디지털),  9,000원","18:10,  코코(디지털),  9,000원",,"23:45,  메이즈 러너: 데스 큐어(디지털),  7,000원",,,,,,,91
2018-01-24,03관,"09:50,  코코(디지털더빙)","12:40,  코코(디지털),  9,000원","15:25,  코코(디지털),  9,000원","18:10,  코코(디지털),  9,000원","20:55,  코코(디지털),  9,000원",,,,,,,,140
2018-01-24,04관,"10:10,  그것만이 내 세상(디지털),  6,000원","12:50,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:45,  코코(디지털),  9,000원","18:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:30,  그것만이 내 세상(디지털),  9,000원",,,,,,,,140
2018-01-24,05관,"09:10,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:05,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","24:10,  메이즈 러너: 데스 큐어(디지털),  7,000원",,,,,,,146
2018-01-24,06관,"09:00,  그것만이 내 세상(디지털),  6,000원","11:35,  그것만이 내 세상(디지털),  9,000원","14:10,  그것만이 내 세상(디지털),  9,000원","16:45,  그것만이 내 세상(디지털),  9,000원","19:20,  그것만이 내 세상(디지털),  9,000원","21:55,  그것만이 내 세상(디지털),  9,000원",,,,,,,146
2018-01-24,08관,"10:00,  1급기밀(디지털),  6,000원","12:15,  1급기밀(디지털),  9,000원","14:30,  1급기밀(디지털),  9,000원","16:45,  1급기밀(디지털),  9,000원","19:00,  1급기밀(디지털),  9,000원","21:15,  1급기밀(디지털),  9,000원",,,,,,,91
2018-01-24,09관,"09:40,  다키스트 아워(디지털),  6,000원","12:40,  비밥바룰라(디지털),  5,000원","14:50,  쥬만지: 새로운 세계(디지털),  9,000원","17:20,  비밥바룰라(디지털)","19:50,  쥬만지: 새로운 세계(디지털),  9,000원","22:20,  비밥바룰라(디지털)","24:30,  다키스트 아워(디지털)",,,,,,91
2018-01-24,10관,"09:30,  1987(디지털),  6,000원","12:15,  1987(디지털),  9,000원","15:00,  1987(디지털),  9,000원","17:40,  1987(디지털),  9,000원","20:20,  1987(디지털),  9,000원","23:00,  1987(디지털),  7,000원",,,,,,,91
2018-01-25,03관,"09:50,  코코(디지털더빙),  6,000원","12:40,  코코(디지털),  9,000원","15:25,  코코(디지털),  9,000원","18:10,  코코(디지털),  9,000원","20:55,  코코(디지털),  9,000원","23:40,  코코(디지털)",,,,,,,140
2018-01-25,04관,"09:20,  커뮤터(디지털)","11:35,  커뮤터(디지털),  9,000원","13:50,  커뮤터(디지털),  9,000원","16:05,  커뮤터(디지털),  9,000원","18:20,  커뮤터(디지털),  9,000원","20:35,  커뮤터(디지털),  9,000원","22:50,  커뮤터(디지털),  7,000원",,,,,,140
