상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2018-12-26,02관,"10:00,  마약왕(디지털),  6,000원","12:40,  그린치(디지털더빙)","14:30,  스윙키즈(디지털),  6,000원","17:10,  아쿠아맨(디지털),  6,000원","20:00,  마약왕(디지털),  6,000원",,,,,,,,47
2018-12-27,01관,"09:50,  그린치(디지털더빙)","11:40,  범블비(디지털),  6,000원","13:55,  PMC: 더 벙커(디지털),  6,000원","16:20,  스윙키즈(디지털),  6,000원","18:55,  범블비(디지털),  6,000원","21:10,  PMC: 더 벙커(디지털),  6,000원",,,,,,,77
2018-12-27,02관,"09:50,  마약왕(디지털),  6,000원","12:30,  아쿠아맨(디지털),  6,000원","15:15,  아쿠아맨(디지털),  6,000원","18:00,  스윙키즈(디지털),  6,000원","20:35,  마약왕(디지털),  6,000원",,,,,,,,47
2018-12-28,01관,"09:50,  PMC: 더 벙커(디지털),  6,000원","12:10,  범블비(디지털),  6,000원","14:20,  그린치(디지털더빙),  6,000원","16:10,  PMC: 더 벙커(디지털),  6,000원","18:30,  아쿠아맨(디지털),  6,000원","21:10,  범블비(디지털),  6,000원",,,,,,,77
2018-12-28,02관,"10:00,  아쿠아맨(디지털),  6,000원","12:40,  스윙키즈(디지털),  6,000원","15:10,  스윙키즈(디지털),  6,000원","17:50,  마약왕(디지털),  6,000원","20:30,  마약왕(디지털),  6,000원",,,,,,,,47
2018-12-29,01관,"09:20,  PMC: 더 벙커(디지털),  6,000원","11:40,  아쿠아맨(디지털),  6,000원","14:20,  범블비(디지털),  6,000원","16:35,  PMC: 더 벙커(디지털),  6,000원","19:00,  범블비(디지털),  6,000원","21:15,  아쿠아맨(디지털),  6,000원",,,,,,,77
2018-12-29,02관,"09:20,  그린치(디지털더빙),  6,000원","11:05,  그린치(디지털더빙),  6,000원","12:50,  스윙키즈(디지털),  6,000원","15:25,  스윙키즈(디지털),  6,000원","18:00,  마약왕(디지털),  6,000원","20:40,  마약왕(디지털),  6,000원",,,,,,,47
2018-12-30,01관,"09:20,  PMC: 더 벙커(디지털),  6,000원","11:40,  아쿠아맨(디지털),  6,000원","14:20,  범블비(디지털),  6,000원","16:35,  PMC: 더 벙커(디지털),  6,000원","19:00,  범블비(디지털),  6,000원","21:15,  아쿠아맨(디지털),  6,000원",,,,,,,77
2018-12-30,02관,"09:20,  그린치(디지털더빙),  6,000원","11:05,  그린치(디지털더빙),  6,000원","12:50,  스윙키즈(디지털),  6,000원","15:25,  스윙키즈(디지털),  6,000원","18:00,  마약왕(디지털),  6,000원","20:40,  마약왕(디지털),  6,000원",,,,,,,47
2018-12-31,01관,"10:10,  그린치(디지털더빙),  6,000원","12:00,  그린치(디지털더빙),  6,000원","13:50,  범블비(디지털),  6,000원","16:05,  범블비(디지털),  6,000원","18:20,  범블비(디지털),  6,000원","20:25,  마약왕(디지털),  6,000원",,,,,,,77
2018-12-31,02관,"10:00,  PMC: 더 벙커(디지털),  6,000원","12:25,  마약왕(디지털),  6,000원","15:05,  스윙키즈(디지털),  6,000원","17:40,  PMC: 더 벙커(디지털),  6,000원","20:05,  아쿠아맨(디지털),  6,000원",,,,,,,,47
