상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2018-10-29,02관,"10:30,  창궐(디지털),  6,000원","12:50,  암수살인(디지털)","15:00,  창궐(디지털),  6,000원","17:20,  암수살인(디지털)","19:30,  창궐(디지털),  6,000원","21:50,  창궐(디지털),  6,000원",,50
2018-10-30,01관,"10:30,  창궐(디지털),  6,000원",,"15:00,  창궐(디지털),  6,000원","17:20,  암수살인(디지털),  6,000원","19:30,  창궐(디지털),  6,000원","21:50,  창궐(디지털),  6,000원",,100
2018-10-30,02관,,"12:20,  베놈(디지털),  6,000원","14:30,  퍼스트맨(디지털),  6,000원",,,"21:40,  미쓰백(디지털),  6,000원",,50
2018-10-31,01관,"10:30,  창궐(디지털),  6,000원","12:45,  완벽한 타인(디지털),  6,000원","15:00,  창궐(디지털),  6,000원","17:15,  완벽한 타인(디지털),  6,000원","19:30,  창궐(디지털),  6,000원","21:50,  완벽한 타인(디지털),  6,000원",,100
2018-10-31,02관,"10:30,  보헤미안 랩소디(디지털),  6,000원","13:10,  암수살인(디지털),  6,000원","15:20,  미쓰백(디지털),  6,000원",,"19:00,  보헤미안 랩소디(디지털),  6,000원","21:30,  보헤미안 랩소디(디지털),  6,000원",,50
2018-11-01,01관,"10:30,  창궐(디지털),  6,000원","12:45,  완벽한 타인(디지털),  6,000원","15:00,  창궐(디지털),  6,000원","17:15,  완벽한 타인(디지털),  6,000원","19:30,  창궐(디지털),  6,000원","21:50,  완벽한 타인(디지털),  6,000원",,100
2018-11-01,02관,"10:30,  보헤미안 랩소디(디지털),  6,000원","13:10,  암수살인(디지털),  6,000원","15:20,  미쓰백(디지털),  6,000원","17:20,  스페이스 치킨: 마법 부적의 비밀(디지털더빙),  6,000원","19:00,  보헤미안 랩소디(디지털),  6,000원","21:30,  보헤미안 랩소디(디지털),  6,000원",,50
2018-11-02,01관,"10:30,  창궐(디지털),  5,000원","12:45,  완벽한 타인(디지털),  6,000원","15:00,  창궐(디지털),  6,000원","17:15,  완벽한 타인(디지털),  6,000원","19:30,  창궐(디지털),  6,000원","21:50,  완벽한 타인(디지털),  6,000원",,100
2018-11-02,02관,"10:30,  보헤미안 랩소디(디지털),  6,000원",,,"17:20,  스페이스 치킨: 마법 부적의 비밀(디지털더빙),  6,000원","19:00,  보헤미안 랩소디(디지털),  6,000원","21:30,  보헤미안 랩소디(디지털),  6,000원",,50
2018-11-03,01관,,"12:20,  보헤미안 랩소디(디지털),  6,000원","15:00,  완벽한 타인(디지털),  6,000원","17:15,  완벽한 타인(디지털),  6,000원","19:30,  창궐(디지털),  6,000원","21:50,  완벽한 타인(디지털),  6,000원",,100
