상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2017-12-17,06관(SCREENX),"08:20,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","10:10,  뽀로로 극장판 공룡섬 대모험(디지털),  10,000원","12:00,  뽀로로 극장판 공룡섬 대모험(디지털),  11,000원","13:50,  뽀로로 극장판 공룡섬 대모험(디지털),  10,000원","15:40,  뽀로로 극장판 공룡섬 대모험(디지털),  11,000원","17:30,  뽀로로 극장판 공룡섬 대모험(디지털),  11,000원","19:30,  스타워즈: 라스트 제다이(디지털),  11,000원","22:30,  스타워즈: 라스트 제다이(디지털),  11,000원",,,,172
2017-12-17,07관,"08:00,  강철비(디지털),  7,000원","10:50,  강철비(디지털),  11,000원","13:40,  강철비(디지털),  11,000원","16:30,  강철비(디지털),  11,000원","19:20,  강철비(디지털),  11,000원","22:10,  강철비(디지털),  11,000원",,,,,,172
2017-12-18,01관,"08:40,  러브레터(디지털),  6,500원","11:05,  튤립 피버(디지털),  8,000원","13:20,  러브레터(디지털),  9,000원","15:50,  튤립 피버(디지털),  7,000원","18:05,  러브레터(디지털),  9,000원","20:40,  튤립 피버(디지털),  10,000원","23:00,  오리엔트 특급 살인(디지털),  9,000원",,,,,104
2017-12-18,02관,"09:20,  어쌔신: 더 비기닝(디지털),  6,000원","11:40,  메리와 마녀의 꽃(디지털더빙),  8,000원","13:50,  극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~(디지털더빙),  7,000원","15:30,  극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~(디지털더빙),  9,000원","17:10,  어쌔신: 더 비기닝(디지털),  10,000원","19:30,  메리와 마녀의 꽃(디지털),  9,000원","21:40,  꾼(디지털),  10,000원","24:05,  꾼(디지털),  8,000원",,,,110
2017-12-18,03관,"10:00,  스타워즈: 라스트 제다이(디지털),  6,500원","13:00,  스타워즈: 라스트 제다이(디지털),  9,000원","16:00,  스타워즈: 라스트 제다이(디지털),  9,000원","19:00,  스타워즈: 라스트 제다이(디지털),  10,000원","22:00,  스타워즈: 라스트 제다이(디지털),  10,000원",,,,,,,109
2017-12-18,04관,"09:30,  강철비(디지털),  10,000원","12:20,  강철비(디지털),  8,000원","15:10,  강철비(디지털),  9,000원","18:10,  강철비(디지털),  10,000원","21:10,  강철비(디지털),  10,000원","24:00,  강철비(디지털),  9,000원",,,,,,159
2017-12-18,05관,"08:50,  스타워즈: 라스트 제다이(디지털),  6,000원","11:50,  스타워즈: 라스트 제다이(디지털),  8,000원","14:50,  스타워즈: 라스트 제다이(디지털),  9,000원","17:50,  스타워즈: 라스트 제다이(디지털),  10,000원","20:50,  스타워즈: 라스트 제다이(디지털),  10,000원","23:50,  스타워즈: 라스트 제다이(디지털),  7,000원",,,,,,268
2017-12-18,06관(SCREENX),"09:00,  뽀로로 극장판 공룡섬 대모험(디지털)","10:50,  뽀로로 극장판 공룡섬 대모험(디지털),  8,000원","12:40,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","14:30,  뽀로로 극장판 공룡섬 대모험(디지털),  8,000원","16:20,  뽀로로 극장판 공룡섬 대모험(디지털),  10,000원","18:20,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","20:10,  스타워즈: 라스트 제다이(디지털),  10,000원","23:10,  스타워즈: 라스트 제다이(디지털),  9,000원",,,,172
2017-12-18,07관,"08:30,  강철비(디지털),  6,000원","11:20,  강철비(디지털),  8,000원","14:10,  강철비(디지털),  9,000원","17:00,  강철비(디지털),  10,000원","19:50,  강철비(디지털),  10,000원","22:40,  강철비(디지털),  9,000원",,,,,,172
2017-12-19,01관,"08:40,  러브레터(디지털),  6,000원","11:05,  튤립 피버(디지털),  8,000원","13:20,  러브레터(디지털),  9,000원","15:50,  튤립 피버(디지털),  9,000원","18:05,  러브레터(디지털),  10,000원","20:40,  튤립 피버(디지털),  10,000원","23:00,  오리엔트 특급 살인(디지털),  7,000원",,,,,104
