상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2019-04-17,01관,"10:00,  키코리키: 시간여행(디지털더빙)","11:40,  똑딱똑딱 마법의 시계나라(디지털)","13:20,  생일(디지털),  6,000원","15:40,  샤잠!(디지털)","18:20,  생일(디지털),  6,000원","20:40,  미성년(디지털)",,,,,,58
2019-04-17,02관,"10:10,  덤보(디지털더빙)","12:40,  생일(디지털),  6,000원","15:00,  미성년(디지털),  6,000원","17:00,  덤보(디지털더빙),  6,000원","19:00,  샤잠!(디지털)","21:20,  프로디지(디지털)",,,,,,38
2019-04-18,01관,"09:50,  똑딱똑딱 마법의 시계나라(디지털)","11:30,  크게 될 놈(디지털),  6,000원","13:40,  미성년(디지털)","15:40,  생일(디지털)","18:00,  샤잠!(디지털)","20:25,  생일(디지털),  6,000원",,,,,,58
2019-04-18,02관,"10:00,  미성년(디지털)","11:50,  덤보(디지털더빙),  6,000원","14:00,  미성년(디지털)","16:00,  덤보(디지털더빙)","18:15,  똑딱똑딱 마법의 시계나라(디지털)","20:00,  프로디지(디지털),  6,000원",,,,,,38
2019-04-19,01관,"09:40,  미성년(디지털),  6,000원","11:40,  생일(디지털),  6,000원","14:00,  크게 될 놈(디지털),  6,000원","16:10,  생일(디지털)","18:30,  미성년(디지털),  6,000원","20:25,  크게 될 놈(디지털),  6,000원","22:30,  미성년(디지털)",,,,,58
2019-04-19,02관,"09:50,  똑딱똑딱 마법의 시계나라(디지털)","11:30,  크게 될 놈(디지털),  6,000원","13:35,  미성년(디지털)","15:30,  크게 될 놈(디지털),  6,000원","17:40,  생일(디지털),  5,000원","20:00,  생일(디지털),  6,000원","22:20,  크게 될 놈(디지털),  6,000원",,,,,38
2019-04-20,01관,"09:50,  미성년(디지털)","11:50,  생일(디지털),  6,000원","14:10,  크게 될 놈(디지털),  5,000원","16:20,  생일(디지털),  5,000원","18:40,  미성년(디지털),  6,000원","20:35,  크게 될 놈(디지털),  6,000원","22:40,  미성년(디지털)",,,,,58
2019-04-20,02관,"10:00,  키코리키: 시간여행(디지털더빙),  6,000원","11:25,  똑딱똑딱 마법의 시계나라(디지털),  6,000원","13:05,  크게 될 놈(디지털),  6,000원","15:15,  생일(디지털)","17:35,  크게 될 놈(디지털),  6,000원","19:45,  생일(디지털)","22:05,  미성년(디지털)",,,,,38
2019-04-21,01관,"10:10,  생일(디지털)","12:40,  크게 될 놈(디지털),  5,000원","14:50,  미성년(디지털),  6,000원","16:45,  생일(디지털)","19:05,  크게 될 놈(디지털),  6,000원","21:15,  미성년(디지털),  6,000원",,,,,,58
2019-04-21,02관,"10:00,  똑딱똑딱 마법의 시계나라(디지털)","11:40,  생일(디지털)","14:00,  크게 될 놈(디지털),  6,000원","16:10,  생일(디지털),  6,000원","18:35,  미성년(디지털)","20:40,  생일(디지털),  6,000원",,,,,,38
2019-04-22,01관,"10:10,  키코리키: 시간여행(디지털더빙)","11:50,  똑딱똑딱 마법의 시계나라(디지털)","13:30,  미성년(디지털),  6,000원","15:30,  크게 될 놈(디지털)","18:30,  생일(디지털)","21:00,  크게 될 놈(디지털)",,,,,,58
2019-04-22,02관,"10:00,  생일(디지털),  6,000원","12:30,  크게 될 놈(디지털),  6,000원","14:40,  미성년(디지털),  6,000원","16:40,  생일(디지털)","19:20,  크게 될 놈(디지털),  6,000원","21:20,  미성년(디지털),  6,000원",,,,,,38
2019-04-23,01관,"10:10,  똑딱똑딱 마법의 시계나라(디지털)","11:50,  생일(디지털),  6,000원","14:10,  크게 될 놈(디지털),  6,000원","16:20,  미성년(디지털)","18:20,  생일(디지털)","20:40,  크게 될 놈(디지털),  6,000원",,,,,,58
2019-04-23,02관,"10:00,  생일(디지털)","12:30,  크게 될 놈(디지털),  5,000원","14:50,  미성년(디지털),  6,000원","16:45,  생일(디지털)","19:05,  크게 될 놈(디지털),  6,000원","21:20,  미성년(디지털)",,,,,,38
