상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2019-09-03,01관,"11:00,  김복동(디지털)","13:00,  나만 없어 고양이(디지털),  8,000원","15:30,  이타미 준의 바다(디지털),  9,000원","17:50,  불빛 아래서(디지털 영문자막),  9,000원","19:50,  벌새(디지털),  9,000원",,,50
2019-09-03,02관,"10:30,  유열의 음악앨범(디지털),  6,000원","13:30,  마담 프루스트의 비밀정원(디지털),  9,000원","16:00,  디터 람스(디지털),  9,000원","17:30,  지구 최후의 밤(디지털),  9,000원","20:10,  나만 없어 고양이(디지털),  8,000원",,,52
2019-09-04,01관,"11:00,  불빛 아래서(디지털 영문자막),  6,000원","13:00,  블라인드 멜로디(디지털),  6,000원","16:00,  바우하우스(디지털),  9,000원","18:00,  우리집(디지털),  9,000원","20:00,  유열의 음악앨범(디지털),  9,000원",,,50
2019-09-04,02관,"10:30,  블루노트 레코드(디지털),  6,000원","13:30,  려행(디지털 영문자막),  9,000원","15:30,  마담 프루스트의 비밀정원(디지털),  9,000원","18:20,  호크니(디지털),  9,000원","20:30,  디터 람스(디지털),  9,000원",,,52
2019-09-05,01관,"11:00,  우리집(디지털),  9,000원","13:30,  불빛 아래서(디지털 영문자막),  9,000원","15:30,  디터 람스(디지털),  9,000원","17:40,  벌새(디지털 영문자막),  9,000원","20:20,  블루노트 레코드(디지털),  9,000원",,,50
2019-09-05,02관,"10:30,  김복동(디지털),  6,000원","13:00,  갈까부다(디지털),  9,000원","15:00,  나만 없어 고양이(디지털)","18:00,  동물, 원(디지털)","20:00,  벌새(디지털 영문자막)",,,52
2019-09-06,01관,"10:50,  이타미 준의 바다(디지털),  8,000원","13:00,  동물, 원(디지털),  9,000원","15:00,  바우하우스(디지털),  9,000원","16:50,  블라인드 멜로디(디지털)","19:50,  불빛 아래서(디지털),  9,000원",,,50
2019-09-06,02관,"10:30,  블루노트 레코드(디지털),  6,000원","12:40,  밤의 문이 열린다(디지털),  9,000원","14:40,  벌새(디지털 영문자막),  9,000원","17:30,  지구 최후의 밤(디지털),  9,000원","20:10,  벌새(디지털 영문자막),  9,000원",,,52
2019-09-07,01관,"11:00,  동물, 원(디지털),  9,000원","13:00,  이타미 준의 바다(디지털),  9,000원","15:10,  벌새(디지털 영문자막),  9,000원","17:50,  우리집(디지털),  9,000원","19:50,  유열의 음악앨범(디지털),  9,000원",,,50
2019-09-07,02관,"10:30,  바우하우스(디지털),  6,000원","12:30,  나만 없어 고양이(디지털)","14:30,  지구 최후의 밤(디지털),  9,000원","17:10,  마담 프루스트의 비밀정원(디지털),  9,000원","19:20,  주전장(디지털 영문자막),  9,000원",,,52
2019-09-08,01관,"11:00,  갈까부다(디지털),  9,000원","13:00,  카메라를 멈추면 안 돼!(디지털),  9,000원","15:00,  지구 최후의 밤(디지털),  9,000원","17:40,  유열의 음악앨범(디지털),  9,000원","20:00,  기생충(디지털 영문자막),  9,000원",,,50
2019-09-08,02관,"10:30,  블루노트 레코드(디지털),  6,000원","13:30,  디터 람스(디지털),  9,000원","15:30,  동물, 원(디지털),  9,000원","17:30,  주전장(디지털 영문자막),  9,000원","19:50,  벌새(디지털 영문자막),  9,000원",,,52
2019-09-09,01관,"11:00,  동물, 원(디지털),  9,000원","13:10,  블루노트 레코드(디지털),  9,000원","15:10,  벌새(디지털 영문자막),  9,000원","17:50,  바우하우스(디지털)","19:40,  블라인드 멜로디(디지털),  8,000원",,,50
2019-09-09,02관,"10:30,  지구 최후의 밤(디지털),  6,000원","13:30,  마담 프루스트의 비밀정원(디지털),  9,000원","15:40,  디터 람스(디지털),  9,000원","17:20,  지구 최후의 밤(디지털),  9,000원","20:00,  벌새(디지털 영문자막),  9,000원",,,52
2019-09-10,01관,"11:00,  밤의 문이 열린다(디지털 영문자막),  9,000원","13:30,  김복동(디지털),  0원","15:30,  이타미 준의 바다(디지털),  9,000원","17:50,  불빛 아래서(디지털 영문자막),  9,000원","19:50,  벌새(디지털 영문자막),  9,000원",,,50
2019-09-10,02관,"10:30,  유열의 음악앨범(디지털),  0원","12:50,  주전장(디지털 영문자막)","15:10,  벌새(디지털 영문자막),  9,000원","18:50,  디터 람스(디지털),  9,000원","20:20,  바우하우스(디지털),  9,000원",,,52
2019-09-11,01관,"11:00,  갈까부다(디지털),  9,000원","13:00,  디터 람스(디지털),  9,000원","14:30,  나만 없어 고양이(디지털),  9,000원","17:50,  우리집(디지털),  9,000원","19:40,  블라인드 멜로디(디지털),  9,000원",,,50
2019-09-11,02관,"10:30,  블루노트 레코드(디지털),  6,000원","12:30,  벌새(디지털 영문자막),  9,000원","15:10,  마담 프루스트의 비밀정원(디지털),  9,000원","17:20,  지구 최후의 밤(디지털),  9,000원","20:00,  벌새(디지털 영문자막),  9,000원",,,52
2019-09-12,01관,"10:30,  블라인드 멜로디(디지털),  6,000원","13:00,  바우하우스(디지털),  9,000원","15:00,  불빛 아래서(디지털 영문자막),  9,000원","18:10,  100일 동안 100가지로 100퍼센트 행복찾기(디지털),  9,000원","20:20,  우리집(디지털),  9,000원",,,50
2019-09-12,02관,"11:00,  나만 없어 고양이(디지털),  9,000원","13:30,  갈까부다(디지털 영문자막),  9,000원","15:10,  벌새(디지털 영문자막),  9,000원","17:50,  동물, 원(디지털 영문자막),  9,000원","20:00,  벌새(디지털 영문자막),  9,000원",,,52
2019-09-13,01관,"11:00,  이타미 준의 바다(디지털)","13:10,  100일 동안 100가지로 100퍼센트 행복찾기(디지털),  9,000원","15:20,  우리집(디지털),  9,000원","17:10,  유열의 음악앨범(디지털),  8,000원","19:30,  기생충(디지털 영문자막),  9,000원",,,50
2019-09-13,02관,"10:30,  블루노트 레코드(디지털),  6,000원","12:20,  지구 최후의 밤(디지털),  9,000원","15:00,  주전장(디지털 영문자막),  9,000원","17:20,  디터 람스(디지털),  9,000원","19:00,  벌새(디지털 영문자막),  9,000원",,,52
2019-09-14,01관,"11:00,  갈까부다(디지털 영문자막)","12:40,  동물, 원(디지털 영문자막),  9,000원","14:40,  디터 람스(디지털),  9,000원","16:40,  우리집(디지털),  9,000원","18:40,  이타미 준의 바다(디지털),  9,000원",,,50
2019-09-14,02관,"10:30,  지구 최후의 밤(디지털),  6,000원","13:10,  바우하우스(디지털),  9,000원","15:00,  벌새(디지털 영문자막),  9,000원","17:40,  유열의 음악앨범(디지털),  9,000원","20:00,  주전장(디지털 영문자막),  9,000원",,,52
2019-09-15,01관,"10:50,  100일 동안 100가지로 100퍼센트 행복찾기(디지털),  9,000원","13:00,  카메라를 멈추면 안 돼!(디지털),  16,000원","15:00,  우리집(디지털),  9,000원","17:00,  이타미 준의 바다(디지털),  9,000원","19:10,  지구 최후의 밤(디지털),  9,000원",,,50
