상영일자,상영관,1회,2회,3회,4회,5회,좌석수
2016-12-15,01관,"10:30,  아기배달부 스토크(디지털더빙),  5,000원","12:20,  판도라(디지털),  5,000원","15:00,  판도라(디지털),  5,000원","17:40,  아기배달부 스토크(디지털더빙),  5,000원","19:30,  판도라(디지털),  5,000원",109
2016-12-16,01관,"09:30,  판도라(디지털),  5,000원","12:10,  판도라(디지털),  5,000원","14:50,  판도라(디지털),  5,000원","17:30,  아기배달부 스토크(디지털더빙),  5,000원","19:30,  판도라(디지털),  5,000원",109
2016-12-17,01관,"09:30,  판도라(디지털),  5,000원","12:10,  아기배달부 스토크(디지털더빙),  5,000원","14:10,  판도라(디지털),  5,000원","16:50,  판도라(디지털),  5,000원","19:30,  판도라(디지털),  5,000원",109
2016-12-18,01관,"09:30,  판도라(디지털),  5,000원","12:10,  아기배달부 스토크(디지털더빙),  5,000원","14:10,  판도라(디지털),  5,000원","16:50,  판도라(디지털),  5,000원","19:30,  판도라(디지털),  5,000원",109
2016-12-20,01관,"09:30,  판도라(디지털),  5,000원","12:10,  판도라(디지털),  5,000원","14:50,  판도라(디지털),  5,000원","17:30,  아기배달부 스토크(디지털더빙),  5,000원","19:30,  판도라(디지털),  5,000원",109
2016-12-21,01관,"09:20,  판도라(디지털),  5,000원","12:00,  마스터(디지털),  5,000원","14:45,  마스터(디지털),  5,000원","17:30,  아기배달부 스토크(디지털더빙)","19:20,  마스터(디지털),  5,000원",109
2016-12-22,01관,"09:30,  마스터(디지털),  5,000원","12:15,  판도라(디지털),  5,000원","14:55,  마스터(디지털),  5,000원","17:40,  씽(디지털더빙),  5,000원","19:50,  마스터(디지털),  5,000원",109
2016-12-23,01관,"09:30,  판도라(디지털),  5,000원","12:10,  마스터(디지털),  5,000원","14:55,  마스터(디지털),  5,000원","17:40,  씽(디지털더빙),  5,000원","19:50,  마스터(디지털),  5,000원",109
2016-12-24,01관,"09:30,  마스터(디지털),  5,000원","12:15,  씽(디지털더빙),  5,000원","14:25,  마스터(디지털),  5,000원","17:10,  판도라(디지털),  5,000원","19:50,  마스터(디지털),  5,000원",109
2016-12-25,01관,"09:30,  마스터(디지털),  5,000원","12:15,  씽(디지털더빙),  5,000원","14:25,  마스터(디지털),  5,000원","17:10,  판도라(디지털),  5,000원","19:50,  마스터(디지털),  5,000원",109
2016-12-27,01관,"09:30,  마스터(디지털),  5,000원","12:15,  판도라(디지털),  5,000원","14:55,  마스터(디지털),  5,000원","17:40,  씽(디지털더빙),  5,000원","19:50,  마스터(디지털),  5,000원",109
2016-12-28,01관,"09:30,  마스터(디지털),  5,000원","12:15,  씽(디지털더빙),  5,000원","14:25,  마스터(디지털),  5,000원","17:10,  판도라(디지털),  5,000원","19:50,  마스터(디지털),  5,000원",109
2016-12-29,01관,"09:40,  마스터(디지털),  5,000원","12:25,  씽(디지털더빙),  5,000원","14:35,  마스터(디지털),  5,000원","17:20,  씽(디지털더빙),  5,000원","19:30,  마스터(디지털),  5,000원",109
2016-12-30,01관,"09:40,  마스터(디지털),  5,000원","12:25,  씽(디지털더빙),  5,000원","14:35,  마스터(디지털),  5,000원","17:20,  씽(디지털더빙),  5,000원","19:30,  마스터(디지털),  5,000원",109
2016-12-31,01관,"09:40,  마스터(디지털),  5,000원","12:25,  씽(디지털더빙),  5,000원","14:35,  마스터(디지털),  5,000원","17:20,  씽(디지털더빙),  5,000원","19:30,  마스터(디지털),  5,000원",109
