10회,11회,1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
,,"10:00,  경계선(디지털),  5,000원","12:10,  퍼펙트 스트레인저(디지털),  7,000원","14:10,  와일드 로즈(디지털),  7,000원","16:10,  경계선(디지털),  7,000원","18:20,  디어 마이 프렌드(디지털),  7,000원","20:20,  여배우들의 티타임(디지털),  7,000원",,,,소극장,2019-10-28,212
,,"09:50,  더 킹: 헨리 5세(디지털),  5,000원","12:30,  82년생 김지영(디지털),  7,000원","14:50,  조커(디지털),  7,000원","17:20,  제미니 맨(디지털),  7,000원","19:40,  82년생 김지영(디지털),  7,000원",,,,,중극장,2019-10-28,413
,,"11:20,  나의 노래는 멀리멀리(디지털),  0원","13:00,  열두 번째 용의자(디지털),  0원","15:00,  버티고(디지털),  7,000원","17:10,  메기(디지털),  7,000원",,,,,,인디플러스 영화의 전당,2019-10-28,36
,,"10:20,  경계선(디지털),  5,000원","12:30,  퍼펙트 스트레인저(디지털),  7,000원","14:30,  와일드 로즈(디지털),  7,000원","16:30,  경계선(디지털),  7,000원","18:40,  블러드 심플(디지털),  7,000원","20:40,  퍼펙트 스트레인저(디지털)",,,,시네마테크관,2019-10-29,212
,,"10:00,  버티고(디지털),  5,000원","12:20,  우리집(디지털),  7,000원","14:20,  벌새(디지털),  7,000원","17:00,  메기(디지털),  7,000원","18:50,  죽거나 혹은 나쁘거나(디지털),  5,000원","20:40,  버티고(디지털),  7,000원",,,,소극장,2019-10-29,212
,,"09:50,  82년생 김지영(디지털),  6,000원","12:30,  말레피센트 2(디지털),  7,000원","15:00,  두번할까요(디지털),  7,000원","17:20,  82년생 김지영(디지털),  7,000원","19:40,  더 킹: 헨리 5세(디지털),  7,000원",,,,,중극장,2019-10-29,413
,,"11:50,  판소리 복서(디지털),  0원","14:00,  아워 바디(디지털),  7,000원","15:50,  펀치드렁크 하트(인디스데이)(디지털),  7,000원","17:30,  열두 번째 용의자(디지털),  7,000원",,,,,,인디플러스 영화의 전당,2019-10-29,36
,,"10:30,  퍼펙트 스트레인저(디지털),  3,500원","12:30,  경계선(디지털),  3,500원","14:40,  블러드 심플(디지털),  3,500원","16:40,  퍼펙트 스트레인저(디지털),  3,500원","18:40,  여배우들의 티타임(디지털),  3,500원","20:30,  경계선(디지털),  3,500원",,,,시네마테크관,2019-10-30,212
,,,"12:20,  버티고(디지털),  3,500원",,"14:40,  우리집(디지털),  3,500원","18:30,  메기(디지털),  3,500원","20:20,  벌새(디지털),  3,500원",,,,소극장,2019-10-30,212
,,"09:50,  터미네이터: 다크 페이트(디지털),  6,000원","12:20,  더 킹: 헨리 5세(디지털),  7,000원","15:00,  82년생 김지영(디지털),  7,000원",,"20:00,  터미네이터: 다크 페이트(디지털),  5,000원",,,,,중극장,2019-10-30,413
,,"12:40,  계절과 계절 사이(디지털),  3,500원","14:40,  나의 노래는 멀리멀리(디지털),  3,500원","16:20,  열두 번째 용의자(디지털),  3,500원","18:20,  판소리 복서(디지털),  3,500원","20:30,  펀치드렁크 하트(인디스데이)(디지털),  3,500원",,,,,인디플러스 영화의 전당,2019-10-30,36
,,"10:30,  와일드 로즈(디지털),  6,000원","12:30,  퍼펙트 스트레인저(디지털),  7,000원","14:30,  경계선(디지털),  7,000원","16:40,  블러드 심플(디지털),  7,000원","18:40,  퍼펙트 스트레인저(디지털),  7,000원","20:40,  경계선(디지털),  7,000원",,,,시네마테크관,2019-10-31,212
,,"10:00,  우먼 인 할리우드(디지털),  5,000원","12:00,  하이 라이프(디지털),  7,000원","14:20,  쿠엔틴 타란티노 8(디지털),  7,000원","16:30,  우먼 인 할리우드(디지털),  7,000원","18:30,  하이 라이프(디지털),  7,000원","20:50,  쿠엔틴 타란티노 8(디지털),  7,000원",,,,소극장,2019-10-31,212
,,"09:50,  말레피센트 2(디지털),  0원","12:10,  터미네이터: 다크 페이트(디지털),  7,000원","14:40,  더 킹: 헨리 5세(디지털),  7,000원","17:20,  82년생 김지영(디지털),  7,000원","19:40,  터미네이터: 다크 페이트(디지털),  7,000원",,,,,중극장,2019-10-31,413
,,"12:10,  아워 바디(디지털),  7,000원","14:00,  니나 내나(디지털),  6,000원",,,"19:30,  오늘, 우리(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-10-31,36
,,"10:00,  내 심장이 건너 뛴 박동(디지털),  5,000원","12:10,  블루 벨벳(디지털),  7,000원","14:30,  라일락의 문(필름),  6,000원","17:00,  가을 소나타(디지털),  6,000원","20:00,  스펠바운드(디지털),  6,000원",,,,,시네마테크관,2017-01-01,212
,,"09:40,  나의 위대한 친구, 세잔(디지털),  5,000원","12:00,  나, 다니엘 블레이크(디지털),  7,000원","14:00,  라라랜드(디지털),  7,000원","16:30,  업 포 러브(디지털),  7,000원","18:30,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","20:40,  테일 오브 테일즈(디지털),  5,000원",,,,소극장,2017-01-01,212
,,"09:50,  로그 원: 스타워즈 스토리(3D 디지털),  8,000원","12:30,  판도라(디지털),  7,000원","15:10,  로그 원: 스타워즈 스토리(디지털),  7,000원","17:50,  판도라(디지털),  7,000원","20:30,  로그 원: 스타워즈 스토리(디지털),  7,000원",,,,,중극장,2017-01-01,413
,,,"12:10,  마스터(디지털),  7,000원","15:00,  마스터(디지털),  7,000원","17:50,  마스터(디지털),  7,000원","20:40,  마스터(디지털),  7,000원",,,,,하늘연극장,2017-01-01,841
,,"11:30,  나의 살던 고향은(디지털),  7,000원","13:30,  위켄즈(디지털),  7,000원","15:30,  파파좀비(디지털),  7,000원","17:20,  연애담(디지털),  7,000원","19:20,  우리 손자 베스트(디지털),  5,000원",,,,,인디플러스 영화의 전당,2017-01-01,36
,,,"12:30,  지옥화(디지털),  0원","14:30,  혈맥(디지털),  0원","16:30,  검은 머리(디지털),  0원","19:00,  넘버 3(디지털),  0원",,,,,시네마테크관,2017-01-02,212
,,"09:50,  아브릴과 조작된 세계(디지털),  5,000원","12:00,  나의 위대한 친구, 세잔(디지털),  7,000원","14:20,  라라랜드(디지털),  7,000원","16:50,  나, 다니엘 블레이크(디지털),  7,000원","18:50,  업 포 러브(디지털),  7,000원","20:50,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원",,,,소극장,2017-01-02,212
,,"09:50,  로그 원: 스타워즈 스토리(3D 디지털),  8,000원","12:30,  판도라(디지털),  7,000원","15:10,  로그 원: 스타워즈 스토리(디지털),  7,000원","17:50,  판도라(디지털),  7,000원","20:30,  로그 원: 스타워즈 스토리(디지털),  7,000원",,,,,중극장,2017-01-02,413
,,"09:20,  마스터(디지털),  5,000원",,"15:00,  마스터(디지털),  7,000원","17:50,  마스터(디지털),  7,000원","20:30,  마스터(디지털),  7,000원",,,,,하늘연극장,2017-01-02,841
,,,,"15:50,  커튼콜(디지털),  7,000원","17:50,  비치온더비치(디지털),  7,000원","19:50,  위켄즈(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-02,36
,,"10:50,  잉글리쉬 페이션트(디지털),  7,000원",,"14:00,  알롱상팡(필름),  4,000원","16:30,  가스등(필름),  6,000원","19:30,  해바라기(필름),  6,000원",,,,,시네마테크관,2017-01-03,212
,,"09:40,  아브릴과 조작된 세계(디지털),  5,000원","11:50,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","14:00,  업 포 러브(디지털),  7,000원","16:00,  라라랜드(디지털),  7,000원","18:30,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","20:40,  테일 오브 테일즈(디지털),  7,000원",,,,소극장,2017-01-03,212
,,"09:30,  로그 원: 스타워즈 스토리(디지털),  5,000원","12:20,  마스터(디지털),  7,000원","15:10,  판도라(디지털),  7,000원","17:50,  로그 원: 스타워즈 스토리(디지털),  7,000원","20:30,  마스터(디지털),  7,000원",,,,,중극장,2017-01-03,413
,,"11:00,  연애담(디지털),  7,000원","13:00,  위켄즈(디지털),  7,000원","15:00,  비치온더비치(디지털),  7,000원","17:00,  우리 손자 베스트(디지털),  7,000원","19:30,  파파좀비(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-03,36
,,"10:00,  블루 벨벳(디지털),  5,000원","12:20,  내 심장이 건너 뛴 박동(디지털),  7,000원","14:30,  모두 잘 지내고 있다오(필름),  0원","17:30,  21번가의 살인자 (필름),  0원","20:00,  백만장자(필름),  4,000원",,,,,시네마테크관,2017-01-04,212
,,"09:30,  에곤 쉴레: 욕망이 그린 그림(디지털),  5,000원","11:40,  업 포 러브(디지털),  6,000원","13:40,  라라랜드(디지털),  7,000원","16:10,  나의 위대한 친구, 세잔(디지털),  7,000원","18:30,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","20:40,  나, 다니엘 블레이크(디지털),  7,000원",,,,소극장,2017-01-04,212
,,"09:20,  마스터(디지털),  5,000원","12:10,  로그 원: 스타워즈 스토리(디지털),  7,000원","14:50,  마스터(디지털),  7,000원","17:40,  오페라의 유령(디지털),  7,000원","20:30,  로그 원: 스타워즈 스토리(디지털),  7,000원",,,,,중극장,2017-01-04,413
,,,"14:00,  여교사(디지털),  5,000원",,"17:50,  커튼콜(디지털),  6,000원","19:50,  여교사(디지털),  5,000원",,,,,인디플러스 영화의 전당,2017-01-04,36
,,"10:00,  내 심장이 건너 뛴 박동(디지털),  5,000원","12:10,  블루 벨벳(디지털),  7,000원","14:30,  침묵은 금(필름),  0원","17:00,  나는 마녀와 결혼했다(필름),  0원","20:00,  마농(디지털),  4,000원",,,,,시네마테크관,2017-01-05,212
,,"09:30,  너의 이름은.(디지털),  5,000원","11:40,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","13:50,  라라랜드(디지털),  7,000원","16:20,  나, 다니엘 블레이크(디지털),  7,000원","18:20,  나의 위대한 친구, 세잔(디지털),  7,000원","20:40,  너의 이름은.(디지털),  7,000원",,,,소극장,2017-01-05,212
,,"09:20,  오페라의 유령(디지털),  5,000원","12:10,  로그 원: 스타워즈 스토리(디지털),  7,000원","14:50,  마스터(디지털),  7,000원","17:40,  로그 원: 스타워즈 스토리(디지털),  7,000원","20:20,  마스터(디지털),  7,000원",,,,,중극장,2017-01-05,413
,,"12:00,  여교사(디지털),  7,000원","14:00,  위켄즈(디지털),  7,000원","16:00,  나의 살던 고향은(디지털),  7,000원","18:00,  파파좀비(디지털)","19:50,  걱정말아요(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-05,36
,,"10:00,  블루 벨벳(디지털),  5,000원","12:20,  내 심장이 건너 뛴 박동(디지털),  7,000원","14:30,  오명(디지털),  4,000원","17:00,  진저와 프레드(필름),  6,000원","20:00,  토도모도(디지털),  4,000원",,,,,시네마테크관,2017-01-06,212
,,"09:40,  너의 이름은.(디지털),  5,000원","11:50,  나, 다니엘 블레이크(디지털),  7,000원","13:50,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","16:00,  라라랜드(디지털),  7,000원","18:30,  너의 이름은.(디지털),  7,000원","20:40,  나의 위대한 친구, 세잔(디지털),  7,000원",,,,소극장,2017-01-06,212
,,"09:20,  마스터(디지털),  5,000원","12:10,  로그 원: 스타워즈 스토리(3D 디지털),  13,000원","14:50,  판도라(디지털),  7,000원","17:30,  로그 원: 스타워즈 스토리(디지털),  7,000원","20:20,  마스터(디지털),  7,000원",,,,,중극장,2017-01-06,413
,,,"13:10,  마스터(디지털),  7,000원","16:10,  마스터(디지털),  7,000원","19:10,  오페라의 유령(디지털),  7,000원",,,,,,하늘연극장,2017-01-06,841
,,"12:00,  연애담(디지털),  7,000원","14:00,  파파좀비(디지털),  7,000원","15:50,  걱정말아요(디지털),  5,000원","17:10,  우리 손자 베스트(디지털),  7,000원","19:40,  여교사(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-06,36
,,"10:50,  잉글리쉬 페이션트(디지털),  7,000원",,"14:00,  공포의 보수(필름),  0원","16:30,  누구를 위하여 종은 울리나(디지털),  6,000원","20:00,  알롱상팡(필름),  6,000원",,,,,시네마테크관,2017-01-07,212
,,"09:30,  너의 이름은.(디지털),  5,000원","11:40,  나의 위대한 친구, 세잔(디지털),  7,000원","14:00,  너의 이름은.(디지털),  7,000원","16:10,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","18:20,  라라랜드(디지털),  7,000원","20:50,  나, 다니엘 블레이크(디지털),  7,000원",,,,소극장,2017-01-07,212
,,"09:20,  로그 원: 스타워즈 스토리(3D 디지털),  8,000원","12:00,  판도라(디지털),  7,000원","14:40,  로그 원: 스타워즈 스토리(디지털),  7,000원","17:30,  마스터(디지털),  7,000원","20:20,  판도라(디지털),  7,000원",,,,,중극장,2017-01-07,413
,,"10:10,  마스터(디지털),  5,000원","13:10,  마스터(디지털),  7,000원","16:10,  오페라의 유령(디지털),  7,000원","19:10,  마스터(디지털),  7,000원",,,,,,하늘연극장,2017-01-07,841
,,"11:30,  나의 살던 고향은(디지털),  7,000원","13:30,  여교사(디지털),  7,000원","15:30,  위켄즈(디지털),  7,000원","17:30,  파파좀비(디지털),  5,000원","19:20,  비치온더비치(디지털),  5,000원",,,,,인디플러스 영화의 전당,2017-01-07,36
,,"10:00,  글루미 선데이(디지털),  5,000원","12:10,  블루 벨벳(디지털),  7,000원","14:30,  파리의 지붕 밑(필름),  6,000원","17:00,  백야(필름),  0원","20:00,  세계의 시초로의 여행 (필름),  0원",,,,,시네마테크관,2017-01-08,212
,,"09:30,  너의 이름은.(디지털),  5,000원","11:40,  라라랜드(디지털),  7,000원","14:10,  나, 다니엘 블레이크(디지털),  7,000원","16:10,  너의 이름은.(디지털),  7,000원","18:20,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","20:30,  나의 위대한 친구, 세잔(디지털),  7,000원",,,,소극장,2017-01-08,212
,,"09:20,  판도라(디지털),  5,000원","12:00,  로그 원: 스타워즈 스토리(3D 디지털),  13,000원","14:40,  마스터(디지털),  7,000원","17:30,  로그 원: 스타워즈 스토리(디지털),  7,000원","20:10,  판도라(디지털),  7,000원",,,,,중극장,2017-01-08,413
,,"10:10,  마스터(디지털),  5,000원","13:10,  오페라의 유령(디지털),  7,000원","16:10,  마스터(디지털),  7,000원","19:10,  마스터(디지털),  7,000원",,,,,,하늘연극장,2017-01-08,841
,,"11:30,  우리 손자 베스트(디지털),  7,000원","14:00,  연애담(디지털),  7,000원","16:00,  여교사(디지털),  7,000원","18:00,  걱정말아요(디지털),  7,000원","19:30,  커튼콜(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-08,36
,,,"12:00,  넘버 3(디지털),  0원","14:30,  지옥화(디지털),  0원","16:30,  혈맥(디지털),  0원","19:00,  검은 머리(디지털),  0원",,,,,시네마테크관,2017-01-09,212
,,"09:30,  너의 이름은.(디지털),  5,000원","11:40,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","13:50,  라라랜드(디지털),  7,000원","16:20,  나, 다니엘 블레이크(디지털),  7,000원","18:20,  나의 위대한 친구, 세잔(디지털),  7,000원","20:40,  너의 이름은.(디지털),  7,000원",,,,소극장,2017-01-09,212
,,"09:20,  로그 원: 스타워즈 스토리(3D 디지털),  8,000원","12:00,  판도라(디지털),  7,000원","14:40,  로그 원: 스타워즈 스토리(디지털),  7,000원","17:30,  판도라(디지털),  7,000원","20:20,  마스터(디지털),  7,000원",,,,,중극장,2017-01-09,413
,,"10:10,  마스터(디지털),  5,000원","13:10,  마스터(디지털),  5,000원","16:10,  마스터(디지털),  7,000원","19:10,  오페라의 유령(디지털),  7,000원",,,,,,하늘연극장,2017-01-09,841
,,"12:00,  연애담(디지털),  7,000원","14:00,  파파좀비(디지털)","15:50,  걱정말아요(디지털),  7,000원","17:20,  위켄즈(디지털),  7,000원","19:20,  여교사(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-09,36
,,"10:00,  내 심장이 건너 뛴 박동(디지털),  5,000원","12:10,  블루 벨벳(디지털),  7,000원","14:30,  뷰티 오브 더 데블(필름),  0원","17:00,  세인트 메리의 종(디지털),  6,000원","20:00,  이수(필름),  6,000원",,,,,시네마테크관,2017-01-10,212
,,"09:30,  너의 이름은.(디지털),  5,000원","11:40,  나, 다니엘 블레이크(디지털),  7,000원","13:40,  너의 이름은.(디지털),  7,000원","15:50,  라라랜드(디지털),  7,000원","18:20,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","20:30,  너의 이름은.(디지털),  7,000원",,,,소극장,2017-01-10,212
,,"09:20,  마스터(디지털),  5,000원","12:10,  로그 원: 스타워즈 스토리(디지털),  7,000원","14:50,  오페라의 유령(디지털),  7,000원","17:40,  마스터(디지털),  7,000원","20:30,  로그 원: 스타워즈 스토리(디지털),  7,000원",,,,,중극장,2017-01-10,413
,,"12:00,  비치온더비치(디지털),  7,000원","14:00,  나의 살던 고향은(디지털),  7,000원","16:00,  여교사(디지털),  7,000원","18:00,  파파좀비(디지털),  5,000원","19:50,  위켄즈(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-10,36
,,"10:00,  블루 벨벳(디지털),  5,000원","12:20,  내 심장이 건너 뛴 박동(디지털),  7,000원","14:30,  가을 소나타(디지털),  4,000원","17:00,  스펠바운드(디지털),  6,000원","19:30,  누구를 위하여 종은 울리나(디지털),  6,000원",,,,,시네마테크관,2017-01-11,212
,,"09:40,  너의 이름은.(디지털),  5,000원","11:50,  나의 위대한 친구, 세잔(디지털),  7,000원","14:10,  너의 이름은.(디지털),  7,000원","16:20,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","18:30,  나, 다니엘 블레이크(디지털),  7,000원","20:30,  라라랜드(디지털),  7,000원",,,,소극장,2017-01-11,212
,,"09:30,  녹터널 애니멀스(디지털),  5,000원","11:50,  마스터(디지털),  7,000원","14:40,  로그 원: 스타워즈 스토리(디지털),  7,000원","17:20,  오페라의 유령(디지털),  7,000원","20:10,  녹터널 애니멀스(디지털),  7,000원",,,,,중극장,2017-01-11,413
,,"11:30,  위켄즈(디지털),  7,000원","13:30,  커튼콜(디지털)","15:30,  우리 손자 베스트(디지털)","18:00,  걱정말아요(디지털),  5,000원","19:30,  여교사(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-11,36
,,"10:00,  글루미 선데이(디지털),  5,000원","12:10,  시애틀의 잠 못이루는 밤(디지털),  7,000원","14:30,  21번가의 살인자 (필름),  0원","17:00,  진실(필름),  0원","20:00,  모두 잘 지내고 있다오(필름),  0원",,,,,시네마테크관,2017-01-12,212
,,"10:10,  에곤 쉴레: 욕망이 그린 그림(디지털),  5,000원","12:20,  너의 이름은.(디지털),  7,000원","14:30,  나, 다니엘 블레이크(디지털),  7,000원","16:30,  라라랜드(디지털),  7,000원","19:00,  요요마와 실크로드 앙상블(디지털),  7,000원",,,,,소극장,2017-01-12,212
,,"09:30,  모아나(디지털),  5,000원","12:00,  녹터널 애니멀스(디지털),  7,000원","14:30,  오페라의 유령(디지털),  7,000원","17:30,  녹터널 애니멀스(디지털),  7,000원","20:00,  모아나(디지털),  7,000원",,,,,중극장,2017-01-12,413
,,"11:30,  걱정말아요(디지털)","13:00,  여교사(디지털),  7,000원","15:00,  소시민(디지털),  5,000원","17:20,  7년-그들이 없는 언론(디지털),  7,000원","19:30,  문영(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-12,36
,,"10:00,  시애틀의 잠 못이루는 밤(디지털),  6,000원","12:10,  블루 벨벳(디지털),  7,000원","14:30,  비키퍼(필름),  0원","17:30,  나는 마녀와 결혼했다(필름),  4,000원","20:00,  디아볼릭(필름),  6,000원",,,,,시네마테크관,2017-01-13,212
,,"10:40,  라라랜드(디지털),  7,000원","13:10,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","15:20,  너의 이름은.(디지털),  7,000원","17:30,  요요마와 실크로드 앙상블(디지털),  7,000원","19:30,  여교사(디지털),  7,000원",,,,,소극장,2017-01-13,212
,,"09:30,  로그 원: 스타워즈 스토리(디지털),  5,000원","12:20,  모아나(디지털),  7,000원","14:50,  녹터널 애니멀스(디지털),  7,000원","17:20,  모아나(디지털),  7,000원","19:50,  녹터널 애니멀스(디지털),  7,000원",,,,,중극장,2017-01-13,413
,,"12:00,  문영(디지털),  7,000원","13:30,  연애담(디지털),  7,000원","15:30,  파파좀비(디지털)","17:20,  소시민(디지털),  7,000원","19:40,  7년-그들이 없는 언론(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-13,36
,,"10:50,  잉글리쉬 페이션트(디지털),  7,000원","10:50,  잉글리쉬 페이션트(디지털),  7,000원","14:30,  파리 축제(필름),  6,000원","16:30,  백만장자(필름),  6,000원","19:30,  잉그리드 버그만의 유로파(디지털),  6,000원",,,,,시네마테크관,2017-01-14,212
,,"09:30,  너의 이름은.(디지털),  5,000원","11:40,  너의 이름은.(디지털),  7,000원","13:50,  너의 이름은.(디지털),  5,000원","16:00,  요요마와 실크로드 앙상블(디지털),  7,000원","18:00,  라라랜드(디지털),  7,000원","20:30,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원",,,,소극장,2017-01-14,212
,,"09:30,  모아나(3D 디지털),  8,000원","12:00,  모아나(디지털),  7,000원","14:30,  녹터널 애니멀스(디지털),  7,000원","17:00,  모아나(디지털),  7,000원","19:30,  녹터널 애니멀스(디지털),  7,000원",,,,,중극장,2017-01-14,413
,,"10:00,  오페라의 유령(디지털),  7,000원","13:30,  모아나(디지털),  7,000원","16:00,  오페라의 유령(디지털),  7,000원","19:00,  로그 원: 스타워즈 스토리(디지털),  7,000원",,,,,,하늘연극장,2017-01-14,841
,,"11:30,  소시민(디지털),  7,000원","13:50,  문영(디지털),  7,000원","15:20,  여교사(디지털),  7,000원","17:20,  7년-그들이 없는 언론(디지털),  7,000원","19:30,  위켄즈(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-14,36
,,"10:00,  블루 벨벳(디지털),  5,000원","12:20,  시애틀의 잠 못이루는 밤(디지털),  7,000원","14:30,  검은 눈동자(필름),  6,000원","17:00,  해바라기(필름),  0원","20:00,  마농(디지털),  6,000원",,,,,시네마테크관,2017-01-15,212
,,"09:30,  너의 이름은.(디지털),  5,000원","11:40,  너의 이름은.(디지털),  7,000원","13:50,  너의 이름은.(디지털),  7,000원","16:00,  라라랜드(디지털),  7,000원","18:30,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","20:40,  요요마와 실크로드 앙상블(디지털),  7,000원",,,,소극장,2017-01-15,212
,,"09:30,  모아나(3D 디지털),  8,000원","12:00,  녹터널 애니멀스(디지털),  7,000원","14:30,  모아나(디지털),  7,000원","17:00,  녹터널 애니멀스(디지털),  7,000원","19:30,  모아나(디지털),  7,000원",,,,,중극장,2017-01-15,413
,,"10:00,  로그 원: 스타워즈 스토리(디지털),  5,000원","13:00,  오페라의 유령(디지털),  7,000원",,"16:00,  모아나(디지털),  7,000원","19:00,  오페라의 유령(디지털),  7,000원",,,,,하늘연극장,2017-01-15,841
,,"11:30,  문영(디지털),  7,000원","13:00,  여교사(디지털),  7,000원","15:00,  7년-그들이 없는 언론(디지털),  7,000원",,"17:10,  연애담(디지털),  7,000원","19:10,  걱정말아요(디지털),  7,000원",,,,인디플러스 영화의 전당,2017-01-15,36
,,"09:30,  마스터(디지털 가치봄),  3,000원","12:20,  목숨 건 연애(디지털 가치봄),  3,000원","14:30,  마스터(디지털 가치봄),  3,000원","19:30,  목숨 건 연애(디지털 가치봄),  3,000원",,,,,,시네마테크관,2017-01-16,212
,,"09:50,  라라랜드(디지털),  5,000원","12:20,  요요마와 실크로드 앙상블(디지털),  7,000원","14:20,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","16:30,  나, 다니엘 블레이크(디지털),  7,000원","18:30,  너의 이름은.(디지털),  7,000원","20:40,  나의 위대한 친구, 세잔(디지털),  7,000원",,,,소극장,2017-01-16,212
,,"09:30,  녹터널 애니멀스(디지털),  5,000원","12:00,  모아나(디지털),  7,000원","14:30,  오페라의 유령(디지털),  7,000원","17:30,  모아나(디지털),  7,000원","20:00,  녹터널 애니멀스(디지털),  7,000원",,,,,중극장,2017-01-16,413
,,"12:00,  7년-그들이 없는 언론(디지털),  7,000원","14:10,  걱정말아요(디지털),  7,000원","15:40,  여교사(디지털),  7,000원","17:40,  파파좀비(디지털),  5,000원","19:30,  문영(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-16,36
,,"10:00,  시애틀의 잠 못이루는 밤(디지털),  5,000원","12:10,  블루 벨벳(디지털),  7,000원","14:30,  토도모도(디지털),  0원","17:00,  엘레나와 남자들(디지털),  6,000원","19:30,  공포의 보수(필름),  6,000원",,,,,시네마테크관,2017-01-17,212
,,"10:00,  에곤 쉴레: 욕망이 그린 그림(디지털),  5,000원","12:10,  나의 위대한 친구, 세잔(디지털),  7,000원","14:30,  요요마와 실크로드 앙상블(디지털),  7,000원","16:30,  너의 이름은.(디지털),  7,000원","18:40,  나, 다니엘 블레이크(디지털),  7,000원","20:40,  라라랜드(디지털),  7,000원",,,,소극장,2017-01-17,212
,,"09:30,  모아나(디지털),  5,000원","12:00,  녹터널 애니멀스(디지털),  7,000원","14:30,  로그 원: 스타워즈 스토리(디지털),  7,000원","17:20,  녹터널 애니멀스(디지털),  7,000원","19:50,  모아나(디지털),  7,000원",,,,,중극장,2017-01-17,413
,,"12:00,  여교사(디지털),  7,000원","14:00,  위켄즈(디지털),  7,000원","16:00,  문영(디지털),  7,000원",,"17:30,  7년-그들이 없는 언론(디지털),  7,000원","19:40,  소시민(디지털),  7,000원",,,,인디플러스 영화의 전당,2017-01-17,36
,,"10:00,  블루 벨벳(디지털),  5,000원","12:20,  시애틀의 잠 못이루는 밤(디지털),  0원","14:30,  카사블랑카(디지털),  6,000원","17:00,  진저와 프레드(필름),  0원","20:00,  라일락의 문(필름),  0원",,,,,시네마테크관,2017-01-18,212
,,"09:40,  너의 이름은.(디지털),  5,000원","11:50,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","14:00,  라라랜드(디지털),  7,000원","16:30,  요요마와 실크로드 앙상블(디지털),  7,000원","18:30,  나의 위대한 친구, 세잔(디지털),  7,000원","20:50,  나, 다니엘 블레이크(디지털),  7,000원",,,,소극장,2017-01-18,212
,,"09:30,  공조(디지털),  5,000원","12:00,  더 킹(디지털),  7,000원","14:40,  모아나(디지털),  7,000원","17:00,  공조(디지털),  7,000원","19:40,  더 킹(디지털),  7,000원",,,,,중극장,2017-01-18,413
,,"12:00,  소시민(디지털)","14:20,  문영(디지털),  7,000원","15:50,  7년-그들이 없는 언론(디지털),  7,000원","18:00,  걱정말아요(디지털),  7,000원","19:30,  여교사(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-01-18,36
,,"09:50,  시애틀의 잠 못이루는 밤(디지털),  5,000원","12:00,  블루 벨벳(디지털),  7,000원","14:30,  가스등(필름),  0원","17:00,  오명(디지털),  6,000원","20:00,  사랑의 변주곡(필름),  6,000원",,,,,시네마테크관,2017-01-19,212
,,"10:00,  단지 세상의 끝(디지털),  5,000원","12:00,  라라랜드(디지털),  7,000원","14:30,  나, 다니엘 블레이크(디지털),  7,000원","16:30,  에곤 쉴레: 욕망이 그린 그림(디지털),  7,000원","18:40,  단지 세상의 끝(디지털),  7,000원","20:40,  너의 이름은.(디지털),  7,000원",,,,소극장,2017-01-19,212
,,"09:30,  더 킹(디지털),  5,000원","12:10,  녹터널 애니멀스(디지털),  7,000원","14:30,  더 킹(디지털),  7,000원","17:10,  모아나(디지털),  7,000원","19:40,  공조(디지털),  7,000원",,,,,중극장,2017-01-19,413
