상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2017-08-05,06관,"11:00,  택시운전사(디지털),  6,000원","13:50,  택시운전사(디지털),  9,000원","16:40,  택시운전사(디지털),  9,000원","19:30,  택시운전사(디지털),  9,000원","22:20,  택시운전사(디지털),  9,000원",,,120
2017-08-06,01관,"10:20,  슈퍼배드 3(디지털더빙),  6,500원","12:20,  슈퍼배드 3(디지털더빙),  9,000원","14:30,  슈퍼배드 3(디지털더빙),  9,000원","16:30,  슈퍼배드 3(디지털더빙),  9,000원","18:40,  슈퍼배드 3(디지털더빙),  9,000원","20:50,  내 사랑(디지털),  6,500원",,84
2017-08-06,02관,"10:30,  내 사랑(디지털),  6,000원","13:20,  슈퍼배드 3(디지털더빙),  9,000원","15:20,  슈퍼배드 3(디지털더빙),  9,000원","17:30,  택시운전사(디지털),  9,000원","20:20,  택시운전사(디지털),  9,000원","23:10,  택시운전사(디지털),  9,000원",,121
2017-08-06,03관,,"11:50,  택시운전사(디지털),  9,000원","14:50,  택시운전사(디지털),  9,000원","17:40,  내 사랑(디지털),  6,000원","20:10,  군함도(디지털),  9,000원","23:00,  군함도(디지털)",,132
2017-08-06,04관,"10:50,  군함도(디지털),  6,500원","13:30,  군함도(디지털),  9,000원","16:20,  군함도(디지털),  9,000원","19:10,  군함도(디지털),  9,000원","22:00,  군함도(디지털),  9,000원",,,120
2017-08-06,05관,"10:00,  택시운전사(디지털),  8,000원","12:50,  택시운전사(디지털),  9,000원","15:40,  택시운전사(디지털),  9,000원","18:30,  택시운전사(디지털),  9,000원","21:20,  택시운전사(디지털),  9,000원",,,158
2017-08-06,06관,"11:00,  택시운전사(디지털),  6,000원","13:50,  택시운전사(디지털),  9,000원","16:40,  택시운전사(디지털),  9,000원","19:30,  택시운전사(디지털),  9,000원","22:20,  택시운전사(디지털),  9,000원",,,120
2017-08-07,01관,"10:40,  슈퍼배드 3(디지털더빙),  6,000원","13:00,  슈퍼배드 3(디지털더빙),  9,000원","15:00,  슈퍼배드 3(디지털더빙),  9,000원","17:00,  슈퍼배드 3(디지털더빙),  9,000원","19:00,  택시운전사(디지털),  9,000원","21:45,  택시운전사(디지털),  9,000원",,84
2017-08-07,02관,"10:05,  내 사랑(디지털),  6,000원","12:30,  군함도(디지털),  9,000원","15:20,  군함도(디지털),  9,000원","18:10,  군함도(디지털),  9,000원","21:10,  군함도(디지털),  9,000원",,,121
2017-08-07,03관,"10:00,  택시운전사(디지털),  6,000원","12:50,  택시운전사(디지털),  9,000원","15:40,  택시운전사(디지털),  9,000원","18:30,  내 사랑(디지털),  6,000원","21:00,  택시운전사(디지털),  9,000원",,,132
2017-08-07,04관,"10:50,  군함도(디지털),  6,000원","13:30,  군함도(디지털),  9,000원","16:20,  군함도(디지털),  9,000원","19:10,  군함도(디지털),  9,000원","22:00,  군함도(디지털),  9,000원",,,120
2017-08-07,05관,"11:00,  택시운전사(디지털),  7,500원","13:50,  택시운전사(디지털),  9,000원","16:40,  택시운전사(디지털),  9,000원","19:30,  택시운전사(디지털),  9,000원","22:20,  택시운전사(디지털),  9,000원",,,158
2017-08-07,06관,,"11:50,  택시운전사(디지털),  9,000원","14:40,  택시운전사(디지털),  9,000원","17:40,  택시운전사(디지털),  9,000원","20:30,  택시운전사(디지털),  9,000원",,,120
2017-08-08,01관,"10:40,  슈퍼배드 3(디지털더빙),  6,000원","13:00,  슈퍼배드 3(디지털더빙),  9,000원","15:00,  슈퍼배드 3(디지털더빙),  9,000원","17:00,  슈퍼배드 3(디지털더빙),  8,000원","19:00,  택시운전사(디지털),  9,000원","21:45,  택시운전사(디지털),  9,000원",,84
2017-08-08,02관,"10:05,  내 사랑(디지털),  6,000원","12:30,  군함도(디지털),  9,000원","15:20,  군함도(디지털),  9,000원","18:10,  군함도(디지털)","21:10,  군함도(디지털),  9,000원",,,121
2017-08-08,03관,"10:00,  택시운전사(디지털),  6,000원","12:50,  택시운전사(디지털),  9,000원","15:40,  택시운전사(디지털),  9,000원","18:30,  내 사랑(디지털),  6,000원","21:00,  택시운전사(디지털),  9,000원",,,132
