상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2019-10-01,02관,"09:40,  나쁜 녀석들: 더 무비(디지털),  6,000원","12:00,  나쁜 녀석들: 더 무비(디지털),  8,000원","14:20,  나쁜 녀석들: 더 무비(디지털),  10,000원","16:40,  나쁜 녀석들: 더 무비(디지털),  10,000원","19:00,  나쁜 녀석들: 더 무비(디지털),  10,000원","21:20,  나쁜 녀석들: 더 무비(디지털),  8,000원",,189
2019-10-01,03관,"10:40,  힘을 내요, 미스터 리(디지털),  6,000원","13:00,  타짜: 원 아이드 잭(디지털),  10,000원","15:45,  마왕의 딸 이리샤(디지털)","17:35,  나쁜 녀석들: 더 무비(디지털)","20:00,  나쁜 녀석들: 더 무비(디지털),  10,000원","22:20,  나쁜 녀석들: 더 무비(디지털),  8,000원",,120
2019-10-01,04관,"10:30,  양자물리학(디지털),  6,000원","12:55,  양자물리학(디지털),  8,000원","15:20,  양자물리학(디지털),  10,000원","17:45,  양자물리학(디지털),  8,500원","20:10,  양자물리학(디지털),  10,000원","22:35,  양자물리학(디지털),  8,000원",,137
2019-10-01,05관,"09:30,  애드 아스트라(디지털),  6,000원","12:00,  레플리카(디지털),  8,000원","14:15,  애드 아스트라(디지털),  10,000원","16:45,  애드 아스트라(디지털)","19:15,  장사리 : 잊혀진 영웅들(디지털),  10,000원","21:25,  장사리 : 잊혀진 영웅들(디지털),  8,000원",,120
2019-10-02,01관,"09:30,  조커(디지털),  6,000원","12:00,  조커(디지털),  8,000원","14:30,  조커(디지털),  10,000원","17:00,  조커(디지털),  10,000원","19:30,  조커(디지털),  10,000원","22:00,  조커(디지털),  8,000원",,180
2019-10-02,02관,"09:30,  가장 보통의 연애(디지털),  6,000원","11:45,  가장 보통의 연애(디지털),  6,500원","14:00,  가장 보통의 연애(디지털),  10,000원","16:15,  가장 보통의 연애(디지털),  10,000원","18:30,  가장 보통의 연애(디지털),  10,000원","20:45,  가장 보통의 연애(디지털),  10,000원","23:00,  가장 보통의 연애(디지털),  8,000원",189
2019-10-02,03관,"10:20,  퍼펙트맨(디지털),  6,000원","12:45,  소피와 드래곤: 마법책의 비밀(디지털더빙)","14:25,  퍼펙트맨(디지털),  10,000원","16:50,  퍼펙트맨(디지털),  10,000원","19:15,  퍼펙트맨(디지털),  10,000원","21:40,  퍼펙트맨(디지털),  8,000원",,120
2019-10-02,04관,"10:30,  조커(디지털),  6,000원","13:00,  양자물리학(디지털),  10,000원","15:25,  조커(디지털),  10,000원","17:55,  양자물리학(디지털),  10,000원","20:30,  조커(디지털),  10,000원","23:00,  조커(디지털),  8,000원",,137
2019-10-02,05관,"10:00,  장사리 : 잊혀진 영웅들(디지털),  6,000원","12:25,  장사리 : 잊혀진 영웅들(디지털),  8,000원","15:00,  가장 보통의 연애(디지털),  10,000원","17:15,  가장 보통의 연애(디지털),  10,000원","19:30,  장사리 : 잊혀진 영웅들(디지털),  10,000원","21:40,  가장 보통의 연애(디지털),  8,000원",,120
2019-10-03,01관,"09:30,  조커(디지털),  6,000원","12:00,  조커(디지털),  10,000원","14:30,  조커(디지털),  10,000원","17:00,  조커(디지털),  10,000원","19:30,  조커(디지털),  10,000원","22:00,  조커(디지털),  8,000원",,180
2019-10-03,02관,"09:50,  가장 보통의 연애(디지털),  6,000원","12:05,  가장 보통의 연애(디지털),  10,000원","14:20,  가장 보통의 연애(디지털),  10,000원","16:35,  가장 보통의 연애(디지털),  10,000원","18:50,  가장 보통의 연애(디지털),  7,000원","21:05,  가장 보통의 연애(디지털),  8,000원",,189
2019-10-03,03관,"10:40,  퍼펙트맨(디지털),  6,000원","13:05,  소피와 드래곤: 마법책의 비밀(디지털더빙),  10,000원","15:00,  퍼펙트맨(디지털),  10,000원","17:25,  퍼펙트맨(디지털),  10,000원","19:50,  퍼펙트맨(디지털),  10,000원","22:15,  퍼펙트맨(디지털),  8,000원",,120
2019-10-03,04관,"09:30,  오션스: 문어구출대작전(디지털더빙),  6,000원","11:05,  양자물리학(디지털),  10,000원","13:30,  조커(디지털),  10,000원","16:00,  양자물리학(디지털),  10,000원","18:25,  조커(디지털),  10,000원","20:55,  조커(디지털),  10,000원",,137
2019-10-03,05관,"10:20,  장사리 : 잊혀진 영웅들(디지털),  6,000원","13:00,  가장 보통의 연애(디지털),  10,000원","15:15,  장사리 : 잊혀진 영웅들(디지털),  10,000원","17:25,  가장 보통의 연애(디지털),  10,000원","20:00,  가장 보통의 연애(디지털),  10,000원","22:15,  가장 보통의 연애(디지털),  8,000원",,120
2019-10-04,01관,"09:30,  조커(디지털),  6,000원","12:00,  조커(디지털),  10,000원","14:30,  조커(디지털),  10,000원","17:00,  조커(디지털),  10,000원","19:30,  조커(디지털),  10,000원","22:00,  조커(디지털),  8,000원",,180
2019-10-04,02관,"09:50,  가장 보통의 연애(디지털),  6,000원","12:05,  가장 보통의 연애(디지털),  10,000원","14:20,  가장 보통의 연애(디지털),  10,000원","16:35,  가장 보통의 연애(디지털),  10,000원","18:50,  가장 보통의 연애(디지털),  10,000원","21:05,  가장 보통의 연애(디지털),  8,000원","23:20,  가장 보통의 연애(디지털),  8,000원",189
2019-10-04,03관,"10:40,  퍼펙트맨(디지털),  6,000원","13:05,  소피와 드래곤: 마법책의 비밀(디지털더빙),  10,000원","15:00,  퍼펙트맨(디지털),  10,000원","17:45,  퍼펙트맨(디지털),  10,000원","20:10,  퍼펙트맨(디지털),  10,000원","22:35,  퍼펙트맨(디지털),  8,000원",,120
2019-10-04,04관,"09:30,  오션스: 문어구출대작전(디지털더빙),  6,000원","11:05,  양자물리학(디지털)","13:30,  조커(디지털),  10,000원","16:00,  양자물리학(디지털)","18:25,  조커(디지털),  10,000원","20:55,  조커(디지털),  10,000원","23:25,  조커(디지털),  8,000원",137
2019-10-04,05관,"10:20,  장사리 : 잊혀진 영웅들(디지털),  6,000원","13:00,  가장 보통의 연애(디지털),  10,000원","15:15,  장사리 : 잊혀진 영웅들(디지털),  10,000원","17:25,  가장 보통의 연애(디지털),  10,000원","20:00,  가장 보통의 연애(디지털),  10,000원","22:15,  가장 보통의 연애(디지털),  8,000원",,120
2019-10-05,01관,"09:40,  조커(디지털),  6,000원","12:10,  조커(디지털),  10,000원","14:40,  조커(디지털),  10,000원","17:10,  조커(디지털),  10,000원","19:40,  조커(디지털),  10,000원","22:10,  조커(디지털),  8,000원",,180
2019-10-05,02관,"09:30,  가장 보통의 연애(디지털),  6,000원","11:45,  가장 보통의 연애(디지털),  10,000원","14:00,  가장 보통의 연애(디지털),  10,000원","16:15,  가장 보통의 연애(디지털),  10,000원","18:30,  가장 보통의 연애(디지털),  10,000원","20:45,  가장 보통의 연애(디지털),  10,000원","23:00,  가장 보통의 연애(디지털),  8,000원",189
