상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2018-11-21,02관,"11:00,  폴란드로 간 아이들(디지털),  6,000원","13:00,  풀잎들(디지털),  9,000원","15:00,  폴란드로 간 아이들(디지털),  9,000원","17:00,  풀잎들(디지털),  9,000원","20:00,  1991, 봄(디지털),  9,000원",,,138
2018-11-22,01관,"10:50,  바울(디지털),  6,000원","13:00,  해피 댄싱(디지털),  9,000원","15:10,  베일리 어게인(디지털),  9,000원","17:10,  페르세폴리스(디지털),  9,000원","19:10,  화씨 11/9: 트럼프의 시대(디지털),  9,000원",,,138
2018-11-22,02관,"11:00,  영주(디지털),  6,000원","13:10,  폴란드로 간 아이들(디지털),  9,000원","15:00,  풀잎들(디지털),  9,000원","17:00,  폴란드로 간 아이들(디지털),  9,000원","19:00,  영주(디지털),  9,000원",,,138
2018-11-23,01관,"10:50,  해피 댄싱(디지털),  6,000원","13:00,  페르세폴리스(디지털),  9,000원","14:55,  화씨 11/9: 트럼프의 시대(디지털),  10,000원","17:20,  베일리 어게인(디지털),  10,000원","19:20,  바울(디지털),  10,000원",,,138
2018-11-23,02관,"11:10,  풀잎들(디지털),  6,000원","13:10,  영주(디지털),  8,000원","15:10,  폴란드로 간 아이들(디지털),  10,000원","17:10,  영주(디지털),  9,000원","19:10,  풀잎들(디지털),  10,000원",,,138
2018-11-24,01관,"10:15,  뉴욕 라이브러리에서(디지털),  8,000원","14:00,  페르세폴리스(디지털),  10,000원","15:55,  베일리 어게인(디지털),  10,000원","17:55,  화씨 11/9: 트럼프의 시대(디지털),  10,000원","20:20,  베일리 어게인(디지털),  10,000원",,,138
2018-11-24,02관,"10:30,  바울(디지털),  7,000원","13:00,  해피 댄싱(디지털),  10,000원","15:10,  호밀밭의 반항아(디지털),  10,000원","17:30,  해피 댄싱(디지털),  10,000원","20:00,  필름스타 인 리버풀(디지털),  10,000원",,,138
2018-11-25,01관,"10:10,  베일리 어게인(디지털),  6,000원","12:10,  화씨 11/9: 트럼프의 시대(디지털),  10,000원","14:35,  뉴욕 라이브러리에서(디지털),  12,000원","18:20,  페르세폴리스(디지털),  10,000원","20:15,  베일리 어게인(디지털),  10,000원",,,138
2018-11-25,02관,"10:30,  해피 댄싱(디지털),  6,000원","13:00,  바울(디지털),  10,000원","15:10,  필름스타 인 리버풀(디지털),  10,000원","17:30,  바울(디지털),  10,000원",,,,138
2018-11-26,01관,"10:40,  풀잎들(디지털),  6,000원","13:00,  영주(디지털),  9,000원","15:10,  폴란드로 간 아이들(디지털),  9,000원",,"19:00,  풀잎들(디지털),  9,000원","23:00,  뉴욕 라이브러리에서(디지털),  12,000원",,138
2018-11-26,02관,"10:30,  페르세폴리스(디지털),  10,000원","12:25,  화씨 11/9: 트럼프의 시대(디지털),  10,000원","14:55,  해피 댄싱(디지털),  10,000원","17:10,  바울(디지털),  10,000원","19:20,  베일리 어게인(디지털),  9,000원","25:25,  필름스타 인 리버풀(디지털),  10,000원","25:00,  베일리 어게인(디지털),  10,000원",138
2018-11-27,01관,"11:00,  풀잎들(디지털),  6,000원","13:00,  폴란드로 간 아이들(디지털),  6,000원","15:00,  영주(디지털),  9,000원","17:00,  폴란드로 간 아이들(디지털),  9,000원","19:00,  영주(디지털),  9,000원",,,138
2018-11-27,02관,"10:30,  베일리 어게인(디지털),  10,000원","12:30,  바울(디지털),  9,000원",,"17:25,  페르세폴리스(디지털),  9,000원","19:20,  화씨 11/9: 트럼프의 시대(디지털),  9,000원",,,138
2018-11-28,01관,"11:00,  풀잎들(디지털),  6,000원","13:10,  영주(디지털),  9,000원","15:10,  폴란드로 간 아이들(디지털),  9,000원","17:10,  영주(디지털),  9,000원","19:10,  풀잎들(디지털),  9,000원",,,138
2018-11-28,02관,"10:50,  바울(디지털),  6,000원","12:55,  베일리 어게인(디지털),  9,000원","14:55,  화씨 11/9: 트럼프의 시대(디지털),  9,000원","17:20,  해피 댄싱(디지털),  9,000원","19:30,  페르세폴리스(디지털),  9,000원",,,138
2018-11-29,01관,"10:50,  베일리 어게인(디지털),  6,000원","12:50,  보헤미안 랩소디(디지털),  9,000원","15:25,  인 디 아일(디지털),  9,000원","18:00,  페르세폴리스(디지털),  9,000원","20:10,  보헤미안 랩소디(디지털),  9,000원",,,138
2018-11-29,02관,"11:00,  영주(디지털),  7,000원","13:00,  풀잎들(디지털),  9,000원","15:00,  영주(디지털),  9,000원","17:00,  폴란드로 간 아이들(디지털),  9,000원","20:00,  어른이 되면(디지털),  6,000원",,,138
2018-11-30,01관,"10:40,  보헤미안 랩소디(디지털),  6,000원","13:15,  페르세폴리스(디지털),  9,000원","15:10,  인 디 아일(디지털),  10,000원","17:35,  보헤미안 랩소디(디지털),  10,000원","20:10,  뉴욕 라이브러리에서(디지털),  12,000원",,,138
2018-11-30,02관,"10:50,  베일리 어게인(디지털),  6,000원","12:50,  바울(디지털),  9,000원","14:55,  화씨 11/9: 트럼프의 시대(디지털),  10,000원","17:20,  해피 댄싱(디지털),  10,000원","19:30,  베일리 어게인(디지털),  10,000원",,,138
2018-12-01,01관,"10:20,  인 디 아일(디지털),  7,000원","12:45,  보헤미안 랩소디(디지털),  10,000원","15:20,  페르세폴리스(디지털),  10,000원","17:15,  보헤미안 랩소디(디지털),  10,000원","19:50,  뉴욕 라이브러리에서(디지털),  12,000원",,,138
2018-12-01,02관,"10:10,  바울(디지털),  6,000원","12:15,  베일리 어게인(디지털),  10,000원","14:15,  해피 댄싱(디지털),  10,000원","16:25,  베일리 어게인(디지털),  10,000원","19:00,  천당의 밤과 안개(디지털),  13,000원",,,138
2018-12-02,01관,"10:10,  보헤미안 랩소디(디지털),  6,000원","12:55,  인 디 아일(디지털),  10,000원","15:20,  보헤미안 랩소디(디지털),  10,000원","17:55,  페르세폴리스(디지털),  10,000원","19:50,  뉴욕 라이브러리에서(디지털),  12,000원",,,138
2018-12-02,02관,"10:20,  베일리 어게인(디지털),  6,000원","12:30,  바울(디지털),  10,000원","14:40,  베일리 어게인(디지털),  10,000원","16:40,  화씨 11/9: 트럼프의 시대(디지털),  10,000원","19:40,  바울(디지털),  10,000원",,,138
2018-12-03,01관,"10:30,  페르세폴리스(디지털),  6,000원","12:25,  해피 댄싱(디지털),  9,000원","14:35,  보헤미안 랩소디(디지털),  9,000원","17:10,  페르세폴리스(디지털),  9,000원","19:10,  보헤미안 랩소디(디지털),  9,000원",,,138
2018-12-03,02관,"10:40,  바울(디지털),  6,000원","12:50,  베일리 어게인(디지털),  9,000원","14:50,  화씨 11/9: 트럼프의 시대(디지털),  9,000원","17:20,  인 디 아일(디지털),  9,000원","19:45,  베일리 어게인(디지털),  9,000원",,,138
2018-12-04,01관,"10:50,  해피 댄싱(디지털),  6,000원","13:00,  보헤미안 랩소디(디지털),  9,000원","15:35,  페르세폴리스(디지털),  9,000원","17:30,  보헤미안 랩소디(디지털),  9,000원","20:05,  페르세폴리스(디지털),  9,000원",,,138
