상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2019-06-17,01관,"10:00,  기생충(디지털)","12:25,  맨 인 블랙: 인터내셔널(디지털),  6,000원","14:35,  기생충(디지털),  6,000원","17:00,  빅샤크2: 해저2만리(디지털더빙)","18:30,  기생충(디지털),  6,000원","20:55,  맨 인 블랙: 인터내셔널(디지털),  6,000원",,,,,,,59
2019-06-17,02관,"09:50,  로켓맨(디지털)","12:05,  엑스맨: 다크 피닉스(디지털),  6,000원","14:15,  알라딘(디지털더빙),  6,000원","16:40,  맨 인 블랙: 인터내셔널(디지털),  6,000원","18:50,  알라딘(디지털),  6,000원","21:15,  엑스맨: 다크 피닉스(디지털),  6,000원",,,,,,,39
2019-06-18,01관,"09:30,  알라딘(디지털더빙),  5,000원","11:55,  기생충(디지털),  6,000원","14:20,  맨 인 블랙: 인터내셔널(디지털),  6,000원","16:30,  기생충(디지털),  6,000원","18:55,  맨 인 블랙: 인터내셔널(디지털),  6,000원","21:05,  기생충(디지털),  6,000원",,,,,,,59
2019-06-18,02관,"10:20,  로켓맨(디지털),  6,000원","12:35,  엑스맨: 다크 피닉스(디지털)","14:45,  빅샤크2: 해저2만리(디지털더빙)","16:15,  맨 인 블랙: 인터내셔널(디지털)","18:25,  알라딘(디지털),  6,000원","20:50,  엑스맨: 다크 피닉스(디지털),  6,000원",,,,,,,39
2019-06-19,01관,"10:10,  기생충(디지털),  6,000원","12:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:55,  빅샤크2: 해저2만리(디지털더빙)","16:20,  알라딘(디지털),  6,000원","18:45,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","21:00,  맨 인 블랙: 인터내셔널(디지털),  6,000원",,,,,,,59
2019-06-19,02관,"09:50,  맨 인 블랙: 인터내셔널(디지털)","12:00,  엑스맨: 다크 피닉스(디지털)","14:10,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:25,  기생충(디지털),  6,000원","18:50,  알라딘(디지털),  6,000원","21:15,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,,,,,39
2019-06-20,01관,"09:30,  토이 스토리 4(디지털더빙),  5,000원","11:30,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","13:50,  기생충(디지털),  6,000원","16:20,  맨 인 블랙: 인터내셔널(디지털),  6,000원","18:30,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,"20:45,  기생충(디지털),  6,000원",,,,,,59
2019-06-20,02관,"10:20,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","12:35,  알라딘(디지털),  6,000원","15:00,  토이 스토리 4(디지털더빙),  6,000원","16:55,  빅샤크2: 해저2만리(디지털더빙)","18:25,  맨 인 블랙: 인터내셔널(디지털),  6,000원","20:35,  알라딘(디지털),  6,000원",,,,,,,39
2019-06-21,01관,"10:00,  토이 스토리 4(디지털더빙)","11:55,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:10,  토이 스토리 4(디지털더빙),  6,000원","16:05,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","18:20,  기생충(디지털),  6,000원","20:45,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,,,,,59
2019-06-21,02관,"10:20,  맨 인 블랙: 인터내셔널(디지털)","12:30,  알라딘(디지털),  6,000원","14:55,  기생충(디지털),  6,000원","17:25,  빅샤크2: 해저2만리(디지털더빙)","18:55,  맨 인 블랙: 인터내셔널(디지털),  6,000원","21:05,  알라딘(디지털),  6,000원",,,,,,,39
2019-06-22,01관,"10:00,  토이 스토리 4(디지털더빙),  6,000원","11:55,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:10,  토이 스토리 4(디지털더빙),  6,000원","16:05,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","18:20,  기생충(디지털),  6,000원","20:45,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,,,,,59
2019-06-22,02관,"10:00,  맨 인 블랙: 인터내셔널(디지털),  6,000원","12:10,  빅샤크2: 해저2만리(디지털더빙),  5,000원","13:40,  알라딘(디지털더빙),  6,000원","16:05,  기생충(디지털),  6,000원","18:30,  알라딘(디지털),  6,000원","20:55,  맨 인 블랙: 인터내셔널(디지털),  6,000원",,,,,,,39
2019-06-23,01관,"10:00,  토이 스토리 4(디지털더빙),  6,000원","11:55,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:10,  토이 스토리 4(디지털더빙),  6,000원","16:05,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","18:20,  기생충(디지털),  6,000원","20:45,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,,,,,59
2019-06-23,02관,"10:00,  맨 인 블랙: 인터내셔널(디지털),  6,000원","12:10,  빅샤크2: 해저2만리(디지털더빙),  6,000원","13:40,  알라딘(디지털더빙),  6,000원","16:05,  기생충(디지털),  6,000원","18:30,  알라딘(디지털),  6,000원","20:55,  맨 인 블랙: 인터내셔널(디지털),  6,000원",,,,,,,39
2019-06-24,01관,"10:00,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","12:15,  기생충(디지털),  6,000원","14:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:55,  토이 스토리 4(디지털더빙),  6,000원","18:50,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","21:05,  기생충(디지털),  6,000원",,,,,,,59
2019-06-24,02관,"10:00,  토이 스토리 4(디지털더빙)","11:55,  알라딘(디지털),  6,000원","14:20,  맨 인 블랙: 인터내셔널(디지털),  6,000원","16:30,  기생충(디지털),  6,000원","18:55,  알라딘(디지털),  6,000원","21:20,  맨 인 블랙: 인터내셔널(디지털),  6,000원",,,,,,,39
2019-06-25,01관,"10:00,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","12:15,  기생충(디지털),  6,000원","14:40,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:55,  토이 스토리 4(디지털더빙),  6,000원","18:50,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","21:05,  기생충(디지털),  6,000원",,,,,,,59
2019-06-25,02관,"10:00,  토이 스토리 4(디지털더빙),  6,000원","11:55,  알라딘(디지털),  6,000원","14:20,  맨 인 블랙: 인터내셔널(디지털)","16:30,  기생충(디지털),  6,000원","18:55,  알라딘(디지털),  6,000원","21:20,  맨 인 블랙: 인터내셔널(디지털),  6,000원",,,,,,,39
2019-06-26,01관,"09:50,  비스트(디지털),  5,000원","12:15,  롱 리브 더 킹: 목포 영웅(디지털),  5,000원","14:30,  비스트(디지털),  5,000원","16:55,  롱 리브 더 킹: 목포 영웅(디지털),  5,000원","19:10,  비스트(디지털),  5,000원","21:35,  롱 리브 더 킹: 목포 영웅(디지털),  5,000원",,,,,,,59
2019-06-26,02관,"09:50,  존 윅 3: 파라벨룸(디지털),  5,000원","12:20,  알라딘(디지털더빙),  5,000원","14:45,  기생충(디지털),  5,000원","17:10,  토이 스토리 4(디지털더빙),  6,000원","19:05,  존 윅 3: 파라벨룸(디지털),  5,000원","21:30,  알라딘(디지털),  5,000원",,,,,,,39
2019-06-27,01관,"09:50,  비스트(디지털)","12:15,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:30,  비스트(디지털),  6,000원","16:55,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","18:50,  비스트(디지털)","21:35,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,,,,,59
