상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-31,01관,"11:00,  내일을 위한 시간(디지털),  5,000원","13:00,  아이 킬드 마이 마더(디지털),  5,000원","15:00,  생각보다 맑은(디지털),  5,000원","16:40,  미스터 터너(디지털),  5,000원","19:30,  트라이브(디지털),  5,000원",,,98
2015-02-01,01관,"10:30,  아메리칸 셰프(디지털),  5,000원","12:50,  이별까지 7일(디지털),  5,000원","15:10,  미스터 터너(디지털),  5,000원","18:00,  아이 킬드 마이 마더(디지털),  5,000원","20:00,  트라이브(디지털),  5,000원",,,98
2015-02-03,01관,"14:00,  영건 탐정사무소(디지털),  0원","17:00,  고스톱 살인(디지털),  0원","19:30,  판타스틱 자살소동(필름),  0원",,,,,98
2015-02-04,01관,"11:00,  내일을 위한 시간(디지털),  5,000원","13:00,  이별까지 7일(디지털),  5,000원","15:20,  아메리칸 셰프(디지털),  5,000원","17:40,  트라이브(디지털),  5,000원","20:10,  생각보다 맑은(디지털),  5,000원",,,98
2015-02-05,01관,"11:00,  미스터 터너(디지털),  5,000원","13:50,  아메리칸 셰프(디지털),  5,000원","16:00,  아이 킬드 마이 마더(디지털),  5,000원","18:00,  오마르(디지털),  5,000원","20:00,  폭스캐처(디지털),  5,000원",,,98
2015-02-06,01관,"11:00,  트라이브(디지털),  5,000원",,"15:10,  미스터 터너(디지털),  5,000원","18:00,  아이 킬드 마이 마더(디지털),  5,000원","20:00,  오마르(디지털),  5,000원",,,98
2015-02-07,01관,"11:00,  아메리칸 셰프(디지털),  5,000원","13:10,  폭스캐처(디지털),  5,000원","15:50,  트라이브(디지털),  5,000원","18:20,  생각보다 맑은(디지털),  4,000원","20:00,  미스터 터너(디지털),  5,000원",,,98
2015-02-08,01관,"11:00,  아이 킬드 마이 마더(디지털),  5,000원","13:00,  오마르(디지털),  5,000원","15:00,  폭스캐처(디지털),  5,000원","17:40,  트라이브(디지털),  5,000원","20:10,  생각보다 맑은(디지털),  5,000원",,,98
2015-02-10,01관,"14:00,  숫호구(디지털),  0원","17:00,  영건 탐정사무소(디지털),  0원","19:30,  고스톱 살인(디지털),  0원",,,,,98
2015-02-11,01관,"11:00,  아메리칸 셰프(디지털),  5,000원","13:10,  미스터 터너(디지털),  5,000원","16:00,  아이 킬드 마이 마더(디지털),  5,000원","18:00,  오마르(디지털),  5,000원","20:00,  트라이브(디지털),  5,000원",,,98
2015-02-12,01관,"10:30,  생각보다 맑은(디지털),  5,000원","12:10,  꿈보다 해몽(디지털),  4,000원",,"16:30,  생각보다 맑은(디지털),  4,000원","18:10,  꿈보다 해몽(디지털),  5,000원","20:10,  망원동 인공위성(디지털),  5,000원",,98
2015-02-13,01관,"10:30,  미스터 터너(디지털),  5,000원","13:20,  폭스캐처(디지털),  5,000원","15:50,  오마르(디지털),  5,000원","17:50,  갓 헬프 더 걸(디지털),  5,000원","20:00,  백설공주 살인사건(디지털),  4,000원",,,98
2015-02-14,01관,"11:00,  트라이브(디지털),  5,000원","13:30,  꿈보다 해몽(디지털),  5,000원","15:30,  폭스캐처(디지털),  5,000원","18:00,  오마르(디지털),  5,000원","20:00,  갓 헬프 더 걸(디지털),  5,000원",,,98
2015-02-15,01관,"10:30,  미스터 터너(디지털),  5,000원","13:20,  백설공주 살인사건(디지털),  5,000원","15:50,  망원동 인공위성(디지털),  5,000원","18:00,  오마르(디지털),  5,000원","20:00,  폭스캐처(디지털),  5,000원",,,98
2015-02-17,01관,"14:00,  판타스틱 자살소동(필름),  0원","17:00,  숫호구(디지털),  0원","19:30,  영건 탐정사무소(디지털),  0원",,,,,98
2015-02-18,01관,"13:30,  마담 프루스트의 비밀정원(디지털),  0원","15:40,  트라이브(디지털),  5,000원","18:10,  오마르(디지털),  5,000원","20:00,  갓 헬프 더 걸(디지털),  5,000원",,,,98
2015-02-19,01관,"13:30,  마담 프루스트의 비밀정원(디지털),  0원","15:40,  웰컴, 삼바(디지털),  5,000원","18:00,  꿈보다 해몽(디지털),  5,000원","20:00,  백설공주 살인사건(디지털),  5,000원",,,,98
2015-02-20,01관,"13:30,  마담 프루스트의 비밀정원(디지털),  0원","15:40,  오마르(디지털),  5,000원","17:40,  망원동 인공위성(디지털),  5,000원","19:50,  폭스캐처(디지털),  5,000원",,,,98
2015-02-21,01관,"10:30,  폭스캐처(디지털),  5,000원","13:10,  웰컴, 삼바(디지털),  5,000원","15:30,  꿈보다 해몽(디지털),  5,000원","17:30,  백설공주 살인사건(디지털),  5,000원","20:00,  갓 헬프 더 걸(디지털),  5,000원",,,98
2015-02-22,01관,,"13:10,  오마르(디지털),  5,000원","15:10,  폭스캐처(디지털),  5,000원","17:40,  웰컴, 삼바(디지털),  5,000원","20:00,  꿈보다 해몽(디지털),  5,000원",,,98
2015-02-24,01관,"14:00,  고스톱 살인(디지털),  0원","17:00,  판타스틱 자살소동(필름),  0원","19:30,  숫호구(디지털),  0원",,,,,98
2015-02-25,01관,"11:00,  오마르(디지털),  5,000원","13:00,  폭스캐처(디지털),  5,000원","15:30,  망원동 인공위성(디지털),  5,000원","17:40,  갓 헬프 더 걸(디지털),  5,000원","19:50,  백설공주 살인사건(디지털),  4,000원",,,98
2015-02-26,01관,"11:00,  파리 폴리(디지털),  5,000원","13:00,  조류인간(디지털),  4,000원","15:30,  품행제로(디지털),  5,000원","17:00,  거대한 환상(디지털),  5,000원","19:30,  망향(디지털),  5,000원",,,98
2015-02-27,01관,"11:00,  웰컴, 삼바(디지털),  5,000원","14:00,  인생유전(디지털),  5,000원","17:40,  축제일(디지털),  5,000원","19:40,  황금 투구(디지털),  5,000원",,,,98
2015-02-28,01관,"11:00,  망원동 인공위성(디지털),  5,000원","13:10,  꿈보다 해몽(디지털),  5,000원","15:30,  마담 드...(디지털),  5,000원","17:40,  소매치기(디지털),  5,000원","19:30,  얼굴없는 눈(디지털),  5,000원",,,98
2015-03-01,01관,"11:00,  백설공주 살인사건(디지털),  5,000원","13:30,  갓 헬프 더 걸(디지털),  5,000원","15:40,  파리 폴리(디지털),  5,000원","17:40,  조류인간(디지털),  5,000원","19:50,  웰컴, 삼바(디지털),  5,000원",,,98
2015-03-03,01관,"13:30,  조류인간(디지털),  5,000원","15:40,  망원동 인공위성(디지털)","17:50,  꿈보다 해몽(디지털),  5,000원","19:50,  조류인간(디지털),  5,000원",,,,98
2015-03-04,01관,"11:00,  조류인간(디지털),  5,000원","13:10,  웰컴, 삼바(디지털),  5,000원","15:30,  백설공주 살인사건(디지털),  4,000원","17:50,  갓 헬프 더 걸(디지털),  4,000원","20:00,  파리 폴리(디지털),  5,000원",,,98
2015-03-05,01관,"11:00,  망원동 인공위성(디지털),  5,000원","13:10,  꿈보다 해몽(디지털),  5,000원","15:10,  조류인간(디지털),  5,000원","17:20,  망원동 인공위성(디지털)","19:30,  꿈보다 해몽(디지털),  5,000원",,,98
2015-03-06,01관,"11:00,  파리 폴리(디지털),  5,000원","13:00,  웰컴, 삼바(디지털),  5,000원","15:20,  백설공주 살인사건(디지털),  5,000원","17:40,  갓 헬프 더 걸(디지털),  5,000원","19:50,  조류인간(디지털),  5,000원",,,98
2015-03-07,01관,"11:00,  도둑맞은 욕정(디지털),  0원","14:00,  작은 오빠(디지털),  0원","17:00,  돼지와 군함(디지털),  0원","19:30,  일본 곤충기(디지털),  0원",,,,98
2015-03-08,01관,"11:00,  붉은 살의(디지털),  0원","14:00,  나라야마 부시코(디지털),  0원","17:00,  여현(디지털),  0원","19:30,  검은 비(디지털),  0원",,,,98
2015-03-10,01관,"13:30,  갓 헬프 더 걸(디지털),  5,000원","15:40,  파리 폴리(디지털),  5,000원","17:40,  웰컴, 삼바(디지털),  5,000원","20:00,  백설공주 살인사건(디지털),  5,000원",,,,98
2015-03-11,01관,"11:00,  꿈보다 해몽(디지털),  4,000원","13:00,  조류인간(디지털),  4,000원","15:10,  망원동 인공위성(디지털)","17:20,  꿈보다 해몽(디지털),  5,000원","19:30,  조류인간(디지털),  4,000원",,,98
2015-03-12,01관,"11:00,  웰컴, 삼바(디지털),  5,000원","13:20,  갓 헬프 더 걸(디지털),  5,000원","15:30,  파리 폴리(디지털),  5,000원","17:30,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원","19:50,  소셜포비아(디지털),  5,000원",,,98
2015-03-13,01관,"11:00,  조류인간(디지털),  5,000원","13:20,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원","15:40,  소셜포비아(디지털),  5,000원","17:40,  웰컴, 삼바(디지털),  5,000원","20:00,  파리 폴리(디지털),  5,000원",,,98
