상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2018-06-22,05관,"09:00,  미드나잇 선(디지털)","10:55,  쥬라기 월드: 폴른 킹덤(디지털),  7,000원","13:30,  미드나잇 선(디지털),  12,000원","15:25,  탐정: 리턴즈(디지털),  12,000원","17:45,  미드나잇 선(디지털),  12,000원","19:40,  탐정: 리턴즈(디지털),  12,000원","22:00,  미드나잇 선(디지털),  12,000원","24:00,  탐정: 리턴즈(디지털),  7,000원",,,,154
2018-06-22,06관,"09:00,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원","11:35,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","14:10,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","16:45,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","19:20,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","21:55,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","24:30,  쥬라기 월드: 폴른 킹덤(디지털)",,,,,180
2018-06-22,4DX,"09:40,  쥬라기 월드: 폴른 킹덤(4D),  9,000원","12:20,  아바타(4D),  12,000원","15:30,  쥬라기 월드: 폴른 킹덤(4D),  12,000원","18:05,  아바타(4D),  12,000원","21:15,  쥬라기 월드: 폴른 킹덤(4D),  12,000원","23:50,  아바타(4D),  12,000원",,,,,,84
2018-06-23,01관(SCREENX),"08:45,  오션스8(디지털),  7,000원","11:00,  오션스8(디지털),  7,000원","13:15,  오션스8(디지털),  12,000원","15:30,  오션스8(디지털),  12,000원","17:45,  오션스8(디지털),  12,000원","20:00,  오션스8(디지털),  12,000원","22:15,  오션스8(디지털),  12,000원","24:30,  오션스8(디지털),  8,500원",,,,182
2018-06-23,02관,"09:20,  탐정: 리턴즈(디지털),  7,000원","11:40,  아이 캔 온리 이매진(디지털),  7,000원","14:00,  여중생A(디지털),  9,000원","16:20,  아이 캔 온리 이매진(디지털),  12,000원","18:40,  여중생A(디지털),  9,000원","21:00,  탐정: 리턴즈(디지털),  12,000원","23:20,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원",,,,,164
2018-06-23,03관(프리미엄),"09:30,  오션스8(디지털)","12:00,  탐정: 리턴즈(디지털),  11,000원","14:30,  탐정: 리턴즈(디지털),  11,000원","16:50,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","19:25,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","22:00,  탐정: 리턴즈(디지털),  11,000원","24:20,  탐정: 리턴즈(디지털),  9,000원",,,,,78
2018-06-23,04관,"08:30,  탐정: 리턴즈(디지털),  7,000원","10:55,  탐정: 리턴즈(디지털),  8,000원","13:20,  탐정: 리턴즈(디지털),  12,000원","15:45,  탐정: 리턴즈(디지털),  12,000원","18:10,  탐정: 리턴즈(디지털),  12,000원","20:35,  탐정: 리턴즈(디지털),  12,000원","23:00,  탐정: 리턴즈(디지털),  12,000원",,,,,184
2018-06-23,05관,"08:20,  미드나잇 선(디지털),  7,000원","10:15,  오션스8(디지털),  7,000원","12:30,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","15:00,  미드나잇 선(디지털),  12,000원","16:55,  탐정: 리턴즈(디지털),  12,000원","19:15,  탐정: 리턴즈(디지털),  12,000원","21:35,  오션스8(디지털),  12,000원","23:50,  아이 캔 온리 이매진(디지털)",,,,154
2018-06-23,06관,"08:30,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","11:05,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","13:40,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","16:15,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","18:50,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","21:25,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","24:00,  쥬라기 월드: 폴른 킹덤(디지털)",,,,,180
2018-06-23,4DX,"09:10,  쥬라기 월드: 폴른 킹덤(4D),  9,000원","11:45,  아바타(4D),  12,000원","14:55,  쥬라기 월드: 폴른 킹덤(4D),  12,000원","17:30,  아바타(4D),  12,000원","20:40,  쥬라기 월드: 폴른 킹덤(4D),  12,000원","23:15,  아바타(4D),  12,000원",,,,,,84
2018-06-24,01관(SCREENX),"08:45,  오션스8(디지털),  7,000원","11:00,  오션스8(디지털),  7,000원","13:15,  오션스8(디지털),  12,000원","15:30,  오션스8(디지털),  12,000원","17:45,  오션스8(디지털),  12,000원","20:00,  오션스8(디지털),  12,000원","22:15,  오션스8(디지털),  9,000원","24:30,  오션스8(디지털),  10,000원",,,,182
2018-06-24,02관,"09:20,  탐정: 리턴즈(디지털),  7,000원","11:40,  아이 캔 온리 이매진(디지털),  12,000원","14:00,  여중생A(디지털),  10,500원","16:20,  아이 캔 온리 이매진(디지털),  12,000원","18:40,  여중생A(디지털),  12,000원","21:00,  탐정: 리턴즈(디지털),  12,000원","23:20,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원",,,,,164
2018-06-24,03관(프리미엄),"09:30,  오션스8(디지털)","12:00,  탐정: 리턴즈(디지털),  11,000원","14:30,  탐정: 리턴즈(디지털),  11,000원","16:50,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","19:25,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","22:00,  탐정: 리턴즈(디지털),  11,000원","24:20,  탐정: 리턴즈(디지털),  9,000원",,,,,78
2018-06-24,04관,"08:30,  탐정: 리턴즈(디지털),  7,000원","10:55,  탐정: 리턴즈(디지털),  10,000원","13:20,  탐정: 리턴즈(디지털),  12,000원","15:45,  탐정: 리턴즈(디지털),  9,000원","18:10,  탐정: 리턴즈(디지털),  12,000원","20:35,  탐정: 리턴즈(디지털),  12,000원","23:00,  탐정: 리턴즈(디지털),  12,000원",,,,,184
2018-06-24,05관,"08:20,  미드나잇 선(디지털),  7,000원","10:15,  오션스8(디지털),  9,000원","12:30,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","15:00,  미드나잇 선(디지털),  12,000원","16:55,  탐정: 리턴즈(디지털),  12,000원","19:15,  탐정: 리턴즈(디지털),  12,000원","21:35,  오션스8(디지털),  12,000원","23:50,  아이 캔 온리 이매진(디지털)",,,,154
2018-06-24,06관,"08:30,  쥬라기 월드: 폴른 킹덤(디지털),  7,000원","11:05,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","13:40,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","16:15,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","18:50,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","21:25,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","24:00,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원",,,,,180
2018-06-24,4DX,"09:10,  쥬라기 월드: 폴른 킹덤(4D),  9,000원","11:45,  아바타(4D),  12,000원","14:55,  쥬라기 월드: 폴른 킹덤(4D),  12,000원","17:30,  아바타(4D),  12,000원","20:40,  쥬라기 월드: 폴른 킹덤(4D),  12,000원","23:15,  아바타(4D)",,,,,,84
2018-06-25,01관(SCREENX),"09:25,  오션스8(디지털),  7,000원","11:45,  오션스8(디지털),  9,000원","14:05,  오션스8(디지털),  10,000원","16:25,  오션스8(디지털),  11,000원","18:45,  오션스8(디지털),  11,000원","21:05,  오션스8(디지털),  11,000원","23:25,  오션스8(디지털),  10,000원",,,,,182
2018-06-25,02관,"10:10,  탐정: 리턴즈(디지털),  9,000원","12:35,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원","15:10,  탐정: 리턴즈(디지털),  10,000원","17:35,  탐정: 리턴즈(디지털),  11,000원","20:00,  오션스8(디지털),  11,000원","22:15,  오션스8(디지털),  9,000원","24:30,  쥬라기 월드: 폴른 킹덤(디지털)",,,,,164
2018-06-25,03관(프리미엄),"10:40,  오션스8(디지털),  7,000원","12:55,  탐정: 리턴즈(디지털),  8,000원","15:30,  오션스8(디지털),  9,000원","17:45,  오션스8(디지털)","20:00,  탐정: 리턴즈(디지털),  10,000원","22:20,  탐정: 리턴즈(디지털),  9,000원","24:40,  오션스8(디지털)",,,,,78
2018-06-25,04관,"09:10,  탐정: 리턴즈(디지털),  7,000원","11:30,  탐정: 리턴즈(디지털),  9,000원","13:50,  탐정: 리턴즈(디지털),  10,000원","16:10,  탐정: 리턴즈(디지털),  11,000원","18:30,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","21:00,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","23:35,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원",,,,,184
2018-06-25,05관,"09:00,  미드나잇 선(디지털),  7,000원","11:00,  아이 캔 온리 이매진(디지털),  7,000원","13:20,  미드나잇 선(디지털),  10,000원","15:15,  아이 캔 온리 이매진(디지털),  10,000원","17:30,  여중생A(디지털),  10,000원","19:50,  미드나잇 선(디지털),  11,000원","22:00,  아이 캔 온리 이매진(디지털),  11,000원","24:15,  여중생A(디지털)",,,,154
2018-06-25,06관,"09:00,  쥬라기 월드: 폴른 킹덤(디지털),  7,000원","11:35,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","14:10,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","16:45,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","19:20,  탐정: 리턴즈(디지털),  11,000원","21:45,  탐정: 리턴즈(디지털),  11,000원","24:10,  탐정: 리턴즈(디지털),  7,000원",,,,,180
2018-06-25,4DX,"09:50,  아바타(4D),  8,000원","13:10,  쥬라기 월드: 폴른 킹덤(4D),  10,000원","15:50,  아바타(4D),  10,000원","19:10,  쥬라기 월드: 폴른 킹덤(4D),  11,000원","21:45,  쥬라기 월드: 폴른 킹덤(4D),  11,000원","24:20,  아바타(4D)",,,,,,84
2018-06-26,01관(SCREENX),"09:25,  오션스8(디지털),  9,000원","11:45,  오션스8(디지털),  9,000원","14:05,  오션스8(디지털),  10,000원","16:25,  오션스8(디지털),  8,000원","18:45,  오션스8(디지털),  11,000원","21:05,  오션스8(디지털),  11,000원","23:25,  오션스8(디지털),  10,000원",,,,,182
2018-06-26,02관,"10:20,  유니콘 원정대: 비밀의 다이어리(디지털더빙),  6,000원","12:20,  탐정: 리턴즈(디지털),  9,000원","14:40,  탐정: 리턴즈(디지털),  10,000원","17:10,  탐정: 리턴즈(디지털),  11,000원","19:30,  탐정: 리턴즈(디지털),  11,000원","21:50,  탐정: 리턴즈(디지털),  11,000원","24:10,  탐정: 리턴즈(디지털),  9,000원",,,,,164
2018-06-26,03관(프리미엄),"10:30,  탐정: 리턴즈(디지털),  7,000원","12:50,  오션스8(디지털)","15:15,  탐정: 리턴즈(디지털),  9,000원","17:40,  오션스8(디지털)","20:00,  오션스8(디지털)","22:20,  탐정: 리턴즈(디지털)","24:40,  오션스8(디지털)",,,,,78
2018-06-26,04관,"09:10,  탐정: 리턴즈(디지털),  7,000원","11:30,  탐정: 리턴즈(디지털),  9,000원","13:50,  탐정: 리턴즈(디지털),  10,000원","16:10,  탐정: 리턴즈(디지털),  11,000원","18:30,  탐정: 리턴즈(디지털),  11,000원","20:50,  탐정: 리턴즈(디지털),  11,000원","23:10,  탐정: 리턴즈(디지털),  10,000원",,,,,184
2018-06-26,05관,"09:00,  아이 캔 온리 이매진(디지털)","11:20,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","13:55,  미드나잇 선(디지털),  10,000원","16:00,  여중생A(디지털)","18:20,  아이 캔 온리 이매진(디지털),  10,000원","20:45,  여중생A(디지털),  11,000원","23:05,  아이 캔 온리 이매진(디지털),  10,000원",,,,,154
2018-06-26,06관,"10:25,  쥬라기 월드: 폴른 킹덤(디지털),  7,000원","13:00,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","15:30,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","18:05,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","20:40,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","23:15,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원",,,,,,180
2018-06-26,4DX,"08:50,  쥬라기 월드: 폴른 킹덤(4D),  8,000원","11:20,  아바타(4D),  9,000원","14:30,  쥬라기 월드: 폴른 킹덤(4D),  10,000원","17:05,  쥬라기 월드: 폴른 킹덤(4D),  11,000원","19:45,  아바타(4D),  11,000원","23:00,  아바타(4D),  10,000원",,,,,,84
2018-06-27,01관(SCREENX),"09:30,  마녀(디지털),  7,000원","12:00,  마녀(디지털),  9,000원","14:30,  마녀(디지털),  10,000원","17:00,  마녀(디지털),  10,000원","19:30,  마녀(디지털),  9,000원","22:00,  마녀(디지털),  11,000원","24:30,  마녀(디지털),  9,000원",,,,,182
2018-06-27,02관,"10:00,  허스토리(디지털),  7,000원","12:25,  허스토리(디지털),  9,000원","14:50,  허스토리(디지털),  10,000원","17:20,  허스토리(디지털),  5,000원","19:50,  허스토리(디지털),  7,000원","22:20,  허스토리(디지털),  7,500원","24:45,  허스토리(디지털)",,,,,164
2018-06-27,03관(프리미엄),"10:10,  마녀(디지털),  7,000원","12:40,  탐정: 리턴즈(디지털),  8,000원","15:00,  마녀(디지털),  9,000원","17:30,  탐정: 리턴즈(디지털),  10,000원","20:00,  마녀(디지털),  10,000원","22:30,  탐정: 리턴즈(디지털)","24:50,  탐정: 리턴즈(디지털)",,,,,78
2018-06-27,04관,"09:10,  탐정: 리턴즈(디지털),  7,000원","11:30,  탐정: 리턴즈(디지털),  9,000원","13:50,  탐정: 리턴즈(디지털),  10,000원","16:10,  탐정: 리턴즈(디지털),  11,000원","18:35,  탐정: 리턴즈(디지털),  6,000원","21:00,  탐정: 리턴즈(디지털),  9,000원","23:30,  탐정: 리턴즈(디지털)",,,,,184
2018-06-27,05관,"09:00,  오션스8(디지털),  7,000원","11:20,  마녀(디지털),  9,000원","14:00,  오션스8(디지털),  10,000원","16:15,  빅샤크: 매직체인지(디지털더빙),  11,000원","18:00,  쥬라기 월드: 폴른 킹덤(디지털),  7,000원","20:35,  오션스8(디지털),  7,000원","23:00,  마녀(디지털),  10,000원",,,,,154
