상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,좌석수
2015-01-09,01관,"09:00,  국제시장(디지털)","11:20,  마다가스카의 펭귄(디지털더빙),  8,000원","13:05,  국제시장(디지털),  8,000원","15:25,  테이큰 3(디지털),  8,000원","17:30,  워킹걸(디지털)","19:35,  테이큰 3(디지털)","21:40,  워킹걸(디지털)","23:45,  테이큰 3(디지털)",,,,,,211
2015-01-09,02관,"09:00,  테이큰 3(디지털),  5,000원","11:05,  언브로큰(디지털)","13:35,  워킹걸(디지털),  8,000원","15:40,  언브로큰(디지털),  8,000원","18:10,  국제시장(디지털),  8,000원","20:30,  언브로큰(디지털)","23:00,  국제시장(디지털)",,,,,,,117
2015-01-10,01관,"08:50,  국제시장(디지털),  5,000원","11:10,  마다가스카의 펭귄(디지털더빙),  8,000원","12:55,  테이큰 3(디지털),  8,000원","15:00,  테이큰 3(디지털),  8,000원","17:05,  국제시장(디지털),  8,000원","19:25,  국제시장(디지털),  8,000원","21:45,  국제시장(디지털),  8,000원","24:05,  언브로큰(디지털),  6,000원",,,,,,211
2015-01-10,02관,"08:50,  테이큰 3(디지털)","10:55,  국제시장(디지털),  5,000원","13:15,  언브로큰(디지털),  8,000원","15:45,  국제시장(디지털),  8,000원","18:05,  워킹걸(디지털),  8,000원","20:10,  테이큰 3(디지털),  8,000원","22:15,  워킹걸(디지털),  8,000원","24:15,  테이큰 3(디지털),  6,000원",,,,,,117
2015-01-11,01관,"08:50,  국제시장(디지털),  6,000원","11:10,  마다가스카의 펭귄(디지털더빙),  8,000원","12:55,  테이큰 3(디지털),  8,000원","15:00,  테이큰 3(디지털),  8,000원","17:05,  국제시장(디지털),  8,000원","19:25,  국제시장(디지털),  8,000원","21:45,  국제시장(디지털),  8,000원",,,,,,,211
2015-01-11,02관,"08:50,  테이큰 3(디지털),  5,000원","10:55,  국제시장(디지털),  5,000원","13:15,  언브로큰(디지털),  7,000원","15:45,  국제시장(디지털),  8,000원","18:05,  워킹걸(디지털),  8,000원","20:10,  테이큰 3(디지털),  6,000원","22:15,  워킹걸(디지털),  8,000원",,,,,,,117
2015-01-12,01관,"09:20,  국제시장(디지털),  5,000원","11:40,  마다가스카의 펭귄(디지털더빙),  8,000원","13:25,  마다가스카의 펭귄(디지털더빙)","15:10,  국제시장(디지털),  8,000원","17:30,  국제시장(디지털)","19:50,  국제시장(디지털),  8,000원","22:10,  국제시장(디지털),  8,000원",,,,,,,211
2015-01-12,02관,"09:50,  테이큰 3(디지털),  5,000원","11:55,  언브로큰(디지털)","14:25,  테이큰 3(디지털),  6,000원","16:30,  테이큰 3(디지털),  8,000원","18:35,  워킹걸(디지털),  8,000원","20:40,  테이큰 3(디지털),  8,000원","22:45,  워킹걸(디지털),  6,000원",,,,,,,117
2015-01-13,01관,"09:20,  국제시장(디지털),  5,000원","11:40,  마다가스카의 펭귄(디지털더빙),  8,000원","13:25,  마다가스카의 펭귄(디지털더빙)","15:10,  국제시장(디지털),  6,000원","17:30,  국제시장(디지털),  8,000원","19:50,  국제시장(디지털),  8,000원","22:10,  국제시장(디지털),  8,000원",,,,,,,211
2015-01-13,02관,"09:50,  테이큰 3(디지털),  5,000원","11:55,  언브로큰(디지털),  8,000원","14:25,  테이큰 3(디지털),  8,000원","16:30,  테이큰 3(디지털),  8,000원","18:35,  워킹걸(디지털),  6,000원","20:40,  테이큰 3(디지털),  8,000원","22:45,  워킹걸(디지털)",,,,,,,117
