1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"10:20,  극한직업(디지털),  9,000원","12:40,  극한직업(디지털),  9,000원","15:00,  극한직업(디지털),  10,000원","17:20,  극한직업(디지털),  10,000원","19:40,  극한직업(디지털),  10,000원","22:00,  극한직업(디지털),  10,000원",,,샤롯데,2019-01-29,30
,"13:30,  극한직업(디지털),  10,000원","15:50,  뺑반(디지털),  10,000원","18:30,  극한직업(디지털),  10,000원","20:50,  뺑반(디지털),  10,000원",,,,샤롯데,2019-01-30,30
,"13:30,  극한직업(디지털),  10,000원","15:50,  극한직업(디지털),  10,000원","18:30,  극한직업(디지털),  10,000원","20:50,  극한직업(디지털),  10,000원","23:10,  극한직업(디지털),  10,000원",,,샤롯데,2019-01-31,30
,"12:25,  극한직업(디지털),  11,000원","14:45,  극한직업(디지털),  12,000원","17:05,  극한직업(디지털),  12,000원","19:25,  극한직업(디지털),  12,000원","21:45,  극한직업(디지털),  12,000원","24:05,  극한직업(디지털),  9,500원",,샤롯데,2019-02-01,30
"09:00,  극한직업(디지털),  8,000원","11:20,  극한직업(디지털),  11,000원","13:40,  극한직업(디지털),  12,000원","16:00,  극한직업(디지털),  12,000원","18:20,  극한직업(디지털),  12,000원","20:40,  극한직업(디지털),  12,000원","23:00,  극한직업(디지털),  12,000원",,샤롯데,2019-02-02,30
"09:00,  극한직업(디지털),  8,000원","11:20,  극한직업(디지털),  11,000원","13:40,  극한직업(디지털),  12,000원","16:00,  극한직업(디지털),  12,000원","18:20,  극한직업(디지털),  12,000원","20:40,  극한직업(디지털),  12,000원","23:00,  극한직업(디지털),  12,000원",,샤롯데,2019-02-03,30
,"11:20,  극한직업(디지털),  11,000원","13:40,  극한직업(디지털),  12,000원","16:00,  극한직업(디지털),  12,000원","18:20,  극한직업(디지털),  12,000원","20:40,  극한직업(디지털),  12,000원","23:00,  극한직업(디지털),  12,000원",,샤롯데,2019-02-04,30
"09:00,  극한직업(디지털),  8,000원","11:20,  극한직업(디지털),  11,000원","13:40,  극한직업(디지털),  12,000원","16:00,  극한직업(디지털),  12,000원","18:20,  극한직업(디지털),  12,000원","20:40,  극한직업(디지털),  12,000원","23:00,  극한직업(디지털),  12,000원",,샤롯데,2019-02-05,30
"09:00,  극한직업(디지털),  8,000원","11:20,  극한직업(디지털),  11,000원","13:40,  극한직업(디지털),  12,000원","16:00,  극한직업(디지털),  12,000원","18:20,  극한직업(디지털),  12,000원","20:40,  극한직업(디지털),  12,000원","23:00,  극한직업(디지털),  11,000원",,샤롯데,2019-02-06,30
"11:00,  극한직업(디지털),  9,000원","13:20,  극한직업(디지털),  10,000원",,"18:00,  극한직업(디지털),  10,000원","20:20,  극한직업(디지털),  10,000원","22:40,  극한직업(디지털),  10,000원",,,샤롯데,2019-02-07,30
