상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-11-11,03관,"09:00,  나미야 잡화점의 기적: 또 하나의 이야기(디지털)","14:20,  스페이스 치킨: 마법 부적의 비밀(디지털더빙),  8,400원","17:50,  나미야 잡화점의 기적: 또 하나의 이야기(디지털),  8,400원","19:50,  나미야 잡화점의 기적: 또 하나의 이야기(디지털)",,,78
2018-11-12,01관,"10:30,  동네사람들(디지털)","13:30,  동네사람들(디지털),  11,000원","15:30,  동네사람들(디지털)","18:00,  동네사람들(디지털),  7,700원","20:00,  동네사람들(디지털)",,78
2018-11-12,02관,"10:30,  동네사람들(디지털)","15:20,  완벽한 타인(디지털),  7,700원","20:00,  완벽한 타인(디지털),  7,700원",,,,78
2018-11-12,03관,"10:30,  동네사람들(디지털)","16:30,  스페이스 치킨: 마법 부적의 비밀(디지털더빙)","20:00,  나미야 잡화점의 기적: 또 하나의 이야기(디지털)",,,,78
2018-11-13,01관,"10:30,  동네사람들(디지털)","13:30,  동네사람들(디지털)","15:30,  동네사람들(디지털)","18:00,  동네사람들(디지털),  7,700원","20:00,  동네사람들(디지털),  7,700원",,78
2018-11-13,02관,"10:30,  동네사람들(디지털)","15:20,  완벽한 타인(디지털),  7,700원","20:00,  완벽한 타인(디지털),  7,700원",,,,78
2018-11-13,03관,"10:30,  동네사람들(디지털)","16:30,  스페이스 치킨: 마법 부적의 비밀(디지털더빙)","20:00,  나미야 잡화점의 기적: 또 하나의 이야기(디지털)",,,,78
2018-11-14,01관,"09:10,  동네사람들(디지털)","13:30,  동네사람들(디지털),  7,700원","17:50,  동네사람들(디지털),  7,700원",,,,78
2018-11-14,02관,"09:30,  신비한 동물들과 그린델왈드의 범죄(디지털)","12:00,  신비한 동물들과 그린델왈드의 범죄(디지털)","14:40,  신비한 동물들과 그린델왈드의 범죄(디지털)","17:20,  신비한 동물들과 그린델왈드의 범죄(디지털)","20:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원",,78
2018-11-14,03관,"09:00,  나미야 잡화점의 기적: 또 하나의 이야기(디지털)","14:00,  스페이스 치킨: 마법 부적의 비밀(디지털더빙)",,,,,78
2018-11-15,01관,"10:30,  동네사람들(디지털)","14:40,  동네사람들(디지털),  7,700원","18:40,  동네사람들(디지털),  7,700원",,,,78
2018-11-15,02관,"10:30,  동네사람들(디지털)","15:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원","17:30,  신비한 동물들과 그린델왈드의 범죄(디지털)","20:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원",,,78
2018-11-15,03관,"10:30,  동네사람들(디지털)","15:30,  로빈슨의 언더워터 어드벤처(디지털더빙)",,,,,78
2018-11-16,01관,"10:30,  동네사람들(디지털)","14:40,  동네사람들(디지털),  7,700원","18:40,  동네사람들(디지털),  7,700원",,,,78
2018-11-16,02관,"10:30,  동네사람들(디지털)","15:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원","17:30,  신비한 동물들과 그린델왈드의 범죄(디지털)","20:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원",,,78
2018-11-16,03관,"10:30,  동네사람들(디지털)","15:30,  로빈슨의 언더워터 어드벤처(디지털더빙)",,,,,78
2018-11-17,01관,"09:10,  동네사람들(디지털)","13:30,  동네사람들(디지털),  8,400원","17:50,  동네사람들(디지털),  8,400원",,,,78
2018-11-17,02관,"09:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,400원","12:00,  신비한 동물들과 그린델왈드의 범죄(디지털)","14:40,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,400원","17:20,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,400원","20:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,400원",,78
2018-11-17,03관,"09:00,  나미야 잡화점의 기적: 또 하나의 이야기(디지털),  8,400원","14:00,  스페이스 치킨: 마법 부적의 비밀(디지털더빙)",,,,,78
2018-11-18,01관,"09:10,  동네사람들(디지털),  12,000원","13:30,  동네사람들(디지털)","17:50,  동네사람들(디지털),  8,400원",,,,78
2018-11-18,02관,"09:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,400원","12:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,400원","14:40,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,400원","17:20,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,400원","20:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,400원",,78
2018-11-18,03관,"09:00,  나미야 잡화점의 기적: 또 하나의 이야기(디지털)","14:00,  스페이스 치킨: 마법 부적의 비밀(디지털더빙)",,,,,78
2018-11-19,01관,"09:10,  동네사람들(디지털)","13:30,  동네사람들(디지털),  7,700원","17:50,  동네사람들(디지털)",,,,78
2018-11-19,02관,"09:30,  완벽한 타인(디지털),  7,700원","14:40,  신비한 동물들과 그린델왈드의 범죄(디지털)","17:20,  신비한 동물들과 그린델왈드의 범죄(디지털)","20:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원",,,78
2018-11-19,03관,"09:30,  신비한 동물들과 그린델왈드의 범죄(디지털더빙),  7,700원","15:30,  로빈슨의 언더워터 어드벤처(디지털더빙)",,,,,78
2018-11-20,01관,"09:10,  동네사람들(디지털),  7,700원","13:30,  동네사람들(디지털)","17:50,  동네사람들(디지털),  7,700원",,,,78
2018-11-20,02관,"09:30,  신비한 동물들과 그린델왈드의 범죄(디지털)","12:00,  신비한 동물들과 그린델왈드의 범죄(디지털)","14:40,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원","17:20,  신비한 동물들과 그린델왈드의 범죄(디지털)","20:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원",,78
2018-11-20,03관,"09:00,  나미야 잡화점의 기적: 또 하나의 이야기(디지털)","14:00,  스페이스 치킨: 마법 부적의 비밀(디지털더빙)",,,,,78
2018-11-21,01관,"09:10,  동네사람들(디지털)","13:30,  동네사람들(디지털)","17:50,  동네사람들(디지털),  7,700원",,,,78
2018-11-21,02관,"09:30,  신비한 동물들과 그린델왈드의 범죄(디지털)","12:00,  신비한 동물들과 그린델왈드의 범죄(디지털)","14:40,  신비한 동물들과 그린델왈드의 범죄(디지털)","17:20,  신비한 동물들과 그린델왈드의 범죄(디지털)","20:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원",,78
2018-11-21,03관,"09:00,  나미야 잡화점의 기적: 또 하나의 이야기(디지털)","14:00,  스페이스 치킨: 마법 부적의 비밀(디지털더빙)",,,,,78
2018-11-22,01관,"10:30,  동네사람들(디지털)","17:20,  성난황소(디지털)",,,,,78
2018-11-22,02관,"10:30,  동네사람들(디지털),  7,700원","19:50,  성난황소(디지털),  7,700원",,,,,78
2018-11-22,03관,"09:00,  택시 5(디지털)","17:50,  택시 5(디지털)",,,,,78
2018-11-23,01관,"09:00,  성난황소(디지털)","15:20,  성난황소(디지털),  11,000원",,,,,78
2018-11-23,02관,"09:00,  하나식당(디지털)","15:30,  완벽한 타인(디지털),  7,700원","20:10,  성난황소(디지털),  7,700원",,,,78
2018-11-23,03관,"09:30,  스페이스 치킨: 마법 부적의 비밀(디지털더빙),  7,700원","15:30,  캡틴 샤키(디지털더빙),  7,700원",,,,,78
2018-11-24,01관,"09:00,  하나식당(디지털)","17:40,  완벽한 타인(디지털),  8,400원","20:00,  완벽한 타인(디지털),  8,400원",,,,78
2018-11-24,02관,"09:00,  성난황소(디지털)","11:20,  성난황소(디지털),  8,400원","17:40,  성난황소(디지털),  8,400원","20:00,  성난황소(디지털),  8,400원",,,78
2018-11-24,03관,"09:00,  캡틴 샤키(디지털더빙),  8,400원","16:00,  캡틴 샤키(디지털더빙),  8,400원",,,,,78
2018-11-25,01관,"09:00,  하나식당(디지털)","17:40,  완벽한 타인(디지털)","20:00,  완벽한 타인(디지털),  8,400원",,,,78
2018-11-25,02관,"09:00,  성난황소(디지털),  8,400원","11:20,  성난황소(디지털),  8,400원","17:40,  성난황소(디지털),  8,400원","20:00,  성난황소(디지털),  8,400원",,,78
2018-11-25,03관,"09:00,  캡틴 샤키(디지털더빙),  8,400원","16:00,  캡틴 샤키(디지털더빙),  8,400원",,,,,78
2018-11-26,01관,"09:00,  성난황소(디지털)","13:10,  성난황소(디지털),  7,700원","15:30,  성난황소(디지털),  7,700원","17:40,  성난황소(디지털)","20:00,  성난황소(디지털),  7,700원",,78
2018-11-26,02관,"09:00,  하나식당(디지털)","20:10,  완벽한 타인(디지털),  7,700원",,,,,78
2018-11-26,03관,"09:30,  화씨 11/9: 트럼프의 시대(디지털)","16:00,  캡틴 샤키(디지털더빙)",,,,,78
2018-11-27,01관,"09:00,  성난황소(디지털)","13:10,  성난황소(디지털),  7,700원","15:30,  성난황소(디지털),  7,700원","17:40,  성난황소(디지털),  7,700원","20:00,  성난황소(디지털),  7,700원",,78
