상영일자,상영관,1회,2회,좌석수
2017-10-09,01관,"19:20,  범죄도시(디지털),  20,000원",,90
2017-10-10,01관,"19:20,  범죄도시(디지털),  20,000원",,90
2017-10-11,01관,"19:20,  범죄도시(디지털)",,90
2017-10-12,01관,"02:30,  아름다운 엄마(디지털)","04:30,  아름다운 엄마(디지털),  20,000원",90
2017-10-13,01관,"19:20,  범죄도시(디지털)",,90
2017-10-14,01관,"19:20,  범죄도시(디지털),  20,000원",,90
2017-10-15,01관,"19:20,  범죄도시(디지털),  20,000원",,90
2017-10-16,01관,"19:20,  범죄도시(디지털),  20,000원",,90
2017-10-17,01관,"19:20,  범죄도시(디지털)",,90
2017-10-18,01관,"02:30,  딸의 친구 2(디지털),  20,000원",,90
2017-10-19,01관,"02:30,  젊은남편 젊은아빠(디지털),  20,000원",,90
2017-10-22,01관,"19:20,  범죄도시(디지털),  20,000원",,90
2017-10-23,01관,"02:30,  수상한 종업원(디지털),  20,000원",,90
2017-10-24,01관,"19:20,  범죄도시(디지털),  20,000원",,90
2017-10-25,01관,"19:20,  토르: 라그나로크(디지털)",,90
2017-10-26,01관,"01:30,  착한 엄마(디지털),  20,000원",,90
2017-10-27,01관,"19:20,  토르: 라그나로크(디지털),  20,000원",,90
2017-10-28,01관,"19:20,  토르: 라그나로크(디지털)",,90
2017-10-29,01관,"19:20,  토르: 라그나로크(디지털)",,90
2017-10-30,01관,"01:30,  내 아내의 초대남들:네토라레(디지털),  20,000원",,90
2017-10-31,01관,"19:20,  토르: 라그나로크(디지털),  20,000원",,90
2017-11-01,01관,"02:50,  에스워치(디지털)",,90
2017-11-02,01관,"01:30,  일본 엄마 2(디지털),  20,000원",,90
2017-11-03,01관,"19:20,  부라더(디지털),  20,000원",,90
2017-11-04,01관,"19:20,  부라더(디지털),  20,000원",,90
2017-11-05,01관,"19:20,  부라더(디지털),  20,000원",,90
2017-11-06,01관,"19:30,  부라더(디지털),  20,000원",,90
2017-11-07,01관,"19:30,  부라더(디지털),  20,000원",,90
2017-11-08,01관,"19:30,  부라더(디지털)",,90
2017-11-09,01관,"02:00,  에스워치(디지털),  20,000원","21:30,  미옥(디지털)",90
2017-11-10,01관,"19:30,  미옥(디지털)","21:30,  미옥(디지털)",90
2017-11-11,01관,"19:30,  미옥(디지털),  20,000원","21:30,  미옥(디지털),  17,000원",90
2017-11-12,01관,"17:30,  부라더(디지털),  20,000원","21:30,  미옥(디지털),  20,000원",90
2017-11-13,01관,"17:30,  부라더(디지털)",,90
2017-11-14,01관,"17:30,  부라더(디지털)",,90
2017-11-15,01관,"02:00,  정사의 맛 감독판(디지털),  20,000원",,90
2017-11-16,01관,"02:30,  엄마의 맛(디지털),  20,000원",,90
2017-11-18,01관,"19:20,  미옥(디지털),  20,000원",,90
2017-11-19,01관,"21:30,  7호실(디지털)",,90
2017-11-20,01관,"21:30,  7호실(디지털),  20,000원",,90
2017-11-21,01관,"21:30,  7호실(디지털),  20,000원",,90
2017-11-22,01관,"02:00,  맛섹 은밀한 경험 감독판(디지털),  20,000원",,90
2017-11-23,01관,"02:00,  지워야 산다(디지털),  20,000원",,90
2017-11-24,01관,"19:20,  꾼(디지털),  20,000원","21:40,  꾼(디지털),  20,000원",90
2017-11-25,01관,"19:20,  꾼(디지털),  20,000원","21:40,  꾼(디지털),  17,000원",90
2017-11-26,01관,"19:20,  꾼(디지털),  17,000원","21:40,  꾼(디지털),  20,000원",90
2017-11-28,01관,"01:00,  변강쇠 VS 어우동 - 무삭제판(디지털),  20,000원",,90
2017-11-29,01관,"19:30,  꾼(디지털),  20,000원",,90
2017-11-30,01관,"01:30,  나의 노예가 되어주세요 감독판(디지털),  20,000원",,90
2017-12-01,01관,"19:30,  꾼(디지털),  20,000원",,90
2017-12-02,01관,"19:30,  꾼(디지털),  20,000원",,90
2017-12-03,01관,"19:30,  꾼(디지털),  20,000원",,90
2017-12-04,01관,"01:00,  성판17: 남자들의 17가지 성적 판타지(디지털),  20,000원",,90
2017-12-06,01관,"19:20,  기억의 밤(디지털),  20,000원",,90
2017-12-07,01관,"01:00,  인피니티 포스 스페셜 에디션 1(디지털),  20,000원",,90
2017-12-08,01관,"03:00,  안티갱 스쿼드(디지털),  20,000원",,90
2017-12-09,01관,"03:00,  안티갱 스쿼드(디지털),  20,000원",,90
2017-12-10,01관,"03:00,  안티갱 스쿼드(디지털),  20,000원",,90
2017-12-11,01관,"01:00,  토마스와 친구들: 그레이트 레이스(디지털더빙),  20,000원",,90
2017-12-12,01관,"01:00,  신입사원(디지털),  20,000원",,90
2017-12-13,01관,"03:00,  안티갱 스쿼드(디지털),  20,000원",,90
2017-12-14,01관,"00:30,  안티갱 스쿼드(디지털),  20,000원",,90
2017-12-15,01관,"00:30,  안티갱 스쿼드(디지털),  20,000원","22:00,  강철비(디지털),  17,000원",90
2017-12-16,01관,"00:30,  안티갱 스쿼드(디지털),  20,000원","22:00,  강철비(디지털),  17,000원",90
