영화명,영화코드,개봉일,대표국적,국적,장르,등급,영화형태,영화구분,제작사,배급사,상영횟수,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,F-rated,감독,대표감독,감독코드,감독성별,감독_대표역할,감독필모,작가,대표작가,대표작가(필명),작가코드,작가성별,작가_대표역할,작가필모,배우,주연배우,배역명,배우코드,배우성별,배우_대표역할,배우필모
마리안느와 마가렛,20172641,2017-04-20,한국,한국,다큐멘터리,전체관람가,장편,독립/예술영화,(주)기린제작사,(주)팝엔터테인먼트,1282,64,195549400.0,28016,33199700,4431,1,윤세영,윤세영,20274889,남자,감독,마리안느와 마가렛,양희,양희,양희,20276950,,시나리오(각본),마리안느와 마가렛,"마리안느 스퇴거,마가렛 피사렉,박정환",마리안느 스퇴거,빼곰 목소리,10022075,여자,배우,마리안느와 마가렛
청춘 합창단 - 또 하나의 꿈,20177223,2017-06-15,한국,한국,다큐멘터리,전체관람가,장편,일반영화,(주)네오스카이인터내셔날,와이드 릴리즈(주),344,39,44711400.0,6489,30023400,3810,0,"이혁종,안정민",이혁종,20188290,남자,감독,청춘 합창단 - 또 하나의 꿈|스케치,김자영,김자영,김자영,20278949,,시나리오(각본),청춘 합창단 - 또 하나의 꿈,"김태원,안성기,박창수,이영현,이원규",김태원,,10006125,남자,배우,청춘 합창단 - 또 하나의 꿈|철가방 우수氏|내 머리 속의 지우개|아이 러브 유
라라,20180063,2018-02-22,한국,한국,"멜로/로맨스,드라마",15세이상관람가,장편,일반영화,(주)도너츠컬처,(주)영화사 그램,202,28,14798800.0,1860,12846400,1600,1,한상희,한상희,10087516,남자,감독,라라|절벽 위의 트럼펫|사랑만의 언어|일탈여행: 프라이빗 아일랜드|영혼의 부활|스타: 빛나는 사랑|첫눈,안소울,안소울,안소울,20232289,,시나리오(각본),라라|굿바이 그리고 헬로우,"정채연,산이,치푸,김나온,산이,이주희,이지원,이하은,이혜인",정채연,중식,20299149,여자,배우,라라
명당,20172204,2018-09-19,한국,한국,사극,12세이상관람가,장편,일반영화,(주)주피터필름,메가박스중앙(주)플러스엠,58450,1117,17900775524.0,2087474,4530609774,518726,0,박희곤,박희곤,10029586,남자,감독,명당|챔피언|퍼펙트 게임|인사동 스캔들|아 유 레디?,정자영,정자영,정자영,20281969,,시나리오(각본),명당,"조승우,지성,김성균,백윤식,문채원,유재명,박충선,이원근,김민재,강태오,이가희,이규섭,이동희,이세희,이수아,이성훈,이승철,이유리,이정민,이정빈,이정현,김준영,이주연,이창석,김진혁,안성봉,김하림,박기태,임지은,정재용,정재헌,박지현,정한길,정혜경,조성환,최선호,김규선,김도연,김동규,김동현,김민재,최우석,홍은진,홍준호,김선문,김서현,김서연,김기태,허성태,전신환",조승우,박재상,10066380,남자,배우,명당|내부자들: 디 오리지널|내부자들|암살|복숭아나무|퍼펙트 게임|불꽃처럼 나비처럼|고고 70|타짜|도마뱀|말아톤|하류인생|클래식|H(에이치)|YMCA야구단|후아유|와니와 준하|아미지몽|춘향뎐(春香傳)
런닝맨 : 풀룰루의 역습,20183745,2018-12-05,한국,한국,애니메이션,전체관람가,장편,일반영화,(주)로커스,(주)넥스트엔터테인먼트월드(NEW),5535,511,1414494750.0,186324,233597650,28810,1,윤준상,윤준상,10054516,남자,감독,런닝맨 : 풀룰루의 역습|초혼,"박은설, 도경민, 구원경, 김지현, 정유리",박은설,박은설,20313013,,시나리오(각본),런닝맨 : 풀룰루의 역습,"김서영,권창욱,엄상현,김연우,강시현,전태열",김서영,나연,10004461,여자,배우,뽀로로 극장판 보물섬 대모험|극장판 공룡메카드: 타이니소어의 섬|런닝맨 : 풀룰루의 역습|나쁜 상사|마야2|뽀로로 극장판 공룡섬 대모험|꼬마참새 리차드: 아프리카 원정대|극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드|달빛궁궐|매직브러시|뽀로로 극장판 컴퓨터 왕국 대모험|쥬로링 동물탐정 극장판|마야|극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!|꼬마마녀 요요와 네네|스파이크|프렌즈: 몬스터섬의비밀 |개구리중사 케로로|망치|오세암|고양이의 보은|장금이의 꿈(애니)|뽀롱뽀롱뽀로로|오늘이|매직키드마수리
극장판 헬로카봇: 옴파로스 섬의 비밀,20185478,2019-01-31,한국,한국,애니메이션,전체관람가,장편,일반영화,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW),15827,752,4485905140.0,575353,724293890,88888,1,"최신규,김진철",최신규,20306533,남자,감독,극장판 헬로카봇 : 달나라를 구해줘!|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|극장판 헬로카봇 : 백악기 시대|헬로 카봇,"조정희, 이충복, 지한솔",조정희,조정희,20306429,,시나리오(각본),극장판 헬로카봇: 달나라를 구해줘!|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 헬로카봇: 백악기 시대|헬로 카봇,"이지현,김용준,양정화,사문영,홍범기,이현,시영준,엄상현,임정길,서윤선",이지현,정성석,20237906,여자,배우,극장판 헬로카봇 : 달나라를 구해줘!|극장판 샤이닝스타:새로운 루나퀸의 탄생!|극장판 도라에몽: 진구의 달 탐사기|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 도라에몽: 진구의 보물섬|극장판 헬로카봇 : 백악기 시대|해적왕 작스톰|마징가 Z: 인피니티|터닝메카드W: 반다인의 비밀 특별판|딥|극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계|리틀 폭스|플래그 더 문|헬로 카봇
김복동,20190741,2019-08-08,한국,한국,다큐멘터리,12세이상관람가,장편,독립/예술영화,한국탐사저널리즘센터,(주)엣나인필름,5683,366,679281860.0,84206,295806820,34900,1,송원근,송원근,20324748,남자,감독,김복동,김근라,김근라,김근라,20328892,,시나리오(각본),김복동,"김복동,한지민",김복동,,10004346,여자,배우,김복동
"서서평, 천천히 평온하게",20173301,2017-04-26,한국,한국,다큐멘터리,전체관람가,장편,독립/예술영화,재단법인 온누리선교재단(CGNTV),커넥트픽쳐스(주),4411,234,875685400.0,123036,432388600,57346,2,"홍주연,홍현정",홍주연,20275649,여자,감독,"서서평, 천천히 평온하게",한지원,한지원,한지원,20276711,,시나리오(각본),"서서평, 천천히 평온하게","윤안나,안은새,강다연,도세진,민주홍,박사라,이상운,진미혜,최용수,최진",윤안나,,20276709,여자,배우,"서서평, 천천히 평온하게"
