companyCd,companyNm,companyPartNm,movieCd
20100520,롯데쇼핑㈜롯데엔터테인먼트,제공,20145504
20100520,롯데쇼핑㈜롯데엔터테인먼트,해외세일즈사,20145504
20100432,반짝반짝영화사(주),제작사,20156748
20100932,(주)넥스트엔터테인먼트월드(NEW),배급사,20156748
20100932,(주)넥스트엔터테인먼트월드(NEW),제공,20156748
20142968,(주)콘텐츠판다,해외세일즈사,20156748
20063189,(주)영화사아이비젼,제작사,20143513
20141469,메가박스중앙(주)플러스엠,배급사,20143513
20141469,메가박스중앙(주)플러스엠,제공,20143513
20141528,산수벤처스,공동제공,20143513
20142568,타임와이즈인베스트먼트(주),공동제공,20143513
20125155,(주)미디어로그,공동제공,20143513
20139435,(주)우리인베스트먼트,공동제공,20143513
20138657,(주)파인컴퍼니,공동제공,20143513
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20143513
20122495,(주)두타연,제작사,20131262
20126355,(주)판타지오픽쳐스,제작사,20131262
20100932,(주)넥스트엔터테인먼트월드(NEW),배급사,20131262
20100932,(주)넥스트엔터테인먼트월드(NEW),제공,20131262
20142968,(주)콘텐츠판다,해외세일즈사,20131262
20100938,(주)전망좋은 영화사,제작사,20148841
20139196,TCO(주)더콘텐츠온,제작사,20148841
20100932,(주)넥스트엔터테인먼트월드(NEW),배급사,20148841
20122482,캐피탈원(주),제공,20148841
20153548,(주)대교인베스트먼트,공동제공,20148841
20139196,TCO(주)더콘텐츠온,공동제공,20148841
20142968,(주)콘텐츠판다,해외세일즈사,20148841
20122737,(주)사나이픽처스,제작사,20130566
20102327,CGV아트하우스,배급사,20130566
20102327,CGV아트하우스,제공,20130566
20100109,씨제이엔터테인먼트,해외세일즈사,20130566
20100411,(주)화인웍스,제작사,20136063
20141392,(주)키메이커,제작사,20136063
20110854,씨제이이앤엠(주),배급사,20136063
20110854,씨제이이앤엠(주),제공,20136063
20100109,씨제이엔터테인먼트,해외세일즈사,20136063
20111141,디지털 아이디어,제작서비스-후반작업(VFX),20136063
20100346,(주)유비유필름,제작사,20148844
20110854,씨제이이앤엠(주),배급사,20148844
20110854,씨제이이앤엠(주),제공,20148844
20100109,씨제이엔터테인먼트,해외세일즈사,20148844
20100128,(주)주피터필름,제작사,20148553
20139617,(주)리틀빅픽쳐스,배급사,20148553
20142048,(주)이수C&E,배급사,20148553
20142048,(주)이수C&E,제공,20148553
20139617,(주)리틀빅픽쳐스,제공,20148553
20061365,이수창업투자(주),공동제공,20148553
20142568,타임와이즈인베스트먼트(주),공동제공,20148553
20111211,케이티하이텔(주),공동제공,20148553
20139617,(주)리틀빅픽쳐스,해외세일즈사,20148553
20158028,(주)영화사 담담,제작사,20140144
20140742,(주)어바웃필름,제작사,20140144
20110854,씨제이이앤엠(주),배급사,20140144
20110854,씨제이이앤엠(주),제공,20140144
20100109,씨제이엔터테인먼트,해외세일즈사,20140144
20100834,(주)하리마오픽쳐스,제작사,20140193
20100520,롯데쇼핑㈜롯데엔터테인먼트,배급사,20140193
20100520,롯데쇼핑㈜롯데엔터테인먼트,제공,20140193
