주연배우,배우성별,배우필모,필모갯수
김새벽,여자,"소설가 구보의 하루|킹메이커 : 선거판의 여우|벌새|국경의 왕|항거:유관순 이야기|동네사람들|얼굴들|풀잎들|어른도감|초행|그 후|누에치던 방|걷기왕|파란입이 달린 얼굴|설행_눈길을 걷다|태양의 아들|한여름의 판타지아|제보자|타짜-신의 손|이것이 우리의 끝이다|만신|줄탁동시|써니|수요기도회|새들이 돌아오는 시간|사려 깊은 밤|처음이 어렵지|말로는 힘들어|9월 수요단편극장 ""여배우의 힘 - 이상희, 김새벽, 천우희""",29
염정아,여자,"인생은 아름다워(가제)|시동|미성년|어쩌다, 결혼|뺑반|완벽한 타인|도청(가제)|장산범|카트|간첩|전우치|내 생애 최악의 남자|이장과 군수|오래된 정원|소년, 천국에 가다|새드무비|여선생 VS 여제자|범죄의 재구성|쓰리, 몬스터 '컷'|장화, 홍련|이공|H(에이치)|텔미썸딩|테러리스트|째즈빠 히로시마|사랑의 묘약|톰과 제리 ",27
소연,여자,"슈퍼 빼꼼: 스파이 대작전|터닝메카드W: 블랙미러의 부활|목숨 건 연애|달빛궁궐|카이: 거울 호수의 전설|탐정 : 더 비기닝|뷰티 인사이드|내 심장을 쏴라|나의 사랑 나의 신부|감기|세계일주|나의 PS 파트너 |오래된 인력거|꿍따리 유랑단|완벽한 파트너|흉터|짐승|링크|법정스님의 의자|오빠가 돌아왔다|수상한 이웃들|어쿠스틱|노르웨이의 숲|청출어람|미안해, 고마워",25
김서영,여자,뽀로로 극장판 보물섬 대모험|극장판 공룡메카드: 타이니소어의 섬|런닝맨 : 풀룰루의 역습|나쁜 상사|마야2|뽀로로 극장판 공룡섬 대모험|꼬마참새 리차드: 아프리카 원정대|극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드|달빛궁궐|매직브러시|뽀로로 극장판 컴퓨터 왕국 대모험|쥬로링 동물탐정 극장판|마야|극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!|꼬마마녀 요요와 네네|스파이크|프렌즈: 몬스터섬의비밀 |개구리중사 케로로|망치|오세암|고양이의 보은|장금이의 꿈(애니)|뽀롱뽀롱뽀로로|오늘이|매직키드마수리,25
류현경,여자,"기도하는 남자|호랑이보다 무서운 겨울손님|아티스트: 다시 태어나다|열정같은소리하고있네|오피스|쓰리 썸머 나잇|나의 절친 악당들|제보자|만신|전국노래자랑|앵두야, 연애하자|두 번의 결혼식과 한 번의 장례식|마마|굿바이 보이|쩨쩨한 로맨스|시라노; 연애조작단|방자전|물 좀 주소|동해물과 백두산이|이사|날강도|슬로우 푸드, 패스트 푸드 |메밀꽃, 운수 좋은 날, 그리고 봄봄|첫사랑 열전|Dir/Actors 11. 여배우들 단편",25
서영희,여자,죽지않는 인간들의 밤|여곡성|탐정: 리턴즈|탐정 : 더 비기닝|마돈나|배우는 배우다|비정한 도시 감독판|비정한 도시 (미개봉)|세상에서 가장 아름다운 이별|김복남 살인사건의 전말|청담보살|서양 골동 양과자점 앤티크|추격자|궁녀|권순분여사 납치사건|무도리|스승의 은혜|연리지|내 생애 가장 아름다운 일주일|마파도|라이어|클래식|질투는 나의 힘|바이 준,24
윤진서,여자,재혼의 기술|리벤져|커피 메이트|태양을 쏴라 무삭제판|태양을 쏴라|경주|산타바바라|그녀가 부른다|영화판|결정적 한방|비밀애|이리|비스티 보이즈|두 사람이다|바람피기 좋은 날|울어도 좋습니까?|슈퍼스타 감사용|올드보이|취화선|아름다운 유년|고양이를 돌려줘|나의 새 남자친구|모빌|따로 또 같이,24
공효진,여자,"가장 보통의 연애|뺑반|도어락|싱글라이더|미씽: 사라진 여자|고령화 가족|577 프로젝트|러브픽션|소와 함께 여행하는 법|미쓰 홍당무|지금, 이대로가 좋아요|다찌마와리|엠|행복|가족의 탄생|천군|품행제로|철없는 아내와 파란만장한 남편 그리고 태권소녀|긴급조치 19호|화산고|킬러들의 수다|여고괴담 두번째 이야기|그녀의 연기",23
김수미,여자,헬머니|전국노래자랑|가문의 영광4 - 가문의 수난|위험한 상견례|빨간모자의 진실 2|그대를 사랑합니다|육혈포 강도단|흑심모녀|만남의 광장|못말리는 결혼|마파도2|가문의 부활 - 가문의 영광3|다세포소녀|공필두|맨발의 기봉이|연리지|구세주|빨간모자의 진실|가문의 위기(가문의 영광2)|간 큰 가족|마파도|우뢰매 4탄 썬더브이출동|화순이,23
이미연,여자,좋아해줘|회사원|어깨 너머의 연인|태풍|중독|재밌는 영화|흑수선|인디안 썸머|물고기자리|주노명 베이커리|내 마음의 풍금|여고괴담|모텔 선인장|넘버 3|무소의 뿔처럼 혼자서 가라|결혼만들기|살어리랏다|눈꽃|가을여행|비개인 오후를 좋아하세요|그래 가끔 하늘을 보자|행복은 성적순이 아니잖아요|그게 아니고,23
