주연배우,배우성별,배우필모,필모갯수
김지수,여자,"완벽한 타인|우주의 크리스마스|강남 1970|사랑할 때 이야기하는 것들|가을로|로망스|러브토크|박수칠 때 떠나라|여자, 정혜|눈물의 여인",10
이시영,여자,언니|신의 한 수|더 웹툰: 예고살인|남자사용설명서|커플즈|위험한 상견례|빨간모자의 진실 2|홍길동의 후예|순간을 믿어요|오감도,10
김은주,여자,아들에게 가는 길|메이드 인 차이나|만신|별일아니다|서울|은하해방전선|산책|그림자도 없다|할 수 있는 자가 구하라|황금시대,10
이세영,여자,링거링|수성못|피끓는 청춘|청포도 사탕: 17년 전의 약속|열세살 수아|내 생애 가장 아름다운 일주일|여선생 VS 여제자|아홉살 인생|고독이 몸부림칠 때|무서운 이야기 2,10
손숙,여자,소리꾼|꽃손|아이 캔 스피크|귀향|극장전|리허설|개같은 날의 오후|단지 그대가 여자라는 이유만으로|민우씨 오는 날|주리,10
김태리,여자,승리호(가제)|리틀 포레스트|1987|아가씨|아가씨(확장판)|문영|문영 단편|락 아웃|오오단편극장 ? 김태리 배우 특별전,9
정혜원,여자,"안녕, 티라노: 영원히, 함께|극장판 샤이닝스타:새로운 루나퀸의 탄생!|극장판 공룡메카드: 타이니소어의 섬|극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~|터닝메카드W: 반다인의 비밀 특별판|파워배틀 와치카: 와치가면의 역습|아이엠스타 뮤직어워드|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|극장판 아이엠스타 : 꿈의 오디션!",9
김율,여자,"극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~|신비아파트: 금빛 도깨비와 비밀의 동굴|터닝메카드W: 반다인의 비밀 특별판|극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!|바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동|루돌프와 많이있어|바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전|안녕, 전우치! 도술로봇대결전|극장판 빰바라빤쮸: 바나나 왕국의 비밀",9
정하담,여자,젊은이의 양지|항거:유관순 이야기|재꽃|스틸 플라워|들꽃|새벽|플라이|주여!|인민정무문,9
한해인,여자,밤의 문이 열린다|이별의 목적|차대리|증언|밤낚시|나와 당신|모모|합의|너와 극장에서,9
김희애,여자,윤희에게|허스토리|사라진 밤|쎄시봉|우아한 거짓말|백한번째 프로포즈|英雄 돌아오다|내사랑 짱구|불의 회상,9
이나영,여자,뷰티풀 데이즈|하울링|아빠가 여자를 좋아해|비몽|우리들의 행복한 시간|아는 여자|영어완전정복|후아유|슬픈 씬,9
서예지,여자,양자물리학|내일의 기억(가제)|암전|봉이 김선달|다른 길이 있다|비밀|사도|기억을 만나다,8
소연,여자,원더랜드|극장판 엉덩이 탐정: 화려한 사건 수첩|마징가 Z: 인피니티|터닝메카드W: 반다인의 비밀 특별판|터닝메카드W: 블랙미러의 부활|아이엠스타 뮤직어워드|극장판 아이엠스타 : 꿈의 오디션!|유고와 라라 : 신비의 숲 어드벤처,8
정려원,여자,게이트-완결판|게이트|네버엔딩 스토리|통증|적과의 동침|김씨표류기|두 얼굴의 여친|내 이름은 김삼순,8
문근영,여자,"유리정원|사도|사랑 따윈 필요 없어|댄서의 순정|어린 신부|장화, 홍련|연애소설|길 위에서",8
이수경,여자,기묘한 가족|침묵|용순|특별시민|차이나타운|방황하는 칼날|우아한 거짓말|오오단편극장 - 이학주 배우전,8
김소희,여자,나의 연기 워크샵|혜경궁 홍씨|파스카|야간비행|굿바이 보이|새는 폐곡선을 그린다|춘정|갈증,8
한채영,여자,이웃집 스타|실종 : 택시 납치 사건|인플루언스|걸프렌즈|굿모닝 프레지던트|지금 사랑하는 사람과 살고 있습니까?|와일드 카드,7
조여정,여자,기생충|워킹걸|인간중독|표적|후궁 : 제왕의 첩|방자전|흡혈형사 나도열,7
함은정,여자,실종2|화이트: 저주의 멜로디|고死 : 피의 중간고사|조용한 세상|아이스케키|야수와 미녀|마들렌,7
김연우,여자,별의 정원|런닝맨 : 풀룰루의 역습|극장판 가면라이더 이그제이드: 트루 엔딩|오즈: 신기한 마법가루|언더더씨|짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격|리틀 폭스,7
유호정,여자,그대 이름은 장미|써니 감독판|써니|오원 장승업 취화선|취화선|산책|키스할까요,7
권민중,여자,위선자들: 감독판|위선자들|란제리살인사건|삼인삼색 - 로드스타|인터뷰|해가 서쪽에서 뜬다면|투캅스 3,7
손여은,여자,지금 만나러 갑니다|보안관|코인라커|세계일주|고死 : 피의 중간고사|내가 버린 여름,6
강연정,여자,왕을 참하라 무삭제판|왕을 참하라|반달곰|파랑주의보|나이브 데이즈|수쟌느,6
전혜빈,여자,"힘을 내요, 미스터 리|인어전설|럭키|우리 연애의 이력|몽정기2|령",6
고현정,여자,호랑이보다 무서운 겨울손님|미쓰GO|최후의 툰드라-극장판|여배우들|잘 알지도 못하면서|해변의 여인,6
정다은,여자,선희와 슬기|여중생A|청년경찰|찾을 수 없습니다|동물원|여름밤,6
김가희,여자,박화영|꿈의 제인|수상한 그녀|처녀비행|점프샷|집,6
한은정,여자,세상끝의 사랑|퍼스트 레이디-그녀에게 |공소시효|기생령|신기전|투 가이즈,6
최정원,여자,"하나식당|좋은 친구들 |퍼펙트 게임|대한이, 민국씨|마이 파더|이장과 군수",6
윤소이,여자,돌아와요 부산항애(愛)|어떤살인|우리 만난 적 있나요|무영검|역전의 명수|아라한 장풍대작전,6
보아,여자,가을 우체국|빅매치|에스엠타운 라이브인도쿄스페셜에디션3D|메이크 유어 무브 |헷지,5
노정의,여자,소녀의 세계|히치하이크|탐정 홍길동: 사라진 마을|더 폰|나는 아빠다,5
박지후,여자,벌새|목격자|조작된 도시|가려진 시간|나만 없는 집,5
채서진,여자,"여자들|당신, 거기 있어줄래요|커튼콜|초인|두근두근 내 인생",5
김혜자,여자,길|개를 훔치는 완벽한 방법|마더|마요네즈|만추,5
김정희,여자,군산: 거위를 노래하다|속닥속닥|덕혜옹주|부산행|그날의 분위기,5
진세연,여자,인천상륙작전 : 익스텐디드 에디션(확장판)|인천상륙작전|위험한 상견례 2|사랑만의 언어|화이트: 저주의 멜로디,5
황정음,여자,돼지 같은 여자|고死 두 번째 이야기: 교생실습|바람|바람_감독판,4
김다미,여자,"안녕, 나의 소울메이트 (가제)|마녀|나를 기억해|2017 동명이인 프로젝트",4
홍아름,여자,원스텝|아빠가 돌아왔다|막걸스|가벼운 잠,4
최수인,여자,아이 캔 스피크|우리들|가을단기방학|어떤 하루,4
남규리,여자,데자뷰|질투의 역사|고死 : 피의 중간고사|신촌좀비만화,4
김환희,여자,여중생A|곡성|전국노래자랑|파란만장,4
김영은,여자,신비아파트: 금빛 도깨비와 비밀의 동굴|베이블레이드 버스트 갓 : 갓 발키리의 탄생|아이엠스타 뮤직어워드|카이: 거울 호수의 전설,4
김소희,여자,나와 봄날의 약속|종이 비행기|비밀은 없다|나만 없어 고양이,4
박지수,여자,사월의 끝|네버다이 버터플라이|마이 라띠마|나는 아직도 당신이 궁금하여 자다가도 일어납니다,4
김진숙,여자,"1991, 봄|위로공단|위로공단 특별판",3
신현숙,여자,걸캅스|안시성|상류사회,3
박세완,여자,언니|오목소녀|팡뜨,3
신지수,여자,내부자들: 디 오리지널|내부자들|베테랑,3
최수영,여자,걸캅스|막다른 골목의 추억|순정만화,3
서유리,여자,극장판 공룡메카드: 타이니소어의 섬|꾸루꾸루와 친구들: 무지개 나무의 비밀|위층여자,3
최미라,여자,미라클 여행기|찌라시: 위험한 소문|신세기 낭만시대,3
이옥선,여자,"에움길|귀향, 끝나지 않은 이야기",2
박지희,여자,"귀향, 끝나지 않은 이야기|귀향",2
이새봄,여자,1919 유관순|1919유관순-그녀들의조국,2
김하늘,여자,1급기밀|여교사,2
박해빛나,여자,재혼의 기술|장수상회,2
김현선,여자,해원|저 달이 차기 전에,2
강명자,여자,위로공단|위로공단 특별판,2
한지은,여자,나도 때론 포르노그라피의 주인공이고 싶다 : 감독판|나도 때론 포르노그라피의 주인공이고 싶다,2
홍예리,여자,"여곡성|31, 내리다",2
정은지,여자,0.0MHz|세이빙 산타,2
조민경,여자,"이월|오늘, 우리",2
쏘남 왕모 스칼닷,여자,"안녕, 나의 소녀 시절이여",1
김미화,여자,후쿠시마의 미래,1
나연,여자,트와이스랜드,1
김나연,여자,우리집,1
장혜정,여자,어른이 되면,1
최정원,여자,사랑이 이긴다,1
김춘희,여자,춘희막이,1
노해숙,여자,버블 패밀리,1
박금분,여자,칠곡 가시나들,1
유예은,여자,기적의 피아노,1
김막동,여자,시인 할매,1
박세은,여자,소은이의 무릎,1
강유진,여자,려행,1
김복동,여자,김복동,1
이성인,여자,캐리tv 러브콘서트 더 무비,1
임미선,여자,순교,1
황윤,여자,잡식가족의 딜레마,1
김가나,여자,이바라키의 여름,1
구윤희,여자,무서운 집,1
김말해,여자,밀양 아리랑,1
최혜원,여자,명령불복종 교사,1
이묵,여자,불온한 당신,1
도금연,여자,소성리,1
권기선,여자,"나의 아들, 나의 어머니",1
엘리자 구티,여자,소녀와 여자,1
방 타마라,여자,고려 아리랑: 천산의 디바,1
황인아,여자,석조저택 살인사건,1
마리안느 스퇴거,여자,마리안느와 마가렛,1
김금단,여자,고향이 어디세요,1
서하늬,여자,미씽: 사라진 여자,1
박삼순,여자,할머니의 먼 집,1
이상희,여자,련희와 연희,1
김진영,여자,B급 며느리,1
고희영,여자,물숨,1
여경주,여자,피의 연대기,1
양미,여자,나는 증인이다,1
장금도,여자,기생-꽃의 고백,1
정채연,여자,라라,1
곽주현,여자,홀리워킹데이,1
박지수,여자,우리에게 떡볶이를 먹을 권리가 있다,1
마담 B,여자,마담 B,1
김예지,여자,달에 부는 바람,1
박기림,여자,레나,1
김수연,여자,파파 오랑후탄,1
이지아,여자,무수단,1
김수빈,여자,소꿉놀이,1
홍수아,여자,멜리스,1
에카테리나 구세바,여자,안나 카레니나,1
소주연,여자,속닥속닥,1
문남숙,여자,극장판 꼬마버스 타요의 에이스 구출작전,1
박묘연,여자,거미의 땅,1
박차순,여자,22,1
배미영,여자,파란나비효과,1
이영란,여자,프랑스 영화처럼,1
이송,여자,폴란드로 간 아이들,1
윤안나,여자,"서서평, 천천히 평온하게",1
