순위,영화명,개봉일,매출액 ,매출액점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
538,마당을 나온 암탉,2011.7.28,"1,068,000",0.0%,"14,674,690,000",364,"2,202,788",1,24,한국,한국,"(주)오돌또기 ,(주)명필름",롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,"오성윤,민성아","문소리,박철민,최민식,유승호,홍윤정,김한솔"
539,하얀 까마귀,,"726,000",0.0%,"3,532,000",363,"1,766",1,10,한국,한국,,,,드라마,정진우,"김지미,신성일,남궁원"
540,피아골,1955.9.23,"724,000",0.0%,"1,300,000",362,650,1,10,한국,한국,백호프로덕션,,,"드라마,전쟁",이강천,"노경희,김진규,허장강,이예춘"
541,만추,1982.2.28,"709,000",0.0%,"3,564,000",361,"1,600",1,12,한국,한국,(주)동아수출공사,,연소자관람불가,"드라마,멜로/로맨스",김수용,"정동환,김혜자"
541,풍뎅이뎅이,2018.2.8,"2,527,000",0.0%,"2,527,000",361,361,4,48,한국,한국,"(주)디씨지플러스,(주)엔에이치씨미디어",(주)콘텐츠판다,전체관람가,애니메이션,이재한,
543,MSFF2017 사랑에 관한 짧은 필름 3,,"2,156,500",0.0%,"2,156,500",360,360,1,3,한국,한국,,,,"멜로/로맨스,드라마",,
543,붉은 비키니 무삭제판,2017.8.21,"1,853,000",0.0%,"1,853,000",360,360,20,21,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,"멜로/로맨스,드라마",최무연,
543,워낭소리,2009.1.15,"912,000",0.0%,"19,076,833,900",360,"2,934,795",1,13,한국,한국,스튜디오느림보,㈜인디스토리,전체관람가,다큐멘터리,이충렬,"최원균,이삼순,최종만,최종민,김민자"
546,국경의 왕,2019.2.28,"2,230,400",0.0%,"2,230,400",359,359,1,8,한국,한국,,"무브먼트,독립영화전용관 인디스페이스",15세이상관람가,드라마,임정환,"김새벽,조현철,정혁기,박진수,이유진,임철,박상용,임정환"
547,눈을 감다 더 무비,,"3,531,000",0.0%,"3,531,000",355,355,3,3,한국,한국,,,15세이상관람가,"미스터리,스릴러",김솔매,차선우
547,뽀로로 극장판 컴퓨터 왕국 대모험,2015.12.10,"1,818,000",0.0%,"3,296,535,700",355,"446,054",2,43,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,박영균,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기"
549,백사부인,1960.10.2,"706,000",0.0%,"3,028,000",353,"1,514",1,10,한국,한국,신필름,,,"사극,공포(호러),멜로/로맨스",신상옥,"최은희,신성일"
550,금욕,1976.3.13,"1,868,000",0.0%,"1,868,000",352,352,1,6,한국,한국,남아진흥,,12세이상관람가,"드라마,멜로/로맨스",김수형,"이영옥,신성일"
551,두 엄마,2017.8.14,"1,794,000",0.0%,"1,794,000",350,350,20,22,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이도시,이민욱
551,소통과 거짓말,2017.11.9,"2,328,000",0.0%,"3,441,600",350,537,9,101,한국,한국,프로젝트 잉여,무브먼트,청소년관람불가,드라마,이승원,"장선,김권후,김선영,박지훈,이승원"
553,MSFF2017 희극지왕 2,,"2,086,000",0.0%,"2,086,000",349,349,1,3,한국,한국,,,,코미디,,
553,물속에서 숨 쉬는 법,,"1,895,000",0.0%,"1,895,000",349,349,1,6,한국,한국,,,,드라마,고현석,"윤진,김현빈,박지수,오동민,장준휘"
555,2018 중앙영화제 일출,,"1,740,000",0.0%,"1,740,000",348,348,2,3,한국,한국,,,,기타,,
555,MSFF2018 4만번의 구타 1,,"2,055,600",0.0%,"2,055,600",348,348,1,3,한국,한국,,,,"액션,스릴러",,
557,MSFF2017 4만번의 구타 2,,"2,069,000",0.0%,"2,069,000",346,346,1,3,한국,한국,,,,"액션,스릴러",,
558,MSFF2017 비정성시 4,,"2,047,000",0.0%,"2,047,000",343,343,1,3,한국,한국,,,,드라마,,
559,감시자들,2013.7.3,"2,856,000",0.0%,"39,383,018,179",342,"5,508,359",1,2,한국,한국,영화사 집,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션","조의석,김병서","설경구,정우성,한효주,진경,이준호,임달화,손민석,김대진,이태형,강신하,이동휘,이화정,김진곤,박지훈,김지훈,신성일,변요한,정우근,장원형,장유리,조도연,지영준,한영주,문성렬,박영진,박지연,백동현,신경철,이가람,이상민,김병옥,윤돈선"
560,검은 사제들,2015.11.5,"2,352,500",0.0%,"42,410,940,592",340,"5,443,049",1,5,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철,김수진,민진웅"
561,아워 바디,2019.9.26,"2,266,700",0.0%,"2,266,700",338,338,1,3,한국,한국,한국영화아카데미,(주)영화사 진진,15세이상관람가,드라마,한가람,"최희서,안지혜,이재인,김정영,최준영,노수산나,오동민,금새록,김사권,윤혜리,김연교,장준휘"
562,착한 친구엄마,2018.10.8,"1,778,000",0.0%,"1,778,000",336,336,19,20,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진명,이유나
563,MSFF2017 비정성시 2,,"1,996,000",0.0%,"1,996,000",334,334,1,3,한국,한국,,,,드라마,,
563,유관순,,"668,000",0.0%,"1,592,000",334,796,1,8,한국,한국,,,,드라마,윤봉춘,"도금봉,한은진"
565,돼지꿈,,"638,000",0.0%,"638,000",333,333,1,6,한국,한국,,,,,한형모,"문정숙,허장강"
566,MSFF2017 희극지왕 1,,"1,984,500",0.0%,"1,984,500",332,332,1,3,한국,한국,,,,코미디,,
566,MSFF2018 비정성시 2,,"1,979,900",0.0%,"1,979,900",332,332,1,3,한국,한국,,,,드라마,,
568,사랑받지 못한 여자,2017.1.24,"2,097,000",0.0%,"2,097,000",327,327,14,19,한국,한국,(주)케이피필름,(주)모멘텀엔터테인먼트,청소년관람불가,"드라마,멜로/로맨스",노진수,"김화연,신원호,윤예희,오동석,이광호,이상우"
569,오아시스 세탁소,2018.5.9,"827,500",0.0%,"827,500",325,325,1,24,한국,한국,주식회사 씨엠닉스,주식회사 씨엠닉스,12세이상관람가,드라마,권중목,"조준형,문상희,정래석,이재훤,정혜지,이혜성,차명욱,최상민,김명애,김양지,허정진,김예원,이창배,김나경,김강수,김나경,김나연,김민수,김민지,김소영,김유나,김은빈,김지웅,김정은,김진아,김현옥,박소희,박은미,박현주,신서영,신아라,이산,이나경,이민영,이보람,이윤정,이지은,이지은,이하은,이희연,최영심,최윤영,최지원,홍수현"
570,DIMA 방송보도제작과 영상제 ‘추억이 오네요’ 2부,,"1,920,000",0.0%,"1,920,000",320,320,1,2,한국,한국,,,,기타,,
571,살인나비를 쫓는 여자,1979.12.8,"2,687,500",0.0%,"2,687,500",318,318,1,4,한국,한국,(주)우진필림,,국민학생관람불가,"드라마,멜로/로맨스",김기영,"김자옥,김정철,김 만,남궁원"
572,MSFF2017 희극지왕 3,,"1,903,000",0.0%,"1,903,000",317,317,1,3,한국,한국,,,,코미디,,
573,MSFF2017 비정성시 1,,"1,961,000",0.0%,"1,961,000",315,315,1,4,한국,한국,,,,드라마,,
573,마중: 커피숍 난동 수다 사건,2018.5.17,"2,481,500",0.0%,"2,481,500",315,315,6,57,한국,한국,"자메이크 필름,(주)콘텐츠윙",(주)콘텐츠윙,15세이상관람가,"코미디,드라마",임혜영,"김준한,류대식,문웅기,성기국,송준영,정재영,차지훈,이새롬,이주영"
573,카이: 거울 호수의 전설,2016.8.17,"2,246,000",0.0%,"185,119,800",315,"24,990",1,54,한국,한국,"주식회사 다다쇼,(주)영화사레드피터",메가박스중앙(주)플러스엠,전체관람가,애니메이션,이성강,"김영은,박고운,강진아,이창규,임무권,이건우,채민지"
576,아가씨 참으세요,1981.9.19,"589,000",0.0%,"589,000",307,307,1,6,한국,한국,(주)동아수출공사,,국민학생관람불가,"드라마,범죄",이형표,"권영문,정윤희,서영란"
577,SIFF2018-개막식,,"2,149,000",0.0%,"2,149,000",306,306,1,1,한국,한국,,,,기타,,
578,MSFF2018 절대악몽 3,,"1,817,400",0.0%,"1,817,400",305,305,1,2,한국,한국,,,,"공포(호러),판타지",,
579,MSFF2018 사랑에 관한 짧은 필름 3,,"1,823,000",0.0%,"1,823,000",304,304,1,3,한국,한국,,,,"멜로/로맨스,드라마",,
579,아리랑아,,"582,000",0.0%,"582,000",304,304,1,8,한국,한국,(주)동아수출공사,,전체관람가,드라마,정인엽,"최불암,이순재,송재호,도금봉"
579,원점,,"608,000",0.0%,"2,836,000",304,"1,418",1,7,한국,한국,,,,"액션,멜로/로맨스",이만희,"신성일,문희"
579,콕!애니 - [섹션1] Between : 너와 나의 사이,,"1,514,000",0.0%,"1,514,000",304,304,2,4,한국,한국,,,,애니메이션,"한병아,전승배,나정인,김윤희,이은재,한지원",
583,게스트하우스,2018.2.22,"2,062,500",0.0%,"2,062,500",303,303,12,134,한국,한국,하준사,하준사,12세이상관람가,"드라마,멜로/로맨스","조성규,이규회,조성규","김성제,치순,김강현,백선우,서해림,곽민석,박신우"
583,암살,2015.7.22,"1,914,000",0.0%,"98,467,187,781",303,"12,706,663",1,6,한국,한국,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭,김태준,차지원,강영묵,정기섭,금새록,원현준,안민영"
583,충녀,1972.10.6,"2,423,500",0.0%,"2,647,500",303,349,1,5,한국,한국,한립물산,,12세이상관람가,드라마,김기영,"남궁원,윤여정"
586,뽀로로 극장판 슈퍼썰매 대모험,2013.1.23,"1,542,000",0.0%,"6,830,036,000",302,"931,953",1,36,한국,한국,"(주)오콘,중국오락문화투자유한회사",씨제이이앤엠(주),전체관람가,애니메이션,박영균,"이선,이미자,김환진,함수정,홍소영,조현정,정미숙,강승훈,김남희,김은정,김정달,김태훈,노영란,박민교,박영수,박장호,윤창섭"
587,"님아, 그 강을 건너지 마오",2014.11.27,"626,000",0.0%,"37,357,555,079",300,"4,802,173",1,14,한국,한국,아거스필름,"CGV아트하우스,(주)대명문화공장",전체관람가,다큐멘터리,진모영,"조병만,강계열"
