순위,영화명,개봉일,매출액 ,매출액점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
68,성실한 나라의 앨리스,2015.8.13,"349,482,500",0.0%,"349,482,500","43,964","43,964",69,"3,275",한국,한국,한국영화아카데미,CGV아트하우스,청소년관람불가,드라마,안국진,"이정현,이해영,서영화,명계남,오광록,이준혁,이대연,전홍석,박은영,정혜지,최경옥,최성현,안소영,윤희경,이상현,배제기,손범수,지대한,이용녀,정애화"
38,"협녀, 칼의 기억",2015.8.13,"3,360,045,489",0.4%,"3,360,045,489","431,310","431,310",572,"16,099",한국,한국,(주)티피에스컴퍼니,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,액션",박흥식,"이병헌,전도연,김고은,이경영,김태우,이준호,배수빈,문성근,박슬기,장윤성,장은태,강풍,박지훈,고지영,손재영,김수안,김학선,성유빈,이성우"
25,미쓰 와이프,2015.8.13,"7,387,086,869",0.8%,"7,387,086,869","988,451","988,451",437,"28,864",한국,한국,(주)영화사아이비젼,메가박스중앙(주)플러스엠,15세이상관람가,코미디,강효진,"엄정화,송승헌,김상호,라미란,서신애,임보경,강현구,백승호,정지안,조훈휘,최윤철,유영채,홍석현,이승호,이연주,이은정,고수희,안소연,양도연,황석하,정지훈,조덕제,김병춘,최종률,정유석,이용녀,최일화,곽지유,김영용,서승원,조경현,엄채영,염동헌"
129,오늘영화,2015.8.20,"17,273,200",0.0%,"20,270,900","2,348","2,841",17,405,한국,한국,서울독립영화제,(주)인디플러그,15세이상관람가,"멜로/로맨스,기타","윤성호,강경태,구교환,이옥섭","정연주,박종환,백승화,백수장,박민지,허정도,구교환,임성미,박현영,박정범,박혁권,한희재,조영각,조영각,조선미,조명현,정일성,정연이,장승연,김서영,김성록,이용승,이승석,이석형,이상용,윤혜숙,윤지아,김도영,김도영,김도영,김동현,김민화,김보라,양성호,김예은,김택윤,김현민,나두열,백현철,백승화"
59,퇴마: 무녀굴,2015.8.20,"951,843,500",0.1%,"951,843,500","120,802","120,802",331,"6,463",한국,한국,"(주)케이프로덕션,플로우식스(주),버티고필름",씨네그루(주)다우기술,15세이상관람가,"공포(호러),스릴러",김휘,"김성균,유선,천호진,차예련,김혜성,박수민,박시영,임화영,유성훈,윤지민,이상희,이승희,신나리,김소진,이주실,양지웅,한창현"
15,뷰티 인사이드,2015.8.20,"16,148,479,531",1.8%,"16,148,479,531","2,053,435","2,053,435",648,"52,618",한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"판타지,멜로/로맨스",백,"한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,최용민,이미도,신동미,김시은,유재상,오상철,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,이진성,공민정,고규필,이봄,손슬기,박근록,이지민,우상기,박민수,권기하"
44,치외법권,2015.8.27,"2,664,941,005",0.3%,"2,664,941,005","346,483","346,483",446,"15,297",한국,한국,"(주)유니프로,(주)스톰픽쳐스코리아",판씨네마(주),15세이상관람가,액션,신동엽,"임창정,최다니엘,임은경,장광,이경영,문제영,정한비,박영진,임정아,박일우,정형석,조원재,서동수,서진원,이응준,안현준,최병모,방은희,반민정,한주영,전소니,강신철,조한선"
93,기적의 피아노,2015.9.3,"63,003,800",0.0%,"63,003,800","8,567","8,567",74,958,한국,한국,(주)보고싶은영화사,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,다큐멘터리,"임성구,김은주","유예은,박정순,유장주,박유천,정혜연,정옥화,김현지,김현희"
37,오피스,2015.9.3,"3,460,460,230",0.4%,"3,460,460,230","441,208","441,208",425,"18,575",한국,한국,(주)영화사꽃,(주)리틀빅픽쳐스,15세이상관람가,"스릴러,미스터리",홍원찬,"고아성,박성웅,배성우,김의성,류현경,이채은,오대환,박정민,이정환,최철수,안지혜,이성진,이영수,최병모,기주봉,손수현,신문성,손영순"
261,자가당착: 시대정신과 현실참여,2015.9.10,"3,001,000",0.0%,"3,271,000",486,531,5,61,한국,한국,곡사,(주)인디플러그,청소년관람불가,"코미디,기타",김선,"정아영,강석,강영수,윤보경,신혜옥,박세희,박진아,이란희"
207,젊은 처제,2015.9.10,"4,913,000",0.0%,"4,913,000",770,770,21,88,한국,한국,㈜리필름,주식회사 루믹스미디어,청소년관람불가,"멜로/로맨스,코미디",이세종,"고원,곽한구,허민영,원성진,노진수"
116,영도,2015.9.10,"24,304,000",0.0%,"24,304,000","3,089","3,089",21,385,한국,한국,브릿지 프로덕션,(주)콘텐츠판다,청소년관람불가,"드라마,범죄,미스터리",손승웅,"태인호,김근수,이상희,권소현,허승원,조혜원,조우성,정연현,전지민,임슬기,김성진,이재현,이익수,이윤상,김경원,김다솔,이나영,유혜민,오승환,김동현,김민규,양영철,김우진,김지훈,신효진,박정훈,강보경,조영진,양지웅,김태준"
82,사랑이 이긴다,2015.9.10,"116,662,900",0.0%,"116,662,900","15,328","15,328",48,632,한국,한국,민병훈필름,(주)리틀빅픽쳐스,15세이상관람가,"가족,드라마",민병훈,"최정원,장현성,오유진,정상희,이윤재,김남표,오병관,김윤영,박시영,박정환,손성진,황정민,정다빈,최희서,최유화,강신철"
90,슈퍼레이서 엔지,2015.9.10,"73,587,800",0.0%,"73,587,800","10,612","10,612",126,694,한국,한국,(주)크레이지버드스튜디오,(주)에이원엔터테인먼트,전체관람가,애니메이션,허선,"손무성,최대한,김재정"
96,돼지 같은 여자,2015.9.10,"52,852,400",0.0%,"52,852,400","7,238","7,238",91,"1,125",한국,한국,(주)아이필름홀딩스,CGV아트하우스,15세이상관람가,멜로/로맨스,장문일,"황정음,이종혁,최여진,박진주,최지연,정민지,임민주,이용호,김대식,박소연"
89,제 7기사단,2015.9.10,"80,160,964",0.0%,"80,160,964","10,710","10,710",95,"1,155",한국,"한국,미국",(주)루카프로덕션,메가박스중앙(주)플러스엠,15세이상관람가,"액션,어드벤처",키리야 카즈아키,"클라이브 오웬,모건 프리먼,안성기,엑셀 헨니,최재현,장한별,장영주,김선웅,이상민,박재영,박상욱"
49,함정,2015.9.10,"2,090,877,200",0.2%,"2,090,877,200","257,990","257,990",445,"10,899",한국,한국,(주)데이드림,(주)인벤트스톤,청소년관람불가,"스릴러,범죄",권형진,"마동석,조한선,김민경,지안,이정원,최선주,하태웅"
5,사도,2015.9.16,"48,842,902,501",5.6%,"48,842,902,501","6,246,849","6,246,849","1,210","124,246",한국,한국,(주)타이거픽쳐스,(주)쇼박스,12세이상관람가,사극,이준익,"송강호,유아인,문근영,전혜진,김해숙,박원상,진지희,박소담,서예지,이효제,곽동호,최희영,정호,이현철,김상훈,이민혜,김경원,김대환,김민규,양지혜,안현숙,김우진,이대연,최덕문,정석용,최민철,안정우,안태훈,조승연,차순배,박명신"
157,덫: 치명적인 유혹,2015.9.17,"8,462,000",0.0%,"8,462,000","1,413","1,413",19,48,한국,한국,지오엔터테인먼트,골든타이드픽처스(주),청소년관람불가,"스릴러,멜로/로맨스,드라마",봉만대,"유하준,한제인,강용규,김도연,김정곤,박영훈,김정곤"
193,션샤인 러브,2015.9.17,"7,069,800",0.0%,"7,069,800",896,896,17,243,한국,한국,"(주)티피에스컴퍼니,필름문","(주)인벤트스톤,(주)영화사오원",12세이상관람가,"판타지,멜로/로맨스,코미디",조은성,"오정세,조은지,송삼동,박재철,이미도,강민지,한수용,이재석,문성환,손민식,이재석,최혁"
62,지금은맞고그때는틀리다,2015.9.24,"658,072,600",0.1%,"658,072,600","79,840","79,840",70,"5,053",한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)넥스트엔터테인먼트월드(NEW)",청소년관람불가,드라마,홍상수,"정재영,김민희,윤여정,기주봉,최화정,유준상,서영화,고아성"
33,서부전선,2015.9.24,"4,751,661,400",0.5%,"4,751,661,400","609,063","609,063",509,"18,935",한국,한국,(주)하리마오픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"전쟁,드라마",천성일,"설경구,여진구,이경영,정성화,정인기,김원해,김태훈,정석원,한민수,조상원,이찬유,김선영,이은형,이소명,유순철,김동규,오성택,김명환,김민지,김종석,김지영,김태훈,박시연,박아형,박지연,박지원,최호중,김시은,조희봉,정재훈,권오상"
12,탐정 : 더 비기닝,2015.9.24,"20,463,956,973",2.3%,"20,463,956,973","2,625,686","2,625,686",764,"54,995",한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",김정훈,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김태훈,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한,진용욱,한창현,민무제"
74,춘희막이,2015.9.30,"205,578,965",0.0%,"205,578,965","29,539","29,539",268,"3,940",한국,한국,(주)하이하버픽쳐스,"메가박스중앙(주)플러스엠,(주)엣나인필름",12세이상관람가,다큐멘터리,박혁지,"김춘희,최막이"
248,포장마차,2015.10.1,"2,617,000",0.0%,"2,617,000",520,520,20,59,한국,한국,㈜리필름,에이라인,청소년관람불가,"코미디,멜로/로맨스",최율권희,이채담
84,"안녕, 전우치! 도술로봇대결전",2015.10.8,"92,435,600",0.0%,"92,435,600","13,055","13,055",173,"1,076",한국,한국,"(주)얼리버드픽쳐스,(주)쏘울 크리에이티브",(주)리틀빅픽쳐스,전체관람가,애니메이션,김대창,"김율,김새해,정선혜"
22,성난 변호사,2015.10.8,"8,723,650,039",1.0%,"8,723,650,039","1,128,288","1,128,288",607,"36,990",한국,한국,"씨제이이앤엠(주),(주)영화사 빛나는 제국,우수영화사",씨제이이앤엠(주),15세이상관람가,"범죄,액션",허종호,"오상철,이선균,김고은,임원희,장현성,최재웅,김윤혜,홍성덕,배유람,권귀덕,노경섭,노경섭,정진근,장명진,이확광,이형섭,이은택,이수민,이기창,유영진,김현정,노영화,송원종,박지영,서현우,박연우,주석태,민진웅,한성천,손영순"
250,유부녀들,2015.10.14,"3,405,000",0.0%,"3,405,000",516,516,20,46,한국,한국,영화사 인연,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",경석호,"김소현,김하늘"
406,미션스쿨,2015.10.15,"951,000",0.0%,"951,000",152,152,4,56,한국,한국,강의석필름,홀리가든,12세이상관람가,드라마,강의석,"이바울,임정은,박선형,변지현,서정원,서지형,윤상호,윤정훈,임정숙,장재권,전유성,조지혜,최수혁,최승하,한민호,홍선기,윤금선아"
66,비밀,2015.10.15,"369,339,300",0.0%,"369,339,300","50,196","50,196",305,"5,180",한국,한국,"영화사 도로시(주),(주)에스에이치기획",CGV아트하우스,15세이상관람가,"미스터리,드라마","박은경,이동하","성동일,김유정,손호준,임형준,서예지,진경,김동현,김동현,김요한,김우희,김원준,김은정,송호연,박세은,박재영,남일우"
205,스피드,2015.10.22,"6,667,000",0.0%,"6,667,000",776,776,6,42,한국,한국,(주)무비엔진,(주)드림팩트엔터테인먼트,청소년관람불가,드라마,이상우,"서준영,백성현,임형준,전지훈,이혜인,이상우,이상우,유승원,김동규,김미애,김정민,김준우,김희영,박솔미,박솔미,박영민,성소원,이상아,황석하,김강일,서호철"
115,맛있는 비행,2015.10.22,"16,041,000",0.0%,"16,041,000","3,141","3,141",21,87,한국,한국,(주)로드하우스,노바엔터테인먼트,청소년관람불가,멜로/로맨스,전병철,"손덕기,정유진,신유주"
196,오디세오,2015.10.22,"12,000,000",0.0%,"12,000,000",862,862,8,153,한국,한국,(주)패뷸러스,(주)패뷸러스,전체관람가,공연,정성복,
148,필름시대사랑,2015.10.22,"12,658,000",0.0%,"12,658,000","1,605","1,605",19,299,한국,한국,"(주)률필름,(주)스마일이엔티",(주)스마일이엔티,15세이상관람가,드라마,장률,"박해일,안성기,문소리,한예리,권혜민,허철,최우식,정재필,임철희,이준동,이용수,윤서희,오재은,김동현,김동현,김소연,김수정,김여정,김예은,김진주,안동훈,신지은,김희령,송효정,송승민,류시문,박상호,박정환,백현진,백주은,백종관,김학선,남명렬"
61,돌연변이,2015.10.22,"748,816,684",0.1%,"748,816,684","100,523","100,523",399,"6,827",한국,한국,영화사 우상,필라멘트픽쳐스,12세이상관람가,"드라마,코미디",권오광,"이광수,이천희,박보영,장광,이병준,김희원,강봉성,권오광,추민철,장원석,우문기,김수정,김태환,박성일,박시영,박준수,박지연,이세랑,강진아,임성미,이창훈,장준휘"
32,특종: 량첸살인기,2015.10.22,"4,754,763,118",0.5%,"4,754,763,118","616,481","616,481",776,"31,783",한국,한국,"(주)우주필름,(주)뱅가드스튜디오",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,스릴러,노덕,"조정석,이미숙,이하나,김의성,배성우,김대명,태인호,김수안,김기호,김민재,오주환,이정은,최병모,윤다경,이창훈"
