순위,영화명,개봉일,스크린수,스크린점유율,매출액,누적매출액,관객수,누적관객수
15,너의 의미,,1,0.1%,7000,7000,1,1
1,탐정 홍길동: 사라진 마을,2016-05-04,729,43.1%,415650800,6939478727,55279,848570
2,극장판 안녕 자두야,2016-05-04,292,17.3%,22421200,1664284700,3179,216922
3,시간이탈자,2016-04-13,235,13.9%,26534400,9676141095,3416,1195003
4,다이노X 탐험대,2016-05-04,143,8.5%,5792000,592550100,832,76378
5,해어화,2016-04-13,83,4.9%,8349400,3726762159,1299,478935
6,위대한 소원,2016-04-21,65,3.8%,5050000,2418551013,680,304724
7,초인,2016-05-05,30,1.8%,1511000,16403200,186,2090
8,"날, 보러와요",2016-04-07,29,1.7%,3278000,8830576563,412,1062700
9,계춘할망,2016-05-19,17,1.0%,4128000,47528000,516,6014
10,4등,2016-04-13,16,0.9%,973000,245643800,132,32780
10,특별수사: 사형수의 편지,2016-06-16,16,0.9%,26627000,28583000,3446,3772
12,철원기행,2016-04-21,6,0.4%,149000,23128600,21,3241
13,곡성,2016-05-12,5,0.3%,17216000,39981000,2152,5498
14,타이밍,2015-12-10,3,0.2%,59000,290563300,10,38501
14,글로리데이,2016-03-24,3,0.2%,74000,1485967468,10,189248
14,업사이드 다운,2016-04-14,3,0.2%,21000,25714000,3,3746
14,탐욕의 별,2016-04-27,3,0.2%,54000,3979500,9,613
18,동주,2016-02-17,2,0.1%,726000,8852156089,133,1166689
19,일사각오,2016-03-17,1,0.1%,18000,652588000,2,89725
19,짐작보다 따뜻하게,2016-05-19,1,0.1%,1582000,1582000,226,226
19,스틸 플라워,2016-04-07,1,0.1%,18000,16668500,3,2373
19,하하하,2010-05-05,1,0.1%,48000,433855200,8,57003
19,해파리의 노래,,1,0.1%,105000,105000,21,21
19,자유의 언덕,2014-09-04,1,0.1%,30000,318485827,5,39289
19,옥희의 영화,2010-09-16,1,0.1%,36000,285822900,6,37104
19,모정에 우는 두 아들,,1,0.1%,254000,11244000,127,5583
19,내사랑 한옥마을,,1,0.1%,55000,55000,16,16
19,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,1,0.1%,120000,362367600,24,48005
19,두 개의 연애,2016-04-14,1,0.1%,45000,13248500,7,1460
1,탐정 홍길동: 사라진 마을,2016-05-04,746,45.7%,454623200,7394101927,60426,908996
2,시간이탈자,2016-04-13,231,14.2%,35166500,9711307595,4593,1199596
2,극장판 안녕 자두야,2016-05-04,231,14.2%,11743000,1676027700,1701,218623
4,다이노X 탐험대,2016-05-04,128,7.8%,3997700,596547800,590,76968
5,해어화,2016-04-13,84,5.1%,7925600,3734687759,1121,480056
6,위대한 소원,2016-04-21,77,4.7%,6725000,2425276013,987,305711
7,"날, 보러와요",2016-04-07,34,2.1%,3465000,8834041563,442,1063142
8,초인,2016-05-05,29,1.8%,1474000,17877200,216,2306
9,4등,2016-04-13,14,0.9%,793000,246436800,110,32890
10,계춘할망,2016-05-19,13,0.8%,25590000,73118000,3255,9269
11,철원기행,2016-04-21,8,0.5%,582000,23710600,88,3329
12,타이밍,2015-12-10,5,0.3%,46000,290609300,8,38509
12,탐욕의 별,2016-04-27,5,0.3%,86000,4065500,12,625
14,일사각오,2016-03-17,4,0.2%,1224000,653812000,297,90022
15,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,3,0.2%,784000,363151600,155,48160
15,스틸 플라워,2016-04-07,3,0.2%,50000,16718500,8,2381
15,업사이드 다운,2016-04-14,3,0.2%,244000,25958000,35,3781
18,블랙스톤,2016-03-28,2,0.1%,23000,874600,4,138
19,아빠가 돌아왔다,2016-05-19,1,0.1%,1116000,1116000,186,186
19,파리의 한국남자,2016-01-28,1,0.1%,6000,21680000,1,2942
19,곡성,2016-05-12,1,0.1%,1814000,41795000,227,5725
19,우리 선희,2013-09-12,1,0.1%,42000,533190900,7,69112
19,한국 환경영화의 흐름 단편,,1,0.1%,70000,70000,14,14
19,글로리데이,2016-03-24,1,0.1%,18000,1485985468,2,189250
19,"5월 단편 상상극장-어느 날, 학교에서",,1,0.1%,128000,128000,16,16
19,서울야행,2016-05-05,1,0.1%,5000,114000,1,16
19,모정에 우는 두 아들,,1,0.1%,180000,11424000,90,5673
19,북촌방향,2011-09-08,1,0.1%,24000,369581200,4,46182
19,두 개의 연애,2016-04-14,1,0.1%,34000,13282500,6,1466
19,잘 알지도 못하면서,2009-05-14,1,0.1%,96000,277365600,16,39975
1,곡성,2016-05-12,895,38.3%,1351148500,1392943500,170789,176514
2,탐정 홍길동: 사라진 마을,2016-05-04,721,30.9%,299322300,7693424227,40969,949965
3,극장판 안녕 자두야,2016-05-04,217,9.3%,9538500,1685566200,1352,219975
4,시간이탈자,2016-04-13,179,7.7%,13715600,9725023195,1951,1201547
5,다이노X 탐험대,2016-05-04,83,3.6%,3085500,599633300,494,77462
6,해어화,2016-04-13,72,3.1%,4853500,3739541259,733,480789
7,위대한 소원,2016-04-21,56,2.4%,3516200,2428792213,580,306291
8,"날, 보러와요",2016-04-07,24,1.0%,1069500,8835111063,149,1063291
9,초인,2016-05-05,22,0.9%,1216000,19093200,168,2474
10,4등,2016-04-13,18,0.8%,1540400,247977200,248,33138
11,계춘할망,2016-05-19,11,0.5%,21160000,94278000,2645,11914
12,철원기행,2016-04-21,6,0.3%,306000,24016600,55,3384
13,탐욕의 별,2016-04-27,5,0.2%,43000,4108500,7,632
14,엽기적인 그녀 2,2016-05-12,4,0.2%,7656000,18931000,957,2408
15,타이밍,2015-12-10,3,0.1%,28000,290637300,6,38515
16,블랙스톤,2016-03-28,2,0.1%,20000,894600,4,142
16,업사이드 다운,2016-04-14,2,0.1%,28000,25986000,4,3785
18,누구의 딸도 아닌 해원,2013-02-28,1,0.0%,30000,274891900,5,35688
18,다른나라에서,2012-05-31,1,0.0%,6000,240659200,1,31024
18,지금은맞고그때는틀리다,2015-09-24,1,0.0%,90000,664202100,15,80629
18,스틸 플라워,2016-04-07,1,0.0%,6000,16724500,1,2382
18,그럼에도 불구하고,2017-08-24,1,0.0%,170000,170000,34,34
18,서울야행,2016-05-05,1,0.0%,33000,147000,5,21
18,글로리데이,2016-03-24,1,0.0%,63000,1486048468,7,189257
18,특별수사: 사형수의 편지,2016-06-16,1,0.0%,2144000,30727000,268,4040
18,귀향,2016-02-24,1,0.0%,600000,27240400990,100,3585597
18,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,1,0.0%,108000,363259600,27,48187
18,내사랑 한옥마을,,1,0.0%,40000,95000,8,24
18,돌고래와 나,,1,0.0%,125000,350000,25,70
18,핵마피아,,1,0.0%,125000,235000,25,52
18,[SIAFF2016] 국제단편경쟁 1,,1,0.0%,6000,6000,1,1
18,모정에 우는 두 아들,,1,0.0%,402000,11826000,201,5874
18,[SIAFF2016] 국제단편경쟁 2,,1,0.0%,66000,66000,11,11
1,곡성,2016-05-12,1125,48.7%,2356899900,3749843400,310042,486556
2,탐정 홍길동: 사라진 마을,2016-05-04,499,21.6%,221546500,7914970727,29117,979082
3,엽기적인 그녀 2,2016-05-12,380,16.5%,113785400,132716400,15373,17781
4,극장판 안녕 자두야,2016-05-04,115,5.0%,4520200,1690086400,694,220669
5,다이노X 탐험대,2016-05-04,23,1.0%,645500,600278800,90,77552
5,해어화,2016-04-13,23,1.0%,4844000,3744385259,945,481734
7,탐욕,2016-05-12,20,0.9%,1555000,1555000,301,301
7,옆집 누나,2016-05-12,20,0.9%,1465000,1465000,283,283
9,시간이탈자,2016-04-13,17,0.7%,955000,9725978195,125,1201672
10,위대한 소원,2016-04-21,16,0.7%,1257000,2430049213,284,306575
11,초인,2016-05-05,13,0.6%,926000,20019200,125,2599
12,사돈의 팔촌,2016-05-12,8,0.3%,1111000,2313200,117,322
13,4등,2016-04-13,6,0.3%,1360000,249337200,256,33394
14,펑정지에는 펑정지에다,2016-05-12,5,0.2%,601000,601000,76,76
15,철원기행,2016-04-21,4,0.2%,136000,24152600,25,3409
16,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,3,0.1%,347000,363606600,72,48259
16,배짱이들,2016-05-12,3,0.1%,100000,100000,16,16
16,검사외전,2016-02-03,3,0.1%,745000,77318689264,175,9706990
16,눈이라도 내렸으면,2016-05-12,3,0.1%,197000,207000,33,35
16,"날, 보러와요",2016-04-07,3,0.1%,158000,8835269063,28,1063319
21,일사각오,2016-03-17,2,0.1%,280000,654092000,60,90082
21,탐욕의 별,2016-04-27,2,0.1%,27000,4135500,6,638
21,타이밍,2015-12-10,2,0.1%,16000,290653300,3,38518
24,북촌방향,2011-09-08,1,0.0%,36000,369617200,6,46188
24,애비,2016-05-12,1,0.0%,7000,7000,1,1
24,스틸 플라워,2016-04-07,1,0.0%,45000,16769500,5,2387
24,란제리 사나이,2016-05-12,1,0.0%,12000,12000,2,2
24,드롭박스,2016-05-19,1,0.0%,210000,210000,35,35
24,눈꺼풀,2018-04-12,1,0.0%,60000,448000,9,73
24,스톱,2016-12-08,1,0.0%,305000,575000,61,115
24,[SIAFF2016] 국제단편경쟁 3,,1,0.0%,12000,12000,2,2
24,계춘할망,2016-05-19,1,0.0%,2144000,96422000,268,12182
24,업사이드 다운,2016-04-14,1,0.0%,6000,25992000,1,3786
24,해파리의 노래,,1,0.0%,95000,200000,24,45
24,우리 선희,2013-09-12,1,0.0%,18000,533208900,3,69115
24,내부자들,2015-11-19,1,0.0%,203000,56598333057,42,7072063
24,[SIAFF2016] 국제단편경쟁 4,,1,0.0%,78000,78000,13,13
24,다른나라에서,2012-05-31,1,0.0%,18000,240677200,3,31027
1,곡성,2016-05-12,1252,50.5%,3411461909,7161305309,409661,896217
2,탐정 홍길동: 사라진 마을,2016-05-04,520,21.0%,387985591,8302956318,47559,1026641
3,엽기적인 그녀 2,2016-05-12,386,15.6%,114323300,247039700,14324,32105
4,극장판 안녕 자두야,2016-05-04,148,6.0%,14681600,1704768000,2042,222711
5,다이노X 탐험대,2016-05-04,27,1.1%,2446000,602724800,398,77950
6,시간이탈자,2016-04-13,21,0.8%,1593000,9727571195,183,1201855
7,탐정사무소 - 사랑과 전쟁,2016-05-13,20,0.8%,1347000,1347000,265,265
8,초인,2016-05-05,17,0.7%,1491800,21511000,177,2776
9,위대한 소원,2016-04-21,16,0.6%,1136000,2431185213,256,306831
10,해어화,2016-04-13,12,0.5%,1551000,3745936259,271,482005
11,사돈의 팔촌,2016-05-12,8,0.3%,432000,2745200,57,379
12,4등,2016-04-13,7,0.3%,557500,249894700,70,33464
13,"날, 보러와요",2016-04-07,4,0.2%,67000,8835336063,10,1063329
14,귀향,2016-02-24,3,0.1%,2492000,27242892990,400,3585997
14,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,3,0.1%,776000,364382600,165,48424
14,블랙스톤,2016-03-28,3,0.1%,24000,918600,3,145
14,업사이드 다운,2016-04-14,3,0.1%,38000,26030000,7,3793
14,배짱이들,2016-05-12,3,0.1%,58600,158600,7,23
19,눈이라도 내렸으면,2016-05-12,2,0.1%,2466000,2673000,277,312
19,동주,2016-02-17,2,0.1%,962000,8853118089,161,1166850
19,철원기행,2016-04-21,2,0.1%,27500,24180100,4,3413
19,일사각오,2016-03-17,2,0.1%,280000,654372000,56,90138
19,타이밍,2015-12-10,2,0.1%,18000,290671300,3,38521
24,[SIAFF2016] 국제단편경쟁 4,,1,0.0%,26000,104000,5,18
24,마부,,1,0.0%,251000,16579000,131,8845
24,[SIAFF2016] 국제단편경쟁 2,,1,0.0%,36000,102000,6,17
24,탐욕의 별,2016-04-27,1,0.0%,19000,4154500,3,641
24,글로리데이,2016-03-24,1,0.0%,187000,1486235468,21,189278
24,계춘할망,2016-05-19,1,0.0%,320000,96742000,32,12214
24,공부의 나라,,1,0.0%,330000,1195800,55,217
24,양치기들,2016-06-02,1,0.0%,792000,2310900,72,327
24,지금은맞고그때는틀리다,2015-09-24,1,0.0%,54000,664256100,9,80638
24,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,1,0.0%,480000,895624500,96,133535
24,하하하,2010-05-05,1,0.0%,84000,433939200,14,57017
24,누구의 딸도 아닌 해원,2013-02-28,1,0.0%,24000,274915900,4,35692
24,내 마음의 고향,2014-11-27,1,0.0%,145000,411000,43,85
24,베테랑,2015-08-05,1,0.0%,341000,105169264250,64,13414200
24,[SIAFF2016] 국제단편경쟁 3,,1,0.0%,48000,60000,8,10
1,곡성,2016-05-12,1471,51.9%,6405830673,13567135982,761360,1657577
2,탐정 홍길동: 사라진 마을,2016-05-04,498,17.6%,810263207,9113219525,97119,1123760
3,엽기적인 그녀 2,2016-05-12,385,13.6%,112856500,359896200,13498,45603
4,극장판 안녕 자두야,2016-05-04,318,11.2%,154042000,1858810000,20429,243140
5,다이노X 탐험대,2016-05-04,64,2.3%,12252000,614976800,1596,79546
6,초인,2016-05-05,19,0.7%,3465700,24976700,422,3198
7,위대한 소원,2016-04-21,17,0.6%,1045000,2432230213,248,307079
8,시간이탈자,2016-04-13,10,0.4%,906500,9728477695,106,1201961
8,사돈의 팔촌,2016-05-12,10,0.4%,700000,3445200,99,478
10,4등,2016-04-13,9,0.3%,2201000,252095700,282,33746
11,블랙스톤,2016-03-28,4,0.1%,68000,986600,10,155
11,철원기행,2016-04-21,4,0.1%,115000,24295100,16,3429
11,배짱이들,2016-05-12,4,0.1%,65000,223600,10,33
14,해어화,2016-04-13,3,0.1%,217500,3746153759,25,482030
15,"날, 보러와요",2016-04-07,2,0.1%,187000,8835523063,23,1063352
16,탐정사무소 - 사랑과 전쟁,2016-05-13,1,0.0%,250000,1597000,50,315
16,하하하,2010-05-05,1,0.0%,72000,434011200,12,57029
16,옥희의 영화,2010-09-16,1,0.0%,108000,285930900,18,37122
16,우리 선희,2013-09-12,1,0.0%,42000,533250900,7,69122
16,내 마음의 고향,2014-11-27,1,0.0%,182000,593000,50,135
16,자유의 언덕,2014-09-04,1,0.0%,48000,318533827,8,39297
16,지금은맞고그때는틀리다,2015-09-24,1,0.0%,66000,664322100,11,80649
16,업사이드 다운,2016-04-14,1,0.0%,28000,26058000,4,3797
16,눈꺼풀,2018-04-12,1,0.0%,381000,829000,55,128
16,스틸 플라워,2016-04-07,1,0.0%,49000,16818500,5,2392
16,울보,2016-01-28,1,0.0%,0,6443400,0,858
16,귀향,2016-02-24,1,0.0%,45000,27242937990,9,3586006
16,일사각오,2016-03-17,1,0.0%,600000,654972000,120,90258
16,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,1,0.0%,86000,364468600,9,48433
16,탐욕의 별,2016-04-27,1,0.0%,42000,4196500,6,647
16,마부,,1,0.0%,196000,16775000,100,8945
16,끝나지 않은 사랑의 기적 장기려,,1,0.0%,54000,54000,9,9
16,[SIAFF2016] 국제단편경쟁 1,,1,0.0%,24000,30000,4,5
1,곡성,2016-05-12,1485,52.5%,5593196400,19160332382,661819,2319396
2,탐정 홍길동: 사라진 마을,2016-05-04,488,17.3%,684329720,9797549245,82044,1205804
3,엽기적인 그녀 2,2016-05-12,380,13.4%,92660100,452556300,11088,56691
4,극장판 안녕 자두야,2016-05-04,320,11.3%,156886000,2015696000,20729,263869
5,다이노X 탐험대,2016-05-04,63,2.2%,15028900,630005700,1911,81457
6,초인,2016-05-05,17,0.6%,2269000,27245700,296,3494
7,위대한 소원,2016-04-21,16,0.6%,1075000,2433305213,253,307332
8,사돈의 팔촌,2016-05-12,9,0.3%,707000,4152200,92,570
8,시간이탈자,2016-04-13,9,0.3%,792000,9729269695,89,1202050
10,4등,2016-04-13,7,0.2%,805000,252900700,106,33852
11,배짱이들,2016-05-12,4,0.1%,106000,329600,15,48
12,일사각오,2016-03-17,3,0.1%,3627000,658599000,412,90670
12,눈이라도 내렸으면,2016-05-12,3,0.1%,60000,2733000,9,321
12,해어화,2016-04-13,3,0.1%,410000,3746563759,46,482076
12,블랙스톤,2016-03-28,3,0.1%,33000,1019600,5,160
12,"날, 보러와요",2016-04-07,3,0.1%,275000,8835798063,35,1063387
17,탐욕의 별,2016-04-27,2,0.1%,61000,4257500,8,655
17,철원기행,2016-04-21,2,0.1%,32000,24327100,5,3434
17,타이밍,2015-12-10,2,0.1%,47000,290718300,10,38531
20,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,1,0.0%,75500,364544100,10,48443
20,펑정지에는 펑정지에다,2016-05-12,1,0.0%,158000,759000,24,100
20,업사이드 다운,2016-04-14,1,0.0%,88000,26146000,11,3808
20,자유의 언덕,2014-09-04,1,0.0%,48000,318581827,8,39305
20,잘 알지도 못하면서,2009-05-14,1,0.0%,54000,277419600,9,39984
20,누구의 딸도 아닌 해원,2013-02-28,1,0.0%,30000,274945900,5,35697
20,북촌방향,2011-09-08,1,0.0%,54000,369671200,9,46197
20,어둠의 자식들,1981-08-07,1,0.0%,514000,4161000,257,2078
20,다른나라에서,2012-05-31,1,0.0%,18000,240695200,3,31030
1,곡성,2016-05-12,1346,54.3%,2131883800,21292216182,291989,2611385
2,탐정 홍길동: 사라진 마을,2016-05-04,484,19.5%,238694600,10036243845,33175,1238979
3,엽기적인 그녀 2,2016-05-12,387,15.6%,36187000,488743300,5207,61898
4,극장판 안녕 자두야,2016-05-04,113,4.6%,4736300,2020432300,661,264530
5,이웃동서,2016-05-16,21,0.8%,1348000,1348000,253,253
6,초인,2016-05-05,18,0.7%,822500,28068200,104,3598
7,다이노X 탐험대,2016-05-04,17,0.7%,601000,630606700,84,81541
8,위대한 소원,2016-04-21,16,0.6%,1151000,2434456213,260,307592
9,시간이탈자,2016-04-13,14,0.6%,714000,9729983695,96,1202146
10,해어화,2016-04-13,9,0.4%,2134500,3748698259,493,482569
10,사돈의 팔촌,2016-05-12,9,0.4%,295500,4447700,39,609
10,4등,2016-04-13,9,0.4%,333000,253233700,44,33896
13,철원기행,2016-04-21,6,0.2%,145000,24472100,21,3455
14,배짱이들,2016-05-12,5,0.2%,487000,816600,57,105
15,계춘할망,2016-05-19,3,0.1%,4602000,101344000,606,12820
16,탐욕의 별,2016-04-27,2,0.1%,23000,4280500,3,658
16,"날, 보러와요",2016-04-07,2,0.1%,48000,8835846063,8,1063395
16,동주,2016-02-17,2,0.1%,1013000,8854131089,142,1166992
19,빙점 '81,1981-04-18,1,0.0%,424000,9624000,212,4807
19,탐정사무소 - 사랑과 전쟁,2016-05-13,1,0.0%,250000,1847000,50,365
19,애비,2016-05-12,1,0.0%,12000,19000,2,3
19,타이밍,2015-12-10,1,0.0%,0,290718300,0,38531
19,검사외전,2016-02-03,1,0.0%,215000,77318904264,43,9707033
19,대배우,2016-03-30,1,0.0%,12000,1245417228,4,169852
19,업사이드 다운,2016-04-14,1,0.0%,791000,26937000,113,3921
19,블랙스톤,2016-03-28,1,0.0%,7000,1026600,1,161
19,눈이라도 내렸으면,2016-05-12,1,0.0%,6000,2739000,1,322
19,짐작보다 따뜻하게,2016-05-19,1,0.0%,27000,1609000,3,229
19,나는 쓰레기다,2016-05-12,1,0.0%,7000,7000,1,1
19,글로리데이,2016-03-24,1,0.0%,431000,1486666468,48,189326
19,일사각오,2016-03-17,1,0.0%,18000,658617000,2,90672
19,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,1,0.0%,14000,364558100,2,48445
19,어둠의 자식들,1981-08-07,1,0.0%,312000,4473000,156,2234
1,곡성,2016-05-12,1362,55.3%,1607111900,22899328082,209856,2821241
2,탐정 홍길동: 사라진 마을,2016-05-04,496,20.1%,176245500,10212489345,23936,1262915
3,엽기적인 그녀 2,2016-05-12,345,14.0%,29330500,518073800,4117,66015
4,극장판 안녕 자두야,2016-05-04,115,4.7%,4218200,2024650500,618,265148
5,계춘할망,2016-05-19,25,1.0%,9729000,111073000,1348,14168
6,다이노X 탐험대,2016-05-04,18,0.7%,381000,630987700,56,81597
7,초인,2016-05-05,16,0.6%,628000,28696200,107,3705
8,4등,2016-04-13,13,0.5%,2952000,256185700,395,34291
9,해어화,2016-04-13,10,0.4%,772500,3749470759,119,482688
9,시간이탈자,2016-04-13,10,0.4%,424500,9730408195,58,1202204
11,사돈의 팔촌,2016-05-12,8,0.3%,143000,4590700,21,630
12,배짱이들,2016-05-12,6,0.2%,90000,906600,12,117
13,위대한 소원,2016-04-21,5,0.2%,254000,2434710213,47,307639
13,업사이드 다운,2016-04-14,5,0.2%,76000,27013000,11,3932
15,"날, 보러와요",2016-04-07,4,0.2%,70000,8835916063,10,1063405
16,일사각오,2016-03-17,3,0.1%,3196000,661813000,600,91272
17,블랙스톤,2016-03-28,2,0.1%,28000,1054600,6,167
17,동주,2016-02-17,2,0.1%,295000,8854426089,70,1167062
17,탐욕의 별,2016-04-27,2,0.1%,16000,4296500,2,660
17,철원기행,2016-04-21,2,0.1%,25000,24497100,5,3460
17,타이밍,2015-12-10,2,0.1%,22000,290740300,5,38536
22,스틸 플라워,2016-04-07,1,0.0%,34200,16852700,4,2396
22,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,1,0.0%,16000,364574100,2,48447
22,암살,2015-07-22,1,0.0%,390000,98463522781,83,12705783
22,"5월 단편 상상극장-어느 날, 학교에서",,1,0.0%,120000,248000,15,31
22,누나 친구 무삭제판,2016-05-17,1,0.0%,100000,100000,10,10
22,어둠의 자식들,1981-08-07,1,0.0%,274000,4747000,137,2371
22,귀향,2016-02-24,1,0.0%,0,27242937990,0,3586006
22,빙점 '81,1981-04-18,1,0.0%,256000,9880000,128,4935
22,글로리데이,2016-03-24,1,0.0%,9000,1486675468,1,189327
22,서울야행,2016-05-05,1,0.0%,41000,188000,7,28
22,눈이라도 내렸으면,2016-05-12,1,0.0%,405000,3144000,78,400
22,탐정사무소 - 사랑과 전쟁,2016-05-13,1,0.0%,250000,2097000,50,415
22,짐작보다 따뜻하게,2016-05-19,1,0.0%,56000,1665000,7,236
1,곡성,2016-05-12,1406,56.1%,1554131100,24453459182,202851,3024092
2,탐정 홍길동: 사라진 마을,2016-05-04,489,19.5%,179383200,10391872545,24174,1287089
3,엽기적인 그녀 2,2016-05-12,361,14.4%,29204600,547278400,4114,70129
4,극장판 안녕 자두야,2016-05-04,113,4.5%,5492000,2030142500,781,265929
5,다이노X 탐험대,2016-05-04,22,0.9%,697200,631684900,92,81689
6,잠 못 이루는 섹스 2,2016-05-18,20,0.8%,1472000,1472000,284,284
7,초인,2016-05-05,17,0.7%,781000,29477200,133,3838
8,시간이탈자,2016-04-13,13,0.5%,854000,9731262195,116,1202320
9,사돈의 팔촌,2016-05-12,8,0.3%,540000,5130700,63,693
9,해어화,2016-04-13,8,0.3%,3163000,3752633759,451,483139
11,4등,2016-04-13,7,0.3%,682400,256868100,84,34375
12,위대한 소원,2016-04-21,5,0.2%,328000,2435038213,63,307702
12,"날, 보러와요",2016-04-07,5,0.2%,123000,8836039063,16,1063421
12,계춘할망,2016-05-19,5,0.2%,7582000,118655000,947,15115
12,철원기행,2016-04-21,5,0.2%,222000,24719100,30,3490
16,동주,2016-02-17,3,0.1%,2821000,8857247089,419,1167481
17,레나,2016-05-26,2,0.1%,2094000,9781000,328,1505
17,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,2,0.1%,629000,365203100,95,48542
17,배짱이들,2016-05-12,2,0.1%,120000,1026600,20,137
17,눈이라도 내렸으면,2016-05-12,2,0.1%,1270000,4414000,212,612
17,블랙스톤,2016-03-28,2,0.1%,368000,1422600,73,240
22,짐작보다 따뜻하게,2016-05-19,1,0.0%,125000,1790000,14,250
22,서울야행,2016-05-05,1,0.0%,19000,207000,3,31
22,글로리데이,2016-03-24,1,0.0%,160200,1486835668,18,189345
22,일사각오,2016-03-17,1,0.0%,72000,661885000,8,91280
22,야근 대신 뜨개질,2016-11-17,1,0.0%,0,905000,0,175
22,반짝이는 박수 소리,2015-04-23,1,0.0%,222000,28283100,44,4533
22,펑정지에는 펑정지에다,2016-05-12,1,0.0%,66000,825000,12,112
22,빙점 '81,1981-04-18,1,0.0%,396000,10276000,198,5133
1,곡성,2016-05-12,1272,56.6%,1445057500,25898516682,188303,3212395
2,계춘할망,2016-05-19,483,21.5%,206218900,324873900,28793,43908
3,탐정 홍길동: 사라진 마을,2016-05-04,345,15.3%,93292200,10485164745,12901,1299990
4,엽기적인 그녀 2,2016-05-12,29,1.3%,5907000,553185400,1089,71218
5,극장판 안녕 자두야,2016-05-04,28,1.2%,1163400,2031305900,172,266101
6,남녀의 궁합,2016-05-19,20,0.9%,1344000,1344000,252,252
7,초인,2016-05-05,12,0.5%,768000,30245200,102,3940
8,드롭박스,2016-05-19,11,0.5%,862000,1072000,106,141
9,4등,2016-04-13,8,0.4%,2411000,259279100,307,34682
10,해어화,2016-04-13,6,0.3%,5302000,3757935759,946,484085
11,사돈의 팔촌,2016-05-12,5,0.2%,48500,5179200,7,700
11,눈이라도 내렸으면,2016-05-12,5,0.2%,183000,4597000,23,635
13,위대한 소원,2016-04-21,3,0.1%,150000,2435188213,30,307732
13,짐작보다 따뜻하게,2016-05-19,3,0.1%,1098000,2888000,126,376
15,극장판 프랭키와 친구들: 생명의 나무,2016-04-13,2,0.1%,1162000,366365100,200,48742
15,검사외전,2016-02-03,2,0.1%,336000,77319240264,84,9707117
15,배짱이들,2016-05-12,2,0.1%,24000,1050600,3,140
15,철원기행,2016-04-21,2,0.1%,30000,24749100,4,3494
15,다이노X 탐험대,2016-05-04,2,0.1%,348000,632032900,57,81746
20,잠 못 이루는 섹스 2,2016-05-18,1,0.0%,5000,1477000,1,285
20,돼지의 왕,2011-11-03,1,0.0%,42000,152448300,6,19819
20,반짝이는 박수 소리,2015-04-23,1,0.0%,600000,28883100,100,4633
20,눈꺼풀,2018-04-12,1,0.0%,142000,971000,18,146
20,양치기들,2016-06-02,1,0.0%,1899000,4209900,211,538
20,노라노,2013-10-31,1,0.0%,600000,30146000,100,4477
20,아빠가 돌아왔다,2016-05-19,1,0.0%,300000,1416000,30,216
20,펑정지에는 펑정지에다,2016-05-12,1,0.0%,77000,902000,11,123
1,곡성,2016-05-12,1325,56.4%,2371501801,28270018483,280280,3492675
2,계춘할망,2016-05-19,515,21.9%,310113124,634987024,39794,83702
3,탐정 홍길동: 사라진 마을,2016-05-04,358,15.2%,146457900,10631622645,18396,1318386
4,극장판 안녕 자두야,2016-05-04,30,1.3%,1169000,2032474900,147,266248
5,엽기적인 그녀 2,2016-05-12,24,1.0%,2076000,555261400,285,71503
6,착한 여비서의 목적,2016-05-20,20,0.9%,2879000,2879000,559,559
7,초인,2016-05-05,16,0.7%,1913600,32158800,262,4202
8,드롭박스,2016-05-19,13,0.6%,791000,1863000,104,245
9,4등,2016-04-13,7,0.3%,1117400,260396500,201,34883
10,사돈의 팔촌,2016-05-12,6,0.3%,288000,5467200,30,730
11,철원기행,2016-04-21,4,0.2%,33000,24782100,5,3499
11,위대한 소원,2016-04-21,4,0.2%,250000,2435438213,50,307782
13,해어화,2016-04-13,3,0.1%,3230000,3761165759,650,484735
13,눈이라도 내렸으면,2016-05-12,3,0.1%,62000,4659000,7,642
13,짐작보다 따뜻하게,2016-05-19,3,0.1%,71000,2959000,8,384
16,일사각오,2016-03-17,2,0.1%,278000,662163000,48,91328
16,배짱이들,2016-05-12,2,0.1%,5000,1055600,1,141
16,레나,2016-05-26,2,0.1%,1275000,11056000,211,1716
19,아빠가 돌아왔다,2016-05-19,1,0.0%,20000,1436000,2,218
19,다이노X 탐험대,2016-05-04,1,0.0%,9000,632041900,1,81747
19,탐욕의 별,2016-04-27,1,0.0%,0,4296500,0,660
19,사이비,2013-11-21,1,0.0%,77000,165867400,11,22329
19,그리고 싶은 것,2013-08-15,1,0.0%,600000,31261800,100,4997
19,연상호 감독 특별전 : 지옥의 시네마,,1,0.0%,41000,41000,6,6
19,잡식가족의 딜레마,2015-05-07,1,0.0%,96000,45730800,16,6677
19,업사이드 다운,2016-04-14,1,0.0%,8000,27021000,1,3933
