순위,영화명,개봉일,스크린수,스크린점유율,매출액,누적매출액,관객수,누적관객수
12,파티51,2014-12-11,4,0.1%,225000,13947800,29,1870
13,카트,2014-11-13,3,0.1%,1545000,5919028433,174,813213
13,"제자, 옥한흠",2014-10-30,3,0.1%,158000,357188200,19,48636
15,민우씨 오는 날,,2,0.1%,45000,3608500,9,734
15,두 번째 엄마,2014-12-31,2,0.1%,32000,584000,4,157
17,자유의 언덕,2014-09-04,1,0.0%,78000,309426827,13,38138
17,앙상블,2014-12-18,1,0.0%,228000,6483500,25,830
17,카토 프로젝트,2014-04-17,1,0.0%,2000,1892000,1,622
17,명기,2014-12-30,1,0.0%,9000,674000,1,245
17,GROW: 인피니트의 리얼 청춘 라이프,2014-12-04,1,0.0%,131000,189774200,22,23926
1,국제시장,2014-12-17,910,35.9%,1558134100,62100293761,210765,7963668
2,기술자들,2014-12-24,473,18.7%,316204600,17762208783,43399,2292822
3,"님아, 그 강을 건너지 마오",2014-11-27,454,17.9%,298394000,34380378679,40645,4407694
4,상의원,2014-12-24,252,9.9%,62025400,6048570464,8177,770030
5,개를 훔치는 완벽한 방법,2014-12-31,197,7.8%,79415400,1271767365,10820,166630
6,더 테너 리리코 스핀토,2014-12-31,162,6.4%,15928300,327078741,2124,42135
7,뽀로로 극장판 눈요정 마을 대모험,,38,1.5%,3258100,1246966800,646,249305
8,쿼바디스,2014-12-10,10,0.4%,1740500,128155500,228,16885
9,목숨,2014-12-04,7,0.3%,298500,278413600,41,36210
10,다이빙벨,2014-10-23,5,0.2%,239000,338127500,30,48826
11,워킹걸,2015-01-07,4,0.2%,4848000,22924000,606,2975
11,카트,2014-11-13,4,0.2%,1652000,5920680433,204,813417
11,그 사람 그 사랑 그 세상,2014-11-20,4,0.2%,88000,182769500,17,24430
14,파티51,2014-12-11,2,0.1%,104000,14051800,13,1883
14,"제자, 옥한흠",2014-10-30,2,0.1%,157000,357345200,21,48657
16,카토 프로젝트,2014-04-17,1,0.0%,2000,1894000,1,623
16,악사들,2014-12-04,1,0.0%,29000,7594200,5,1351
16,못,2014-11-20,1,0.0%,43000,16718600,7,2336
16,명기,2014-12-30,1,0.0%,8000,682000,1,246
16,거인,2014-11-13,1,0.0%,78000,175637400,12,23198
16,민우씨 오는 날,,1,0.0%,50000,3658500,10,744
16,순천,2014-09-04,1,0.0%,6000,22756200,3,3572
16,"1789, 바스티유의 연인들",2014-09-18,1,0.0%,142000,68230500,8,4021
16,앙상블,2014-12-18,1,0.0%,18000,6501500,3,833
16,2015 우수 단편영화 상영 01,,1,0.0%,0,0,0,0
16,자유의 언덕,2014-09-04,1,0.0%,150000,309576827,19,38157
1,국제시장,2014-12-17,904,35.6%,1550265000,63650558761,210222,8173890
2,"님아, 그 강을 건너지 마오",2014-11-27,466,18.3%,298868700,34679247379,41099,4448793
3,기술자들,2014-12-24,462,18.2%,315867700,18078076483,43639,2336461
4,상의원,2014-12-24,254,10.0%,65089100,6113659564,8689,778719
5,개를 훔치는 완벽한 방법,2014-12-31,193,7.6%,90401600,1362168965,12506,179136
6,더 테너 리리코 스핀토,2014-12-31,161,6.3%,21177900,348256641,2783,44918
7,뽀로로 극장판 눈요정 마을 대모험,,41,1.6%,3687600,1250654400,763,250068
8,쿼바디스,2014-12-10,13,0.5%,1485400,129640900,210,17095
9,목숨,2014-12-04,9,0.4%,528000,278941600,72,36282
10,워킹걸,2015-01-07,5,0.2%,9901000,32825000,1247,4222
11,다이빙벨,2014-10-23,4,0.2%,1037000,339164500,164,48990
12,"제자, 옥한흠",2014-10-30,3,0.1%,557000,357902200,71,48728
12,카트,2014-11-13,3,0.1%,1349000,5922029433,170,813587
12,파티51,2014-12-11,3,0.1%,75000,14126800,9,1892
12,그 사람 그 사랑 그 세상,2014-11-20,3,0.1%,76000,182845500,15,24445
16,거인,2014-11-13,2,0.1%,104000,175741400,15,23213
17,자유의 언덕,2014-09-04,1,0.0%,120000,309696827,15,38172
17,숫호구,2014-08-07,1,0.0%,7000,16284000,1,2107
17,악사들,2014-12-04,1,0.0%,15000,7609200,3,1354
17,카토 프로젝트,2014-04-17,1,0.0%,4000,1898000,2,625
17,고종황제와 의사 안중근,,1,0.0%,1631000,2673000,809,1328
17,1월 단편 상상극장 – 맛있게 먹겠습니다,,1,0.0%,182000,182000,26,26
17,명기,2014-12-30,1,0.0%,8000,690000,1,247
17,민우씨 오는 날,,1,0.0%,30000,3688500,6,750
17,순천,2014-09-04,1,0.0%,10000,22766200,5,3577
17,족구왕,2014-08-21,1,0.0%,25000,359361000,5,45654
17,못,2014-11-20,1,0.0%,47000,16765600,9,2345
17,허삼관,2015-01-14,1,0.0%,1926000,1926000,214,214
17,앙상블,2014-12-18,1,0.0%,183000,6684500,23,856
17,설해,2015-01-08,1,0.0%,1176000,10179000,196,1333
17,미라클 여행기,2015-01-15,1,0.0%,3164000,4019000,452,623
1,국제시장,2014-12-17,838,38.9%,1398815300,65049374061,188721,8362611
2,"님아, 그 강을 건너지 마오",2014-11-27,428,19.9%,215772700,34895020079,29657,4478450
3,기술자들,2014-12-24,335,15.5%,183656500,18261732983,24046,2360507
4,워킹걸,2015-01-07,296,13.7%,110945200,143770200,14281,18503
5,개를 훔치는 완벽한 방법,2014-12-31,102,4.7%,31209900,1393378865,4262,183398
6,상의원,2014-12-24,51,2.4%,11700500,6125360064,1574,780293
7,더 테너 리리코 스핀토,2014-12-31,23,1.1%,7458000,355714641,991,45909
8,뽀로로 극장판 눈요정 마을 대모험,,21,1.0%,1430500,1252084900,306,250374
9,설해,2015-01-08,12,0.6%,4867000,15046000,698,2031
9,쿼바디스,2014-12-10,12,0.6%,1391000,131031900,190,17285
11,목숨,2014-12-04,9,0.4%,503000,279444600,68,36350
12,고양이 장례식,2015-01-15,5,0.2%,8158000,8158000,990,990
13,그 사람 그 사랑 그 세상,2014-11-20,4,0.2%,434000,183279500,66,24511
14,파티51,2014-12-11,3,0.1%,119000,14245800,16,1908
14,카트,2014-11-13,3,0.1%,2283000,5924312433,303,813890
16,다이빙벨,2014-10-23,2,0.1%,944000,340108500,112,49102
16,민우씨 오는 날,,2,0.1%,105000,3793500,21,771
16,"제자, 옥한흠",2014-10-30,2,0.1%,124000,358026200,17,48745
19,앙상블,2014-12-18,1,0.0%,18000,6702500,3,859
19,소리굽쇠,2014-10-30,1,0.0%,7000,24076800,1,3055
19,고종황제와 의사 안중근,,1,0.0%,1372000,4045000,686,2014
19,춘하추동 로맨스,2014-12-04,1,0.0%,16000,7971800,2,1180
19,악사들,2014-12-04,1,0.0%,28000,7637200,4,1358
19,순천,2014-09-04,1,0.0%,8000,22774200,4,3581
19,강남 1970,2015-01-21,1,0.0%,1904000,1904000,238,238
19,자유의 언덕,2014-09-04,1,0.0%,96000,309792827,12,38184
1,국제시장,2014-12-17,840,38.6%,1413971800,66463345861,189554,8552165
2,"님아, 그 강을 건너지 마오",2014-11-27,437,20.1%,206410100,35101430179,28207,4506657
3,기술자들,2014-12-24,333,15.3%,179262300,18440995283,23275,2383782
4,워킹걸,2015-01-07,306,14.1%,118878700,262648900,15289,33792
5,개를 훔치는 완벽한 방법,2014-12-31,92,4.2%,35331300,1428710165,4817,188215
6,상의원,2014-12-24,46,2.1%,11226300,6136586364,1500,781793
7,설해,2015-01-08,33,1.5%,2321000,17367000,314,2345
8,뽀로로 극장판 눈요정 마을 대모험,,24,1.1%,2228000,1254312900,473,250847
9,쿼바디스,2014-12-10,15,0.7%,1421000,132452900,223,17508
10,오늘의 연애,2015-01-14,9,0.4%,32176000,32176000,3729,3729
11,목숨,2014-12-04,6,0.3%,531000,279975600,67,36417
12,더 테너 리리코 스핀토,2014-12-31,5,0.2%,1426800,357141441,211,46120
13,그 사람 그 사랑 그 세상,2014-11-20,3,0.1%,2941000,186220500,576,25087
14,파티51,2014-12-11,2,0.1%,29000,14274800,6,1914
14,"제자, 옥한흠",2014-10-30,2,0.1%,182000,358208200,23,48768
14,자유의 언덕,2014-09-04,2,0.1%,78000,309870827,10,38194
14,고양이 장례식,2015-01-15,2,0.1%,1821600,9979600,255,1245
14,다이빙벨,2014-10-23,2,0.1%,71000,340179500,11,49113
19,춘하추동 로맨스,2014-12-04,1,0.0%,7000,7978800,1,1181
19,두 번째 엄마,2014-12-31,1,0.0%,14000,598000,2,159
19,고종황제와 의사 안중근,,1,0.0%,1030000,5075000,515,2529
19,숫호구,2014-08-07,1,0.0%,42000,16326000,6,2113
19,앙상블,2014-12-18,1,0.0%,60000,6762500,11,870
19,못,2014-11-20,1,0.0%,112000,16877600,14,2359
19,"안녕, 투이",2014-11-27,1,0.0%,8000,7920300,1,1165
19,순천,2014-09-04,1,0.0%,4000,22778200,2,3583
19,카토 프로젝트,2014-04-17,1,0.0%,4000,1902000,2,627
19,경주,2014-06-12,1,0.0%,63000,473350500,8,63489
19,한공주,2014-04-17,1,0.0%,46000,1786772300,6,225241
19,카트,2014-11-13,1,0.0%,215000,5924527433,32,813922
19,거인,2014-11-13,1,0.0%,14000,175755400,2,23215
19,바리새인,2014-09-25,1,0.0%,100000,9008000,10,1575
19,리칭의 여선생,1972-07-06,1,0.0%,288000,5018000,144,2494
1,국제시장,2014-12-17,858,38.2%,1663760900,68127106761,209260,8761425
2,"님아, 그 강을 건너지 마오",2014-11-27,454,20.2%,218280200,35319710379,27841,4534498
3,기술자들,2014-12-24,346,15.4%,207787900,18648783183,25600,2409382
4,워킹걸,2015-01-07,308,13.7%,147902786,410551686,17813,51605
5,개를 훔치는 완벽한 방법,2014-12-31,101,4.5%,37820600,1466530765,4975,193190
6,상의원,2014-12-24,48,2.1%,12537600,6149123964,1598,783391
7,설해,2015-01-08,33,1.5%,2181000,19548000,290,2635
8,뽀로로 극장판 눈요정 마을 대모험,,23,1.0%,3196000,1257508900,661,251508
9,쿼바디스,2014-12-10,14,0.6%,1348000,133800900,204,17712
10,목숨,2014-12-04,10,0.4%,474000,280449600,62,36479
10,더 테너 리리코 스핀토,2014-12-31,10,0.4%,2068800,359210241,251,46371
12,오늘의 연애,2015-01-14,8,0.4%,17104000,49280000,1956,5685
13,허삼관,2015-01-14,7,0.3%,15840000,17766000,1860,2074
14,다이빙벨,2014-10-23,3,0.1%,124000,340303500,19,49132
14,파티51,2014-12-11,3,0.1%,136000,14410800,19,1933
16,두 번째 엄마,2014-12-31,2,0.1%,370000,968000,74,233
16,자유의 언덕,2014-09-04,2,0.1%,261000,310131827,29,38223
16,춘하추동 로맨스,2014-12-04,2,0.1%,22000,8000800,3,1184
16,"제자, 옥한흠",2014-10-30,2,0.1%,182000,358390200,26,48794
16,그 사람 그 사랑 그 세상,2014-11-20,2,0.1%,56000,186276500,13,25100
21,순천,2014-09-04,1,0.0%,8000,22786200,4,3587
21,카토 프로젝트,2014-04-17,1,0.0%,2000,1904000,1,628
21,악사들,2014-12-04,1,0.0%,21000,7658200,3,1361
21,미라클 여행기,2015-01-15,1,0.0%,576000,4595000,144,767
21,족구왕,2014-08-21,1,0.0%,32000,359393000,4,45658
21,리칭의 여선생,1972-07-06,1,0.0%,240000,5258000,120,2614
21,도희야,2014-05-22,1,0.0%,54000,831155100,6,106538
21,미워도 다시 한번,1968-07-16,1,0.0%,208000,11478000,104,5683
21,소리굽쇠,2014-10-30,1,0.0%,28000,24104800,4,3059
21,앙상블,2014-12-18,1,0.0%,16000,6778500,3,873
21,민우씨 오는 날,,1,0.0%,35000,3828500,7,778
1,국제시장,2014-12-17,930,40.5%,3746238400,71873345161,464389,9225814
2,"님아, 그 강을 건너지 마오",2014-11-27,462,20.1%,429431400,35749141779,53485,4587983
3,기술자들,2014-12-24,347,15.1%,409944300,19058727483,50330,2459712
4,워킹걸,2015-01-07,307,13.4%,247568693,658120379,29656,81261
5,개를 훔치는 완벽한 방법,2014-12-31,85,3.7%,72040100,1538570865,9242,202432
