순번,영화명,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1137,여자전쟁: 여자의 이유,송창수,(주)베르디미디어,TCO(주)더콘텐츠온,2017.1.17,개봉영화,장편,한국,21,"665,000",132,"320,000",65,드라마,청소년관람불가,일반영화
1138,거짓말 2018: 감독판,이전,(주)케이알씨지,(주)케이알씨지,2018.3.27,개봉영화,장편,한국,19,"629,000",131,"586,000",117,멜로/로맨스,청소년관람불가,일반영화
1139,내 학생의 엄마 2,곽영근,(주)영화사가을,(주)영화사가을,2017.11.9,개봉영화,장편,한국,20,"776,000",131,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1140,여자들 : 섹스의 만족도,김부곤,(주)영화사가을,(주)영화사가을,2017.10.12,개봉영화,장편,한국,20,"779,000",131,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1141,일본 엄마 2,김무원,(주)영화사 사계절,(주)영화사 사계절,2017.11.2,개봉영화,장편,한국,20,"779,000",131,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1142,동명이인 프로젝트 시즌2,이경원,올드웨일,올드웨일,2019.7.4,개봉영화,옴니버스,한국,2,"901,000",130,0,0,기타,12세이상관람가,독립/예술영화
1143,불륜 동창회,조태호,(주)영화사가을,(주)영화사가을,2018.3.2,개봉영화,장편,한국,20,"772,000",130,"364,000",65,멜로/로맨스,청소년관람불가,일반영화
1144,엄마친구 4,"채준우,채준우",(주)영화사 사계절,(주)영화사 사계절,2018.1.4,개봉영화,장편,한국,20,"774,000",130,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
1145,엄마친구들,이리단,(주)영화사가을,(주)영화사가을,2017.12.21,개봉영화,장편,한국,20,"770,000",130,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
1146,외출 2,곽영근,(주)영화사가을,(주)영화사가을,2017.12.14,개봉영화,장편,한국,20,"771,000",130,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1147,정사 : 착한 며느리들 2,김부곤,(주)영화사가을,(주)영화사가을,2018.11.29,개봉영화,장편,한국,20,"1,086,000",130,"430,000",53,멜로/로맨스,청소년관람불가,일반영화
1148,친구누나2,이리단,(주)영화사가을,(주)영화사가을,2018.2.8,개봉영화,장편,한국,20,"773,000",130,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1149,내 친구 엄마,이리단,(주)영화사가을,(주)영화사가을,2018.3.15,개봉영화,장편,한국,20,"767,000",129,"369,000",65,멜로/로맨스,청소년관람불가,일반영화
1150,룸싸롱 여대생들,조태호,(주)영화사가을,(주)영화사가을,2018.3.29,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1151,미용실 : 특별한 서비스 2,,(주)영화사가을,(주)영화사가을,2018.2.13,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1152,밀애 : 친구엄마,김부곤,(주)영화사가을,(주)영화사가을,2018.2.27,개봉영화,장편,한국,20,"770,000",129,"369,000",65,멜로/로맨스,청소년관람불가,일반영화
1153,바람난 여자들2,조태호,(주)영화사가을,(주)영화사가을,2018.4.24,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1154,비뇨기과 여의사들,조태호,(주)영화사가을,(주)영화사가을,2018.2.22,개봉영화,장편,한국,20,"770,000",129,"369,000",65,멜로/로맨스,청소년관람불가,일반영화
1155,사촌 누나,조태호,(주)영화사가을,(주)영화사가을,2018.3.8,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1156,새엄마 2,이리단,(주)영화사 사계절,(주)영화사 사계절,2017.12.7,개봉영화,장편,한국,20,"764,000",129,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
1157,새오빠2,조태호,(주)영화사가을,(주)영화사가을,2018.4.5,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1158,애인 : 아내의 남자,임현태,(주)영화사가을,(주)영화사가을,2018.6.21,개봉영화,장편,한국,20,"763,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1159,엄마의 연애,임현태,(주)영화사가을,(주)영화사가을,2018.5.29,개봉영화,장편,한국,20,"768,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1160,여자 하숙집2,이리단,(주)영화사가을,(주)영화사가을,2018.3.22,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1161,정사 : 착한 며느리들,"김부곤,김부곤",(주)영화사가을,(주)영화사가을,2018.1.25,개봉영화,장편,한국,20,"768,000",129,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
1162,정사 : 친구의 엄마 2,김부곤,(주)영화사가을,(주)영화사가을,2018.4.19,개봉영화,장편,한국,20,"765,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1163,정사 : 캠퍼스 커플,임현태,(주)영화사가을,(주)영화사가을,2018.6.22,개봉영화,장편,한국,20,"768,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1164,착한 엄마친구 2,김부곤,(주)영화사가을,(주)영화사가을,2018.5.3,개봉영화,장편,한국,20,"760,000",129,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1165,3분 파트너,박주영,스마일컨텐츠,스마일컨텐츠,2017.8.17,개봉영화,장편,한국,17,"707,000",129,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1166,동거:친구의 여자친구,안금성,윤스,즐감,2017.9.28,개봉영화,장편,한국,20,"752,000",128,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
1167,밀애 : 부부카풀,임현태,(주)영화사가을,(주)영화사가을,2018.6.28,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
