순번,영화명,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",씨제이이앤엠(주),2019.1.23,개봉영화,장편,한국,"1,978","139,647,979,516","16,264,944","31,858,660,536","3,638,287",코미디,15세이상관람가,일반영화
2,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데쇼핑㈜롯데엔터테인먼트,2017.12.20,개봉영화,장편,한국,"1,912","115,698,654,137","14,410,754","27,530,825,087","3,346,172",판타지,12세이상관람가,일반영화
3,베테랑,류승완,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),2015.8.5,개봉영화,장편,한국,"1,064","105,024,756,250","13,395,400","26,766,369,950","3,290,366",액션,15세이상관람가,일반영화
4,암살,최동훈,(주)케이퍼필름,(주)쇼박스,2015.7.22,개봉영화,장편,한국,"1,519","98,463,132,781","12,705,700","25,306,651,181","3,155,960",액션,15세이상관람가,일반영화
5,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,2018.8.1,개봉영화,장편,한국,"2,235","102,476,768,809","12,253,247","22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화
6,택시운전사,장훈,더램프(주),(주)쇼박스,2017.8.2,개봉영화,장편,한국,"1,906","95,284,747,049","12,099,971","22,186,916,199","2,729,932",드라마,15세이상관람가,일반영화
7,부산행,연상호,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),2016.7.20,개봉영화,장편,한국,"1,788","93,175,877,048","11,565,078","23,020,827,248","2,754,686",액션,15세이상관람가,일반영화
8,기생충,봉준호,(주)바른손이앤에이,씨제이이앤엠(주),2019.5.30,개봉영화,장편,한국,"1,948","85,873,327,245","10,083,922","23,435,560,515","2,691,955",드라마,15세이상관람가,일반영화
9,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",(주)쇼박스,2016.2.3,개봉영화,장편,한국,"1,812","77,252,755,264","9,699,092","18,302,525,664","2,219,587",범죄,15세이상관람가,일반영화
10,엑시트,이상근,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),2019.7.31,개봉영화,장편,한국,"1,660","79,185,559,662","9,418,686","18,525,571,852","2,132,093",코미디,12세이상관람가,일반영화
11,공조,김성훈,"(주)제이케이필름,씨제이이앤엠(주),영화사 이창,(주)에이치비엔터테인먼트",씨제이이앤엠(주),2017.1.18,개봉영화,장편,한국,976,"63,781,731,326","7,817,446","14,672,808,676","1,744,624",액션,15세이상관람가,일반영화
12,히말라야,이석훈,(주)제이케이필름,씨제이이앤엠(주),2015.12.16,개봉영화,장편,한국,"1,009","60,173,583,015","7,759,473","13,920,553,930","1,738,016",드라마,12세이상관람가,일반영화
13,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",워너브러더스 코리아(주),2016.9.7,개봉영화,장편,한국,"1,444","61,158,644,831","7,487,545","15,436,298,021","1,827,424",액션,15세이상관람가,일반영화
14,1987,장준환,(주)우정필름,씨제이이앤엠(주),2017.12.27,개봉영화,장편,한국,"1,299","58,165,581,145","7,231,638","14,638,920,495","1,776,877",드라마,15세이상관람가,일반영화
15,마스터,조의석,영화사 집,씨제이이앤엠(주),2016.12.21,개봉영화,장편,한국,"1,501","58,067,927,865","7,150,541","14,520,299,965","1,731,940",액션,15세이상관람가,일반영화
16,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",(주)쇼박스,2016.8.10,개봉영화,장편,한국,"1,105","57,510,324,417","7,118,592","14,121,558,017","1,675,010",드라마,12세이상관람가,일반영화
17,내부자들,우민호,(유)내부자들 문화전문회사,(주)쇼박스,2015.11.19,개봉영화,장편,한국,"1,075","56,596,582,057","7,071,763","16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화
18,인천상륙작전,이재한,(주)태원엔터테인먼트,씨제이이앤엠(주),2016.7.27,개봉영화,장편,한국,"1,049","55,101,410,303","7,049,643","11,459,996,563","1,427,944",전쟁,12세이상관람가,일반영화
19,럭키,이계벽,(주)용필름,(주)쇼박스,2016.10.13,개봉영화,장편,한국,"1,158","56,361,435,256","6,965,706","13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화
20,곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",이십세기폭스코리아(주),2016.5.12,개봉영화,장편,한국,"1,485","55,853,108,382","6,878,264","15,445,041,342","1,829,923",미스터리,15세이상관람가,일반영화
21,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트","메가박스중앙(주)플러스엠,(주)키위미디어그룹",2017.10.3,개봉영화,장편,한국,"1,315","56,077,813,249","6,851,297","14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화
22,군함도,류승완,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),2017.7.26,개봉영화,장편,한국,"2,027","50,510,565,168","6,592,151","11,091,878,868","1,398,649",액션,15세이상관람가,일반영화
23,사도,이준익,(주)타이거픽쳐스,(주)쇼박스,2015.9.16,개봉영화,장편,한국,"1,210","48,842,902,501","6,246,849","12,987,928,301","1,606,486",사극,12세이상관람가,일반영화
24,연평해전,김학순,(주)로제타시네마,(주)넥스트엔터테인먼트월드(NEW),2015.6.24,개봉영화,장편,한국,"1,013","45,560,620,330","6,043,458","9,906,059,630","1,265,879",드라마,12세이상관람가,일반영화
25,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",롯데쇼핑㈜롯데엔터테인먼트,2017.8.9,개봉영화,장편,한국,"1,102","44,241,099,316","5,636,259","9,885,607,016","1,207,318",액션,15세이상관람가,일반영화
26,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,2016.8.3,개봉영화,장편,한국,964,"44,344,141,109","5,593,551","10,625,578,869","1,304,324",사극,12세이상관람가,일반영화
27,검은 사제들,장재현,영화사 집,씨제이이앤엠(주),2015.11.5,개봉영화,장편,한국,"1,088","42,395,347,092","5,440,945","11,618,059,792","1,428,491",미스터리,15세이상관람가,일반영화
28,안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",(주)넥스트엔터테인먼트월드(NEW),2018.9.19,개봉영화,장편,한국,"1,540","46,335,334,026","5,440,186","10,028,662,426","1,146,191",사극,12세이상관람가,일반영화
29,더 킹,한재림,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),2017.1.18,개봉영화,장편,한국,"1,310","43,486,078,535","5,316,325","11,144,618,435","1,318,493",범죄,15세이상관람가,일반영화
30,완벽한 타인,이재규,"(주)필름몬스터,드라마하우스(주)",롯데컬처웍스(주)롯데엔터테인먼트,2018.10.31,개봉영화,장편,한국,"1,313","44,356,752,474","5,294,119","11,870,044,374","1,373,292",드라마,15세이상관람가,일반영화
31,독전,이해영,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),2018.5.22,개봉영화,장편,한국,"1,357","43,484,892,913","5,063,620","10,658,158,413","1,201,461",범죄,15세이상관람가,일반영화
32,공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",씨제이이앤엠(주),2018.8.8,개봉영화,장편,한국,"1,317","42,759,410,176","4,971,261","10,296,507,676","1,158,151",드라마,12세이상관람가,일반영화
33,봉오동 전투,원신연,"(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",(주)쇼박스,2019.8.7,개봉영화,장편,한국,"1,476","40,493,724,538","4,776,229","7,773,989,628","890,377",사극,15세이상관람가,일반영화
34,판도라,박정우,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2016.12.7,개봉영화,장편,한국,"1,166","35,965,733,064","4,571,142","7,213,559,964","880,999",드라마,12세이상관람가,일반영화
35,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",(주)넥스트엔터테인먼트월드(NEW),2017.12.14,개봉영화,장편,한국,"1,426","35,477,912,466","4,451,336","8,694,723,516","1,060,541",액션,15세이상관람가,일반영화
36,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",씨제이이앤엠(주),2016.6.1,개봉영화,장편,한국,"1,171","35,114,332,791","4,277,071","10,881,501,871","1,283,972",스릴러,청소년관람불가,일반영화
37,꾼,장창원,(주)영화사두둥,(주)쇼박스,2017.11.22,개봉영화,장편,한국,"1,314","31,313,568,795","4,018,341","7,524,464,445","931,901",범죄,15세이상관람가,일반영화
38,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),(주)쇼박스,2015.2.11,개봉영화,장편,한국,811,"30,456,879,428","3,872,015","6,908,501,928","845,522",사극,12세이상관람가,일반영화
39,남한산성,황동혁,(주)싸이런픽쳐스,씨제이이앤엠(주),2017.10.3,개봉영화,장편,한국,"1,229","31,067,321,992","3,829,891","7,375,553,392","889,444",사극,15세이상관람가,일반영화
40,암수살인,김태균,"(주)필름295,(주)블러썸픽쳐스",(주)쇼박스,2018.10.3,개봉영화,장편,한국,"1,177","32,855,895,548","3,772,620","7,777,232,448","862,386",범죄,15세이상관람가,일반영화
41,국가부도의 날,최국희,영화사 집,씨제이이앤엠(주),2018.11.28,개봉영화,장편,한국,"1,180","30,891,765,837","3,754,983","7,993,870,137","937,443",드라마,12세이상관람가,일반영화
42,귀향,조정래,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스,2016.2.24,개봉영화,장편,한국,876,"27,245,051,990","3,586,523","6,310,471,892","801,788",드라마,15세이상관람가,일반영화
43,그것만이 내 세상,최성현,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),2018.1.17,개봉영화,장편,한국,862,"27,441,213,382","3,417,629","6,258,257,482","759,455",코미디,12세이상관람가,일반영화
44,돈,박누리,"(주)사나이픽처스,(주)영화사 월광",(주)쇼박스,2019.3.20,개봉영화,장편,한국,"1,431","28,869,614,062","3,389,035","7,287,586,982","833,513",범죄,15세이상관람가,일반영화
45,악인전,이원태,(주)비에이엔터테인먼트,"(주)에이스메이커무비웍스,(주)키위미디어그룹",2019.5.15,개봉영화,장편,한국,"1,307","29,128,292,150","3,364,079","6,407,047,240","722,563",범죄,청소년관람불가,일반영화
46,아이 캔 스피크,김현석,"주식회사 영화사 시선,(주)명필름","롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017.9.21,개봉영화,장편,한국,"1,140","25,532,214,986","3,280,243","6,409,220,686","796,658",코미디,12세이상관람가,일반영화
47,마녀,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",워너브러더스 코리아(주),2018.6.27,개봉영화,장편,한국,"1,117","27,242,029,463","3,189,091","6,459,959,863","732,154",미스터리,15세이상관람가,일반영화
48,탐정: 리턴즈,이언희,(주)크리픽쳐스,씨제이이앤엠(주),2018.6.13,개봉영화,장편,한국,"1,041","26,865,721,678","3,148,038","5,989,673,378","680,077",코미디,15세이상관람가,일반영화
49,스물,이병헌,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),2015.3.25,개봉영화,장편,한국,926,"23,558,988,686","3,044,134","5,990,587,486","740,243",코미디,15세이상관람가,일반영화
50,형,권수경,굿초이스컷픽쳐스(주),씨제이이앤엠(주),2016.11.23,개봉영화,장편,한국,993,"23,129,111,893","2,982,022","5,484,309,343","675,698",코미디,12세이상관람가,일반영화
51,프리즌,나현,(주)큐로홀딩스,(주)쇼박스,2017.3.23,개봉영화,장편,한국,"1,047","23,790,276,987","2,931,897","5,681,060,637","679,455",범죄,청소년관람불가,일반영화
52,극비수사,곽경택,"(주)제이콘컴퍼니,(주)영화사 신세계",(주)쇼박스,2015.6.18,개봉영화,장편,한국,894,"22,389,535,897","2,860,786","5,828,885,297","717,981",드라마,15세이상관람가,일반영화
53,너의 결혼식,이석근,"(주)필름케이,(주)외유내강",메가박스중앙(주)플러스엠,2018.8.22,개봉영화,장편,한국,962,"23,670,604,369","2,820,029","5,852,853,319","666,845",멜로/로맨스,12세이상관람가,일반영화
54,말모이,엄유나,더램프(주),롯데컬처웍스(주)롯데엔터테인먼트,2019.1.9,개봉영화,장편,한국,"1,203","23,682,638,520","2,812,444","5,900,912,990","681,266",드라마,12세이상관람가,일반영화
55,곤지암,정범식,(주)하이브미디어코프,(주)쇼박스,2018.3.28,개봉영화,장편,한국,"1,124","21,442,114,144","2,675,559","4,978,152,594","596,536",공포(호러),15세이상관람가,일반영화
56,살인자의 기억법,원신연,"(주)쇼박스,(주)더블유픽처스,(주)그린피쉬,영화사 이창",(주)쇼박스,2017.9.6,개봉영화,장편,한국,"1,064","21,361,479,492","2,656,694","5,389,419,142","643,595",범죄,15세이상관람가,일반영화
57,탐정 : 더 비기닝,김정훈,(주)크리픽쳐스,씨제이이앤엠(주),2015.9.24,개봉영화,장편,한국,764,"20,463,956,973","2,625,686","4,092,941,173","504,961",코미디,15세이상관람가,일반영화
58,지금 만나러 갑니다,이장훈,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",롯데쇼핑㈜롯데엔터테인먼트,2018.3.14,개봉영화,장편,한국,"1,163","20,800,916,128","2,602,273","5,390,273,428","652,981",멜로/로맨스,12세이상관람가,일반영화
59,아수라,김성수,(주)사나이픽처스,씨제이이앤엠(주),2016.9.28,개봉영화,장편,한국,"1,278","20,576,226,662","2,594,028","5,577,412,282","676,676",범죄,청소년관람불가,일반영화
60,보안관,김형주,"(주)영화사 월광,(주)사나이픽처스",롯데쇼핑㈜롯데엔터테인먼트,2017.5.3,개봉영화,장편,한국,"1,091","20,697,532,509","2,571,491","4,093,422,209","491,530",범죄,15세이상관람가,일반영화
61,목격자,조규장,(주)에이디사공육,(주)넥스트엔터테인먼트월드(NEW),2018.8.15,개봉영화,장편,한국,"1,021","21,732,042,597","2,524,086","4,600,434,447","514,732",스릴러,15세이상관람가,일반영화
62,증인,이한,"(주)무비락,(주)도서관옆스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,2019.2.13,개봉영화,장편,한국,"1,047","20,312,348,931","2,516,128","4,478,036,341","547,326",드라마,12세이상관람가,일반영화
63,조작된 도시,박광현,"(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트",씨제이이앤엠(주),2017.2.9,개봉영화,장편,한국,"1,019","20,119,979,587","2,512,572","4,696,743,687","564,486",범죄,15세이상관람가,일반영화
64,조선명탐정: 흡혈괴마의 비밀,김석윤,청년필름(주),(주)쇼박스,2018.2.8,개봉영화,장편,한국,"1,249","19,690,818,764","2,424,330","4,072,581,264","490,363",사극,12세이상관람가,일반영화
65,재심,김태윤,(주)이디오플랜,"오퍼스픽쳐스(유),CGV아트하우스",2017.2.15,개봉영화,장편,한국,935,"19,263,100,637","2,420,729","4,569,982,837","555,767",드라마,15세이상관람가,일반영화
66,사바하,장재현,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),2019.2.20,개봉영화,장편,한국,"1,174","20,002,183,194","2,397,792","5,593,443,364","654,182",미스터리,15세이상관람가,일반영화
67,박열,이준익,(유)박열문화전문회사,메가박스중앙(주)플러스엠,2017.6.28,개봉영화,장편,한국,"1,176","18,093,543,795","2,359,174","4,921,077,395","623,230",드라마,12세이상관람가,일반영화
68,악의 연대기,백운학,(주)비에이엔터테인먼트,씨제이이앤엠(주),2015.5.14,개봉영화,장편,한국,776,"17,360,123,332","2,192,243","4,131,865,932","498,114",스릴러,15세이상관람가,일반영화
69,강남 1970,유하,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,2015.1.21,개봉영화,장편,한국,841,"17,717,971,499","2,192,172","4,859,661,899","586,992",액션,청소년관람불가,일반영화
70,굿바이 싱글,김태곤,"호두앤유 엔터테인먼트(주),(주)영화사람",(주)쇼박스,2016.6.29,개봉영화,장편,한국,841,"16,912,706,195","2,108,273","4,380,827,515","527,830",코미디,15세이상관람가,일반영화
71,명당,박희곤,(주)주피터필름,메가박스중앙(주)플러스엠,2018.9.19,개봉영화,장편,한국,"1,117","17,900,775,524","2,087,474","4,530,609,774","518,726",사극,12세이상관람가,일반영화
72,내부자들: 디 오리지널,우민호,(유)내부자들 문화전문회사,(주)쇼박스,2015.12.31,개봉영화,장편,한국,838,"16,973,885,275","2,083,999","4,701,340,971","564,863",범죄,청소년관람불가,일반영화
73,뷰티 인사이드,백,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),2015.8.20,개봉영화,장편,한국,648,"16,152,717,131","2,053,947","5,031,538,031","611,979",판타지,12세이상관람가,일반영화
74,봉이 김선달,박대민,"(주)엠픽처스,(주)에스엔케이픽처스",씨제이이앤엠(주),2016.7.6,개봉영화,장편,한국,942,"16,172,133,642","2,044,564","3,545,320,462","432,216",사극,12세이상관람가,일반영화
75,협상,이종석,"(주)제이케이필름,그리고픽처스,씨제이이앤엠(주)",씨제이이앤엠(주),2018.9.19,개봉영화,장편,한국,919,"17,032,133,166","1,967,721","3,777,056,966","424,008",범죄,15세이상관람가,일반영화
76,내안의 그놈,강효진,"(주)에코필름,(주)전망좋은 영화사","(주)메리크리스마스,TCO(주)더콘텐츠온",2019.1.9,개봉영화,장편,한국,"1,041","16,293,580,567","1,901,684","3,159,829,257","357,691",판타지,15세이상관람가,일반영화
77,오늘의 연애,박진표,(주)팝콘에프앤엠,씨제이이앤엠(주),2015.1.14,개봉영화,장편,한국,709,"14,924,654,487","1,891,993","3,951,958,987","480,061",멜로/로맨스,15세이상관람가,일반영화
78,마약왕,우민호,(주)하이브미디어코프,(주)쇼박스,2018.12.19,개봉영화,장편,한국,"1,297","16,222,446,942","1,864,076","3,961,025,202","444,222",범죄,청소년관람불가,일반영화
79,노무현입니다,이창재,영화사 풀,"CGV아트하우스,영화사 풀",2017.5.25,개봉영화,장편,한국,775,"14,554,935,612","1,854,867","3,471,668,912","427,607",다큐멘터리,12세이상관람가,일반영화
80,뺑반,한준희,"호두앤유픽쳐스(주),(주)쇼박스",(주)쇼박스,2019.1.30,개봉영화,장편,한국,"1,285","15,222,811,848","1,826,714","3,228,907,718","376,646",범죄,15세이상관람가,일반영화
81,변신,김홍선,(주)다나크리에이티브,(주)에이스메이커무비웍스,2019.8.21,개봉영화,장편,한국,975,"15,411,762,925","1,803,496","3,322,906,895","375,060",공포(호러),15세이상관람가,일반영화
82,대호,박훈정,(주)사나이픽처스,(주)넥스트엔터테인먼트월드(NEW),2015.12.16,개봉영화,장편,한국,892,"13,489,904,632","1,762,742","3,054,751,306","383,850",사극,12세이상관람가,일반영화
83,쎄시봉,김현석,"유한회사 제이필름,(주)무브픽쳐스",씨제이이앤엠(주),2015.2.5,개봉영화,장편,한국,829,"13,509,581,911","1,707,487","3,396,629,711","414,692",멜로/로맨스,15세이상관람가,일반영화
84,PMC: 더 벙커,김병우,(주)퍼펙트스톰필름,씨제이이앤엠(주),2018.12.26,개봉영화,장편,한국,"1,081","14,024,838,424","1,671,548","3,416,787,594","394,373",액션,15세이상관람가,일반영화
85,임금님의 사건수첩,문현성,"(주)영화사람,씨제이이앤엠(주),(주)더타워픽쳐스",씨제이이앤엠(주),2017.4.26,개봉영화,장편,한국,"1,054","12,648,793,723","1,634,403","3,034,042,823","380,247",코미디,12세이상관람가,일반영화
86,걸캅스,정다원,필름모멘텀,씨제이이앤엠(주),2019.5.9,개봉영화,장편,한국,973,"13,772,604,134","1,625,037","3,195,307,954","367,990",코미디,15세이상관람가,일반영화
87,사자,김주환,(주)키이스트,롯데컬처웍스(주)롯데엔터테인먼트,2019.7.31,개봉영화,장편,한국,"1,405","12,917,306,145","1,609,737","3,155,811,715","380,265",미스터리,15세이상관람가,일반영화
88,창궐,김성훈,"리양필름(주),영화사 이창",(주)넥스트엔터테인먼트월드(NEW),2018.10.25,개봉영화,장편,한국,"1,351","13,275,772,490","1,599,290","3,015,779,340","352,559",사극,15세이상관람가,일반영화
89,더 폰,김봉주,(주)미스터로맨스,(주)넥스트엔터테인먼트월드(NEW),2015.10.22,개봉영화,장편,한국,794,"12,309,164,568","1,593,694","2,963,876,068","366,753",스릴러,15세이상관람가,일반영화
90,성난황소,김민호,"주식회사 플러스미디어엔터테인먼트,(주)비에이엔터테인먼트",(주)쇼박스,2018.11.22,개봉영화,장편,한국,"1,010","13,236,490,737","1,593,386","2,517,251,837","293,079",범죄,15세이상관람가,일반영화
91,도어락,이권,(주)영화사피어나,메가박스중앙(주)플러스엠,2018.12.5,개봉영화,장편,한국,954,"12,694,612,486","1,545,442","2,808,006,386","326,012",스릴러,15세이상관람가,일반영화
92,리틀 포레스트,임순례,(주)영화사수박,메가박스중앙(주)플러스엠,2018.2.28,개봉영화,장편,한국,884,"11,924,818,185","1,505,560","3,853,015,885","474,626",드라마,전체관람가,일반영화
93,차이나타운,한준희,폴룩스픽쳐스(주),CGV아트하우스,2015.4.29,개봉영화,장편,한국,551,"11,989,400,678","1,472,006","3,327,822,078","395,351",범죄,청소년관람불가,일반영화
94,스윙키즈,강형철,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW),2018.12.19,개봉영화,장편,한국,984,"12,077,312,892","1,470,753","3,606,050,352","421,172",드라마,12세이상관람가,일반영화
95,부라더,장유정,"(주)홍필름,(주)수필름",메가박스중앙(주)플러스엠,2017.11.2,개봉영화,장편,한국,889,"11,590,908,298","1,468,301","2,357,877,298","287,039",코미디,12세이상관람가,일반영화
96,나의 특별한 형제,육상효,"(주)명필름,(주)조이래빗",(주)넥스트엔터테인먼트월드(NEW),2019.5.1,개봉영화,장편,한국,936,"11,830,312,574","1,441,114","2,227,671,104","263,613",드라마,12세이상관람가,일반영화
97,탐정 홍길동: 사라진 마을,조성희,(주)영화사비단길,씨제이이앤엠(주),2016.5.4,개봉영화,장편,한국,764,"11,483,686,845","1,426,873","2,822,840,805","336,208",드라마,15세이상관람가,일반영화
98,기억의 밤,장항준,(주)비에이엔터테인먼트,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",2017.11.29,개봉영화,장편,한국,751,"10,652,346,660","1,387,599","2,887,719,160","362,973",미스터리,15세이상관람가,일반영화
99,골든슬럼버,노동석,영화사 집,씨제이이앤엠(주),2018.2.14,개봉영화,장편,한국,833,"11,412,768,798","1,387,508","2,666,693,198","315,506",범죄,15세이상관람가,일반영화
100,브이아이피,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",워너브러더스 코리아(주),2017.8.23,개봉영화,장편,한국,996,"10,956,621,835","1,373,316","2,863,320,535","345,963",범죄,청소년관람불가,일반영화
101,특별시민,박인제,(주)팔레트픽처스,(주)쇼박스,2017.4.26,개봉영화,장편,한국,"1,154","10,494,768,945","1,362,634","2,869,531,745","360,598",드라마,15세이상관람가,일반영화
102,궁합,홍창표,(주)주피터필름,씨제이이앤엠(주),2018.2.28,개봉영화,장편,한국,966,"10,478,875,438","1,340,117","2,478,594,738","309,094",코미디,12세이상관람가,일반영화
103,사라진 밤,이창희,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",씨네그루(주)키다리이엔티,2018.3.7,개봉영화,장편,한국,925,"10,686,397,316","1,314,274","2,577,142,716","309,566",스릴러,15세이상관람가,일반영화
104,장산범,허정,(주)드림캡쳐,(주)넥스트엔터테인먼트월드(NEW),2017.8.17,개봉영화,장편,한국,711,"10,332,117,083","1,305,145","2,153,814,083","257,679",미스터리,15세이상관람가,일반영화
105,유열의 음악앨범,정지우,"(주)무비락,정지우 필름",CGV아트하우스,2019.8.28,개봉영화,장편,한국,"1,078","10,233,335,040","1,245,520","2,970,803,290","346,189",멜로/로맨스,12세이상관람가,일반영화
106,특별수사: 사형수의 편지,권종관,(주)콘텐츠케이,(주)넥스트엔터테인먼트월드(NEW),2016.6.16,개봉영화,장편,한국,691,"9,792,082,065","1,225,142","2,119,260,245","255,249",범죄,15세이상관람가,일반영화
107,악녀,정병길,(주)앞에있다,(주)넥스트엔터테인먼트월드(NEW),2017.6.8,개봉영화,장편,한국,685,"9,730,720,144","1,206,917","2,546,959,444","304,997",액션,청소년관람불가,일반영화
108,시간이탈자,곽재용,"씨제이이앤엠(주),상상필름(주)",씨제이이앤엠(주),2016.4.13,개봉영화,장편,한국,733,"9,729,882,195","1,202,058","2,733,406,795","325,133",스릴러,15세이상관람가,일반영화
109,해빙,이수연,"위더스필름(주),(주)영화사불",롯데쇼핑㈜롯데엔터테인먼트,2017.3.1,개봉영화,장편,한국,915,"9,879,737,822","1,201,576","2,434,113,422","284,100",스릴러,15세이상관람가,일반영화
110,생일,이종언,"나우필름(주),(주)영화사레드피터,파인하우스필름(주)",(주)넥스트엔터테인먼트월드(NEW),2019.4.3,개봉영화,장편,한국,862,"9,786,575,840","1,186,283","1,958,959,300","230,586",드라마,전체관람가,일반영화
111,바람 바람 바람,이병헌,(주)하이브미디어코프,(주)넥스트엔터테인먼트월드(NEW),2018.4.5,개봉영화,장편,한국,985,"9,702,206,675","1,183,959","2,250,342,475","271,361",코미디,청소년관람불가,일반영화
112,"당신, 거기 있어줄래요",홍지영,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,2016.12.14,개봉영화,장편,한국,767,"9,361,133,648","1,168,625","2,667,189,948","319,506",판타지,12세이상관람가,일반영화
113,동주,이준익,(주) 루스이소니도스,메가박스중앙(주)플러스엠,2016.2.17,개봉영화,장편,한국,499,"8,864,695,589","1,168,427","2,961,796,289","376,321",드라마,12세이상관람가,일반영화
114,장수상회,강제규,"(주)빅픽쳐,씨제이이앤엠(주)",씨제이이앤엠(주),2015.4.9,개봉영화,장편,한국,688,"8,707,389,643","1,160,935","2,204,750,243","284,742",멜로/로맨스,12세이상관람가,일반영화
115,항거:유관순 이야기,조민호,(주)디씨지플러스,롯데컬처웍스(주)롯데엔터테인먼트,2019.2.27,개봉영화,장편,한국,"1,094","9,290,065,101","1,157,707","2,043,598,641","247,961",드라마,12세이상관람가,독립/예술영화
116,미씽: 사라진 여자,이언희,다이스필름(주),메가박스중앙(주)플러스엠,2016.11.30,개봉영화,장편,한국,790,"8,881,616,256","1,153,109","2,457,671,256","307,997",미스터리,15세이상관람가,일반영화
117,하루,조선호,(주)라인필름,CGV아트하우스,2017.6.15,개봉영화,장편,한국,781,"9,068,009,842","1,129,018","2,244,976,142","270,183",스릴러,15세이상관람가,일반영화
118,챔피언,김용완,(주)코코너,워너브러더스 코리아(주),2018.5.1,개봉영화,장편,한국,874,"9,441,064,230","1,125,319","1,846,376,630","212,475",드라마,12세이상관람가,일반영화
119,성난 변호사,허종호,"씨제이이앤엠(주),(주)영화사 빛나는 제국,우수영화사",씨제이이앤엠(주),2015.10.8,개봉영화,장편,한국,607,"8,697,174,039","1,124,918","2,126,132,839","263,369",범죄,15세이상관람가,일반영화
120,간신,민규동,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,2015.5.21,개봉영화,장편,한국,697,"8,946,842,910","1,110,246","2,421,410,210","289,236",사극,청소년관람불가,일반영화
121,롱 리브 더 킹: 목포 영웅,강윤성,"(주)영화사 필름몬스터,(주)비에이엔터테인먼트","메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",2019.6.19,개봉영화,장편,한국,965,"9,218,262,910","1,092,738","1,631,602,490","189,422",액션,15세이상관람가,일반영화
122,오빠생각,이한,(주)조이래빗,(주)넥스트엔터테인먼트월드(NEW),2016.1.21,개봉영화,장편,한국,855,"8,058,857,287","1,069,436","1,899,517,093","242,400",드라마,12세이상관람가,일반영화
123,"날, 보러와요",이철하,"영화사올(주),(주)발렌타인필름",메가박스중앙(주)플러스엠,2016.4.7,개봉영화,장편,한국,683,"8,821,335,063","1,061,412","2,079,948,563","242,864",미스터리,청소년관람불가,일반영화
