영화명,개봉n주차,주차관객수
불온한 당신,6,369
불온한 당신,7,155
불온한 당신,8,96
불온한 당신,10,50
왕초와 용가리,1,314
왕초와 용가리,2,427
왕초와 용가리,3,118
왕초와 용가리,4,50
야근 대신 뜨개질,1,545
야근 대신 뜨개질,2,416
야근 대신 뜨개질,3,150
야근 대신 뜨개질,4,42
야근 대신 뜨개질,6,34
야근 대신 뜨개질,8,62
경계,1,833
경계,2,129
경계,3,52
경계,4,69
경계,5,29
경계,6,20
업사이드 다운,-1,36
업사이드 다운,1,766
업사이드 다운,2,1559
업사이드 다운,3,925
업사이드 다운,4,339
업사이드 다운,5,160
업사이드 다운,54,239
뚜르: 내 생애 최고의 49일,-7,212
뚜르: 내 생애 최고의 49일,-6,866
뚜르: 내 생애 최고의 49일,-5,2591
뚜르: 내 생애 최고의 49일,-3,5456
뚜르: 내 생애 최고의 49일,1,1334
뚜르: 내 생애 최고의 49일,2,12527
뚜르: 내 생애 최고의 49일,3,3311
뚜르: 내 생애 최고의 49일,4,606
뚜르: 내 생애 최고의 49일,5,527
뚜르: 내 생애 최고의 49일,6,45
뚜르: 내 생애 최고의 49일,7,21
뚜르: 내 생애 최고의 49일,8,32
뚜르: 내 생애 최고의 49일,9,341
뚜르: 내 생애 최고의 49일,48,39
홀리워킹데이,1,314
홀리워킹데이,2,544
홀리워킹데이,3,668
홀리워킹데이,4,86
홀리워킹데이,5,100
홀리워킹데이,6,95
홀리워킹데이,7,55
홀리워킹데이,8,44
딜쿠샤,1,686
딜쿠샤,2,216
딜쿠샤,3,137
딜쿠샤,4,301
딜쿠샤,5,35
딜쿠샤,6,34
딜쿠샤,7,15
딜쿠샤,49,22
성난 변호사,-1,282
성난 변호사,0,3088
성난 변호사,1,10312
성난 변호사,2,681070
성난 변호사,3,344475
성난 변호사,4,79414
성난 변호사,5,7297
성난 변호사,6,571
"안녕, 전우치! 도술로봇대결전",0,112
"안녕, 전우치! 도술로봇대결전",1,738
"안녕, 전우치! 도술로봇대결전",2,10090
"안녕, 전우치! 도술로봇대결전",3,864
"안녕, 전우치! 도술로봇대결전",4,667
"안녕, 전우치! 도술로봇대결전",5,270
"안녕, 전우치! 도술로봇대결전",8,306
비밀,0,887
비밀,1,1072
비밀,2,46097
비밀,3,1924
비밀,4,158
특종: 량첸살인기,-1,0
특종: 량첸살인기,1,24712
특종: 량첸살인기,2,470536
특종: 량첸살인기,3,114469
특종: 량첸살인기,4,4738
특종: 량첸살인기,6,424
특종: 량첸살인기,7,932
돌연변이,0,892
돌연변이,1,3850
돌연변이,2,83473
돌연변이,3,9403
돌연변이,4,757
돌연변이,5,393
돌연변이,6,1271
돌연변이,7,466
더 폰,0,821
더 폰,1,17813
더 폰,2,958997
더 폰,3,503161
더 폰,4,100801
더 폰,5,11738
어떤살인,-1,0
어떤살인,1,1767
어떤살인,2,13657
어떤살인,3,1741
필름시대사랑,0,0
필름시대사랑,1,549
필름시대사랑,2,628
필름시대사랑,3,267
필름시대사랑,6,151
나쁜 나라,1,738
나쁜 나라,2,4241
나쁜 나라,3,3847
나쁜 나라,4,4199
나쁜 나라,5,3174
나쁜 나라,6,965
나쁜 나라,7,1048
나쁜 나라,8,755
나쁜 나라,9,929
나쁜 나라,10,692
나쁜 나라,11,143
나쁜 나라,12,387
나쁜 나라,74,455
나쁜 나라,75,1
그놈이다,0,771
그놈이다,1,5572
그놈이다,2,730949
그놈이다,3,243740
그놈이다,4,59504
그놈이다,5,5296
그놈이다,6,153
울보 권투부,1,310
울보 권투부,2,449
울보 권투부,3,635
울보 권투부,4,163
울보 권투부,5,61
울보 권투부,7,37
미안해 사랑해 고마워,0,0
미안해 사랑해 고마워,1,3985
미안해 사랑해 고마워,2,40165
미안해 사랑해 고마워,3,5655
미안해 사랑해 고마워,4,966
미안해 사랑해 고마워,5,260
거짓말,0,0
거짓말,1,180
거짓말,2,3958
거짓말,3,724
거짓말,4,131
거짓말,5,46
검은 사제들,1,7584
검은 사제들,2,2175495
검은 사제들,3,1694234
검은 사제들,4,743537
검은 사제들,5,369953
검은 사제들,6,244096
검은 사제들,7,197283
검은 사제들,8,7812
검은 사제들,9,2059
검은 사제들,67,656
"나의 아들, 나의 어머니",0,295
"나의 아들, 나의 어머니",1,893
"나의 아들, 나의 어머니",2,1311
"나의 아들, 나의 어머니",3,841
"나의 아들, 나의 어머니",4,523
"나의 아들, 나의 어머니",5,233
"나의 아들, 나의 어머니",6,45
들꽃,0,0
들꽃,1,501
들꽃,2,308
들꽃,3,99
들꽃,4,35
내부자들,-2,0
내부자들,-1,3537
내부자들,0,5856
내부자들,1,104391
내부자들,2,2149890
내부자들,3,1755778
내부자들,4,1233268
내부자들,5,939405
내부자들,6,392140
내부자들,7,464089
내부자들,8,20860
내부자들,9,847
내부자들,10,821
내부자들,11,586
내부자들,26,553
내부자들,205,540
세상끝의 사랑,1,770
세상끝의 사랑,2,3668
열정같은소리하고있네,0,1989
열정같은소리하고있네,1,8309
열정같은소리하고있네,2,404269
열정같은소리하고있네,3,159087
열정같은소리하고있네,4,78847
열정같은소리하고있네,5,1497
늙은 자전거,1,520
늙은 자전거,2,1594
늙은 자전거,3,919
늙은 자전거,4,489
늙은 자전거,7,885
늙은 자전거,151,573
늙은 자전거,204,852
늙은 자전거,205,17
늙은 자전거,206,16
늙은 자전거,207,17
눈꺼풀,-99,64
눈꺼풀,-98,64
눈꺼풀,-1,87
눈꺼풀,1,251
눈꺼풀,2,482
눈꺼풀,3,119
눈꺼풀,5,102
눈꺼풀,54,31
짐작보다 따뜻하게,1,250
짐작보다 따뜻하게,2,197
짐작보다 따뜻하게,3,75
짐작보다 따뜻하게,4,182
짐작보다 따뜻하게,5,106
짐작보다 따뜻하게,6,67
짐작보다 따뜻하게,8,35
짐작보다 따뜻하게,21,99
짐작보다 따뜻하게,22,8
짐작보다 따뜻하게,23,4
섬. 사라진 사람들,-15,0
섬. 사라진 사람들,0,619
섬. 사라진 사람들,1,1059
섬. 사라진 사람들,2,18044
섬. 사라진 사람들,3,387
도리화가,0,282
도리화가,1,6478
도리화가,2,258088
