,상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회
1029,2018-06-21,04관(SCREENX),"08:00,  탐정: 리턴즈(디지털),  7,500원","10:25,  탐정: 리턴즈(디지털),  10,000원","12:50,  탐정: 리턴즈(디지털),  10,000원","15:40,  오션스8(디지털),  11,000원","18:00,  어벤져스: 인피니티 워(디지털),  11,000원","21:00,  오션스8(디지털),  11,000원","23:20,  데드풀 2(디지털),  10,000원","25:55,  오션스8(디지털),  8,000원","28:15,  오션스8(디지털),  8,000원",,,
1030,2018-06-21,05관,"08:30,  쥬라기 월드: 폴른 킹덤(디지털),  7,000원","11:10,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","13:50,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","16:40,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","19:35,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","22:20,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","25:00,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","27:40,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원",,,,
1031,2018-06-21,06관,"06:45,  탐정: 리턴즈(디지털),  7,000원","09:10,  탐정: 리턴즈(디지털),  9,000원","11:35,  탐정: 리턴즈(디지털),  10,000원","14:00,  탐정: 리턴즈(디지털),  11,000원","16:25,  탐정: 리턴즈(디지털),  11,000원","18:50,  탐정: 리턴즈(디지털),  10,000원","21:15,  탐정: 리턴즈(디지털),  11,000원","23:40,  탐정: 리턴즈(디지털),  10,000원","26:05,  탐정: 리턴즈(디지털),  9,000원","28:30,  탐정: 리턴즈(디지털),  9,000원",,
1032,2018-06-22,01관,"08:45,  탐정: 리턴즈(디지털),  8,000원","11:15,  탐정: 리턴즈(디지털),  12,000원","13:40,  탐정: 리턴즈(디지털),  12,000원","16:05,  탐정: 리턴즈(디지털),  12,000원","18:30,  탐정: 리턴즈(디지털),  12,000원","21:00,  탐정: 리턴즈(디지털),  12,000원","23:25,  탐정: 리턴즈(디지털),  12,000원","25:50,  탐정: 리턴즈(디지털),  6,000원","28:20,  탐정: 리턴즈(디지털),  9,000원",,,
1033,2018-06-22,02관,"06:30,  여중생A(디지털),  8,000원","08:55,  미드나잇 선(디지털),  8,000원","10:55,  여중생A(디지털),  12,000원","13:20,  미드나잇 선(디지털),  12,000원","15:25,  미드나잇 선(디지털),  12,000원","17:25,  여중생A(디지털),  12,000원","19:55,  미드나잇 선(디지털),  12,000원","22:00,  오션스8(디지털),  12,000원","24:25,  미드나잇 선(디지털),  9,000원","26:45,  탐정: 리턴즈(디지털),  10,000원",,
1034,2018-06-22,03관,"06:20,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원","09:00,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원","11:40,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","14:20,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","17:00,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","19:35,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","22:15,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","25:10,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","27:50,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원",,,
1035,2018-06-22,04관(SCREENX),"07:20,  탐정: 리턴즈(디지털),  8,000원","09:45,  탐정: 리턴즈(디지털),  8,000원","12:10,  어벤져스: 인피니티 워(디지털),  12,000원","15:10,  오션스8(디지털),  12,000원","17:35,  데드풀 2(디지털),  12,000원","20:05,  오션스8(디지털),  12,000원","22:30,  탐정: 리턴즈(디지털),  12,000원","24:55,  탐정: 리턴즈(디지털),  10,000원","27:20,  오션스8(디지털),  10,000원",,,
1036,2018-06-22,05관,"07:10,  오션스8(디지털),  8,000원","09:30,  오션스8(디지털),  8,000원","11:50,  오션스8(디지털),  12,000원","14:10,  오션스8(디지털),  12,000원","16:30,  오션스8(디지털),  12,000원","18:50,  오션스8(디지털),  12,000원","21:10,  오션스8(디지털),  12,000원","23:40,  오션스8(디지털),  12,000원","26:10,  오션스8(디지털),  10,000원","28:30,  오션스8(디지털),  10,000원",,
1037,2018-06-22,06관,"07:40,  독전(디지털),  8,000원","10:10,  독전(디지털),  12,000원","12:40,  독전(디지털),  12,000원","15:15,  독전(디지털),  12,000원","18:00,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","20:35,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","23:10,  독전(디지털),  12,000원","25:40,  독전(디지털),  10,000원","28:10,  독전(디지털),  10,000원",,,
1038,2018-06-23,01관,"08:10,  탐정: 리턴즈(디지털),  8,000원","10:35,  탐정: 리턴즈(디지털),  12,000원","13:05,  탐정: 리턴즈(디지털),  12,000원","15:30,  탐정: 리턴즈(디지털),  12,000원","17:55,  탐정: 리턴즈(디지털),  12,000원","20:20,  탐정: 리턴즈(디지털),  12,000원",,"27:50,  탐정: 리턴즈(디지털),  10,000원",,,,
