,상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회
0,2018-01-01,01관,"07:50,  신과함께-죄와 벌(디지털),  7,000원","10:40,  신과함께-죄와 벌(디지털),  11,000원","13:30,  신과함께-죄와 벌(디지털),  11,000원","16:20,  신과함께-죄와 벌(디지털),  11,000원","19:10,  신과함께-죄와 벌(디지털),  11,000원","22:00,  신과함께-죄와 벌(디지털),  10,000원","24:50,  신과함께-죄와 벌(디지털),  9,000원","28:00,  신과함께-죄와 벌(디지털),  9,000원",,,,
1,2018-01-01,02관,"07:10,  위대한 쇼맨(디지털),  9,000원","09:20,  광인옥한흠(디지털),  7,000원","11:30,  신과함께-죄와 벌(디지털),  11,000원","14:20,  신과함께-죄와 벌(디지털),  11,000원","17:20,  신과함께-죄와 벌(디지털),  11,000원","20:05,  신과함께-죄와 벌(디지털),  11,000원","22:55,  신과함께-죄와 벌(디지털),  11,000원","25:45,  신과함께-죄와 벌(디지털),  9,000원","28:40,  신과함께-죄와 벌(디지털),  9,000원",,,
2,2018-01-01,03관,"06:30,  1987(디지털),  9,000원","09:10,  1987(디지털),  9,000원","11:50,  1987(디지털),  11,000원","14:30,  1987(디지털),  11,000원","17:10,  1987(디지털),  11,000원","19:50,  1987(디지털),  11,000원","22:30,  1987(디지털),  11,000원","25:10,  1987(디지털),  9,000원","27:50,  1987(디지털),  9,000원",,,
3,2018-01-01,04관(SCREENX),"07:30,  1987(디지털),  7,000원","10:10,  원더(디지털),  11,000원","12:40,  원더(디지털),  11,000원","15:10,  원더(디지털),  11,000원","17:40,  원더(디지털),  11,000원","20:10,  원더(디지털),  11,000원","22:40,  위대한 쇼맨(디지털),  10,000원","25:00,  위대한 쇼맨(디지털),  9,000원","27:10,  강철비(디지털),  9,000원",,,
4,2018-01-01,05관,"06:50,  신과함께-죄와 벌(디지털),  7,000원","09:40,  신과함께-죄와 벌(디지털),  7,000원","12:30,  신과함께-죄와 벌(디지털),  11,000원","15:20,  신과함께-죄와 벌(디지털),  11,000원","18:10,  신과함께-죄와 벌(디지털),  11,000원","21:00,  신과함께-죄와 벌(디지털),  11,000원","24:00,  신과함께-죄와 벌(디지털),  11,000원","26:50,  1987(디지털),  9,000원",,,,
5,2018-01-01,06관,"07:40,  강철비(디지털),  9,000원","10:30,  강철비(디지털),  11,000원","13:20,  강철비(디지털),  11,000원","16:10,  1987(디지털),  11,000원","18:50,  1987(디지털),  11,000원","21:30,  1987(디지털),  10,000원","24:10,  강철비(디지털),  9,000원","27:00,  신과함께-죄와 벌(디지털),  9,000원",,,,
6,2018-01-02,01관,"07:30,  신과함께-죄와 벌(디지털),  6,000원","10:20,  신과함께-죄와 벌(디지털),  9,000원","13:10,  신과함께-죄와 벌(디지털),  10,000원","16:00,  신과함께-죄와 벌(디지털),  10,000원","18:50,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  10,000원","24:30,  신과함께-죄와 벌(디지털),  9,000원","27:20,  신과함께-죄와 벌(디지털),  8,000원",,,,
7,2018-01-02,02관,"08:10,  위대한 쇼맨(디지털),  6,000원","10:30,  원더(디지털),  9,000원","12:50,  원더(디지털),  9,000원","15:10,  원더(디지털),  10,000원","17:40,  원더(디지털),  10,000원","20:00,  위대한 쇼맨(디지털),  10,000원","22:30,  위대한 쇼맨(디지털),  9,000원","24:50,  강철비(디지털),  8,000원","27:40,  위대한 쇼맨(디지털),  8,000원",,,
8,2018-01-02,03관,"06:50,  1987(디지털),  6,000원","09:30,  1987(디지털),  6,500원","12:05,  1987(디지털),  9,000원","14:50,  1987(디지털),  10,000원","17:30,  1987(디지털),  10,000원","20:10,  1987(디지털),  10,000원","22:50,  1987(디지털),  9,000원","25:25,  1987(디지털),  8,000원","28:00,  신과함께-죄와 벌(디지털),  8,000원",,,
9,2018-01-02,04관(SCREENX),"07:00,  위대한 쇼맨(디지털),  6,000원","09:10,  광인옥한흠(디지털),  6,000원","11:20,  신과함께-죄와 벌(디지털),  9,000원","14:10,  신과함께-죄와 벌(디지털),  10,000원","17:00,  신과함께-죄와 벌(디지털),  10,000원","19:50,  신과함께-죄와 벌(디지털),  10,000원","22:40,  신과함께-죄와 벌(디지털),  9,000원","25:35,  신과함께-죄와 벌(디지털),  8,000원","28:25,  1987(디지털),  9,000원",,,
10,2018-01-02,05관,"06:30,  신과함께-죄와 벌(디지털),  9,000원","09:20,  신과함께-죄와 벌(디지털),  9,000원","12:15,  신과함께-죄와 벌(디지털),  9,000원","15:00,  신과함께-죄와 벌(디지털),  10,000원","17:50,  신과함께-죄와 벌(디지털),  10,000원","20:40,  신과함께-죄와 벌(디지털),  10,000원","23:30,  신과함께-죄와 벌(디지털),  9,000원","26:20,  1987(디지털),  8,000원",,,,
11,2018-01-02,06관,"07:10,  강철비(디지털),  6,500원","10:00,  강철비(디지털),  7,500원","13:00,  강철비(디지털),  9,000원","15:50,  1987(디지털),  10,000원","18:30,  1987(디지털),  9,000원","21:10,  1987(디지털),  10,000원","23:50,  1987(디지털),  9,000원","26:30,  신과함께-죄와 벌(디지털),  8,000원",,,,
12,2018-01-03,01관,"07:25,  신과함께-죄와 벌(디지털),  6,000원","10:20,  신과함께-죄와 벌(디지털),  9,000원","13:10,  신과함께-죄와 벌(디지털),  10,000원","16:00,  신과함께-죄와 벌(디지털),  10,000원","18:50,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  6,000원","24:50,  신과함께-죄와 벌(디지털),  8,000원","27:40,  신과함께-죄와 벌(디지털),  8,000원",,,,
13,2018-01-03,02관,"07:00,  쥬만지: 새로운 세계(디지털),  6,500원","09:30,  쥬만지: 새로운 세계(디지털),  9,000원","12:00,  쥬만지: 새로운 세계(디지털),  9,000원","14:30,  쥬만지: 새로운 세계(디지털),  10,000원","17:00,  쥬만지: 새로운 세계(디지털),  10,000원","19:30,  쥬만지: 새로운 세계(디지털),  10,000원","22:00,  쥬만지: 새로운 세계(디지털),  10,000원","24:35,  쥬만지: 새로운 세계(디지털),  8,000원","27:20,  강철비(디지털),  8,000원",,,
14,2018-01-03,03관,"07:35,  1987(디지털),  6,000원","10:10,  1987(디지털),  9,000원","12:50,  1987(디지털),  9,000원","15:30,  1987(디지털),  10,000원","18:10,  1987(디지털),  9,000원","20:50,  1987(디지털),  10,000원","23:25,  1987(디지털),  9,000원","26:05,  1987(디지털),  8,000원","28:40,  신과함께-죄와 벌(디지털),  9,000원",,,
15,2018-01-03,04관(SCREENX),"08:00,  강철비(디지털),  6,500원","10:50,  강철비(디지털),  9,000원","13:40,  강철비(디지털),  10,000원","16:30,  1987(디지털),  10,000원","19:10,  1987(디지털),  10,000원","21:50,  1987(디지털),  10,000원","24:25,  1987(디지털),  8,000원","27:05,  쥬만지: 새로운 세계(디지털),  8,000원",,,,
16,2018-01-03,05관,"06:30,  신과함께-죄와 벌(디지털),  6,500원","09:20,  신과함께-죄와 벌(디지털),  6,500원","12:10,  신과함께-죄와 벌(디지털),  9,000원","15:00,  신과함께-죄와 벌(디지털),  10,000원","17:50,  신과함께-죄와 벌(디지털),  10,000원","20:40,  신과함께-죄와 벌(디지털),  10,000원","23:35,  신과함께-죄와 벌(디지털),  9,000원","26:25,  신과함께-죄와 벌(디지털),  8,000원",,,,
17,2018-01-03,06관,"06:50,  위대한 쇼맨(디지털),  6,500원","09:00,  위대한 쇼맨(디지털),  7,500원","11:10,  신과함께-죄와 벌(디지털),  9,000원","14:00,  신과함께-죄와 벌(디지털),  10,000원","16:50,  신과함께-죄와 벌(디지털),  8,000원","19:45,  위대한 쇼맨(디지털),  10,000원","21:55,  위대한 쇼맨(디지털),  10,000원","24:10,  신과함께-죄와 벌(디지털),  8,000원","27:00,  1987(디지털),  9,000원",,,
18,2018-01-04,01관,"07:30,  신과함께-죄와 벌(디지털),  6,000원","10:20,  신과함께-죄와 벌(디지털),  9,000원","13:10,  신과함께-죄와 벌(디지털),  10,000원","16:00,  신과함께-죄와 벌(디지털),  10,000원","18:50,  신과함께-죄와 벌(디지털),  10,000원","21:40,  신과함께-죄와 벌(디지털),  10,000원","24:30,  신과함께-죄와 벌(디지털),  8,000원","27:15,  신과함께-죄와 벌(디지털),  8,000원",,,,
19,2018-01-04,02관,"07:40,  쥬만지: 새로운 세계(디지털),  6,500원","10:05,  쥬만지: 새로운 세계(디지털),  9,000원","12:30,  쥬만지: 새로운 세계(디지털),  9,000원","14:55,  쥬만지: 새로운 세계(디지털),  10,000원","17:25,  쥬만지: 새로운 세계(디지털),  10,000원","20:00,  쥬만지: 새로운 세계(디지털),  10,000원","22:25,  쥬만지: 새로운 세계(디지털),  9,000원","24:55,  쥬만지: 새로운 세계(디지털),  8,000원","27:40,  1987(디지털),  9,000원",,,
20,2018-01-04,03관,"08:40,  1987(디지털),  6,000원","11:20,  1987(디지털),  9,000원","13:55,  1987(디지털),  10,000원","16:35,  1987(디지털),  10,000원","19:20,  1987(디지털),  10,000원","22:00,  1987(디지털),  10,000원","24:40,  1987(디지털),  9,000원","27:25,  쥬만지: 새로운 세계(디지털),  8,000원",,,,
21,2018-01-04,04관(SCREENX),"06:50,  위대한 쇼맨(디지털),  6,500원","09:00,  위대한 쇼맨(디지털),  9,000원","11:10,  신과함께-죄와 벌(디지털),  9,000원","14:05,  신과함께-죄와 벌(디지털),  10,000원","17:05,  위대한 쇼맨(디지털),  10,000원","19:40,  신과함께-죄와 벌(디지털),  10,000원","22:40,  위대한 쇼맨(디지털),  9,000원","25:15,  강철비(디지털),  9,000원","28:20,  신과함께-죄와 벌(디지털),  8,000원",,,
22,2018-01-04,05관,"06:30,  신과함께-죄와 벌(디지털),  6,000원","09:20,  신과함께-죄와 벌(디지털),  7,000원","12:10,  신과함께-죄와 벌(디지털),  9,000원","15:05,  신과함께-죄와 벌(디지털),  10,000원","17:50,  신과함께-죄와 벌(디지털),  10,000원","20:40,  신과함께-죄와 벌(디지털),  10,000원","23:35,  신과함께-죄와 벌(디지털),  9,000원","26:25,  신과함께-죄와 벌(디지털),  9,000원",,,,
23,2018-01-04,06관,"07:00,  강철비(디지털),  9,000원","09:50,  강철비(디지털),  7,000원","12:40,  강철비(디지털),  9,000원","15:30,  1987(디지털),  10,000원","18:10,  1987(디지털),  10,000원","20:50,  1987(디지털),  10,000원","23:25,  1987(디지털),  9,000원","26:05,  1987(디지털),  8,000원","28:40,  1987(디지털),  8,000원",,,
24,2018-01-05,01관,"07:40,  신과함께-죄와 벌(디지털),  7,000원","10:30,  신과함께-죄와 벌(디지털),  11,000원","13:15,  신과함께-죄와 벌(디지털),  11,000원","16:00,  신과함께-죄와 벌(디지털),  11,000원","18:50,  신과함께-죄와 벌(디지털),  11,000원","21:40,  신과함께-죄와 벌(디지털),  11,000원","24:30,  신과함께-죄와 벌(디지털),  9,000원","27:20,  쥬만지: 새로운 세계(디지털),  9,000원",,,,
25,2018-01-05,02관,"07:30,  쥬만지: 새로운 세계(디지털),  8,000원","10:00,  쥬만지: 새로운 세계(디지털),  7,000원","12:30,  쥬만지: 새로운 세계(디지털),  11,000원","15:10,  쥬만지: 새로운 세계(디지털),  11,000원","17:40,  쥬만지: 새로운 세계(디지털),  11,000원","20:05,  쥬만지: 새로운 세계(디지털),  11,000원","22:35,  쥬만지: 새로운 세계(디지털),  11,000원","25:10,  쥬만지: 새로운 세계(디지털),  9,000원","27:40,  신과함께-죄와 벌(디지털),  9,000원",,,
26,2018-01-05,03관,"06:50,  1987(디지털),  9,000원","09:30,  1987(디지털),  9,000원","12:05,  1987(디지털),  11,000원","14:50,  1987(디지털),  11,000원","17:30,  1987(디지털),  11,000원","20:15,  1987(디지털),  11,000원","22:50,  1987(디지털),  11,000원","25:30,  1987(디지털),  9,000원","28:10,  1987(디지털),  9,000원",,,
27,2018-01-05,04관(SCREENX),"09:00,  원더(디지털),  8,000원","11:20,  강철비(디지털),  11,000원","14:10,  신과함께-죄와 벌(디지털),  11,000원","17:10,  위대한 쇼맨(디지털),  11,000원","19:20,  1987(디지털),  11,000원","22:00,  강철비(디지털),  11,000원","24:50,  위대한 쇼맨(디지털),  9,000원","27:10,  1987(디지털),  9,000원",,,,
28,2018-01-05,05관,"06:30,  신과함께-죄와 벌(디지털),  7,000원","09:20,  신과함께-죄와 벌(디지털),  9,000원","12:15,  신과함께-죄와 벌(디지털),  11,000원","15:00,  신과함께-죄와 벌(디지털),  11,000원","17:50,  신과함께-죄와 벌(디지털),  11,000원","20:40,  신과함께-죄와 벌(디지털),  11,000원","23:30,  신과함께-죄와 벌(디지털),  11,000원","26:20,  1987(디지털),  9,000원",,,,
29,2018-01-05,06관,"08:20,  위대한 쇼맨(디지털),  7,000원","10:40,  위대한 쇼맨(디지털),  11,000원","13:00,  1987(디지털),  11,000원","15:40,  1987(디지털),  11,000원","18:20,  1987(디지털),  11,000원","21:10,  1987(디지털),  11,000원","24:00,  1987(디지털),  11,000원","26:40,  신과함께-죄와 벌(디지털),  9,000원",,,,
30,2018-01-06,01관,"06:45,  위대한 쇼맨(디지털),  7,000원","08:55,  1987(디지털),  7,000원","11:35,  1987(디지털),  11,000원","14:15,  1987(디지털),  11,000원","16:55,  1987(디지털),  11,000원","19:35,  1987(디지털),  11,000원","22:15,  1987(디지털),  11,000원","24:55,  1987(디지털),  9,000원","27:35,  쥬만지: 새로운 세계(디지털),  9,000원",,,
31,2018-01-06,02관,"07:10,  강철비(디지털),  7,000원","10:00,  위대한 쇼맨(디지털),  9,000원","12:10,  위대한 쇼맨(디지털),  11,000원","14:25,  원더(디지털),  11,000원","16:45,  원더(디지털),  11,000원","19:05,  신과함께-죄와 벌(디지털),  11,000원","21:50,  신과함께-죄와 벌(디지털),  11,000원","24:40,  신과함께-죄와 벌(디지털),  9,000원","27:25,  1987(디지털),  9,000원",,,
32,2018-01-06,03관,"07:35,  1987(디지털),  9,000원","10:10,  1987(디지털),  11,000원","12:50,  1987(디지털),  11,000원","15:30,  1987(디지털),  11,000원","18:10,  1987(디지털),  11,000원","20:50,  1987(디지털),  11,000원","23:25,  1987(디지털),  11,000원","26:05,  1987(디지털),  9,000원","28:45,  1987(디지털),  9,000원",,,
33,2018-01-06,04관(SCREENX),"07:00,  쥬만지: 새로운 세계(디지털),  7,500원","09:30,  쥬만지: 새로운 세계(디지털),  9,000원","12:00,  쥬만지: 새로운 세계(디지털),  11,000원","14:30,  쥬만지: 새로운 세계(디지털),  10,000원","17:00,  쥬만지: 새로운 세계(디지털),  11,000원","19:30,  쥬만지: 새로운 세계(디지털),  11,000원","21:55,  쥬만지: 새로운 세계(디지털),  10,000원","24:30,  쥬만지: 새로운 세계(디지털),  9,000원","27:00,  신과함께-죄와 벌(디지털),  9,000원",,,
34,2018-01-06,05관,"06:30,  신과함께-죄와 벌(디지털),  7,000원","09:20,  신과함께-죄와 벌(디지털),  9,000원","12:15,  신과함께-죄와 벌(디지털),  11,000원","15:00,  신과함께-죄와 벌(디지털),  11,000원","17:50,  신과함께-죄와 벌(디지털),  11,000원","20:40,  신과함께-죄와 벌(디지털),  11,000원","23:30,  신과함께-죄와 벌(디지털),  11,000원","26:20,  신과함께-죄와 벌(디지털),  9,000원",,,,
35,2018-01-06,06관,"06:20,  쥬만지: 새로운 세계(디지털),  9,000원","08:45,  쥬만지: 새로운 세계(디지털),  7,000원","11:10,  쥬만지: 새로운 세계(디지털),  11,000원","13:35,  쥬만지: 새로운 세계(디지털),  11,000원","16:05,  쥬만지: 새로운 세계(디지털),  11,000원","18:40,  위대한 쇼맨(디지털),  11,000원","21:10,  강철비(디지털),  11,000원","24:10,  1987(디지털),  9,000원","26:45,  쥬만지: 새로운 세계(디지털),  9,000원",,,
36,2018-01-07,01관,"07:50,  위대한 쇼맨(디지털),  7,000원","10:10,  1987(디지털),  11,000원","12:50,  1987(디지털),  11,000원","15:30,  1987(디지털),  11,000원","18:10,  1987(디지털),  11,000원","21:00,  1987(디지털),  11,000원","24:00,  강철비(디지털),  11,000원","26:50,  쥬만지: 새로운 세계(디지털),  9,000원",,,,
37,2018-01-07,02관,"07:20,  쥬만지: 새로운 세계(디지털),  7,000원","09:50,  쥬만지: 새로운 세계(디지털),  7,500원","12:25,  쥬만지: 새로운 세계(디지털),  11,000원","14:50,  쥬만지: 새로운 세계(디지털),  10,000원","17:20,  쥬만지: 새로운 세계(디지털),  11,000원","20:00,  쥬만지: 새로운 세계(디지털),  11,000원","22:30,  쥬만지: 새로운 세계(디지털),  11,000원","25:00,  쥬만지: 새로운 세계(디지털),  9,000원","27:30,  신과함께-죄와 벌(디지털),  9,000원",,,
38,2018-01-07,03관,"08:40,  1987(디지털),  7,000원","11:20,  1987(디지털),  11,000원","13:55,  1987(디지털),  10,000원","16:35,  1987(디지털),  11,000원","19:20,  1987(디지털),  11,000원","22:00,  1987(디지털),  11,000원","24:40,  1987(디지털),  10,000원","27:20,  1987(디지털),  9,000원",,,,
39,2018-01-07,04관(SCREENX),"06:50,  강철비(디지털),  9,000원","09:40,  위대한 쇼맨(디지털),  7,500원","11:50,  위대한 쇼맨(디지털),  11,000원","14:05,  원더(디지털),  11,000원","16:25,  신과함께-죄와 벌(디지털),  10,000원","19:30,  신과함께-죄와 벌(디지털),  11,000원","22:20,  신과함께-죄와 벌(디지털),  11,000원","25:10,  신과함께-죄와 벌(디지털),  9,000원","28:00,  쥬만지: 새로운 세계(디지털),  9,000원",,,
40,2018-01-07,05관,"06:30,  신과함께-죄와 벌(디지털),  8,000원","09:20,  신과함께-죄와 벌(디지털),  9,000원","12:15,  신과함께-죄와 벌(디지털),  11,000원","15:00,  신과함께-죄와 벌(디지털),  11,000원","17:50,  신과함께-죄와 벌(디지털),  11,000원","20:40,  신과함께-죄와 벌(디지털),  11,000원","23:30,  신과함께-죄와 벌(디지털),  11,000원","26:20,  1987(디지털),  9,000원",,,,
41,2018-01-07,06관,"08:20,  쥬만지: 새로운 세계(디지털),  9,000원","10:50,  쥬만지: 새로운 세계(디지털),  11,000원","13:20,  쥬만지: 새로운 세계(디지털),  11,000원","15:50,  위대한 쇼맨(디지털),  11,000원","18:20,  쥬만지: 새로운 세계(디지털),  11,000원","20:50,  원더(디지털),  11,000원","23:20,  쥬만지: 새로운 세계(디지털),  11,000원","25:45,  쥬만지: 새로운 세계(디지털),  9,000원","28:10,  1987(디지털),  9,000원",,,
42,2018-01-08,01관,"06:40,  위대한 쇼맨(디지털),  6,500원","09:00,  1987(디지털),  6,000원","12:40,  1987(디지털),  9,000원","15:30,  1987(디지털),  10,000원","18:10,  1987(디지털),  10,000원","20:50,  1987(디지털),  10,000원","23:30,  강철비(디지털),  9,000원","26:20,  1987(디지털),  8,000원",,,,
43,2018-01-08,02관,"07:20,  쥬만지: 새로운 세계(디지털),  6,000원","09:50,  쥬만지: 새로운 세계(디지털),  6,000원","12:20,  쥬만지: 새로운 세계(디지털),  9,000원","14:50,  쥬만지: 새로운 세계(디지털),  10,000원","17:20,  쥬만지: 새로운 세계(디지털),  10,000원","19:50,  쥬만지: 새로운 세계(디지털),  10,000원","22:20,  쥬만지: 새로운 세계(디지털),  9,000원","24:45,  쥬만지: 새로운 세계(디지털),  8,000원","27:15,  쥬만지: 새로운 세계(디지털),  8,000원",,,
44,2018-01-08,03관,"07:50,  신과함께-죄와 벌(디지털),  6,000원","10:40,  신과함께-죄와 벌(디지털),  9,000원","13:30,  신과함께-죄와 벌(디지털),  10,000원","16:20,  신과함께-죄와 벌(디지털),  10,000원","19:10,  신과함께-죄와 벌(디지털),  10,000원","22:00,  신과함께-죄와 벌(디지털),  10,000원","24:55,  신과함께-죄와 벌(디지털),  9,000원","27:45,  신과함께-죄와 벌(디지털),  8,000원",,,,
45,2018-01-08,04관(SCREENX),"08:20,  쥬만지: 새로운 세계(디지털),  8,000원","10:50,  쥬만지: 새로운 세계(디지털),  9,000원","13:20,  쥬만지: 새로운 세계(디지털),  10,000원","15:50,  위대한 쇼맨(디지털),  10,000원","18:20,  쥬만지: 새로운 세계(디지털),  10,000원","21:00,  위대한 쇼맨(디지털),  10,000원","23:20,  쥬만지: 새로운 세계(디지털),  9,000원","26:00,  쥬만지: 새로운 세계(디지털),  8,000원","28:30,  신과함께-죄와 벌(디지털),  8,000원",,,
46,2018-01-08,05관,"06:30,  1987(디지털),  7,000원","09:10,  1987(디지털),  7,500원","11:50,  1987(디지털),  9,000원","14:30,  1987(디지털),  10,000원","17:10,  1987(디지털),  10,000원","20:00,  1987(디지털),  10,000원","22:40,  1987(디지털),  9,000원","25:20,  1987(디지털),  8,000원","28:00,  쥬만지: 새로운 세계(디지털),  8,000원",,,
47,2018-01-08,06관,"07:10,  강철비(디지털),  9,000원","10:00,  위대한 쇼맨(디지털),  6,000원","12:10,  원더(디지털),  9,000원","14:40,  원더(디지털),  10,000원","17:05,  신과함께-죄와 벌(디지털),  10,000원","20:10,  신과함께-죄와 벌(디지털),  10,000원","23:00,  신과함께-죄와 벌(디지털),  9,000원","25:50,  위대한 쇼맨(디지털),  8,000원","28:10,  1987(디지털),  9,000원",,,
48,2018-01-09,01관,"06:30,  위대한 쇼맨(디지털),  6,000원","08:50,  1987(디지털),  6,000원","11:30,  1987(디지털),  9,000원","14:10,  1987(디지털),  10,000원","16:50,  1987(디지털),  10,000원","19:30,  1987(디지털),  10,000원","22:10,  강철비(디지털),  9,000원","25:05,  1987(디지털),  8,000원","27:40,  쥬만지: 새로운 세계(디지털),  8,000원",,,
49,2018-01-09,02관,"07:20,  쥬만지: 새로운 세계(디지털),  6,000원","09:50,  쥬만지: 새로운 세계(디지털),  6,000원","12:20,  쥬만지: 새로운 세계(디지털),  9,000원","14:50,  쥬만지: 새로운 세계(디지털),  10,000원","17:20,  쥬만지: 새로운 세계(디지털),  10,000원","20:00,  너의 이름은.(디지털),  9,000원","22:20,  쥬만지: 새로운 세계(디지털),  9,000원","24:45,  쥬만지: 새로운 세계(디지털),  8,000원","27:20,  신과함께-죄와 벌(디지털),  8,000원",,,
50,2018-01-09,03관,"07:50,  신과함께-죄와 벌(디지털),  9,000원","10:40,  신과함께-죄와 벌(디지털),  9,000원","13:30,  신과함께-죄와 벌(디지털),  10,000원","16:20,  신과함께-죄와 벌(디지털),  10,000원","19:10,  신과함께-죄와 벌(디지털),  10,000원","22:00,  신과함께-죄와 벌(디지털),  10,000원","24:55,  신과함께-죄와 벌(디지털),  9,000원","27:50,  1987(디지털),  8,000원",,,,
51,2018-01-09,04관(SCREENX),"08:30,  쥬만지: 새로운 세계(디지털),  6,000원","11:00,  쥬만지: 새로운 세계(디지털),  10,000원","13:40,  위대한 쇼맨(디지털),  10,000원","16:00,  쥬만지: 새로운 세계(디지털),  10,000원","18:40,  위대한 쇼맨(디지털),  10,000원","21:00,  쥬만지: 새로운 세계(디지털),  10,000원","23:25,  쥬만지: 새로운 세계(디지털),  9,000원","26:00,  쥬만지: 새로운 세계(디지털),  8,000원","28:30,  1987(디지털),  7,000원",,,
52,2018-01-09,05관,"07:30,  1987(디지털),  6,500원","10:10,  1987(디지털),  9,000원","12:50,  1987(디지털),  9,000원","15:30,  1987(디지털),  10,000원","18:10,  1987(디지털),  10,000원","20:50,  1987(디지털),  10,000원","23:40,  1987(디지털),  9,000원","26:20,  1987(디지털),  8,000원",,,,
53,2018-01-09,06관,"08:00,  강철비(디지털),  9,000원","10:50,  위대한 쇼맨(디지털),  9,000원","13:00,  원더(디지털),  9,000원","15:20,  원더(디지털),  10,000원","17:50,  신과함께-죄와 벌(디지털),  10,000원","20:40,  신과함께-죄와 벌(디지털),  10,000원","23:30,  신과함께-죄와 벌(디지털),  9,000원","26:30,  위대한 쇼맨(디지털),  8,000원","28:40,  쥬만지: 새로운 세계(디지털),  8,000원",,,
54,2018-01-10,01관,"07:30,  강철비(디지털),  6,000원","10:20,  1987(디지털),  9,000원","13:10,  1987(디지털),  10,000원","15:50,  1987(디지털),  10,000원","18:40,  1987(디지털),  10,000원","21:20,  1987(디지털),  10,000원","24:00,  쥬만지: 새로운 세계(디지털),  9,000원","26:30,  1987(디지털),  8,000원",,,,
55,2018-01-10,02관,"07:20,  쥬만지: 새로운 세계(디지털),  6,000원","09:50,  쥬만지: 새로운 세계(디지털),  9,000원","12:20,  쥬만지: 새로운 세계(디지털),  9,000원","14:50,  쥬만지: 새로운 세계(디지털),  10,000원","17:20,  쥬만지: 새로운 세계(디지털),  10,000원","19:50,  쥬만지: 새로운 세계(디지털),  10,000원","22:20,  쥬만지: 새로운 세계(디지털),  9,000원","24:45,  쥬만지: 새로운 세계(디지털),  9,000원","27:20,  신과함께-죄와 벌(디지털),  8,000원",,,
56,2018-01-10,03관,"07:50,  신과함께-죄와 벌(디지털),  7,000원","10:40,  신과함께-죄와 벌(디지털),  9,000원","13:30,  신과함께-죄와 벌(디지털),  10,000원","16:20,  신과함께-죄와 벌(디지털),  10,000원","19:10,  신과함께-죄와 벌(디지털),  10,000원","22:00,  신과함께-죄와 벌(디지털),  10,000원","25:05,  신과함께-죄와 벌(디지털),  8,000원","27:50,  1987(디지털),  8,000원",,,,
57,2018-01-10,04관(SCREENX),"08:20,  위대한 쇼맨(디지털),  7,000원","10:30,  위대한 쇼맨(디지털),  9,000원","12:40,  원더(디지털),  9,000원","15:00,  원더(디지털),  10,000원","17:25,  위대한 쇼맨(디지털),  10,000원","19:35,  1987(디지털),  10,000원","22:10,  강철비(디지털),  9,000원","24:55,  1987(디지털),  9,000원","27:40,  쥬만지: 새로운 세계(디지털),  8,000원",,,
58,2018-01-10,05관,"06:30,  1987(디지털),  6,000원","09:10,  1987(디지털),  6,500원","11:50,  1987(디지털),  9,000원","14:30,  1987(디지털),  9,000원","17:10,  1987(디지털),  10,000원","20:00,  1987(디지털),  10,000원","23:00,  1987(디지털),  9,000원","25:50,  1987(디지털),  8,000원","28:30,  위대한 쇼맨(디지털),  8,000원",,,
59,2018-01-10,06관,"08:40,  쥬만지: 새로운 세계(디지털),  6,000원","11:10,  쥬만지: 새로운 세계(디지털),  9,000원","13:40,  위대한 쇼맨(디지털),  10,000원","16:00,  쥬만지: 새로운 세계(디지털),  9,000원","18:30,  쥬만지: 새로운 세계(디지털),  10,000원","21:00,  신과함께-죄와 벌(디지털),  10,000원","23:50,  신과함께-죄와 벌(디지털),  9,000원","26:40,  쥬만지: 새로운 세계(디지털),  8,000원",,,,
60,2018-01-11,01관,"06:50,  신과함께-죄와 벌(디지털),  6,500원","09:40,  신과함께-죄와 벌(디지털),  7,000원","12:30,  신과함께-죄와 벌(디지털),  9,000원","15:20,  신과함께-죄와 벌(디지털),  10,000원","18:10,  신과함께-죄와 벌(디지털),  10,000원","21:10,  신과함께-죄와 벌(디지털),  10,000원","24:10,  신과함께-죄와 벌(디지털),  7,000원","27:10,  신과함께-죄와 벌(디지털),  8,000원",,,,
61,2018-01-11,02관,"07:20,  쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?(디지털),  6,000원","09:20,  위대한 쇼맨(디지털),  6,000원","11:30,  쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?(디지털),  9,000원","13:30,  원더(디지털),  10,000원","15:50,  쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?(디지털),  10,000원","17:50,  위대한 쇼맨(디지털),  10,000원","20:10,  신과함께-죄와 벌(디지털),  10,000원","23:00,  쥬만지: 새로운 세계(디지털),  9,000원","25:30,  다운사이징(디지털),  8,000원","28:15,  1987(디지털),  8,000원",,
62,2018-01-11,03관,"06:30,  코코(디지털),  6,000원","09:10,  코코(디지털),  9,000원","11:50,  코코(디지털),  9,000원","14:30,  코코(디지털),  10,000원","17:10,  코코(디지털),  10,000원","19:50,  코코(디지털),  10,000원","22:30,  코코(디지털),  9,000원","25:10,  코코(디지털),  8,000원","27:50,  코코(디지털),  7,000원",,,
