movieCd,showTm
20156559,116.0
20157466,117.0
20142641,106.0
20159641,93.0
20150564,88.0
20162704,75.0
20140704,102.0
20151021,113.0
20145502,115.0
20170247,124.0
20159643,92.0
20150902,108.0
20166541,80.0
20148460,92.0
20163041,106.0
20150566,48.0
20161589,110.0
20159657,68.0
20158242,93.0
20151022,92.0
20162381,115.0
20165961,82.0
20162461,71.0
20172243,
20143509,99.0
20150903,72.0
20150901,103.0
20160472,91.0
20162431,71.0
20167867,113.0
20165042,114.0
20161603,88.0
20152370,96.0
20153450,94.0
20155223,103.0
20150970,103.0
20145182,119.0
20158982,94.0
20165981,73.0
20162022,97.0
20160261,88.0
20166127,91.0
20160041,140.0
20163098,96.0
20159286,98.0
20161722,108.0
20144441,87.0
20152746,102.0
20169730,86.0
20152541,87.0
20133071,83.0
20162541,101.0
20162927,96.0
20157441,95.0
20155301,116.0
20162608,94.0
20164527,60.0
20161694,90.0
20165521,69.0
20142706,76.0
20152369,94.0
20162969,80.0
20155388,101.0
20155390,79.0
20158822,98.0
20157064,94.0
20158824,103.0
20148384,98.0
20158359,91.0
20152402,65.0
20167821,66.0
20141589,102.0
20159447,109.0
20158821,93.0
20154803,101.0
20142401,86.0
20156498,67.0
20155391,83.0
20150845,21.0
20161701,94.0
20163285,76.0
20162242,106.0
20158161,96.0
20163011,130.0
20141591,85.0
20150258,82.0
20159772,112.0
20149258,110.0
20160761,89.0
20155385,100.0
20155335,110.0
20161409,28.0
20161961,111.0
20140256,97.0
20161806,99.0
20153316,71.0
20164697,100.0
20152105,71.0
20154428,97.0
20142221,87.0
20166128,101.0
20120422,150.0
20158744,87.0
20155485,95.0
20159627,103.0
20140723,100.0
20158742,97.0
20154429,80.0
20155387,90.0
20158743,99.0
20165164,23.0
20162684,83.0
20162546,88.0
20167102,74.0
20162970,137.0
20166912,104.0
20166652,83.0
20162145,97.0
20151224,96.0
20168962,101.0
20126669,86.0
20150982,72.0
20161584,80.0
20162005,71.0
20162004,71.0
20166867,70.0
20158745,90.0
20153863,101.0
20162581,108.0
20156188,92.0
20149496,86.0
20151063,89.0
20158019,32.0
20153803,78.0
20120111,104.0
20151181,96.0
20150966,110.0
20165144,61.0
20145486,117.0
20158526,40.0
20163014,110.0
20163845,72.0
20151229,134.0
20151228,125.0
20157631,89.0
20153303,69.0
20154342,96.0
20179694,80.0
20163019,88.0
20150964,126.0
20161366,106.0
20166421,118.0
20168668,80.0
20156562,101.0
20161723,97.0
20150753,91.0
20166422,110.0
20158799,121.0
20150971,117.0
20155381,93.0
20154802,96.0
20182889,125.0
20167905,117.0
20172601,73.0
20179442,100.0
20167902,121.0
20162181,124.0
20151230,131.0
20169603,87.0
20161923,99.0
20167901,113.0
20172863,88.0
20172381,99.0
20151227,114.0
20174164,102.0
20172641,77.0
20174561,102.0
20173301,78.0
20162871,130.0
20161726,114.0
20174165,81.0
20173061,76.0
20162722,115.0
20156708,108.0
20167148,113.0
20174644,86.0
20164844,119.0
20167829,96.0
20164041,96.0
20175021,111.0
20174602,109.0
20160483,104.0
20169348,129.0
20170941,94.0
20175581,73.0
20176041,88.0
20177081,51.0
20162972,120.0
20175601,89.0
20168041,104.0
20162343,123.0
20177223,78.0
20149571,105.0
20166384,90.0
20174281,93.0
20176766,92.0
20174243,102.0
20159647,137.0
20178982,128.0
20162971,100.0
20164643,125.0
20176102,91.0
20178127,118.0
20162802,88.0
20160746,98.0
20169269,91.0
20154427,99.0
20177063,150.0
20179323,92.0
20162869,137.0
20164859,101.0
20162442,108.0
20179187,105.0
20151003,99.0
20164174,127.0
20155483,89.0
20170163,119.0
20165001,70.0
20170247,124.0
20166132,81.0
20179407,107.0
20170003,48.0
20154909,118.0
20169270,109.0
20171923,100.0
20163842,119.0
20173826,97.0
20172642,70.0
20178941,109.0
20171164,96.0
20172964,98.0
20174142,118.0
20160503,102.0
20178647,85.0
20169463,95.0
20171817,91.0
20165450,140.0
20172742,121.0
20154907,91.0
20172963,81.0
20174641,84.0
20164424,114.0
20164481,116.0
20173965,75.0
20174645,85.0
20175208,67.0
20178461,84.0
20175484,128.0
20171885,129.0
20174301,82.0
20172404,84.0
20177342,111.0
20173612,81.0
20169643,125.0
20172603,102.0
20170386,113.0
20155324,103.0
20174983,78.0
20175441,114.0
20161681,90.0
20168754,100.0
20175047,76.0
20173932,133.0
20165748,116.0
20177845,72.0
20174643,96.0
20176061,91.0
20160522,113.0
20173903,102.0
20161762,110.0
20173581,108.0
20162986,95.0
20174199,88.0
20163906,99.0
20174663,95.0
20174601,99.0
20170272,124.0
20174846,78.0
20166762,99.0
20177784,94.0
20170442,76.0
20160465,100.0
20170402,139.0
20150976,139.0
20170590,129.0
20160477,118.0
20176769,94.0
20161724,104.0
20175830,114.0
20174323,80.0
20176104,120.0
20158358,110.0
20189525,100.0
20175930,84.0
20177473,97.0
20168161,100.0
20179163,85.0
20166083,112.0
20180321,77.0
20169443,106.0
20160484,122.0
20168323,101.0
20179936,58.0
20168593,70.0
20189761,75.0
20179205,119.0
20176121,105.0
20168250,108.0
20179603,105.0
20179263,93.0
20179039,89.0
20180063,96.0
20162361,101.0
20189663,91.0
20150969,109.0
20170841,103.0
20141708,69.0
20178781,101.0
20181741,90.0
20170422,89.0
20165444,102.0
20172244,116.0
20170669,131.0
20177245,81.0
20164389,102.0
20173995,106.0
20162983,75.0
20181366,67.0
20173962,106.0
20154908,123.0
20180804,94.0
20182021,69.0
20181561,91.0
20153447,100.0
20182781,83.0
20155382,84.0
20174010,107.0
20182221,91.0
20165045,100.0
20182352,110.0
20177934,101.0
20175046,83.0
20174265,87.0
20181603,96.0
20177962,107.0
20177266,101.0
20176101,68.0
20167007,102.0
20131181,94.0
20189783,108.0
20177005,109.0
20176025,95.0
20182323,104.0
20161568,94.0
20183381,94.0
20173202,147.0
20165181,91.0
20179383,123.0
20183502,75.0
20183423,57.0
20183384,76.0
20172602,99.0
20173865,86.0
20184981,69.0
20179421,85.0
20178161,116.0
20184101,114.0
20175527,112.0
20174647,106.0
20172469,120.0
20185341,125.0
20174225,89.0
20175865,79.0
20189802,92.0
20185484,132.0
20174369,122.0
20177534,102.0
20180282,91.0
20188042,131.0
20180803,85.0
20171681,99.0
20187682,81.0
20185242,67.0
20170942,138.0
20186501,84.0
20186202,141.0
20179101,137.0
20164048,98.0
20181570,99.0
20172405,98.0
20170670,111.0
20174348,86.0
20153446,110.0
20181821,91.0
20177537,119.0
20188501,124.0
20182065,110.0
20173732,123.0
20186646,85.0
20179123,112.0
20175587,111.0
20078584,109.0
20156554,105.0
20189122,128.0
20182279,67.0
20183401,75.0
20173734,113.0
20177308,114.0
20172204,126.0
20176122,135.0
20183386,64.0
20189746,72.0
20160504,77.0
20167903,96.0
20179189,109.0
20186663,73.0
20189067,97.0
20184678,98.0
20178180,83.0
20178190,94.0
20181142,93.0
20172388,72.0
20180401,66.0
20174981,121.0
20174283,89.0
20189281,78.0
20177538,115.0
20177981,84.0
20170513,99.0
20181086,121.0
20179006,94.0
20182935,104.0
20174008,106.0
20162979,70.0
20189869,110.0
20183050,82.0
20174442,103.0
20187303,94.0
20177341,100.0
20184481,115.0
20183495,97.0
20177552,114.0
20154762,234.0
20165562,104.0
20174264,106.0
20183745,66.0
20179230,102.0
20170001,94.0
20183390,60.0
20182981,101.0
20183650,68.0
20184529,109.0
20181876,80.0
20184642,98.0
20175547,133.0
20168773,139.0
20174244,77.0
20183785,93.0
20170658,124.0
20196370,95.0
20174266,115.0
20191591,41.0
20199023,80.0
20179346,74.0
20178203,118.0
20190804,86.0
20194942,53.0
20173930,111.0
20195963,118.0
20148617,93.0
20181301,85.0
20176026,108.0
20198978,75.0
20172464,81.0
20180361,93.0
20173383,95.0
20182325,98.0
20194044,49.0
20181199,98.0
20193017,93.0
20176006,117.0
20183374,82.0
20197441,81.0
20186707,70.0
20162140,85.0
20193669,100.0
20183382,80.0
20183132,88.0
20174284,79.0
20174042,108.0
20193928,83.0
20191302,85.0
20183343,92.0
20173993,111.0
20186645,89.0
20186652,90.0
20189803,88.0
20183364,67.0
20173991,131.0
20189647,97.0
20186651,96.0
20183345,89.0
20199346,85.0
20191744,101.0
20183727,78.0
20187301,70.0
20183001,85.0
20198829,71.0
20191105,97.0
20183085,94.0
20184961,76.0
20181198,99.0
20180902,95.0
20193828,84.0
20189649,86.0
20188117,95.0
20193013,77.0
20191783,101.0
20192689,74.0
20191845,90.0
20183848,100.0
20181104,85.0
20190470,112.0
20190725,99.0
20198043,86.0
20193642,79.0
20181096,83.0
20191141,98.0
20188083,97.0
20181168,88.0
20183407,114.0
20196881,76.0
20185350,99.0
20194045,72.0
20184243,113.0
20198912,92.0
20185124,111.0
20190703,91.0
20188393,104.0
20166301,105.0
20188404,85.0
20198597,84.0
20190741,101.0
20188144,101.0
20197092,111.0
20181103,138.0
20195791,87.0
20182241,97.0
20166602,125.0
20198982,108.0
20182501,97.0
20185986,100.0
20193275,103.0
20186324,101.0
20176442,116.0
20184187,93.0
20182585,130.0
20183915,70.0
20185361,112.0
20174169,111.0
20185478,78.0
20185353,110.0
20199448,114.0
20175407,143.0
20198183,79.0
20187981,113.0
20198323,92.0
20193821,75.0
20191029,118.0
20197846,127.0
20194456,119.0
20180825,95.0
20185985,108.0
20198453,117.0
20182490,109.0
20187322,110.0
20196601,105.0
20180868,133.0
20193601,103.0
20180442,128.0
20184483,116.0
20185784,113.0
20181416,122.0
20176251,122.0
20184082,107.0
20184543,112.0
20184572,139.0
20183096,120.0
20177539,122.0
20184105,135.0
20185881,129.0
20195920,109.0
20188941,109.0
20184462,134.0
20188750,114.0
20176103,115.0
20183782,131.0
20184621,103.0
20182530,111.0
