movieCd,showTm
20148048,123.0
20148851,139.0
20149314,130.0
20145503,108.0
20148846,125.0
20134798,130.0
20148845,115.0
20136068,127.0
20149570,124.0
20148855,107.0
20149569,102.0
20156557,119.0
20157464,114.0
20136888,135.0
20140703,112.0
20143572,126.0
20148188,122.0
20142407,118.0
20149266,109.0
20142402,131.0
20145171,139.0
20157465,108.0
20142855,116.0
20148461,102.0
20145504,125.0
20156748,106.0
20143513,125.0
20131262,123.0
20148841,108.0
20130566,118.0
20136063,113.0
20148844,107.0
20148553,101.0
20140144,109.0
20140193,111.0
20143511,111.0
20141224,99.0
20143512,118.0
20157501,107.0
20136057,126.0
20130021,120.0
20155826,103.0
20141602,102.0
20136869,110.0
20133682,93.0
20149062,101.0
20143510,96.0
20156807,62.0
20142856,109.0
20147947,111.0
20145501,93.0
20100211,85.0
20149961,114.0
20158481,105.0
20141060,106.0
20156553,101.0
20151782,120.0
20144442,122.0
20156441,61.0
20156321,104.0
20149264,96.0
20157587,86.0
20156281,89.0
20147803,97.0
20141598,99.0
20157986,95.0
20143502,108.0
20151582,97.0
20140241,82.0
20150025,180.0
20159161,120.0
20147130,92.0
20153422,114.0
20135264,102.0
20141702,94.0
20153801,88.0
20153311,79.0
20158701,100.0
20157431,95.0
20141612,98.0
20154323,63.0
20152870,107.0
20156047,119.0
20141002,118.0
20140190,100.0
20134800,102.0
20158951,83.0
20148449,165.0
20148982,79.0
20141705,94.0
20141608,98.0
20158682,74.0
20127568,91.0
20148676,105.0
20145202,77.0
20148685,112.0
20133803,107.0
20143717,91.0
20144601,107.0
20141610,115.0
20149298,101.0
20153307,72.0
20124398,108.0
20148631,83.0
20142403,106.0
20152064,69.0
20163218,103.0
20133531,69.0
20144422,106.0
20141110,102.0
20130260,84.0
20141613,102.0
20141081,86.0
20136000,91.0
20149259,103.0
20141583,102.0
20158795,78.0
20132801,97.0
20152368,115.0
20143252,105.0
20141611,115.0
20133667,106.0
20157176,80.0
20159002,122.0
20125648,95.0
20156353,97.0
20143726,96.0
20158504,83.0
20152182,98.0
20138314,70.0
20150941,91.0
20125246,84.0
20140191,69.0
20149299,92.0
20152265,104.0
20155042,73.0
20148634,95.0
20156709,96.0
20159686,93.0
20141703,89.0
20158385,97.0
20155926,80.0
20161904,107.0
20101244,74.0
20159224,134.0
20143753,100.0
20158463,88.0
20156870,88.0
20158943,79.0
20157155,97.0
20150921,62.0
20153313,96.0
20189862,91.0
20113634,107.0
20150604,84.0
20151801,75.0
20161882,99.0
20162901,90.0
20165441,89.0
20158203,101.0
20148843,108.0
20155744,103.0
20147929,100.0
20149491,127.0
20156564,118.0
20145507,126.0
20159646,139.0
20154910,126.0
20156250,110.0
20153444,112.0
20140194,156.0
20150979,126.0
20161725,142.0
20144641,135.0
20167301,167.0
20171164,96.0
20154661,109.0
20153443,132.0
20150972,119.0
20159644,120.0
20142406,125.0
20159645,120.0
20142621,107.0
20158482,110.0
20153741,99.0
20152371,110.0
20158483,123.0
20152782,90.0
20159648,129.0
20150977,122.0
20163521,121.0
20150968,125.0
20068576,103.0
20154906,92.0
20145396,108.0
20154905,129.0
20145506,120.0
