filmoNames,movieNm,peopleCd,peopleNm,repRoleNm
"열두 번째 용의자|시인의 사랑|1급기밀|원라인|살인의뢰|몽타주|깔깔깔 희망버스|파파|오싹한 연애|에일리언 밴드|여교수의 은밀한 매력|DMZ, 비무장지대|인형사|거울속으로",살인의뢰,10043582,안영진,프로듀서
"특종: 량첸살인기|연애의 온도|지구를 지켜라|마스크 속, 은밀한 자부심",특종: 량첸살인기,10015745,노덕,감독
내일의 기억(가제)|덕혜옹주|극적인 하룻밤|열정같은소리하고있네|행복|외출|언덕 밑 세상|공자가라사대|지나가는 비|A Sight Of The Art|아빠 뭐해|노이로제 가족,열정같은소리하고있네,10035522,서유민,시나리오(각본)
열정같은소리하고있네|반창꼬|애자|고死 : 피의 중간고사|와일드 카드,열정같은소리하고있네,10061628,정기훈,감독
"치즈인더트랩|날, 보러와요|미쓰 와이프|밤의 여왕|원더풀 라디오|방울토마토|예의없는 것들|동행",미쓰 와이프,10005652,김제영,감독
"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을",허삼관,10087253,하정우,배우
광대들: 풍문조작단|허삼관|바람과 함께 사라지다|의형제|속눈썹|탐정 반기평 |프렌드쉽|우정|김옹의 시험,허삼관,20030155,김주호,감독
보통사람|악인은 살아 있다|헬머니|음치 클리닉 |가루지기|마파도2|싸움의 기술,헬머니,10065870,조사무엘,시나리오(각본)
내안의 그놈|헬머니|위험한 상견례|가루지기|싸움의 기술|늦은여름|뼛살|혹성 탈출,헬머니,10040668,신한솔,감독
"화산고래|창백한 얼굴들|무뢰한|제불찰씨 이야기|나의 사랑, 나의 영화|역도산|H(에이치)|피도 눈물도 없이|킬리만자로|이재수의 난|8월의 크리스마스|초록물고기",무뢰한,10050533,오승욱,감독
순수의 시대,순수의 시대,20169280,김세희,시나리오(각본)
손님|청춘만화,손님,20147149,김광태,감독
"고산자, 대동여지도|따라지 : 비열한 거리|내 심장을 쏴라",내 심장을 쏴라,20209326,최정미,시나리오(각본)
내 심장을 쏴라|아부의 왕|슈퍼맨이었던 사나이|타짜|내 생애 가장 아름다운 일주일|쌍둥이들|시린 귀를 감싸며,내 심장을 쏴라,10026804,문제용,감독
0.0MHz|내 심장을 쏴라|고死 두 번째 이야기: 교생실습|미스터 주부퀴즈왕|아라한 장풍대작전|샌드위치,내 심장을 쏴라,10053709,유선동,감독
0.0MHz|내 심장을 쏴라|고死 두 번째 이야기: 교생실습|미스터 주부퀴즈왕|아라한 장풍대작전|샌드위치,내 심장을 쏴라,10053709,유선동,감독
도리화가,도리화가,20190060,김아영,시나리오(각본)
삼진그룹 영어토익반|도리화가|전국노래자랑|앙상블|푸른소금|퀴즈왕|아저씨|약탈자들|외출|아름다운 청년 전태일|달세계여행|네 쌍둥이 자살|적의 사과|불을 지펴라|촌철살인|이제 난 용감해질거야|인디포럼2015 특별4|Dir/Actors 3. Friends_신이수&이우정&이종필&최시형 단편,도리화가,10057407,이종필,감독
서부전선|5백만불의 사나이|7급 공무원|인형사|싱글즈,서부전선,20125818,김익로,감독
서부전선|해적: 바다로 간 산적|소수의견|5백만불의 사나이|아빠가 여자를 좋아해|7급 공무원|원스어폰어타임|삼거리극장,서부전선,10071866,천성일,제작
"오피스|소녀|용의자X|나는 왕이로소이다|마당을 나온 암탉|파주|전설의 고향|눈부신 날에|사랑해, 말순씨|대륙횡단|무서운 이야기|쓰리 몬스터",오피스,20160629,최윤진,프로듀서
독전: 익스텐디드 컷|독전|경성학교: 사라진 소녀들|26년|페스티발|천하장사 마돈나|아라한 장풍대작전|안녕! 유에프오|품행제로|신라의 달밤|커밍 아웃,경성학교: 사라진 소녀들,10058049,이해영,감독
내안의 그놈|로마의 휴일|위험한 상견례 2|소원|동갑내기 과외하기 레슨 2|마파도|블루,위험한 상견례 2,10066981,조중훈,시나리오(각본)
"극적인 하룻밤|라듸오 데이즈|내 사랑 십자 드라이버, 사이코드라마(단편)",극적인 하룻밤,10086669,하기호,감독
소수의견,소수의견,20217371,손아람,시나리오(각본)
"해어화|협녀, 칼의 기억|천국의 아이들|사랑해, 말순씨|인어 공주|나도 아내가 있었으면 좋겠다|내 동생|2015 GSFF 배우 특별전: 김수안 |미안해, 고마워","협녀, 칼의 기억",20110989,박흥식,감독
"협녀, 칼의 기억|동창생|천국의 아이들|내 동생","협녀, 칼의 기억",20157578,최아름,각색
대결|치외법권,치외법권,20204447,민경근,시나리오(각본)
피의 연대기|소셜포비아|이쁜 것들이 되어라|보호자|잉투기|필름|Keep Quiet|하트바이브레이터|과월 사랑세 납부고지서|8/10000|외할머니와 레슬링|9월 단편 상상극장 - 홍석재 감독 특별전|2015 GSFF-개막식|KAFA 단편 3,소셜포비아,10089518,홍석재,감독
소셜포비아|종말의 주행자|6D 극장 |[인디포럼2016] 신작09 겹겹의 의도 ,소셜포비아,20237246,조현민,감독
은밀한 유혹|시크릿|세븐 데이즈,은밀한 유혹,10054464,윤재구,감독
화장|하얀 정글|지하철 법정|오리엔테이션|정동진독립영화제2013 섹션5|제 7회 여성인권영화제-여전히 아무도 모른다 ,화장,20112333,송윤희,감독
연애의 맛,연애의 맛,20226715,문정원,시나리오(각본)
연애의 맛|하늘을 걷는 소년,연애의 맛,20190175,이상언,시나리오(각본)
"안시성|그래, 가족|연애의 맛|브라보 마이 라이프",연애의 맛,20131355,윤필준,시나리오(각본)
함정|웨딩드레스|트럭|호로비츠를 위하여|비디오를 보는 남자|하늘정원,함정,10087546,한수봉,조감독
뽀로로 극장판 컴퓨터 왕국 대모험|뽀로로 극장판 슈퍼썰매 대모험|Painter,뽀로로 극장판 컴퓨터 왕국 대모험,10028920,박영균,감독
소나기|뽀로로 극장판 컴퓨터 왕국 대모험|우리별 일호와 얼룩소|다이노 타임|뽀로로 극장판 슈퍼썰매 대모험|마당을 나온 암탉|제불찰씨 이야기|오디션|천년여우 여우비|와니와 준하,뽀로로 극장판 컴퓨터 왕국 대모험,20063657,김은숙,애니메이션팀
뽀로로 극장판 컴퓨터 왕국 대모험|뽀로로 극장판 슈퍼썰매 대모험,뽀로로 극장판 컴퓨터 왕국 대모험,10057072,이인균,시나리오(각본)
"컬러 오브 아시아 -  마스터스|나의 절친 악당들|사랑해, 리우|돈의 맛|하녀|오래된 정원|그때 그 사람들|한국 영화의 르네상스|바람난 가족|눈물|처녀들의 저녁식사|영원한 제국|뱀파이어는 우리 옆집에 산다|예쁜 찬장 하나 |구선생의 카메라|어머니|서울독립영화제 2015 특별단편 3|서울독립영화제2015  심야상영2",나의 절친 악당들,10058591,임상수,감독
공포체험단 곤지암편|천문: 하늘에 묻는다|곤지암|워킹걸|미쓰GO|외톨이|기담|무서운 이야기 2|무서운 이야기|무서운 이야기 2 '탈출'|무서운 이야기 '해와 달',워킹걸,10061758,정범식,감독
타짜: 원 아이드 잭|범죄의 여왕|굿바이 싱글|돌연변이|소셜포비아|족구왕|세이프|질식|녹색물질|고래를 본 날|인디스데이 10월 단편,돌연변이,10002458,권오광,감독
