영화명,1623공급좌석수
1987,9333456.0
검사외전,10542591.0
검은 사제들,8552511.0
곡성,8761795.0
공조,10213872.0
국가부도의 날,7860058.0
기생충,13706390.0
꾼,9280266.0
내부자들,11061259.0
너의 결혼식,7371404.0
더 킹,7604191.0
독전,9950965.0
돈,9190893.0
럭키,10240116.0
마스터,9099627.0
밀정,9816819.0
범죄도시,9766692.0
베테랑,13465095.0
봉오동 전투,7369147.0
부산행,9754134.0
사도,8435898.0
신과함께-인과 연,12232432.0
신과함께-죄와 벌,14732862.0
악인전,7431647.0
안시성,7765571.0
암살,10811908.0
암수살인,9169672.0
엑시트,14425437.0
연평해전,7465770.0
완벽한 타인,10155115.0
청년경찰,7318904.0
탐정: 리턴즈,7642467.0
택시운전사,12380536.0
터널,8596813.0
히말라야,9772125.0
