영화명,총배정좌석수
조작된 도시,9934541.0
변신,9622687.0
보안관,9485000.0
내안의 그놈,9304019.0
시간이탈자,9262719.0
사라진 밤,9261441.0
극비수사,9250398.0
바람 바람 바람,9058939.0
걸캅스,9015022.0
악의 연대기,8885269.0
명당,8827540.0
궁합,8757824.0
굿바이 싱글,8494232.0
염력,8474419.0
도어락,8404959.0
부라더,8402047.0
강남 1970,8366481.0
물괴,8324911.0
PMC: 더 벙커,8304142.0
더 폰,8174103.0
기억의 밤,8086995.0
협상,8001035.0
봉이 김선달,7847759.0
쎄시봉,7818486.0
임금님의 사건수첩,7674872.0
노무현입니다,7562796.0
특별시민,7451442.0
장수상회,7420481.0
탐정 : 더 비기닝,7395069.0
해빙,7315102.0
뷰티 인사이드,7198080.0
브이아이피,7162745.0
성난황소,7125952.0
사자,7106703.0
오빠생각,7084541.0
마약왕,7034585.0
항거:유관순 이야기,6857283.0
"날, 보러와요",6812159.0
오늘의 연애,6708180.0
내부자들: 디 오리지널,6672640.0
하루,6647934.0
나랏말싸미,6624529.0
상류사회,6587354.0
레슬러,6413273.0
나의 특별한 형제,6407669.0
뺑반,6286728.0
챔피언,6154697.0
골든슬럼버,6106647.0
불한당: 나쁜 놈들의 세상,6027238.0
악녀,5979898.0
스윙키즈,5880654.0
그놈이다,5849979.0
"당신, 거기 있어줄래요",5752926.0
대호,5675019.0
롱 리브 더 킹: 목포 영웅,5613210.0
특별수사: 사형수의 편지,5598449.0
차이나타운,5525993.0
미씽: 사라진 여자,5457165.0
"고산자, 대동여지도",5293124.0
미쓰백,5242780.0
간신,5146235.0
살인의뢰,5135727.0
탐정 홍길동: 사라진 마을,5080146.0
널 기다리며,4950342.0
동주,4939566.0
특종: 량첸살인기,4807497.0
성난 변호사,4775845.0
해어화,4647507.0
사냥,4571964.0
가려진 시간,4516462.0
장산범,4412320.0
스플릿,4359135.0
아빠는 딸,4273287.0
대립군,4201250.0
미성년,4173068.0
열정같은소리하고있네,4121209.0
"그날, 바다",4017194.0
7년의 밤,3981910.0
광대들: 풍문조작단,3969623.0
그날의 분위기,3854095.0
순수의 시대,3842787.0
허삼관,3726538.0
리얼,3686618.0
인랑,3573510.0
위대한 소원,3561951.0
"로봇, 소리",3560360.0
희생부활자,3498152.0
변산,3482406.0
좋아해줘,3474394.0
버닝,3454797.0
반드시 잡는다,3274680.0
미쓰 와이프,3229036.0
악질경찰,3149528.0
7호실,3137317.0
동네사람들,3124795.0
무뢰한,3117904.0
대장 김창수,3097549.0
침묵,3095322.0
배심원들,3064017.0
손님,2998477.0
헬머니,2998092.0
미옥,2796337.0
허스토리,2779140.0
도리화가,2733114.0
우상,2731850.0
내 심장을 쏴라,2722030.0
원라인,2677785.0
나를 잊지 말아요,2592833.0
치즈인더트랩,2587168.0
국가대표 2,2579980.0
뽀로로 극장판 공룡섬 대모험,2567143.0
보통사람,2548965.0
어린 의뢰인,2525210.0
뽀로로 극장판 보물섬 대모험,2470597.0
대배우,2451542.0
레드슈즈,2433085.0
흥부: 글로 세상을 바꾼 자,2423750.0
조선마술사,2420055.0
싱글라이더,2397489.0
어느날,2373439.0
나를 기억해,2348272.0
덕구,2327917.0
계춘할망,2315951.0
극적인 하룻밤,2299559.0
오피스,2267022.0
서부전선,2260538.0
경성학교: 사라진 소녀들,2198583.0
석조저택 살인사건,2178493.0
극장판 공룡메카드: 타이니소어의 섬,2175076.0
원더풀 고스트,2151017.0
기방도령,2085857.0
위험한 상견례 2,2065178.0
"협녀, 칼의 기억",2037147.0
기묘한 가족,2007348.0
은밀한 유혹,1996840.0
극장판 헬로카봇: 옴파로스 섬의 비밀,1978813.0
소셜포비아,1945482.0
극장판 헬로카봇 : 백악기 시대,1935876.0
치외법권,1924020.0
소수의견,1917551.0
비밀은 없다,1912925.0
사랑하기 때문에,1899188.0
신비아파트: 금빛 도깨비와 비밀의 동굴,1862901.0
혼숨,1788619.0
터닝메카드W: 블랙미러의 부활,1777237.0
점박이 한반도의 공룡2 : 새로운 낙원,1683163.0
화장,1636957.0
비스트,1635591.0
글로리데이,1617448.0
자전차왕 엄복동,1604653.0
여중생A,1567992.0
홈,1558333.0
브링 더 소울 : 더 무비,1520809.0
언더독,1505593.0
뽀로로 극장판 컴퓨터 왕국 대모험,1486825.0
순정,1466695.0
연애의 맛,1463138.0
걷기왕,1416215.0
왓칭,1412236.0
시간위의 집,1401374.0
언니,1399019.0
1급기밀,1373742.0
로마의 휴일,1372961.0
비정규직 특수요원,1371949.0
데자뷰,1318815.0
넛잡 2,1281162.0
함정,1279979.0
공범자들,1224849.0
눈길,1185784.0
남과 여,1178801.0
채비,1167848.0
루시드 드림,1137625.0
속닥속닥,1137462.0
나의 절친 악당들,1135198.0
크게 될 놈,1130450.0
진범,1114689.0
그대 이름은 장미,1083476.0
극장판 안녕 자두야,1028665.0
배반의 장미,1027585.0
