영화명,1623공급좌석수
22,13253.0
가을 우체국,37256.0
개: dog eat dog,6410.0
거미의 땅,9052.0
거짓말,31561.0
경계,15200.0
고녀석 맛나겠다2 : 함께라서 행복해,14477.0
고려 아리랑: 천산의 디바,32913.0
고양이 장례식,14861.0
고향이 어디세요,18414.0
공포체험단 곤지암편,3116.0
광인옥한흠,8489.0
괴물들,34750.0
국경의 왕,14784.0
굿바이 마이 러브NK: 붉은 청춘,20779.0
굿바이 썸머,31382.0
귀신의 향기,5006.0
그들이 죽었다,19018.0
그럼에도 불구하고,11315.0
그림자들의 섬,31507.0
극장판 뽀잉: 슈퍼 변신의 비밀,21339.0
극장판 샤이닝스타:새로운 루나퀸의 탄생!,27193.0
극장판 프랭키와 친구들: 생명의 나무,32481.0
극장판 프리즘스톤 올스타 셀렉션,11912.0
기생-꽃의 고백,6366.0
기적의 피아노,38260.0
기화,1832.0
꾸루꾸루와 친구들: 무지개 나무의 비밀,4829.0
나는 고양이로소이다,29615.0
나는 증인이다,4818.0
나부야 나부야,22499.0
나와 봄날의 약속,39227.0
나의 살던 고향은,39462.0
"나의 아들, 나의 어머니",24501.0
나의 연기 워크샵,13718.0
남자와 여자,2198.0
내가 사는 세상,31766.0
노리개: 그녀의 눈물,28531.0
노후 대책 없다,23317.0
누에치던 방,32391.0
눈꺼풀,17958.0
눈이라도 내렸으면,4243.0
늙은 자전거,20882.0
늦여름,10420.0
다른 길이 있다,21667.0
다영씨,17719.0
다이빙벨 그후,24354.0
달에 부는 바람,10831.0
대관람차,38820.0
더 블랙,17129.0
덫: 치명적인 유혹,1030.0
델타 보이즈,30876.0
독도의 영웅들,1558.0
두 개의 연애,10607.0
드롭박스,19105.0
들꽃,13944.0
딜쿠샤,10612.0
땐뽀걸즈,28627.0
라라,14810.0
레나,18808.0
레드 툼,16409.0
레이디버그,27200.0
려행,25393.0
련희와 연희,8709.0
로드킬,2302.0
로마서 8:37,30674.0
리벤져,17879.0
리스펙트,33114.0
마담 B,20791.0
막걸스,13024.0
막다른 골목의 추억,18647.0
만담강호,14130.0
망원동 인공위성,27844.0
맞짱,3951.0
메리 크리스마스 미스터 모,38407.0
메이트,18497.0
명령불복종 교사,13535.0
무서운 집,2277.0
문영,34463.0
물숨,36162.0
미라클 여행기,28991.0
미친도시,4273.0
밀양 아리랑,21663.0
바나나쏭의 기적,38585.0
바람의 춤꾼,28888.0
박화영,35595.0
반도에 살어리랏다,16494.0
반짝이는 박수 소리,35802.0
발광하는 현대사,3993.0
밤섬해적단 서울불바다,36567.0
밤의 문이 열린다,17605.0
밤치기,25237.0
버블 패밀리,19920.0
번개맨과 신비의 섬,38773.0
번개맨의 비밀,28187.0
별의 정원,15189.0
보희와 녹양,33597.0
부릉! 부릉! 브루미즈: 스피더의 모험 일기,8308.0
분장,26147.0
불빛 아래서,14998.0
불안한 외출,12495.0
불온한 당신,34202.0
뷰티풀 보이스,38853.0
브링 홈: 아버지의 땅,29674.0
블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,3506.0
비치온더비치,13425.0
사돈의 팔촌,10637.0
사랑의 선물,18333.0
사랑이 이긴다,34296.0
사월의 끝,3205.0
살인자의 기억법 : 새로운 기억,12939.0
살인재능,15926.0
삼례,19328.0
샘,36419.0
생각보다 맑은,27073.0
서태지밴드 콘서트투어 '콰이어트나이트',14927.0
선종 무문관,1265.0
선희와 슬기,35278.0
설해,12033.0
성난 화가,3471.0
세계일주,30468.0
세상끝의 사랑,33969.0
션샤인 러브,13580.0
소꿉놀이,17843.0
소녀와 여자,19692.0
소녀의 세계,8687.0
소성리,25992.0
소시민,4821.0
소은이의 무릎,7465.0
쇠파리,20805.0
수색역,17410.0
수성못,33646.0
순교,29969.0
슈퍼 빼꼼: 스파이 대작전,28640.0
슈퍼 프렌즈,13984.0
슈퍼레이서 엔지,8582.0
스타박'스 다방,12412.0
스틸 플라워,26762.0
스파키,32153.0
시간의 종말,14880.0
"시발, 놈: 인류의 시작",9631.0
시소,35425.0
식구,21285.0
실종2,11285.0
아기와 나,36651.0
아들에게 가는 길,20718.0
아이엠 호프맨,6261.0
아일랜드 - 시간을 훔치는 섬,18251.0
악인은 살아 있다,5652.0
안나 카레니나,18693.0
안녕 히어로,27184.0
"안녕, 나의 소녀 시절이여",12911.0
"안녕, 전우치! 도술로봇대결전",15306.0
앨리스: 원더랜드에서 온 소년,31829.0
야근 대신 뜨개질,9275.0
어둔 밤,15252.0
어떤이의 꿈,15871.0
어른이 되면,38140.0
어우동: 주인 없는 꽃,7571.0
얼굴들,26538.0
여자들,31035.0
영도,27284.0
예수보다 낯선,10343.0
예스 평창!,8905.0
오 마이 파파,21581.0
오늘도 평화로운,22830.0
오목소녀,33336.0
오장군의 발톱,9681.0
올 리브 올리브,26897.0
옹알스,20694.0
왕을 참하라,11979.0
왕초와 용가리,8145.0
우리 손자 베스트,13460.0
우리 연애의 이력,27422.0
우주의 크리스마스,23075.0
운동회,34511.0
울보,11414.0
울보 권투부,16677.0
워킹 스트리트,6966.0
위선자들,10620.0
