영화명,총배정좌석수
극한직업,49962395.0
신과함께-죄와 벌,34190166.0
엑시트,32797179.0
베테랑,31567767.0
기생충,31016572.0
택시운전사,29440149.0
신과함께-인과 연,29031666.0
암살,25466132.0
내부자들,24878459.0
검사외전,24309850.0
럭키,23114625.0
밀정,23073730.0
공조,22995059.0
히말라야,22905936.0
부산행,22687251.0
완벽한 타인,22586592.0
독전,22022825.0
범죄도시,21857583.0
1987,21312684.0
마스터,21207178.0
꾼,20765407.0
암수살인,20398182.0
돈,20123467.0
곡성,20034381.0
사도,19953226.0
터널,19844007.0
검은 사제들,19755682.0
안시성,18227920.0
국가부도의 날,17664700.0
연평해전,17497072.0
더 킹,17465244.0
탐정: 리턴즈,17315887.0
청년경찰,17096798.0
봉오동 전투,16983985.0
군함도,16473111.0
너의 결혼식,16315110.0
악인전,16274336.0
판도라,15663814.0
공작,15616378.0
그것만이 내 세상,15284445.0
지금 만나러 갑니다,15159713.0
말모이,15074050.0
귀향,15054090.0
스물,15052130.0
덕혜옹주,14918712.0
곤지암,14305386.0
인천상륙작전,14221283.0
살인자의 기억법,14191701.0
사바하,13811747.0
아가씨,13749184.0
프리즌,13686052.0
증인,13678651.0
아이 캔 스피크,13608851.0
조선명탐정 : 사라진 놉의 딸,13510641.0
마녀,13196524.0
형,12525089.0
조선명탐정: 흡혈괴마의 비밀,12162364.0
생일,11846767.0
강철비,11604544.0
남한산성,11306399.0
박열,11127031.0
목격자,11124668.0
아수라,10996064.0
재심,10857330.0
유열의 음악앨범,10634279.0
리틀 포레스트,10339146.0
창궐,10186269.0
