영화명,총공급좌석수
강철비,5048460.0
곤지암,6809565.0
공작,6705898.0
군함도,6967251.0
귀향,6556344.0
그것만이 내 세상,6817398.0
남한산성,4605287.0
내안의 그놈,4366453.0
덕혜옹주,6363339.0
리틀 포레스트,4473438.0
마녀,5876903.0
말모이,6879937.0
목격자,4964716.0
바람 바람 바람,4052581.0
박열,4766292.0
변신,4483076.0
보안관,4211195.0
사라진 밤,4142916.0
사바하,6200655.0
살인자의 기억법,6238314.0
생일,5291946.0
스물,6732118.0
시간이탈자,4040671.0
아가씨,5748530.0
아수라,4783684.0
아이 캔 스피크,5723459.0
유열의 음악앨범,4693692.0
인천상륙작전,5827890.0
재심,4752194.0
조선명탐정 : 사라진 놉의 딸,5791947.0
조선명탐정: 흡혈괴마의 비밀,5393378.0
조작된 도시,4437196.0
증인,6132353.0
지금 만나러 갑니다,6725571.0
창궐,4550176.0
판도라,6825041.0
프리즌,6288066.0
형,5570985.0
