F-rated,전국관객수_x,전국관객수_y,전국관객수_x,전국관객수_y,전국관객수_x,전국관객수_y,전국관객수_x,전국관객수_y,전국관객수_x,전국관객수_y
0.0,25504523.0,53241684.0,22959444.0,58438097.0,33601108.0,60669897.0,16613252.0,43466667.0,40231721.0,17884952.0
1.0,8029117.0,15630821.0,7901605.0,10655760.0,2956392.0,14034997.0,15290374.0,15608261.0,5705141.0,1905409.0
2.0,,3107730.0,8193231.0,1168625.0,1599475.0,4839136.0,3497237.0,59312.0,7807613.0,1245520.0
3.0,,22389.0,1161057.0,1177936.0,133854.0,40714.0,65554.0,757327.0,6004.0,189491.0
6.0,,72002624.0,40215337.0,71440418.0,38290829.0,79584744.0,35466417.0,59891567.0,53750479.0,21225372.0
